Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,22;-346,62;0,00;0,00;0,00;-0,35;0,00;0,00;212;140;81;44;17;705;176
2;52,23;-245,28;0,00;0,00;0,00;-0,25;0,00;0,00;391;16;151;17;36;686;828
3;0,00;-702,21;0,00;0,00;0,00;-0,70;0,00;0,00;83;180;51;29;18;720;386
4;100,00;266,96;0,00;0,00;0,00;0,27;0,00;0,00;78;131;38;46;16;367;374
5;52,10;-179,75;0,00;0,00;0,00;-0,18;0,00;0,00;288;73;30;17;22;506;767
6;82,79;119,69;0,00;0,00;0,00;0,12;0,00;0,00;245;51;174;28;16;169;468
7;45,85;-236,92;0,00;0,00;0,00;-0,24;0,00;0,00;494;178;179;40;35;318;875
8;13,72;-500,29;0,00;0,00;0,00;-0,50;0,00;0,00;204;55;150;45;33;669;928
9;53,82;-149,68;0,00;0,00;0,00;-0,15;0,00;0,00;96;102;44;45;31;564;407
10;95,44;160,54;0,00;0,00;0,00;0,16;0,00;0,00;436;192;83;49;33;948;183
11;70,08;1,01;0,00;0,00;0,00;0,00;0,00;0,00;418;157;72;30;30;889;394
12;21,76;-449,10;0,00;0,00;0,00;-0,45;0,00;0,00;218;159;120;35;36;597;985
13;51,42;-169,99;0,00;0,00;0,00;-0,17;0,00;0,00;282;63;61;24;24;775;998
14;58,12;-108,68;0,00;0,00;0,00;-0,11;0,00;0,00;303;170;194;29;30;890;525
15;38,88;-263,23;0,00;0,00;0,00;-0,26;0,00;0,00;376;182;160;12;25;960;541
16;15,05;-584,75;0,00;0,00;0,00;-0,58;0,00;0,00;305;168;161;41;36;606;633
17;49,54;-154,31;0,00;0,00;0,00;-0,15;0,00;0,00;70;74;172;26;18;561;522
18;64,51;-111,92;0,00;0,00;0,00;-0,11;0,00;0,00;259;176;43;45;15;982;614
19;12,20;-611,65;0,00;0,00;0,00;-0,61;0,00;0,00;286;90;167;30;26;995;705
20;54,76;-151,95;0,00;0,00;0,00;-0,15;0,00;0,00;368;127;60;49;36;202;227
21;89,41;208,74;0,00;0,00;0,00;0,21;0,00;0,00;277;126;179;26;20;652;249
22;55,65;-187,34;0,00;0,00;0,00;-0,19;0,00;0,00;95;120;55;46;28;294;574
23;31,43;-363,31;0,00;0,00;0,00;-0,36;0,00;0,00;169;139;185;30;27;249;144
24;69,02;-49,18;0,00;0,00;0,00;-0,05;0,00;0,00;320;144;143;37;36;818;451
25;83,20;169,67;0,00;0,00;0,00;0,17;0,00;0,00;277;57;83;28;35;142;189
26;1,47;-671,27;0,00;0,00;0,00;-0,67;0,00;0,00;131;61;185;21;16;627;705
27;70,07;-17,81;0,00;0,00;0,00;-0,02;0,00;0,00;206;66;176;12;17;225;358
28;0,00;-766,54;0,00;0,00;0,00;-0,77;0,00;0,00;291;179;173;47;19;455;489
29;34,24;-449,70;0,00;0,00;0,00;-0,45;0,00;0,00;467;131;16;42;28;156;641
30;68,03;129,42;0,00;0,00;0,00;0,13;0,00;0,00;70;170;79;47;32;364;998
31;39,07;-373,14;0,00;0,00;0,00;-0,37;0,00;0,00;356;140;180;33;24;388;626
