Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,35;-85,30;0,00;0,00;0,00;-0,09;0,00;0,00;328;150;98;38;19;872;349
2;53,34;80,82;0,00;0,00;0,00;0,08;0,00;0,00;284;54;118;42;29;904;851
3;60,87;89,92;0,00;0,00;0,00;0,09;0,00;0,00;32;193;135;38;35;556;207
4;56,61;92,81;0,00;0,00;0,00;0,09;0,00;0,00;228;130;155;25;17;304;999
5;59,72;134,37;0,00;0,00;0,00;0,13;0,00;0,00;190;187;108;41;33;493;622
6;60,20;207,82;0,00;0,00;0,00;0,21;0,00;0,00;381;102;71;49;37;136;976
7;55,58;86,57;0,00;0,00;0,00;0,09;0,00;0,00;234;124;19;16;33;683;797
8;57,09;126,42;0,00;0,00;0,00;0,13;0,00;0,00;10;87;69;19;39;862;898
9;24,17;-176,95;0,00;0,00;0,00;-0,18;0,00;0,00;465;68;116;33;25;762;340
10;49,29;55,79;0,00;0,00;0,00;0,06;0,00;0,00;103;162;75;49;23;792;965
11;55,77;56,35;0,00;0,00;0,00;0,06;0,00;0,00;352;147;16;39;17;990;977
12;56,44;66,65;0,00;0,00;0,00;0,07;0,00;0,00;342;163;12;32;20;981;795
13;54,33;-44,74;0,00;0,00;0,00;-0,04;0,00;0,00;436;155;83;41;34;989;624
14;32,07;-130,13;0,00;0,00;0,00;-0,13;0,00;0,00;279;106;68;38;32;895;407
15;47,26;-62,11;0,00;0,00;0,00;-0,06;0,00;0,00;347;60;66;13;17;714;950
16;47,17;-20,65;0,00;0,00;0,00;-0,02;0,00;0,00;156;54;194;17;33;918;987
17;29,09;-198,69;0,00;0,00;0,00;-0,20;0,00;0,00;398;163;189;39;24;224;123
18;70,30;170,78;0,00;0,00;0,00;0,17;0,00;0,00;108;185;191;43;35;479;850
19;34,40;-179,89;0,00;0,00;0,00;-0,18;0,00;0,00;350;98;136;42;22;363;920
20;50,82;-9,97;0,00;0,00;0,00;-0,01;0,00;0,00;363;180;107;18;28;396;447
21;71,59;258,36;0,00;0,00;0,00;0,26;0,00;0,00;464;126;129;21;29;516;637
