Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;66,05;22,63;0,00;0,00;0,00;0,02;0,00;0,00;48;140;81;44;17;705;176
2;45,07;-162,79;0,00;0,00;0,00;-0,16;0,00;0,00;349;16;151;17;36;686;828
3;41,76;-346,83;0,00;0,00;0,00;-0,35;0,00;0,00;330;180;51;29;18;720;386
4;90,75;198,10;0,00;0,00;0,00;0,20;0,00;0,00;468;131;38;46;16;367;374
5;29,86;-421,36;0,00;0,00;0,00;-0,42;0,00;0,00;34;73;30;17;22;506;767
6;64,24;-86,03;0,00;0,00;0,00;-0,09;0,00;0,00;331;51;174;28;16;169;468
7;58,72;-130,31;0,00;0,00;0,00;-0,13;0,00;0,00;298;178;179;40;35;318;875
8;46,96;-189,43;0,00;0,00;0,00;-0,19;0,00;0,00;419;55;150;45;33;669;928
9;63,73;-3,60;0,00;0,00;0,00;-0,00;0,00;0,00;205;102;44;45;31;564;407
10;78,96;65,80;0,00;0,00;0,00;0,07;0,00;0,00;371;192;83;49;33;948;183
11;21,06;-533,94;0,00;0,00;0,00;-0,53;0,00;0,00;298;157;72;30;30;889;394
12;31,40;-427,03;0,00;0,00;0,00;-0,43;0,00;0,00;452;159;120;35;36;597;985
13;34,47;-315,69;0,00;0,00;0,00;-0,32;0,00;0,00;413;63;61;24;24;775;998
14;52,66;-131,65;0,00;0,00;0,00;-0,13;0,00;0,00;31;170;194;29;30;890;525
15;40,17;-238,60;0,00;0,00;0,00;-0,24;0,00;0,00;175;182;160;12;25;960;541
16;37,40;-351,61;0,00;0,00;0,00;-0,35;0,00;0,00;79;168;161;41;36;606;633
17;52,31;-142,64;0,00;0,00;0,00;-0,14;0,00;0,00;104;74;172;26;18;561;522
18;47,95;-223,12;0,00;0,00;0,00;-0,22;0,00;0,00;394;176;43;45;15;982;614
19;70,07;21,04;0,00;0,00;0,00;0,02;0,00;0,00;366;90;167;30;26;995;705
20;57,24;3,95;0,00;0,00;0,00;0,00;0,00;0,00;479;127;60;49;36;202;227
21;73,42;30,36;0,00;0,00;0,00;0,03;0,00;0,00;468;126;179;26;20;652;249
22;49,83;-158,38;0,00;0,00;0,00;-0,16;0,00;0,00;62;120;55;46;28;294;574
23;39,00;-317,53;0,00;0,00;0,00;-0,32;0,00;0,00;163;139;185;30;27;249;144
24;65,98;-14,49;0,00;0,00;0,00;-0,01;0,00;0,00;57;144;143;37;36;818;451
25;66,44;15,97;0,00;0,00;0,00;0,02;0,00;0,00;127;57;83;28;35;142;189
26;51,39;-172,57;0,00;0,00;0,00;-0,17;0,00;0,00;172;61;185;21;16;627;705
27;2,30;-712,40;0,00;0,00;0,00;-0,71;0,00;0,00;412;66;176;12;17;225;358
28;61,19;-28,06;0,00;0,00;0,00;-0,03;0,00;0,00;479;179;173;47;19;455;489
29;70,11;-49,61;0,00;0,00;0,00;-0,05;0,00;0,00;52;131;16;42;28;156;641
30;69,11;11,71;0,00;0,00;0,00;0,01;0,00;0,00;132;170;79;47;32;364;998
31;50,02;-240,93;0,00;0,00;0,00;-0,24;0,00;0,00;20;140;180;33;24;388;626
32;17,87;-488,50;0,00;0,00;0,00;-0,49;0,00;0,00;152;174;72;44;37;949;222
33;75,31;76,27;0,00;0,00;0,00;0,08;0,00;0,00;235;112;142;36;18;467;748
34;45,26;-188,28;0,00;0,00;0,00;-0,19;0,00;0,00;58;146;148;49;23;739;339
35;30,29;-334,27;0,00;0,00;0,00;-0,33;0,00;0,00;138;171;52;28;27;980;233
36;21,01;-463,75;0,00;0,00;0,00;-0,46;0,00;0,00;160;148;184;15;23;109;334
37;54,07;-176,89;0,00;0,00;0,00;-0,18;0,00;0,00;98;152;175;38;19;218;529
38;92,59;226,44;0,00;0,00;0,00;0,23;0,00;0,00;127;88;187;13;15;759;141
39;62,23;-55,76;0,00;0,00;0,00;-0,06;0,00;0,00;178;189;146;45;31;367;574
