Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;66,33;-54,38;0,00;0,00;0,00;-0,05;0,00;0,00;25;37;181;24;16;525;131
2;76,25;63,90;0,00;0,00;0,00;0,06;0,00;0,00;160;159;111;20;39;645;272
3;23,30;-505,19;0,00;0,00;0,00;-0,51;0,00;0,00;120;162;185;13;24;818;483
4;9,03;-597,97;0,00;0,00;0,00;-0,60;0,00;0,00;426;145;113;48;34;622;693
5;86,52;151,69;0,00;0,00;0,00;0,15;0,00;0,00;404;163;62;40;28;417;198
6;71,49;60,39;0,00;0,00;0,00;0,06;0,00;0,00;289;181;130;32;17;879;183
7;88,64;144,60;0,00;0,00;0,00;0,14;0,00;0,00;72;42;135;13;34;797;138
8;39,86;-226,47;0,00;0,00;0,00;-0,23;0,00;0,00;221;28;133;46;30;332;408
9;19,02;-546,63;0,00;0,00;0,00;-0,55;0,00;0,00;174;46;151;31;17;685;424
10;96,24;352,98;0,00;0,00;0,00;0,35;0,00;0,00;307;134;107;12;22;854;332
11;32,89;-314,84;0,00;0,00;0,00;-0,31;0,00;0,00;280;28;89;33;39;423;165
12;43,65;-351,93;0,00;0,00;0,00;-0,35;0,00;0,00;103;151;13;15;35;124;871
13;41,20;-313,32;0,00;0,00;0,00;-0,31;0,00;0,00;330;85;136;39;20;821;397
14;27,00;-563,65;0,00;0,00;0,00;-0,56;0,00;0,00;21;89;157;26;24;384;380
15;57,10;-135,09;0,00;0,00;0,00;-0,14;0,00;0,00;116;13;190;48;15;385;548
16;48,05;-234,18;0,00;0,00;0,00;-0,23;0,00;0,00;192;113;156;48;31;796;179
17;46,34;-369,03;0,00;0,00;0,00;-0,37;0,00;0,00;75;103;95;35;27;895;794
18;3,86;-651,95;0,00;0,00;0,00;-0,65;0,00;0,00;368;150;128;29;20;701;788
19;59,77;-106,32;0,00;0,00;0,00;-0,11;0,00;0,00;304;58;73;47;31;518;225
20;14,61;-543,93;0,00;0,00;0,00;-0,54;0,00;0,00;284;121;61;29;16;750;171
21;64,47;-18,97;0,00;0,00;0,00;-0,02;0,00;0,00;313;153;67;17;18;324;153
