Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;39,78;-373,22;0,00;0,00;0,00;-0,37;0,00;0,00;407;140;81;44;17;705;176
2;13,81;-505,65;0,00;0,00;0,00;-0,51;0,00;0,00;404;16;151;17;36;686;828
3;48,05;-205,22;0,00;0,00;0,00;-0,21;0,00;0,00;270;180;51;29;18;720;386
4;87,76;238,26;0,00;0,00;0,00;0,24;0,00;0,00;18;131;38;46;16;367;374
5;92,29;195,81;0,00;0,00;0,00;0,20;0,00;0,00;197;73;30;17;22;506;767
6;42,42;-286,20;0,00;0,00;0,00;-0,29;0,00;0,00;432;51;174;28;16;169;468
7;64,50;-145,00;0,00;0,00;0,00;-0,15;0,00;0,00;111;178;179;40;35;318;875
8;67,32;-25,49;0,00;0,00;0,00;-0,03;0,00;0,00;19;55;150;45;33;669;928
9;46,21;-210,08;0,00;0,00;0,00;-0,21;0,00;0,00;413;102;44;45;31;564;407
10;84,80;158,19;0,00;0,00;0,00;0,16;0,00;0,00;498;192;83;49;33;948;183
11;31,88;-347,58;0,00;0,00;0,00;-0,35;0,00;0,00;71;157;72;30;30;889;394
12;49,62;-129,36;0,00;0,00;0,00;-0,13;0,00;0,00;328;159;120;35;36;597;985
13;13,18;-527,81;0,00;0,00;0,00;-0,53;0,00;0,00;337;63;61;24;24;775;998
14;31,00;-380,95;0,00;0,00;0,00;-0,38;0,00;0,00;317;170;194;29;30;890;525
15;35,90;-326,23;0,00;0,00;0,00;-0,33;0,00;0,00;309;182;160;12;25;960;541
16;25,88;-443,48;0,00;0,00;0,00;-0,44;0,00;0,00;471;168;161;41;36;606;633
17;3,71;-749,80;0,00;0,00;0,00;-0,75;0,00;0,00;485;74;172;26;18;561;522
18;48,53;-282,82;0,00;0,00;0,00;-0,28;0,00;0,00;313;176;43;45;15;982;614
19;42,23;-281,94;0,00;0,00;0,00;-0,28;0,00;0,00;15;90;167;30;26;995;705
20;49,09;-246,29;0,00;0,00;0,00;-0,25;0,00;0,00;491;127;60;49;36;202;227
21;72,38;4,16;0,00;0,00;0,00;0,00;0,00;0,00;290;126;179;26;20;652;249
22;64,98;-89,95;0,00;0,00;0,00;-0,09;0,00;0,00;24;120;55;46;28;294;574
23;22,05;-535,32;0,00;0,00;0,00;-0,54;0,00;0,00;187;139;185;30;27;249;144
