Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;59,79;-131,27;0,00;0,00;0,00;-0,13;0,00;0,00;297;37;181;24;16;525;131
2;79,15;96,70;0,00;0,00;0,00;0,10;0,00;0,00;285;159;111;20;39;645;272
3;47,07;-196,53;0,00;0,00;0,00;-0,20;0,00;0,00;437;162;185;13;24;818;483
4;36,33;-296,94;0,00;0,00;0,00;-0,30;0,00;0,00;268;145;113;48;34;622;693
5;65,37;-18,99;0,00;0,00;0,00;-0,02;0,00;0,00;255;163;62;40;28;417;198
6;68,58;7,76;0,00;0,00;0,00;0,01;0,00;0,00;436;181;130;32;17;879;183
7;56,76;-108,57;0,00;0,00;0,00;-0,11;0,00;0,00;271;42;135;13;34;797;138
8;77,97;103,91;0,00;0,00;0,00;0,10;0,00;0,00;144;28;133;46;30;332;408
9;26,32;-430,32;0,00;0,00;0,00;-0,43;0,00;0,00;449;46;151;31;17;685;424
10;19,05;-477,87;0,00;0,00;0,00;-0,48;0,00;0,00;464;134;107;12;22;854;332
11;25,32;-423,10;0,00;0,00;0,00;-0,42;0,00;0,00;108;28;89;33;39;423;165
12;58,41;-213,19;0,00;0,00;0,00;-0,21;0,00;0,00;368;151;13;15;35;124;871
13;57,48;-123,01;0,00;0,00;0,00;-0,12;0,00;0,00;446;85;136;39;20;821;397
14;27,48;-387,30;0,00;0,00;0,00;-0,39;0,00;0,00;362;89;157;26;24;384;380
15;64,41;-88,20;0,00;0,00;0,00;-0,09;0,00;0,00;291;13;190;48;15;385;548
16;36,61;-405,49;0,00;0,00;0,00;-0,41;0,00;0,00;414;113;156;48;31;796;179
17;77,72;107,99;0,00;0,00;0,00;0,11;0,00;0,00;190;103;95;35;27;895;794
18;13,42;-602,08;0,00;0,00;0,00;-0,60;0,00;0,00;199;150;128;29;20;701;788
19;56,75;-170,15;0,00;0,00;0,00;-0,17;0,00;0,00;182;58;73;47;31;518;225
20;58,07;-93,17;0,00;0,00;0,00;-0,09;0,00;0,00;364;121;61;29;16;750;171
21;38,62;-339,96;0,00;0,00;0,00;-0,34;0,00;0,00;190;153;67;17;18;324;153
22;68,63;-28,94;0,00;0,00;0,00;-0,03;0,00;0,00;17;186;146;30;21;507;893
23;60,12;-78,84;0,00;0,00;0,00;-0,08;0,00;0,00;345;100;151;39;23;163;787
24;86,02;210,47;0,00;0,00;0,00;0,21;0,00;0,00;474;96;36;44;23;764;474
25;60,01;-49,58;0,00;0,00;0,00;-0,05;0,00;0,00;389;34;103;23;36;639;826
26;83,42;135,00;0,00;0,00;0,00;0,14;0,00;0,00;417;134;14;25;34;549;328
27;34,84;-317,65;0,00;0,00;0,00;-0,32;0,00;0,00;32;30;142;37;26;513;541
28;59,01;-169,87;0,00;0,00;0,00;-0,17;0,00;0,00;98;98;65;13;29;166;425
29;32,47;-297,25;0,00;0,00;0,00;-0,30;0,00;0,00;148;63;194;26;29;554;716
30;69,92;-18,22;0,00;0,00;0,00;-0,02;0,00;0,00;18;57;167;47;29;269;648
31;49,75;-238,79;0,00;0,00;0,00;-0,24;0,00;0,00;445;40;79;39;27;633;109
32;75,50;64,84;0,00;0,00;0,00;0,06;0,00;0,00;78;197;26;18;21;235;974
33;57,49;-185,20;0,00;0,00;0,00;-0,19;0,00;0,00;416;135;143;17;34;868;582
34;44,79;-285,15;0,00;0,00;0,00;-0,29;0,00;0,00;398;70;39;43;39;347;851
35;13,31;-575,58;0,00;0,00;0,00;-0,58;0,00;0,00;406;95;45;15;17;737;418
36;36,41;-350,58;0,00;0,00;0,00;-0,35;0,00;0,00;302;80;116;22;23;817;422
37;21,40;-481,49;0,00;0,00;0,00;-0,48;0,00;0,00;96;117;173;23;37;718;703
38;19,42;-476,51;0,00;0,00;0,00;-0,48;0,00;0,00;306;129;108;15;16;411;662
39;37,79;-367,46;0,00;0,00;0,00;-0,37;0,00;0,00;260;182;108;30;31;429;198
40;7,43;-583,98;0,00;0,00;0,00;-0,58;0,00;0,00;88;81;154;21;21;781;998
41;55,58;-190,16;0,00;0,00;0,00;-0,19;0,00;0,00;301;57;18;17;37;632;515
42;35,07;-378,20;0,00;0,00;0,00;-0,38;0,00;0,00;93;119;36;26;34;798;594
43;23,96;-378,54;0,00;0,00;0,00;-0,38;0,00;0,00;20;25;53;33;30;697;637
44;36,72;-349,91;0,00;0,00;0,00;-0,35;0,00;0,00;473;179;155;24;38;813;396
45;67,29;-120,63;0,00;0,00;0,00;-0,12;0,00;0,00;460;150;164;13;24;730;805
46;35,34;-296,23;0,00;0,00;0,00;-0,30;0,00;0,00;194;139;138;25;21;739;420
47;36,24;-372,64;0,00;0,00;0,00;-0,37;0,00;0,00;463;87;150;43;19;230;144
48;49,11;-244,30;0,00;0,00;0,00;-0,24;0,00;0,00;486;77;104;45;21;828;592
49;37,44;-326,40;0,00;0,00;0,00;-0,33;0,00;0,00;415;180;25;16;19;915;958
50;65,48;-80,44;0,00;0,00;0,00;-0,08;0,00;0,00;467;100;73;49;27;931;925
51;57,09;-158,51;0,00;0,00;0,00;-0,16;0,00;0,00;209;120;196;32;34;550;147
52;69,86;19,06;0,00;0,00;0,00;0,02;0,00;0,00;409;35;150;39;19;702;770
53;67,05;-161,21;0,00;0,00;0,00;-0,16;0,00;0,00;487;119;15;15;21;325;711
54;65,86;-109,42;0,00;0,00;0,00;-0,11;0,00;0,00;72;157;97;15;34;959;459
55;15,05;-562,74;0,00;0,00;0,00;-0,56;0,00;0,00;444;171;170;36;35;665;550
56;81,86;195,02;0,00;0,00;0,00;0,20;0,00;0,00;471;151;105;26;26;361;215
57;38,47;-281,54;0,00;0,00;0,00;-0,28;0,00;0,00;445;18;56;17;27;932;854
58;28,11;-437,78;0,00;0,00;0,00;-0,44;0,00;0,00;352;63;51;18;19;464;291
59;21,64;-574,77;0,00;0,00;0,00;-0,57;0,00;0,00;69;87;119;30;30;174;136
60;80,44;38,49;0,00;0,00;0,00;0,04;0,00;0,00;251;105;19;43;19;355;605
61;13,88;-578,03;0,00;0,00;0,00;-0,58;0,00;0,00;35;167;147;48;30;152;159
62;58,72;-108,74;0,00;0,00;0,00;-0,11;0,00;0,00;329;188;87;33;15;541;112
63;76,30;14,27;0,00;0,00;0,00;0,01;0,00;0,00;328;84;150;33;21;588;834
64;65,15;-58,08;0,00;0,00;0,00;-0,06;0,00;0,00;254;171;198;29;18;843;924
65;36,96;-251,85;0,00;0,00;0,00;-0,25;0,00;0,00;109;38;166;37;31;294;488
66;38,54;-375,87;0,00;0,00;0,00;-0,38;0,00;0,00;340;179;144;27;17;901;444
67;6,14;-604,45;0,00;0,00;0,00;-0,60;0,00;0,00;304;188;166;13;32;993;881
68;44,15;-338,76;0,00;0,00;0,00;-0,34;0,00;0,00;208;32;191;43;39;182;924
69;42,53;-366,50;0,00;0,00;0,00;-0,37;0,00;0,00;361;144;164;20;30;638;142
70;10,68;-531,31;0,00;0,00;0,00;-0,53;0,00;0,00;305;137;127;45;30;807;377
71;26,42;-420,53;0,00;0,00;0,00;-0,42;0,00;0,00;268;118;160;44;15;658;945
72;63,80;-16,99;0,00;0,00;0,00;-0,02;0,00;0,00;178;181;78;46;25;681;751
73;49,47;-112,13;0,00;0,00;0,00;-0,11;0,00;0,00;138;18;19;47;25;435;741
74;67,59;-121,28;0,00;0,00;0,00;-0,12;0,00;0,00;147;92;144;11;25;491;672
75;55,82;-198,15;0,00;0,00;0,00;-0,20;0,00;0,00;78;18;196;40;19;580;304
76;76,10;74,58;0,00;0,00;0,00;0,07;0,00;0,00;322;143;130;10;36;602;491
77;17,95;-561,04;0,00;0,00;0,00;-0,56;0,00;0,00;335;165;141;21;17;607;732
78;89,92;211,31;0,00;0,00;0,00;0,21;0,00;0,00;154;194;172;48;22;803;503
79;26,07;-539,91;0,00;0,00;0,00;-0,54;0,00;0,00;109;195;30;34;20;857;604
80;59,94;-110,14;0,00;0,00;0,00;-0,11;0,00;0,00;461;69;135;45;30;459;798
81;34,84;-293,16;0,00;0,00;0,00;-0,29;0,00;0,00;88;120;92;38;31;834;922
82;1,61;-679,75;0,00;0,00;0,00;-0,68;0,00;0,00;20;158;124;41;23;862;739
83;84,11;127,71;0,00;0,00;0,00;0,13;0,00;0,00;185;174;26;15;28;786;617
84;27,60;-373,92;0,00;0,00;0,00;-0,37;0,00;0,00;295;82;135;35;35;291;467
85;40,41;-321,47;0,00;0,00;0,00;-0,32;0,00;0,00;15;92;44;43;38;797;181
86;24,47;-472,97;0,00;0,00;0,00;-0,47;0,00;0,00;426;170;196;13;34;121;746
87;50,74;-186,70;0,00;0,00;0,00;-0,19;0,00;0,00;400;63;22;16;37;477;472
