Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;27,25;-231,13;0,00;0,00;0,00;-0,23;0,00;0,00;34;150;98;38;19;872;349
2;53,63;32,35;0,00;0,00;0,00;0,03;0,00;0,00;77;54;118;42;29;904;851
3;54,92;-1,46;0,00;0,00;0,00;-0,00;0,00;0,00;77;193;135;38;35;556;207
4;57,47;127,22;0,00;0,00;0,00;0,13;0,00;0,00;166;130;155;25;17;304;999
5;59,66;188,84;0,00;0,00;0,00;0,19;0,00;0,00;103;187;108;41;33;493;622
6;66,66;169,98;0,00;0,00;0,00;0,17;0,00;0,00;143;102;71;49;37;136;976
7;48,47;18,70;0,00;0,00;0,00;0,02;0,00;0,00;364;124;19;16;33;683;797
8;53,76;68,69;0,00;0,00;0,00;0,07;0,00;0,00;388;87;69;19;39;862;898
9;20,66;-305,51;0,00;0,00;0,00;-0,31;0,00;0,00;163;68;116;33;25;762;340
10;47,80;-54,39;0,00;0,00;0,00;-0,05;0,00;0,00;487;162;75;49;23;792;965
11;60,45;41,79;0,00;0,00;0,00;0,04;0,00;0,00;106;147;16;39;17;990;977
12;64,80;184,96;0,00;0,00;0,00;0,18;0,00;0,00;236;163;12;32;20;981;795
13;60,42;110,48;0,00;0,00;0,00;0,11;0,00;0,00;349;155;83;41;34;989;624
14;25,30;-192,42;0,00;0,00;0,00;-0,19;0,00;0,00;314;106;68;38;32;895;407
15;54,29;63,69;0,00;0,00;0,00;0,06;0,00;0,00;305;60;66;13;17;714;950
16;46,35;-87,92;0,00;0,00;0,00;-0,09;0,00;0,00;203;54;194;17;33;918;987
17;35,32;-132,17;0,00;0,00;0,00;-0,13;0,00;0,00;493;163;189;39;24;224;123
18;76,26;248,81;0,00;0,00;0,00;0,25;0,00;0,00;63;185;191;43;35;479;850
19;28,22;-319,12;0,00;0,00;0,00;-0,32;0,00;0,00;446;98;136;42;22;363;920
20;59,54;66,27;0,00;0,00;0,00;0,07;0,00;0,00;463;180;107;18;28;396;447
21;82,33;295,91;0,00;0,00;0,00;0,30;0,00;0,00;31;126;129;21;29;516;637
22;40,93;8,56;0,00;0,00;0,00;0,01;0,00;0,00;497;144;143;20;37;697;951
23;39,96;-136,00;0,00;0,00;0,00;-0,14;0,00;0,00;303;92;92;20;18;928;737
24;58,37;132,09;0,00;0,00;0,00;0,13;0,00;0,00;206;104;134;16;16;852;290
25;47,26;-45,96;0,00;0,00;0,00;-0,05;0,00;0,00;47;92;50;10;16;165;272
26;48,12;-77,11;0,00;0,00;0,00;-0,08;0,00;0,00;254;184;129;33;26;453;452
27;47,54;-125,90;0,00;0,00;0,00;-0,13;0,00;0,00;49;115;191;33;18;986;307
28;45,02;-80,13;0,00;0,00;0,00;-0,08;0,00;0,00;318;13;154;11;23;747;162
29;58,55;67,03;0,00;0,00;0,00;0,07;0,00;0,00;281;87;172;33;20;582;343
30;51,91;36,02;0,00;0,00;0,00;0,04;0,00;0,00;128;72;193;41;23;350;790
31;43,70;-60,95;0,00;0,00;0,00;-0,06;0,00;0,00;406;78;143;33;15;199;988
32;40,50;-86,16;0,00;0,00;0,00;-0,09;0,00;0,00;166;147;45;42;34;781;432
33;40,24;-123,15;0,00;0,00;0,00;-0,12;0,00;0,00;196;52;77;31;37;222;215
