Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;65,83;-42,52;0,00;0,00;0,00;-0,04;0,00;0,00;51;37;181;24;16;525;131
2;61,22;-82,18;0,00;0,00;0,00;-0,08;0,00;0,00;471;159;111;20;39;645;272
3;30,02;-319,09;0,00;0,00;0,00;-0,32;0,00;0,00;297;162;185;13;24;818;483
4;21,64;-465,25;0,00;0,00;0,00;-0,47;0,00;0,00;71;145;113;48;34;622;693
5;56,32;-120,45;0,00;0,00;0,00;-0,12;0,00;0,00;141;163;62;40;28;417;198
6;68,64;60,51;0,00;0,00;0,00;0,06;0,00;0,00;431;181;130;32;17;879;183
7;81,81;196,79;0,00;0,00;0,00;0,20;0,00;0,00;75;42;135;13;34;797;138
8;42,70;-281,95;0,00;0,00;0,00;-0,28;0,00;0,00;316;28;133;46;30;332;408
9;24,61;-423,14;0,00;0,00;0,00;-0,42;0,00;0,00;416;46;151;31;17;685;424
10;28,85;-417,44;0,00;0,00;0,00;-0,42;0,00;0,00;169;134;107;12;22;854;332
11;0,00;-655,35;0,00;0,00;0,00;-0,66;0,00;0,00;360;28;89;33;39;423;165
12;43,01;-213,80;0,00;0,00;0,00;-0,21;0,00;0,00;107;151;13;15;35;124;871
13;32,97;-238,87;0,00;0,00;0,00;-0,24;0,00;0,00;324;85;136;39;20;821;397
14;62,77;-49,24;0,00;0,00;0,00;-0,05;0,00;0,00;476;89;157;26;24;384;380
15;80,41;66,78;0,00;0,00;0,00;0,07;0,00;0,00;221;13;190;48;15;385;548
16;3,40;-656,60;0,00;0,00;0,00;-0,66;0,00;0,00;229;113;156;48;31;796;179
17;67,89;-11,25;0,00;0,00;0,00;-0,01;0,00;0,00;305;103;95;35;27;895;794
18;32,80;-351,33;0,00;0,00;0,00;-0,35;0,00;0,00;135;150;128;29;20;701;788
19;77,49;154,31;0,00;0,00;0,00;0,15;0,00;0,00;353;58;73;47;31;518;225
20;15,54;-474,49;0,00;0,00;0,00;-0,47;0,00;0,00;368;121;61;29;16;750;171
21;56,16;-145,54;0,00;0,00;0,00;-0,15;0,00;0,00;288;153;67;17;18;324;153
22;79,94;85,12;0,00;0,00;0,00;0,09;0,00;0,00;67;186;146;30;21;507;893
23;27,91;-308,38;0,00;0,00;0,00;-0,31;0,00;0,00;436;100;151;39;23;163;787
24;37,31;-369,32;0,00;0,00;0,00;-0,37;0,00;0,00;135;96;36;44;23;764;474
