Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;39,24;-217,05;0,00;0,00;0,00;-0,22;0,00;0,00;316;140;81;44;17;705;176
2;17,06;-563,30;0,00;0,00;0,00;-0,56;0,00;0,00;322;16;151;17;36;686;828
3;0,00;-755,19;0,00;0,00;0,00;-0,76;0,00;0,00;187;180;51;29;18;720;386
4;100,00;328,37;0,00;0,00;0,00;0,33;0,00;0,00;31;131;38;46;16;367;374
5;55,71;-82,66;0,00;0,00;0,00;-0,08;0,00;0,00;314;73;30;17;22;506;767
6;80,43;135,85;0,00;0,00;0,00;0,14;0,00;0,00;42;51;174;28;16;169;468
7;44,29;-237,22;0,00;0,00;0,00;-0,24;0,00;0,00;441;178;179;40;35;318;875
8;64,98;-105,60;0,00;0,00;0,00;-0,11;0,00;0,00;65;55;150;45;33;669;928
9;22,90;-479,31;0,00;0,00;0,00;-0,48;0,00;0,00;282;102;44;45;31;564;407
10;61,12;-71,51;0,00;0,00;0,00;-0,07;0,00;0,00;89;192;83;49;33;948;183
11;57,71;-85,45;0,00;0,00;0,00;-0,09;0,00;0,00;485;157;72;30;30;889;394
12;23,37;-450,08;0,00;0,00;0,00;-0,45;0,00;0,00;153;159;120;35;36;597;985
13;33,00;-357,29;0,00;0,00;0,00;-0,36;0,00;0,00;102;63;61;24;24;775;998
14;64,43;-143,35;0,00;0,00;0,00;-0,14;0,00;0,00;229;170;194;29;30;890;525
15;57,51;-166,48;0,00;0,00;0,00;-0,17;0,00;0,00;158;182;160;12;25;960;541
16;23,80;-433,69;0,00;0,00;0,00;-0,43;0,00;0,00;443;168;161;41;36;606;633
17;59,46;-148,51;0,00;0,00;0,00;-0,15;0,00;0,00;173;74;172;26;18;561;522
18;90,84;245,92;0,00;0,00;0,00;0,25;0,00;0,00;159;176;43;45;15;982;614
19;57,05;-104,87;0,00;0,00;0,00;-0,10;0,00;0,00;349;90;167;30;26;995;705
20;44,62;-194,31;0,00;0,00;0,00;-0,19;0,00;0,00;182;127;60;49;36;202;227
21;69,56;-40,77;0,00;0,00;0,00;-0,04;0,00;0,00;167;126;179;26;20;652;249
22;35,63;-268,32;0,00;0,00;0,00;-0,27;0,00;0,00;332;120;55;46;28;294;574
23;17,76;-574,45;0,00;0,00;0,00;-0,57;0,00;0,00;442;139;185;30;27;249;144
24;64,31;37,04;0,00;0,00;0,00;0,04;0,00;0,00;310;144;143;37;36;818;451
25;48,85;-243,05;0,00;0,00;0,00;-0,24;0,00;0,00;155;57;83;28;35;142;189
26;47,74;-148,10;0,00;0,00;0,00;-0,15;0,00;0,00;297;61;185;21;16;627;705
27;24,58;-505,98;0,00;0,00;0,00;-0,51;0,00;0,00;62;66;176;12;17;225;358
28;29,33;-356,21;0,00;0,00;0,00;-0,36;0,00;0,00;409;179;173;47;19;455;489
29;39,43;-310,55;0,00;0,00;0,00;-0,31;0,00;0,00;131;131;16;42;28;156;641
30;72,01;70,89;0,00;0,00;0,00;0,07;0,00;0,00;49;170;79;47;32;364;998
31;30,56;-328,87;0,00;0,00;0,00;-0,33;0,00;0,00;74;140;180;33;24;388;626
32;70,13;87,83;0,00;0,00;0,00;0,09;0,00;0,00;337;174;72;44;37;949;222
33;70,82;19,95;0,00;0,00;0,00;0,02;0,00;0,00;143;112;142;36;18;467;748
34;58,51;-32,43;0,00;0,00;0,00;-0,03;0,00;0,00;341;146;148;49;23;739;339
35;25,50;-471,77;0,00;0,00;0,00;-0,47;0,00;0,00;283;171;52;28;27;980;233
36;43,22;-372,31;0,00;0,00;0,00;-0,37;0,00;0,00;119;148;184;15;23;109;334
37;98,21;251,32;0,00;0,00;0,00;0,25;0,00;0,00;141;152;175;38;19;218;529
38;69,44;-54,01;0,00;0,00;0,00;-0,05;0,00;0,00;366;88;187;13;15;759;141
39;79,67;60,28;0,00;0,00;0,00;0,06;0,00;0,00;267;189;146;45;31;367;574
40;0,00;-738,55;0,00;0,00;0,00;-0,74;0,00;0,00;193;44;109;16;37;960;597
41;80,68;144,98;0,00;0,00;0,00;0,14;0,00;0,00;433;66;71;47;31;318;831
