Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,25;-197,79;0,00;0,00;0,00;-0,20;0,00;0,00;260;150;98;38;19;872;349
2;56,93;91,21;0,00;0,00;0,00;0,09;0,00;0,00;10;54;118;42;29;904;851
3;64,48;188,90;0,00;0,00;0,00;0,19;0,00;0,00;278;193;135;38;35;556;207
4;58,81;82,53;0,00;0,00;0,00;0,08;0,00;0,00;370;130;155;25;17;304;999
5;59,91;96,68;0,00;0,00;0,00;0,10;0,00;0,00;168;187;108;41;33;493;622
6;59,26;59,70;0,00;0,00;0,00;0,06;0,00;0,00;247;102;71;49;37;136;976
7;51,06;-11,96;0,00;0,00;0,00;-0,01;0,00;0,00;264;124;19;16;33;683;797
8;60,21;34,75;0,00;0,00;0,00;0,03;0,00;0,00;437;87;69;19;39;862;898
9;27,33;-224,47;0,00;0,00;0,00;-0,22;0,00;0,00;21;68;116;33;25;762;340
10;47,92;-125,45;0,00;0,00;0,00;-0,13;0,00;0,00;39;162;75;49;23;792;965
11;58,26;121,64;0,00;0,00;0,00;0,12;0,00;0,00;220;147;16;39;17;990;977
12;51,72;9,47;0,00;0,00;0,00;0,01;0,00;0,00;34;163;12;32;20;981;795
13;61,47;88,00;0,00;0,00;0,00;0,09;0,00;0,00;366;155;83;41;34;989;624
14;24,54;-172,57;0,00;0,00;0,00;-0,17;0,00;0,00;364;106;68;38;32;895;407
15;49,92;-56,10;0,00;0,00;0,00;-0,06;0,00;0,00;464;60;66;13;17;714;950
16;35,18;-175,89;0,00;0,00;0,00;-0,18;0,00;0,00;364;54;194;17;33;918;987
17;24,34;-274,33;0,00;0,00;0,00;-0,27;0,00;0,00;371;163;189;39;24;224;123
18;74,97;330,54;0,00;0,00;0,00;0,33;0,00;0,00;309;185;191;43;35;479;850
19;24,46;-237,71;0,00;0,00;0,00;-0,24;0,00;0,00;365;98;136;42;22;363;920
20;50,03;49,89;0,00;0,00;0,00;0,05;0,00;0,00;381;180;107;18;28;396;447
21;70,97;204,24;0,00;0,00;0,00;0,20;0,00;0,00;80;126;129;21;29;516;637
22;36,26;-156,07;0,00;0,00;0,00;-0,16;0,00;0,00;251;144;143;20;37;697;951
23;50,28;-97,49;0,00;0,00;0,00;-0,10;0,00;0,00;402;92;92;20;18;928;737
24;58,80;83,45;0,00;0,00;0,00;0,08;0,00;0,00;113;104;134;16;16;852;290
25;46,35;-15,42;0,00;0,00;0,00;-0,02;0,00;0,00;122;92;50;10;16;165;272
26;47,92;-55,79;0,00;0,00;0,00;-0,06;0,00;0,00;358;184;129;33;26;453;452
27;40,91;-115,17;0,00;0,00;0,00;-0,12;0,00;0,00;437;115;191;33;18;986;307
28;54,19;9,50;0,00;0,00;0,00;0,01;0,00;0,00;18;13;154;11;23;747;162
29;48,71;42,92;0,00;0,00;0,00;0,04;0,00;0,00;31;87;172;33;20;582;343
30;48,90;6,24;0,00;0,00;0,00;0,01;0,00;0,00;271;72;193;41;23;350;790
31;59,89;61,08;0,00;0,00;0,00;0,06;0,00;0,00;474;78;143;33;15;199;988
32;30,45;-208,67;0,00;0,00;0,00;-0,21;0,00;0,00;286;147;45;42;34;781;432
33;49,22;-3,92;0,00;0,00;0,00;-0,00;0,00;0,00;43;52;77;31;37;222;215
34;46,20;-53,36;0,00;0,00;0,00;-0,05;0,00;0,00;349;112;198;13;24;547;233
35;41,89;-18,48;0,00;0,00;0,00;-0,02;0,00;0,00;359;165;184;14;32;307;808
36;58,00;215,50;0,00;0,00;0,00;0,22;0,00;0,00;312;71;115;30;17;384;888
37;41,65;-47,01;0,00;0,00;0,00;-0,05;0,00;0,00;436;180;129;38;34;661;192
38;54,57;75,03;0,00;0,00;0,00;0,08;0,00;0,00;458;154;119;21;23;995;955
39;100,00;452,12;0,00;0,00;0,00;0,45;0,00;0,00;488;146;46;45;20;260;861
40;60,39;180,32;0,00;0,00;0,00;0,18;0,00;0,00;319;27;199;48;34;789;634
41;44,04;-45,19;0,00;0,00;0,00;-0,05;0,00;0,00;279;32;40;28;29;230;716
42;36,89;-95,59;0,00;0,00;0,00;-0,10;0,00;0,00;299;14;54;11;18;381;314
43;49,77;-15,70;0,00;0,00;0,00;-0,02;0,00;0,00;23;181;194;23;28;950;468
44;64,21;118,40;0,00;0,00;0,00;0,12;0,00;0,00;409;47;187;32;33;846;657
45;36,00;-133,30;0,00;0,00;0,00;-0,13;0,00;0,00;465;64;151;44;27;529;191
46;53,53;5,55;0,00;0,00;0,00;0,01;0,00;0,00;243;115;63;37;34;555;583
47;73,90;251,56;0,00;0,00;0,00;0,25;0,00;0,00;405;79;182;45;18;705;798
48;32,92;-160,83;0,00;0,00;0,00;-0,16;0,00;0,00;34;14;24;27;35;391;136
49;34,75;-123,62;0,00;0,00;0,00;-0,12;0,00;0,00;59;54;29;36;28;679;584
50;25,43;-300,97;0,00;0,00;0,00;-0,30;0,00;0,00;265;148;123;26;30;797;642
51;41,64;-53,92;0,00;0,00;0,00;-0,05;0,00;0,00;323;38;132;26;31;166;319
52;46,56;-24,65;0,00;0,00;0,00;-0,02;0,00;0,00;29;108;191;23;24;680;859
53;50,88;-14,78;0,00;0,00;0,00;-0,01;0,00;0,00;471;71;33;46;34;354;451
54;36,41;-142,89;0,00;0,00;0,00;-0,14;0,00;0,00;477;178;27;30;29;333;773
55;89,54;303,26;0,00;0,00;0,00;0,30;0,00;0,00;153;158;99;17;37;221;779
56;46,85;-45,86;0,00;0,00;0,00;-0,05;0,00;0,00;132;49;45;37;16;312;524
57;44,17;-60,66;0,00;0,00;0,00;-0,06;0,00;0,00;458;89;62;19;16;338;211
58;64,88;103,14;0,00;0,00;0,00;0,10;0,00;0,00;425;87;147;41;21;859;128
59;47,07;12,41;0,00;0,00;0,00;0,01;0,00;0,00;404;114;166;29;24;876;982
60;76,99;226,08;0,00;0,00;0,00;0,23;0,00;0,00;276;78;123;45;15;652;658
61;45,56;-86,87;0,00;0,00;0,00;-0,09;0,00;0,00;276;32;41;37;27;435;572
62;51,83;-3,82;0,00;0,00;0,00;-0,00;0,00;0,00;294;13;155;43;21;424;944
63;49,43;52,65;0,00;0,00;0,00;0,05;0,00;0,00;288;15;35;37;31;883;823
64;27,46;-261,36;0,00;0,00;0,00;-0,26;0,00;0,00;72;188;126;12;21;907;771
65;42,38;-102,68;0,00;0,00;0,00;-0,10;0,00;0,00;476;82;28;11;38;367;689
66;79,95;331,05;0,00;0,00;0,00;0,33;0,00;0,00;62;46;171;38;38;138;225
67;49,68;49,33;0,00;0,00;0,00;0,05;0,00;0,00;118;113;67;41;32;952;406
68;52,38;-12,67;0,00;0,00;0,00;-0,01;0,00;0,00;30;194;161;48;24;488;117
69;16,08;-425,46;0,00;0,00;0,00;-0,43;0,00;0,00;92;70;75;20;36;336;797
70;56,99;21,95;0,00;0,00;0,00;0,02;0,00;0,00;174;111;163;22;20;803;647
71;46,62;11,51;0,00;0,00;0,00;0,01;0,00;0,00;418;26;113;17;22;779;976
72;57,31;106,93;0,00;0,00;0,00;0,11;0,00;0,00;264;199;87;45;21;680;177
73;48,54;21,66;0,00;0,00;0,00;0,02;0,00;0,00;341;139;88;33;22;426;914
74;43,35;-112,74;0,00;0,00;0,00;-0,11;0,00;0,00;319;160;144;31;33;199;488
75;38,91;-86,38;0,00;0,00;0,00;-0,09;0,00;0,00;382;55;112;24;16;699;779
76;61,85;123,54;0,00;0,00;0,00;0,12;0,00;0,00;259;60;16;46;38;131;934
77;70,68;294,05;0,00;0,00;0,00;0,29;0,00;0,00;154;10;20;34;16;598;528
78;54,46;2,61;0,00;0,00;0,00;0,00;0,00;0,00;253;79;114;34;24;213;324
