Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;51,55;-143,25;0,00;0,00;0,00;-0,14;0,00;0,00;401;140;81;44;17;705;176
2;45,61;-239,49;0,00;0,00;0,00;-0,24;0,00;0,00;295;16;151;17;36;686;828
3;0,65;-659,40;0,00;0,00;0,00;-0,66;0,00;0,00;391;180;51;29;18;720;386
4;82,79;142,07;0,00;0,00;0,00;0,14;0,00;0,00;22;131;38;46;16;367;374
5;76,55;33,76;0,00;0,00;0,00;0,03;0,00;0,00;285;73;30;17;22;506;767
6;13,33;-593,37;0,00;0,00;0,00;-0,59;0,00;0,00;204;51;174;28;16;169;468
7;86,63;146,49;0,00;0,00;0,00;0,15;0,00;0,00;382;178;179;40;35;318;875
8;30,72;-407,89;0,00;0,00;0,00;-0,41;0,00;0,00;336;55;150;45;33;669;928
9;63,39;-59,36;0,00;0,00;0,00;-0,06;0,00;0,00;91;102;44;45;31;564;407
10;68,67;55,02;0,00;0,00;0,00;0,06;0,00;0,00;238;192;83;49;33;948;183
11;61,00;-120,19;0,00;0,00;0,00;-0,12;0,00;0,00;37;157;72;30;30;889;394
12;59,66;-114,75;0,00;0,00;0,00;-0,11;0,00;0,00;66;159;120;35;36;597;985
13;27,09;-498,08;0,00;0,00;0,00;-0,50;0,00;0,00;99;63;61;24;24;775;998
14;64,70;-77,02;0,00;0,00;0,00;-0,08;0,00;0,00;160;170;194;29;30;890;525
15;20,24;-503,37;0,00;0,00;0,00;-0,50;0,00;0,00;54;182;160;12;25;960;541
16;19,33;-480,26;0,00;0,00;0,00;-0,48;0,00;0,00;64;168;161;41;36;606;633
17;63,46;-116,52;0,00;0,00;0,00;-0,12;0,00;0,00;173;74;172;26;18;561;522
18;85,83;217,95;0,00;0,00;0,00;0,22;0,00;0,00;204;176;43;45;15;982;614
19;41,17;-372,58;0,00;0,00;0,00;-0,37;0,00;0,00;379;90;167;30;26;995;705
20;11,45;-565,45;0,00;0,00;0,00;-0,57;0,00;0,00;390;127;60;49;36;202;227
21;62,05;-49,39;0,00;0,00;0,00;-0,05;0,00;0,00;319;126;179;26;20;652;249
22;60,64;-133,01;0,00;0,00;0,00;-0,13;0,00;0,00;156;120;55;46;28;294;574
23;35,92;-337,10;0,00;0,00;0,00;-0,34;0,00;0,00;241;139;185;30;27;249;144
24;60,74;-65,94;0,00;0,00;0,00;-0,07;0,00;0,00;490;144;143;37;36;818;451
25;84,36;97,10;0,00;0,00;0,00;0,10;0,00;0,00;418;57;83;28;35;142;189
26;58,41;-156,71;0,00;0,00;0,00;-0,16;0,00;0,00;19;61;185;21;16;627;705
27;38,92;-338,96;0,00;0,00;0,00;-0,34;0,00;0,00;190;66;176;12;17;225;358
28;25,07;-495,42;0,00;0,00;0,00;-0,50;0,00;0,00;176;179;173;47;19;455;489
29;38,93;-247,89;0,00;0,00;0,00;-0,25;0,00;0,00;73;131;16;42;28;156;641
30;75,86;107,22;0,00;0,00;0,00;0,11;0,00;0,00;327;170;79;47;32;364;998
31;14,64;-500,04;0,00;0,00;0,00;-0,50;0,00;0,00;169;140;180;33;24;388;626
32;64,14;-117,25;0,00;0,00;0,00;-0,12;0,00;0,00;67;174;72;44;37;949;222
33;67,42;82,58;0,00;0,00;0,00;0,08;0,00;0,00;493;112;142;36;18;467;748
34;61,87;-50,66;0,00;0,00;0,00;-0,05;0,00;0,00;465;146;148;49;23;739;339
35;15,13;-622,75;0,00;0,00;0,00;-0,62;0,00;0,00;294;171;52;28;27;980;233
36;55,45;-105,23;0,00;0,00;0,00;-0,11;0,00;0,00;110;148;184;15;23;109;334
37;84,96;245,25;0,00;0,00;0,00;0,25;0,00;0,00;385;152;175;38;19;218;529
38;86,83;180,65;0,00;0,00;0,00;0,18;0,00;0,00;132;88;187;13;15;759;141
39;60,41;-59,42;0,00;0,00;0,00;-0,06;0,00;0,00;264;189;146;45;31;367;574
40;58,72;-65,55;0,00;0,00;0,00;-0,07;0,00;0,00;180;44;109;16;37;960;597
41;63,63;-122,47;0,00;0,00;0,00;-0,12;0,00;0,00;118;66;71;47;31;318;831
42;4,63;-656,39;0,00;0,00;0,00;-0,66;0,00;0,00;297;115;88;33;29;217;588
43;39,10;-331,44;0,00;0,00;0,00;-0,33;0,00;0,00;38;91;90;30;33;384;548
44;42,28;-195,46;0,00;0,00;0,00;-0,20;0,00;0,00;149;155;174;42;38;651;674
45;39,59;-326,74;0,00;0,00;0,00;-0,33;0,00;0,00;292;148;121;16;21;638;478
46;79,32;50,94;0,00;0,00;0,00;0,05;0,00;0,00;493;143;48;41;21;529;359
47;99,41;336,11;0,00;0,00;0,00;0,34;0,00;0,00;50;83;34;44;27;952;622
48;41,62;-212,18;0,00;0,00;0,00;-0,21;0,00;0,00;181;79;43;21;27;113;306
49;80,16;156,81;0,00;0,00;0,00;0,16;0,00;0,00;121;75;116;13;39;799;411
50;31,58;-382,18;0,00;0,00;0,00;-0,38;0,00;0,00;246;104;62;33;21;693;195
51;55,19;-195,55;0,00;0,00;0,00;-0,20;0,00;0,00;375;196;38;24;37;583;727
52;38,51;-384,93;0,00;0,00;0,00;-0,38;0,00;0,00;440;19;28;48;35;557;461
53;49,77;-192,73;0,00;0,00;0,00;-0,19;0,00;0,00;94;69;119;22;33;133;189
54;20,59;-445,40;0,00;0,00;0,00;-0,45;0,00;0,00;166;87;136;12;33;357;559
55;90,59;228,63;0,00;0,00;0,00;0,23;0,00;0,00;320;34;119;38;38;101;231
56;9,92;-647,88;0,00;0,00;0,00;-0,65;0,00;0,00;346;128;143;34;31;684;975
57;70,32;32,18;0,00;0,00;0,00;0,03;0,00;0,00;273;129;166;41;33;868;601
58;35,50;-294,24;0,00;0,00;0,00;-0,29;0,00;0,00;219;108;62;18;20;434;796
59;66,50;-2,15;0,00;0,00;0,00;-0,00;0,00;0,00;267;68;170;20;26;893;428
60;52,06;-192,54;0,00;0,00;0,00;-0,19;0,00;0,00;466;17;162;20;30;324;495
61;1,53;-671,99;0,00;0,00;0,00;-0,67;0,00;0,00;407;183;30;31;15;867;233
62;31,18;-369,21;0,00;0,00;0,00;-0,37;0,00;0,00;117;164;120;27;37;826;798
63;80,03;127,69;0,00;0,00;0,00;0,13;0,00;0,00;483;64;121;26;37;617;659
64;73,25;-62,34;0,00;0,00;0,00;-0,06;0,00;0,00;495;94;12;47;22;399;608
65;36,82;-316,95;0,00;0,00;0,00;-0,32;0,00;0,00;472;162;178;30;17;400;553
66;73,53;-11,13;0,00;0,00;0,00;-0,01;0,00;0,00;413;150;24;41;35;408;499
67;38,12;-284,73;0,00;0,00;0,00;-0,28;0,00;0,00;498;30;182;24;22;649;932
68;79,44;76,35;0,00;0,00;0,00;0,08;0,00;0,00;385;145;24;34;35;606;628
69;40,68;-295,05;0,00;0,00;0,00;-0,30;0,00;0,00;280;13;113;11;32;216;111
70;84,06;130,28;0,00;0,00;0,00;0,13;0,00;0,00;246;189;107;29;26;569;552
71;70,50;-26,62;0,00;0,00;0,00;-0,03;0,00;0,00;229;157;48;38;18;143;358
72;22,92;-540,63;0,00;0,00;0,00;-0,54;0,00;0,00;64;50;159;44;28;668;128
73;64,82;-95,10;0,00;0,00;0,00;-0,10;0,00;0,00;157;127;48;17;24;820;322
74;62,08;-76,63;0,00;0,00;0,00;-0,08;0,00;0,00;259;85;65;30;18;841;544
