Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;30,61;-204,90;0,00;0,00;0,00;-0,20;0,00;0,00;144;150;98;38;19;872;349
2;57,36;62,78;0,00;0,00;0,00;0,06;0,00;0,00;299;54;118;42;29;904;851
3;63,49;53,88;0,00;0,00;0,00;0,05;0,00;0,00;494;193;135;38;35;556;207
4;61,28;60,06;0,00;0,00;0,00;0,06;0,00;0,00;285;130;155;25;17;304;999
5;49,36;-34,58;0,00;0,00;0,00;-0,03;0,00;0,00;446;187;108;41;33;493;622
6;44,52;-61,59;0,00;0,00;0,00;-0,06;0,00;0,00;97;102;71;49;37;136;976
7;48,18;-62,10;0,00;0,00;0,00;-0,06;0,00;0,00;149;124;19;16;33;683;797
8;49,26;-10,89;0,00;0,00;0,00;-0,01;0,00;0,00;254;87;69;19;39;862;898
9;31,16;-124,83;0,00;0,00;0,00;-0,12;0,00;0,00;176;68;116;33;25;762;340
10;50,98;106,68;0,00;0,00;0,00;0,11;0,00;0,00;462;162;75;49;23;792;965
11;59,39;100,73;0,00;0,00;0,00;0,10;0,00;0,00;140;147;16;39;17;990;977
12;52,42;10,19;0,00;0,00;0,00;0,01;0,00;0,00;32;163;12;32;20;981;795
13;57,22;153,16;0,00;0,00;0,00;0,15;0,00;0,00;169;155;83;41;34;989;624
14;17,14;-309,94;0,00;0,00;0,00;-0,31;0,00;0,00;46;106;68;38;32;895;407
15;49,92;24,48;0,00;0,00;0,00;0,02;0,00;0,00;260;60;66;13;17;714;950
16;40,98;-65,42;0,00;0,00;0,00;-0,07;0,00;0,00;331;54;194;17;33;918;987
17;24,05;-216,49;0,00;0,00;0,00;-0,22;0,00;0,00;319;163;189;39;24;224;123
18;74,82;280,75;0,00;0,00;0,00;0,28;0,00;0,00;80;185;191;43;35;479;850
19;35,08;-153,13;0,00;0,00;0,00;-0,15;0,00;0,00;276;98;136;42;22;363;920
20;45,95;-92,36;0,00;0,00;0,00;-0,09;0,00;0,00;347;180;107;18;28;396;447
21;77,87;249,38;0,00;0,00;0,00;0,25;0,00;0,00;373;126;129;21;29;516;637
22;47,24;-26,97;0,00;0,00;0,00;-0,03;0,00;0,00;99;144;143;20;37;697;951
23;34,68;-116,13;0,00;0,00;0,00;-0,12;0,00;0,00;170;92;92;20;18;928;737
24;48,94;44,47;0,00;0,00;0,00;0,04;0,00;0,00;352;104;134;16;16;852;290
25;42,68;-41,52;0,00;0,00;0,00;-0,04;0,00;0,00;40;92;50;10;16;165;272
26;45,70;-107,63;0,00;0,00;0,00;-0,11;0,00;0,00;209;184;129;33;26;453;452
27;40,86;-8,16;0,00;0,00;0,00;-0,01;0,00;0,00;267;115;191;33;18;986;307
28;38,39;-107,78;0,00;0,00;0,00;-0,11;0,00;0,00;425;13;154;11;23;747;162
29;53,59;65,95;0,00;0,00;0,00;0,07;0,00;0,00;400;87;172;33;20;582;343
30;49,94;41,23;0,00;0,00;0,00;0,04;0,00;0,00;123;72;193;41;23;350;790
31;50,90;-37,82;0,00;0,00;0,00;-0,04;0,00;0,00;491;78;143;33;15;199;988
32;31,45;-121,71;0,00;0,00;0,00;-0,12;0,00;0,00;469;147;45;42;34;781;432
33;47,95;3,93;0,00;0,00;0,00;0,00;0,00;0,00;183;52;77;31;37;222;215
34;45,42;-27,48;0,00;0,00;0,00;-0,03;0,00;0,00;73;112;198;13;24;547;233
35;41,87;-38,38;0,00;0,00;0,00;-0,04;0,00;0,00;76;165;184;14;32;307;808
36;61,38;169,80;0,00;0,00;0,00;0,17;0,00;0,00;487;71;115;30;17;384;888
37;46,43;10,03;0,00;0,00;0,00;0,01;0,00;0,00;485;180;129;38;34;661;192
38;59,16;56,28;0,00;0,00;0,00;0,06;0,00;0,00;181;154;119;21;23;995;955
39;93,31;462,70;0,00;0,00;0,00;0,46;0,00;0,00;48;146;46;45;20;260;861
40;61,97;108,23;0,00;0,00;0,00;0,11;0,00;0,00;167;27;199;48;34;789;634
41;44,89;-119,89;0,00;0,00;0,00;-0,12;0,00;0,00;401;32;40;28;29;230;716
42;39,38;-116,68;0,00;0,00;0,00;-0,12;0,00;0,00;483;14;54;11;18;381;314
43;54,12;45,29;0,00;0,00;0,00;0,05;0,00;0,00;485;181;194;23;28;950;468
44;64,64;164,65;0,00;0,00;0,00;0,16;0,00;0,00;117;47;187;32;33;846;657
45;35,31;-190,66;0,00;0,00;0,00;-0,19;0,00;0,00;497;64;151;44;27;529;191
46;47,39;-63,18;0,00;0,00;0,00;-0,06;0,00;0,00;341;115;63;37;34;555;583
47;73,36;218,08;0,00;0,00;0,00;0,22;0,00;0,00;273;79;182;45;18;705;798
48;34,28;-243,46;0,00;0,00;0,00;-0,24;0,00;0,00;176;14;24;27;35;391;136
49;34,15;-264,25;0,00;0,00;0,00;-0,26;0,00;0,00;203;54;29;36;28;679;584
50;25,04;-204,82;0,00;0,00;0,00;-0,20;0,00;0,00;137;148;123;26;30;797;642
51;42,50;-66,47;0,00;0,00;0,00;-0,07;0,00;0,00;448;38;132;26;31;166;319
52;52,56;51,54;0,00;0,00;0,00;0,05;0,00;0,00;117;108;191;23;24;680;859
53;53,14;53,42;0,00;0,00;0,00;0,05;0,00;0,00;343;71;33;46;34;354;451
54;38,68;-112,28;0,00;0,00;0,00;-0,11;0,00;0,00;425;178;27;30;29;333;773
55;90,72;375,27;0,00;0,00;0,00;0,38;0,00;0,00;195;158;99;17;37;221;779
56;49,00;15,70;0,00;0,00;0,00;0,02;0,00;0,00;398;49;45;37;16;312;524
57;34,80;-162,92;0,00;0,00;0,00;-0,16;0,00;0,00;376;89;62;19;16;338;211
58;66,48;121,58;0,00;0,00;0,00;0,12;0,00;0,00;394;87;147;41;21;859;128
59;36,84;-146,64;0,00;0,00;0,00;-0,15;0,00;0,00;77;114;166;29;24;876;982
