Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;63,44;-116,98;0,00;0,00;0,00;-0,12;0,00;0,00;48;37;181;24;16;525;131
2;85,51;184,38;0,00;0,00;0,00;0,18;0,00;0,00;445;159;111;20;39;645;272
3;2,57;-543,09;0,00;0,00;0,00;-0,54;0,00;0,00;412;162;185;13;24;818;483
4;2,50;-657,88;0,00;0,00;0,00;-0,66;0,00;0,00;28;145;113;48;34;622;693
5;68,95;17,27;0,00;0,00;0,00;0,02;0,00;0,00;487;163;62;40;28;417;198
6;54,48;-126,49;0,00;0,00;0,00;-0,13;0,00;0,00;59;181;130;32;17;879;183
7;53,16;-182,88;0,00;0,00;0,00;-0,18;0,00;0,00;431;42;135;13;34;797;138
8;33,55;-366,53;0,00;0,00;0,00;-0,37;0,00;0,00;152;28;133;46;30;332;408
9;52,17;-135,74;0,00;0,00;0,00;-0,14;0,00;0,00;95;46;151;31;17;685;424
10;11,06;-524,86;0,00;0,00;0,00;-0,52;0,00;0,00;62;134;107;12;22;854;332
11;5,09;-707,95;0,00;0,00;0,00;-0,71;0,00;0,00;203;28;89;33;39;423;165
12;46,99;-204,10;0,00;0,00;0,00;-0,20;0,00;0,00;451;151;13;15;35;124;871
13;47,31;-281,25;0,00;0,00;0,00;-0,28;0,00;0,00;485;85;136;39;20;821;397
14;29,03;-445,48;0,00;0,00;0,00;-0,45;0,00;0,00;425;89;157;26;24;384;380
15;26,44;-390,97;0,00;0,00;0,00;-0,39;0,00;0,00;200;13;190;48;15;385;548
16;37,77;-252,81;0,00;0,00;0,00;-0,25;0,00;0,00;292;113;156;48;31;796;179
17;50,17;-264,71;0,00;0,00;0,00;-0,26;0,00;0,00;285;103;95;35;27;895;794
18;54,95;-137,36;0,00;0,00;0,00;-0,14;0,00;0,00;324;150;128;29;20;701;788
19;62,49;-54,02;0,00;0,00;0,00;-0,05;0,00;0,00;469;58;73;47;31;518;225
20;17,60;-525,18;0,00;0,00;0,00;-0,53;0,00;0,00;116;121;61;29;16;750;171
21;41,46;-288,16;0,00;0,00;0,00;-0,29;0,00;0,00;21;153;67;17;18;324;153
22;75,66;87,75;0,00;0,00;0,00;0,09;0,00;0,00;81;186;146;30;21;507;893
23;58,27;-43,91;0,00;0,00;0,00;-0,04;0,00;0,00;280;100;151;39;23;163;787
24;62,52;-102,90;0,00;0,00;0,00;-0,10;0,00;0,00;326;96;36;44;23;764;474
25;32,17;-320,66;0,00;0,00;0,00;-0,32;0,00;0,00;188;34;103;23;36;639;826
26;72,78;76,33;0,00;0,00;0,00;0,08;0,00;0,00;218;134;14;25;34;549;328
27;97,82;291,91;0,00;0,00;0,00;0,29;0,00;0,00;323;30;142;37;26;513;541
