Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;34,66;-152,93;0,00;0,00;0,00;-0,15;0,00;0,00;11;150;98;38;19;872;349
2;61,22;139,84;0,00;0,00;0,00;0,14;0,00;0,00;350;54;118;42;29;904;851
3;59,04;146,56;0,00;0,00;0,00;0,15;0,00;0,00;375;193;135;38;35;556;207
4;58,31;74,54;0,00;0,00;0,00;0,07;0,00;0,00;280;130;155;25;17;304;999
5;65,38;201,73;0,00;0,00;0,00;0,20;0,00;0,00;29;187;108;41;33;493;622
6;58,86;6,40;0,00;0,00;0,00;0,01;0,00;0,00;279;102;71;49;37;136;976
7;45,75;8,21;0,00;0,00;0,00;0,01;0,00;0,00;458;124;19;16;33;683;797
8;52,32;-103,40;0,00;0,00;0,00;-0,10;0,00;0,00;425;87;69;19;39;862;898
9;24,60;-205,50;0,00;0,00;0,00;-0,21;0,00;0,00;124;68;116;33;25;762;340
10;42,26;-102,78;0,00;0,00;0,00;-0,10;0,00;0,00;121;162;75;49;23;792;965
11;60,86;79,34;0,00;0,00;0,00;0,08;0,00;0,00;472;147;16;39;17;990;977
12;54,91;67,13;0,00;0,00;0,00;0,07;0,00;0,00;80;163;12;32;20;981;795
13;65,53;134,16;0,00;0,00;0,00;0,13;0,00;0,00;100;155;83;41;34;989;624
14;23,08;-283,60;0,00;0,00;0,00;-0,28;0,00;0,00;22;106;68;38;32;895;407
15;56,88;54,70;0,00;0,00;0,00;0,05;0,00;0,00;39;60;66;13;17;714;950
16;48,27;19,44;0,00;0,00;0,00;0,02;0,00;0,00;376;54;194;17;33;918;987
17;31,85;-175,05;0,00;0,00;0,00;-0,18;0,00;0,00;399;163;189;39;24;224;123
18;85,73;428,56;0,00;0,00;0,00;0,43;0,00;0,00;456;185;191;43;35;479;850
19;32,02;-183,65;0,00;0,00;0,00;-0,18;0,00;0,00;106;98;136;42;22;363;920
20;58,48;114,42;0,00;0,00;0,00;0,11;0,00;0,00;149;180;107;18;28;396;447
21;71,80;201,38;0,00;0,00;0,00;0,20;0,00;0,00;199;126;129;21;29;516;637
22;46,19;-65,03;0,00;0,00;0,00;-0,07;0,00;0,00;444;144;143;20;37;697;951
23;49,50;29,75;0,00;0,00;0,00;0,03;0,00;0,00;64;92;92;20;18;928;737
24;53,29;5,94;0,00;0,00;0,00;0,01;0,00;0,00;485;104;134;16;16;852;290
25;37,41;-147,44;0,00;0,00;0,00;-0,15;0,00;0,00;360;92;50;10;16;165;272
26;48,53;-107,88;0,00;0,00;0,00;-0,11;0,00;0,00;323;184;129;33;26;453;452
27;42,92;-67,22;0,00;0,00;0,00;-0,07;0,00;0,00;427;115;191;33;18;986;307
28;43,85;-41,16;0,00;0,00;0,00;-0,04;0,00;0,00;333;13;154;11;23;747;162
29;49,16;-121,61;0,00;0,00;0,00;-0,12;0,00;0,00;248;87;172;33;20;582;343
30;54,61;1,28;0,00;0,00;0,00;0,00;0,00;0,00;309;72;193;41;23;350;790
31;58,51;37,78;0,00;0,00;0,00;0,04;0,00;0,00;495;78;143;33;15;199;988
32;41,15;-40,20;0,00;0,00;0,00;-0,04;0,00;0,00;86;147;45;42;34;781;432
33;56,34;156,30;0,00;0,00;0,00;0,16;0,00;0,00;79;52;77;31;37;222;215
34;37,35;-110,31;0,00;0,00;0,00;-0,11;0,00;0,00;257;112;198;13;24;547;233
35;43,82;-22,77;0,00;0,00;0,00;-0,02;0,00;0,00;482;165;184;14;32;307;808
36;53,11;97,18;0,00;0,00;0,00;0,10;0,00;0,00;99;71;115;30;17;384;888
37;35,56;-125,54;0,00;0,00;0,00;-0,13;0,00;0,00;353;180;129;38;34;661;192
38;53,48;41,43;0,00;0,00;0,00;0,04;0,00;0,00;184;154;119;21;23;995;955
39;100,00;478,03;0,00;0,00;0,00;0,48;0,00;0,00;20;146;46;45;20;260;861
40;60,90;80,81;0,00;0,00;0,00;0,08;0,00;0,00;107;27;199;48;34;789;634
41;32,91;-230,93;0,00;0,00;0,00;-0,23;0,00;0,00;328;32;40;28;29;230;716
42;57,29;157,92;0,00;0,00;0,00;0,16;0,00;0,00;447;14;54;11;18;381;314
43;47,95;-10,59;0,00;0,00;0,00;-0,01;0,00;0,00;297;181;194;23;28;950;468
