Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,08;-337,03;0,00;0,00;0,00;-0,34;0,00;0,00;230;140;81;44;17;705;176
2;33,67;-436,08;0,00;0,00;0,00;-0,44;0,00;0,00;68;16;151;17;36;686;828
3;12,49;-550,52;0,00;0,00;0,00;-0,55;0,00;0,00;436;180;51;29;18;720;386
4;56,82;-156,53;0,00;0,00;0,00;-0,16;0,00;0,00;106;131;38;46;16;367;374
5;87,66;233,51;0,00;0,00;0,00;0,23;0,00;0,00;56;73;30;17;22;506;767
6;70,89;-92,83;0,00;0,00;0,00;-0,09;0,00;0,00;463;51;174;28;16;169;468
7;39,85;-301,84;0,00;0,00;0,00;-0,30;0,00;0,00;316;178;179;40;35;318;875
8;36,63;-319,07;0,00;0,00;0,00;-0,32;0,00;0,00;279;55;150;45;33;669;928
9;76,65;84,91;0,00;0,00;0,00;0,08;0,00;0,00;374;102;44;45;31;564;407
10;43,99;-229,43;0,00;0,00;0,00;-0,23;0,00;0,00;235;192;83;49;33;948;183
11;49,63;-258,46;0,00;0,00;0,00;-0,26;0,00;0,00;445;157;72;30;30;889;394
12;23,48;-470,49;0,00;0,00;0,00;-0,47;0,00;0,00;310;159;120;35;36;597;985
13;100,00;308,46;0,00;0,00;0,00;0,31;0,00;0,00;30;63;61;24;24;775;998
14;45,18;-224,98;0,00;0,00;0,00;-0,22;0,00;0,00;473;170;194;29;30;890;525
15;36,96;-343,44;0,00;0,00;0,00;-0,34;0,00;0,00;156;182;160;12;25;960;541
16;44,95;-283,13;0,00;0,00;0,00;-0,28;0,00;0,00;394;168;161;41;36;606;633
17;14,94;-505,31;0,00;0,00;0,00;-0,51;0,00;0,00;229;74;172;26;18;561;522
18;100,00;257,27;0,00;0,00;0,00;0,26;0,00;0,00;375;176;43;45;15;982;614
19;64,84;-3,60;0,00;0,00;0,00;-0,00;0,00;0,00;441;90;167;30;26;995;705
20;25,50;-445,79;0,00;0,00;0,00;-0,45;0,00;0,00;223;127;60;49;36;202;227
21;84,71;86,42;0,00;0,00;0,00;0,09;0,00;0,00;444;126;179;26;20;652;249
22;18,95;-465,56;0,00;0,00;0,00;-0,47;0,00;0,00;52;120;55;46;28;294;574
23;32,14;-402,98;0,00;0,00;0,00;-0,40;0,00;0,00;309;139;185;30;27;249;144
24;43,39;-376,56;0,00;0,00;0,00;-0,38;0,00;0,00;173;144;143;37;36;818;451
25;76,57;53,77;0,00;0,00;0,00;0,05;0,00;0,00;222;57;83;28;35;142;189
26;51,70;-134,44;0,00;0,00;0,00;-0,13;0,00;0,00;33;61;185;21;16;627;705
27;65,70;-145,80;0,00;0,00;0,00;-0,15;0,00;0,00;400;66;176;12;17;225;358
28;25,17;-415,81;0,00;0,00;0,00;-0,42;0,00;0,00;494;179;173;47;19;455;489
29;49,95;-261,44;0,00;0,00;0,00;-0,26;0,00;0,00;367;131;16;42;28;156;641
30;80,58;20,79;0,00;0,00;0,00;0,02;0,00;0,00;339;170;79;47;32;364;998
31;39,23;-398,59;0,00;0,00;0,00;-0,40;0,00;0,00;77;140;180;33;24;388;626
32;18,81;-544,62;0,00;0,00;0,00;-0,54;0,00;0,00;252;174;72;44;37;949;222
33;72,57;44,27;0,00;0,00;0,00;0,04;0,00;0,00;351;112;142;36;18;467;748
34;75,99;20,28;0,00;0,00;0,00;0,02;0,00;0,00;257;146;148;49;23;739;339
35;0,00;-754,96;0,00;0,00;0,00;-0,75;0,00;0,00;334;171;52;28;27;980;233
36;87,25;151,29;0,00;0,00;0,00;0,15;0,00;0,00;319;148;184;15;23;109;334
37;98,77;260,97;0,00;0,00;0,00;0,26;0,00;0,00;186;152;175;38;19;218;529
38;92,64;198,27;0,00;0,00;0,00;0,20;0,00;0,00;103;88;187;13;15;759;141
39;43,26;-344,44;0,00;0,00;0,00;-0,34;0,00;0,00;442;189;146;45;31;367;574
40;41,00;-289,31;0,00;0,00;0,00;-0,29;0,00;0,00;499;44;109;16;37;960;597
41;100,00;305,17;0,00;0,00;0,00;0,31;0,00;0,00;77;66;71;47;31;318;831
42;43,29;-348,68;0,00;0,00;0,00;-0,35;0,00;0,00;45;115;88;33;29;217;588
43;71,61;-55,57;0,00;0,00;0,00;-0,06;0,00;0,00;124;91;90;30;33;384;548
44;39,02;-200,95;0,00;0,00;0,00;-0,20;0,00;0,00;306;155;174;42;38;651;674
45;51,93;-105,96;0,00;0,00;0,00;-0,11;0,00;0,00;386;148;121;16;21;638;478
