Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;20,97;-471,79;0,00;0,00;0,00;-0,47;0,00;0,00;162;37;181;24;16;525;131
2;34,16;-357,88;0,00;0,00;0,00;-0,36;0,00;0,00;124;159;111;20;39;645;272
3;30,70;-465,58;0,00;0,00;0,00;-0,47;0,00;0,00;30;162;185;13;24;818;483
4;0,00;-732,27;0,00;0,00;0,00;-0,73;0,00;0,00;19;145;113;48;34;622;693
5;17,21;-553,23;0,00;0,00;0,00;-0,55;0,00;0,00;441;163;62;40;28;417;198
6;72,56;-25,69;0,00;0,00;0,00;-0,03;0,00;0,00;333;181;130;32;17;879;183
7;91,10;216,06;0,00;0,00;0,00;0,22;0,00;0,00;178;42;135;13;34;797;138
8;79,92;39,38;0,00;0,00;0,00;0,04;0,00;0,00;317;28;133;46;30;332;408
9;37,21;-315,25;0,00;0,00;0,00;-0,32;0,00;0,00;44;46;151;31;17;685;424
10;37,74;-325,38;0,00;0,00;0,00;-0,33;0,00;0,00;479;134;107;12;22;854;332
11;28,83;-395,54;0,00;0,00;0,00;-0,40;0,00;0,00;453;28;89;33;39;423;165
12;39,05;-325,64;0,00;0,00;0,00;-0,33;0,00;0,00;417;151;13;15;35;124;871
13;65,52;68,14;0,00;0,00;0,00;0,07;0,00;0,00;134;85;136;39;20;821;397
14;0,00;-764,16;0,00;0,00;0,00;-0,76;0,00;0,00;132;89;157;26;24;384;380
15;58,55;-129,79;0,00;0,00;0,00;-0,13;0,00;0,00;477;13;190;48;15;385;548
16;0,00;-704,02;0,00;0,00;0,00;-0,70;0,00;0,00;66;113;156;48;31;796;179
17;20,84;-500,50;0,00;0,00;0,00;-0,50;0,00;0,00;37;103;95;35;27;895;794
18;39,77;-337,39;0,00;0,00;0,00;-0,34;0,00;0,00;422;150;128;29;20;701;788
19;100,00;344,68;0,00;0,00;0,00;0,34;0,00;0,00;144;58;73;47;31;518;225
20;24,54;-478,25;0,00;0,00;0,00;-0,48;0,00;0,00;179;121;61;29;16;750;171
21;83,77;78,00;0,00;0,00;0,00;0,08;0,00;0,00;491;153;67;17;18;324;153
22;50,50;-146,52;0,00;0,00;0,00;-0,15;0,00;0,00;344;186;146;30;21;507;893
23;59,23;-169,39;0,00;0,00;0,00;-0,17;0,00;0,00;439;100;151;39;23;163;787
24;42,77;-268,58;0,00;0,00;0,00;-0,27;0,00;0,00;226;96;36;44;23;764;474
25;34,29;-366,98;0,00;0,00;0,00;-0,37;0,00;0,00;209;34;103;23;36;639;826
26;84,65;227,68;0,00;0,00;0,00;0,23;0,00;0,00;74;134;14;25;34;549;328
27;57,21;-188,10;0,00;0,00;0,00;-0,19;0,00;0,00;15;30;142;37;26;513;541
28;39,79;-369,90;0,00;0,00;0,00;-0,37;0,00;0,00;241;98;65;13;29;166;425
29;10,56;-594,87;0,00;0,00;0,00;-0,59;0,00;0,00;275;63;194;26;29;554;716
30;48,28;-207,05;0,00;0,00;0,00;-0,21;0,00;0,00;448;57;167;47;29;269;648
31;98,42;294,26;0,00;0,00;0,00;0,29;0,00;0,00;85;40;79;39;27;633;109
32;30,98;-329,06;0,00;0,00;0,00;-0,33;0,00;0,00;453;197;26;18;21;235;974
33;59,49;-87,91;0,00;0,00;0,00;-0,09;0,00;0,00;274;135;143;17;34;868;582
34;47,69;-120,59;0,00;0,00;0,00;-0,12;0,00;0,00;432;70;39;43;39;347;851
35;73,97;49,98;0,00;0,00;0,00;0,05;0,00;0,00;38;95;45;15;17;737;418
36;20,21;-477,01;0,00;0,00;0,00;-0,48;0,00;0,00;300;80;116;22;23;817;422
37;0,00;-624,82;0,00;0,00;0,00;-0,62;0,00;0,00;463;117;173;23;37;718;703
38;86,52;167,36;0,00;0,00;0,00;0,17;0,00;0,00;63;129;108;15;16;411;662
39;50,60;-175,21;0,00;0,00;0,00;-0,18;0,00;0,00;17;182;108;30;31;429;198
40;16,06;-590,42;0,00;0,00;0,00;-0,59;0,00;0,00;293;81;154;21;21;781;998
41;53,66;-119,47;0,00;0,00;0,00;-0,12;0,00;0,00;415;57;18;17;37;632;515
42;59,64;-65,40;0,00;0,00;0,00;-0,07;0,00;0,00;255;119;36;26;34;798;594
43;19,33;-473,30;0,00;0,00;0,00;-0,47;0,00;0,00;469;25;53;33;30;697;637
44;49,83;-166,98;0,00;0,00;0,00;-0,17;0,00;0,00;132;179;155;24;38;813;396
45;51,29;-168,12;0,00;0,00;0,00;-0,17;0,00;0,00;303;150;164;13;24;730;805
46;59,22;-90,86;0,00;0,00;0,00;-0,09;0,00;0,00;254;139;138;25;21;739;420
47;61,61;-139,05;0,00;0,00;0,00;-0,14;0,00;0,00;14;87;150;43;19;230;144
48;37,21;-315,89;0,00;0,00;0,00;-0,32;0,00;0,00;119;77;104;45;21;828;592
49;32,91;-475,73;0,00;0,00;0,00;-0,48;0,00;0,00;20;180;25;16;19;915;958
50;37,39;-335,68;0,00;0,00;0,00;-0,34;0,00;0,00;174;100;73;49;27;931;925
51;6,15;-692,04;0,00;0,00;0,00;-0,69;0,00;0,00;12;120;196;32;34;550;147
52;38,68;-347,41;0,00;0,00;0,00;-0,35;0,00;0,00;382;35;150;39;19;702;770
53;63,96;-29,26;0,00;0,00;0,00;-0,03;0,00;0,00;148;119;15;15;21;325;711
