Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;34,71;-167,26;0,00;0,00;0,00;-0,17;0,00;0,00;488;150;98;38;19;872;349
2;60,22;64,75;0,00;0,00;0,00;0,06;0,00;0,00;298;54;118;42;29;904;851
3;52,83;83,44;0,00;0,00;0,00;0,08;0,00;0,00;40;193;135;38;35;556;207
4;46,78;-69,17;0,00;0,00;0,00;-0,07;0,00;0,00;98;130;155;25;17;304;999
5;51,14;20,44;0,00;0,00;0,00;0,02;0,00;0,00;40;187;108;41;33;493;622
6;56,60;13,52;0,00;0,00;0,00;0,01;0,00;0,00;410;102;71;49;37;136;976
7;55,34;-2,22;0,00;0,00;0,00;-0,00;0,00;0,00;129;124;19;16;33;683;797
8;49,74;29,12;0,00;0,00;0,00;0,03;0,00;0,00;103;87;69;19;39;862;898
9;21,35;-374,55;0,00;0,00;0,00;-0,37;0,00;0,00;488;68;116;33;25;762;340
10;57,19;95,94;0,00;0,00;0,00;0,10;0,00;0,00;378;162;75;49;23;792;965
11;71,91;225,35;0,00;0,00;0,00;0,23;0,00;0,00;228;147;16;39;17;990;977
12;59,48;93,12;0,00;0,00;0,00;0,09;0,00;0,00;151;163;12;32;20;981;795
13;54,46;25,34;0,00;0,00;0,00;0,03;0,00;0,00;416;155;83;41;34;989;624
14;24,08;-309,53;0,00;0,00;0,00;-0,31;0,00;0,00;226;106;68;38;32;895;407
15;64,21;150,82;0,00;0,00;0,00;0,15;0,00;0,00;170;60;66;13;17;714;950
16;45,90;-26,35;0,00;0,00;0,00;-0,03;0,00;0,00;463;54;194;17;33;918;987
17;32,54;-161,09;0,00;0,00;0,00;-0,16;0,00;0,00;495;163;189;39;24;224;123
18;70,11;193,32;0,00;0,00;0,00;0,19;0,00;0,00;260;185;191;43;35;479;850
19;42,73;-3,22;0,00;0,00;0,00;-0,00;0,00;0,00;378;98;136;42;22;363;920
20;52,32;120,95;0,00;0,00;0,00;0,12;0,00;0,00;34;180;107;18;28;396;447
21;78,99;274,62;0,00;0,00;0,00;0,27;0,00;0,00;159;126;129;21;29;516;637
22;45,50;-27,17;0,00;0,00;0,00;-0,03;0,00;0,00;223;144;143;20;37;697;951
23;43,38;-65,02;0,00;0,00;0,00;-0,07;0,00;0,00;233;92;92;20;18;928;737
24;60,41;99,07;0,00;0,00;0,00;0,10;0,00;0,00;100;104;134;16;16;852;290
25;47,80;-20,56;0,00;0,00;0,00;-0,02;0,00;0,00;185;92;50;10;16;165;272
26;37,06;-49,10;0,00;0,00;0,00;-0,05;0,00;0,00;282;184;129;33;26;453;452
27;42,23;33,38;0,00;0,00;0,00;0,03;0,00;0,00;222;115;191;33;18;986;307
28;45,34;-9,65;0,00;0,00;0,00;-0,01;0,00;0,00;276;13;154;11;23;747;162
29;47,66;-29,94;0,00;0,00;0,00;-0,03;0,00;0,00;175;87;172;33;20;582;343
30;40,83;-71,31;0,00;0,00;0,00;-0,07;0,00;0,00;149;72;193;41;23;350;790
31;63,64;229,60;0,00;0,00;0,00;0,23;0,00;0,00;243;78;143;33;15;199;988
32;39,15;-143,26;0,00;0,00;0,00;-0,14;0,00;0,00;187;147;45;42;34;781;432
33;48,83;9,69;0,00;0,00;0,00;0,01;0,00;0,00;407;52;77;31;37;222;215
34;45,42;-5,54;0,00;0,00;0,00;-0,01;0,00;0,00;203;112;198;13;24;547;233
35;48,00;-14,77;0,00;0,00;0,00;-0,01;0,00;0,00;298;165;184;14;32;307;808
36;58,27;74,02;0,00;0,00;0,00;0,07;0,00;0,00;428;71;115;30;17;384;888
37;43,82;-114,02;0,00;0,00;0,00;-0,11;0,00;0,00;379;180;129;38;34;661;192
38;57,60;-25,54;0,00;0,00;0,00;-0,03;0,00;0,00;191;154;119;21;23;995;955
39;100,00;570,02;0,00;0,00;0,00;0,57;0,00;0,00;269;146;46;45;20;260;861
40;59,24;116,20;0,00;0,00;0,00;0,12;0,00;0,00;82;27;199;48;34;789;634
41;41,08;-120,78;0,00;0,00;0,00;-0,12;0,00;0,00;120;32;40;28;29;230;716
42;40,83;-69,44;0,00;0,00;0,00;-0,07;0,00;0,00;180;14;54;11;18;381;314
43;45,66;-28,91;0,00;0,00;0,00;-0,03;0,00;0,00;295;181;194;23;28;950;468
44;53,21;-67,37;0,00;0,00;0,00;-0,07;0,00;0,00;463;47;187;32;33;846;657
45;37,86;-170,48;0,00;0,00;0,00;-0,17;0,00;0,00;444;64;151;44;27;529;191
46;52,25;11,98;0,00;0,00;0,00;0,01;0,00;0,00;300;115;63;37;34;555;583
47;76,61;353,78;0,00;0,00;0,00;0,35;0,00;0,00;29;79;182;45;18;705;798
48;44,10;-91,49;0,00;0,00;0,00;-0,09;0,00;0,00;211;14;24;27;35;391;136
49;40,22;-93,64;0,00;0,00;0,00;-0,09;0,00;0,00;222;54;29;36;28;679;584
50;22,63;-249,05;0,00;0,00;0,00;-0,25;0,00;0,00;431;148;123;26;30;797;642
51;42,50;-4,35;0,00;0,00;0,00;-0,00;0,00;0,00;65;38;132;26;31;166;319
52;48,82;-27,40;0,00;0,00;0,00;-0,03;0,00;0,00;276;108;191;23;24;680;859
53;47,42;-8,90;0,00;0,00;0,00;-0,01;0,00;0,00;470;71;33;46;34;354;451
54;38,42;-163,41;0,00;0,00;0,00;-0,16;0,00;0,00;78;178;27;30;29;333;773
55;84,03;305,22;0,00;0,00;0,00;0,31;0,00;0,00;229;158;99;17;37;221;779
56;44,82;-111,21;0,00;0,00;0,00;-0,11;0,00;0,00;406;49;45;37;16;312;524
57;45,76;11,17;0,00;0,00;0,00;0,01;0,00;0,00;117;89;62;19;16;338;211
58;78,08;222,22;0,00;0,00;0,00;0,22;0,00;0,00;478;87;147;41;21;859;128
59;36,44;-150,81;0,00;0,00;0,00;-0,15;0,00;0,00;220;114;166;29;24;876;982
60;79,36;265,72;0,00;0,00;0,00;0,27;0,00;0,00;379;78;123;45;15;652;658
61;37,76;-61,88;0,00;0,00;0,00;-0,06;0,00;0,00;211;32;41;37;27;435;572
62;62,75;126,60;0,00;0,00;0,00;0,13;0,00;0,00;60;13;155;43;21;424;944
63;47,03;13,15;0,00;0,00;0,00;0,01;0,00;0,00;70;15;35;37;31;883;823
64;31,30;-175,31;0,00;0,00;0,00;-0,18;0,00;0,00;351;188;126;12;21;907;771
65;42,41;35,15;0,00;0,00;0,00;0,04;0,00;0,00;401;82;28;11;38;367;689
66;78,92;351,21;0,00;0,00;0,00;0,35;0,00;0,00;478;46;171;38;38;138;225
67;48,12;-22,03;0,00;0,00;0,00;-0,02;0,00;0,00;210;113;67;41;32;952;406
68;49,19;-29,67;0,00;0,00;0,00;-0,03;0,00;0,00;386;194;161;48;24;488;117
69;36,78;-49,95;0,00;0,00;0,00;-0,05;0,00;0,00;107;70;75;20;36;336;797
70;55,86;137,30;0,00;0,00;0,00;0,14;0,00;0,00;362;111;163;22;20;803;647
71;44,18;-106,29;0,00;0,00;0,00;-0,11;0,00;0,00;357;26;113;17;22;779;976
72;66,23;118,30;0,00;0,00;0,00;0,12;0,00;0,00;117;199;87;45;21;680;177
73;45,11;-5,17;0,00;0,00;0,00;-0,01;0,00;0,00;222;139;88;33;22;426;914
74;55,61;68,05;0,00;0,00;0,00;0,07;0,00;0,00;286;160;144;31;33;199;488
75;27,72;-179,95;0,00;0,00;0,00;-0,18;0,00;0,00;59;55;112;24;16;699;779
76;55,96;21,62;0,00;0,00;0,00;0,02;0,00;0,00;148;60;16;46;38;131;934
77;73,85;246,18;0,00;0,00;0,00;0,25;0,00;0,00;334;10;20;34;16;598;528
78;51,44;-6,39;0,00;0,00;0,00;-0,01;0,00;0,00;439;79;114;34;24;213;324
79;8,98;-325,82;0,00;0,00;0,00;-0,33;0,00;0,00;328;45;120;16;30;986;559
80;48,68;25,33;0,00;0,00;0,00;0,03;0,00;0,00;285;144;71;37;19;158;983
81;78,50;289,22;0,00;0,00;0,00;0,29;0,00;0,00;353;199;144;30;30;767;194
82;28,01;-237,32;0,00;0,00;0,00;-0,24;0,00;0,00;398;75;62;33;28;685;786
83;48,25;6,10;0,00;0,00;0,00;0,01;0,00;0,00;175;95;164;45;27;115;114
84;43,62;-130,09;0,00;0,00;0,00;-0,13;0,00;0,00;175;93;166;47;32;643;562
85;40,65;-67,25;0,00;0,00;0,00;-0,07;0,00;0,00;152;125;127;30;36;781;362
86;68,53;60,69;0,00;0,00;0,00;0,06;0,00;0,00;134;79;102;15;17;447;959
87;55,70;34,03;0,00;0,00;0,00;0,03;0,00;0,00;198;27;68;17;29;275;296
88;60,92;81,06;0,00;0,00;0,00;0,08;0,00;0,00;127;137;157;26;36;301;597
89;42,73;-59,34;0,00;0,00;0,00;-0,06;0,00;0,00;54;11;182;14;30;153;235
90;61,81;147,61;0,00;0,00;0,00;0,15;0,00;0,00;402;120;103;47;25;596;770
91;42,56;-147,03;0,00;0,00;0,00;-0,15;0,00;0,00;186;162;27;41;35;116;628
92;57,81;126,98;0,00;0,00;0,00;0,13;0,00;0,00;201;99;89;33;28;215;621
93;53,68;43,07;0,00;0,00;0,00;0,04;0,00;0,00;448;189;132;22;30;507;363
94;48,86;8,52;0,00;0,00;0,00;0,01;0,00;0,00;92;152;58;34;22;119;939
