Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;51,34;-125,07;0,00;0,00;0,00;-0,13;0,00;0,00;65;37;181;24;16;525;131
2;77,39;107,97;0,00;0,00;0,00;0,11;0,00;0,00;304;159;111;20;39;645;272
3;35,76;-356,71;0,00;0,00;0,00;-0,36;0,00;0,00;498;162;185;13;24;818;483
4;17,27;-569,23;0,00;0,00;0,00;-0,57;0,00;0,00;491;145;113;48;34;622;693
5;23,07;-523,22;0,00;0,00;0,00;-0,52;0,00;0,00;439;163;62;40;28;417;198
6;73,77;42,05;0,00;0,00;0,00;0,04;0,00;0,00;264;181;130;32;17;879;183
7;59,61;-123,39;0,00;0,00;0,00;-0,12;0,00;0,00;473;42;135;13;34;797;138
8;66,16;-157,04;0,00;0,00;0,00;-0,16;0,00;0,00;410;28;133;46;30;332;408
9;73,57;-1,75;0,00;0,00;0,00;-0,00;0,00;0,00;354;46;151;31;17;685;424
10;29,76;-437,21;0,00;0,00;0,00;-0,44;0,00;0,00;324;134;107;12;22;854;332
11;26,37;-364,68;0,00;0,00;0,00;-0,36;0,00;0,00;77;28;89;33;39;423;165
12;41,07;-267,57;0,00;0,00;0,00;-0,27;0,00;0,00;296;151;13;15;35;124;871
13;68,70;-32,67;0,00;0,00;0,00;-0,03;0,00;0,00;270;85;136;39;20;821;397
14;17,18;-554,95;0,00;0,00;0,00;-0,55;0,00;0,00;34;89;157;26;24;384;380
15;36,79;-292,43;0,00;0,00;0,00;-0,29;0,00;0,00;392;13;190;48;15;385;548
16;22,45;-409,15;0,00;0,00;0,00;-0,41;0,00;0,00;245;113;156;48;31;796;179
17;54,16;-80,95;0,00;0,00;0,00;-0,08;0,00;0,00;142;103;95;35;27;895;794
18;29,48;-372,52;0,00;0,00;0,00;-0,37;0,00;0,00;97;150;128;29;20;701;788
19;88,63;271,46;0,00;0,00;0,00;0,27;0,00;0,00;493;58;73;47;31;518;225
