Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;20,68;-441,94;0,00;0,00;0,00;-0,44;0,00;0,00;357;140;81;44;17;705;176
2;18,82;-444,13;0,00;0,00;0,00;-0,44;0,00;0,00;345;16;151;17;36;686;828
3;28,37;-466,05;0,00;0,00;0,00;-0,47;0,00;0,00;152;180;51;29;18;720;386
4;66,80;32,11;0,00;0,00;0,00;0,03;0,00;0,00;248;131;38;46;16;367;374
5;80,58;145,67;0,00;0,00;0,00;0,15;0,00;0,00;336;73;30;17;22;506;767
6;67,25;-0,71;0,00;0,00;0,00;-0,00;0,00;0,00;83;51;174;28;16;169;468
7;56,04;-241,38;0,00;0,00;0,00;-0,24;0,00;0,00;353;178;179;40;35;318;875
8;45,47;-220,40;0,00;0,00;0,00;-0,22;0,00;0,00;339;55;150;45;33;669;928
9;91,45;182,41;0,00;0,00;0,00;0,18;0,00;0,00;419;102;44;45;31;564;407
10;71,97;6,67;0,00;0,00;0,00;0,01;0,00;0,00;416;192;83;49;33;948;183
11;74,36;43,70;0,00;0,00;0,00;0,04;0,00;0,00;422;157;72;30;30;889;394
12;0,00;-709,80;0,00;0,00;0,00;-0,71;0,00;0,00;443;159;120;35;36;597;985
13;37,10;-316,45;0,00;0,00;0,00;-0,32;0,00;0,00;15;63;61;24;24;775;998
14;14,31;-604,17;0,00;0,00;0,00;-0,60;0,00;0,00;380;170;194;29;30;890;525
15;3,98;-650,85;0,00;0,00;0,00;-0,65;0,00;0,00;222;182;160;12;25;960;541
16;44,57;-263,70;0,00;0,00;0,00;-0,26;0,00;0,00;427;168;161;41;36;606;633
17;58,48;-157,49;0,00;0,00;0,00;-0,16;0,00;0,00;19;74;172;26;18;561;522
18;78,28;70,57;0,00;0,00;0,00;0,07;0,00;0,00;480;176;43;45;15;982;614
19;28,98;-331,76;0,00;0,00;0,00;-0,33;0,00;0,00;476;90;167;30;26;995;705
20;63,27;-40,22;0,00;0,00;0,00;-0,04;0,00;0,00;203;127;60;49;36;202;227
21;52,43;-74,34;0,00;0,00;0,00;-0,07;0,00;0,00;492;126;179;26;20;652;249
22;67,85;-60,15;0,00;0,00;0,00;-0,06;0,00;0,00;239;120;55;46;28;294;574
23;38,83;-341,16;0,00;0,00;0,00;-0,34;0,00;0,00;208;139;185;30;27;249;144
24;38,89;-345,72;0,00;0,00;0,00;-0,35;0,00;0,00;372;144;143;37;36;818;451
25;64,16;-150,70;0,00;0,00;0,00;-0,15;0,00;0,00;269;57;83;28;35;142;189
26;53,20;-166,78;0,00;0,00;0,00;-0,17;0,00;0,00;292;61;185;21;16;627;705
27;28,20;-435,20;0,00;0,00;0,00;-0,44;0,00;0,00;164;66;176;12;17;225;358
28;18,49;-419,16;0,00;0,00;0,00;-0,42;0,00;0,00;389;179;173;47;19;455;489
29;57,59;-63,93;0,00;0,00;0,00;-0,06;0,00;0,00;285;131;16;42;28;156;641
30;91,91;284,82;0,00;0,00;0,00;0,28;0,00;0,00;173;170;79;47;32;364;998
31;32,86;-396,09;0,00;0,00;0,00;-0,40;0,00;0,00;212;140;180;33;24;388;626
32;23,26;-481,85;0,00;0,00;0,00;-0,48;0,00;0,00;420;174;72;44;37;949;222
33;89,47;206,98;0,00;0,00;0,00;0,21;0,00;0,00;98;112;142;36;18;467;748
34;85,06;194,34;0,00;0,00;0,00;0,19;0,00;0,00;445;146;148;49;23;739;339
35;19,53;-512,91;0,00;0,00;0,00;-0,51;0,00;0,00;430;171;52;28;27;980;233
36;78,37;53,16;0,00;0,00;0,00;0,05;0,00;0,00;152;148;184;15;23;109;334
37;100,00;358,33;0,00;0,00;0,00;0,36;0,00;0,00;138;152;175;38;19;218;529
38;100,00;268,46;0,00;0,00;0,00;0,27;0,00;0,00;499;88;187;13;15;759;141
39;40,61;-319,11;0,00;0,00;0,00;-0,32;0,00;0,00;87;189;146;45;31;367;574
40;0,00;-723,31;0,00;0,00;0,00;-0,72;0,00;0,00;434;44;109;16;37;960;597
41;72,43;87,60;0,00;0,00;0,00;0,09;0,00;0,00;17;66;71;47;31;318;831
42;33,65;-487,41;0,00;0,00;0,00;-0,49;0,00;0,00;60;115;88;33;29;217;588
43;62,40;-115,18;0,00;0,00;0,00;-0,12;0,00;0,00;54;91;90;30;33;384;548
44;57,70;-156,96;0,00;0,00;0,00;-0,16;0,00;0,00;493;155;174;42;38;651;674
45;54,40;-190,23;0,00;0,00;0,00;-0,19;0,00;0,00;131;148;121;16;21;638;478
46;28,62;-366,48;0,00;0,00;0,00;-0,37;0,00;0,00;158;143;48;41;21;529;359
47;81,45;8,06;0,00;0,00;0,00;0,01;0,00;0,00;127;83;34;44;27;952;622
48;64,89;-79,43;0,00;0,00;0,00;-0,08;0,00;0,00;42;79;43;21;27;113;306
49;69,76;7,26;0,00;0,00;0,00;0,01;0,00;0,00;141;75;116;13;39;799;411
50;72,94;61,68;0,00;0,00;0,00;0,06;0,00;0,00;231;104;62;33;21;693;195
51;50,79;-165,36;0,00;0,00;0,00;-0,17;0,00;0,00;175;196;38;24;37;583;727
52;51,93;-191,79;0,00;0,00;0,00;-0,19;0,00;0,00;464;19;28;48;35;557;461
53;65,19;22,31;0,00;0,00;0,00;0,02;0,00;0,00;383;69;119;22;33;133;189
54;14,29;-497,87;0,00;0,00;0,00;-0,50;0,00;0,00;422;87;136;12;33;357;559
55;100,00;389,91;0,00;0,00;0,00;0,39;0,00;0,00;345;34;119;38;38;101;231
56;60,64;-109,24;0,00;0,00;0,00;-0,11;0,00;0,00;420;128;143;34;31;684;975
57;48,76;-110,34;0,00;0,00;0,00;-0,11;0,00;0,00;114;129;166;41;33;868;601
58;56,90;-122,47;0,00;0,00;0,00;-0,12;0,00;0,00;262;108;62;18;20;434;796
59;33,04;-357,02;0,00;0,00;0,00;-0,36;0,00;0,00;470;68;170;20;26;893;428
60;38,06;-331,51;0,00;0,00;0,00;-0,33;0,00;0,00;161;17;162;20;30;324;495
61;15,31;-542,14;0,00;0,00;0,00;-0,54;0,00;0,00;71;183;30;31;15;867;233
62;34,52;-335,50;0,00;0,00;0,00;-0,34;0,00;0,00;295;164;120;27;37;826;798
63;51,01;-216,36;0,00;0,00;0,00;-0,22;0,00;0,00;316;64;121;26;37;617;659
64;67,89;-15,05;0,00;0,00;0,00;-0,02;0,00;0,00;68;94;12;47;22;399;608
65;56,72;-139,80;0,00;0,00;0,00;-0,14;0,00;0,00;257;162;178;30;17;400;553
66;56,72;-128,38;0,00;0,00;0,00;-0,13;0,00;0,00;11;150;24;41;35;408;499
67;58,30;-91,68;0,00;0,00;0,00;-0,09;0,00;0,00;325;30;182;24;22;649;932
68;22,49;-502,82;0,00;0,00;0,00;-0,50;0,00;0,00;52;145;24;34;35;606;628
69;57,55;-44,80;0,00;0,00;0,00;-0,04;0,00;0,00;68;13;113;11;32;216;111
70;53,71;-178,33;0,00;0,00;0,00;-0,18;0,00;0,00;188;189;107;29;26;569;552
71;69,95;25,50;0,00;0,00;0,00;0,03;0,00;0,00;430;157;48;38;18;143;358
