Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;44,14;-35,71;0,00;0,00;0,00;-0,04;0,00;0,00;235;150;98;38;19;872;349
2;61,53;70,98;0,00;0,00;0,00;0,07;0,00;0,00;462;54;118;42;29;904;851
3;54,47;91,63;0,00;0,00;0,00;0,09;0,00;0,00;355;193;135;38;35;556;207
4;64,93;120,56;0,00;0,00;0,00;0,12;0,00;0,00;310;130;155;25;17;304;999
5;57,28;80,73;0,00;0,00;0,00;0,08;0,00;0,00;70;187;108;41;33;493;622
6;57,00;34,76;0,00;0,00;0,00;0,03;0,00;0,00;173;102;71;49;37;136;976
7;46,66;19,76;0,00;0,00;0,00;0,02;0,00;0,00;349;124;19;16;33;683;797
8;46,21;25,95;0,00;0,00;0,00;0,03;0,00;0,00;447;87;69;19;39;862;898
9;22,54;-282,13;0,00;0,00;0,00;-0,28;0,00;0,00;282;68;116;33;25;762;340
10;46,90;-106,63;0,00;0,00;0,00;-0,11;0,00;0,00;335;162;75;49;23;792;965
11;60,96;223,49;0,00;0,00;0,00;0,22;0,00;0,00;434;147;16;39;17;990;977
12;66,10;145,72;0,00;0,00;0,00;0,15;0,00;0,00;112;163;12;32;20;981;795
13;50,52;11,90;0,00;0,00;0,00;0,01;0,00;0,00;468;155;83;41;34;989;624
14;22,87;-254,42;0,00;0,00;0,00;-0,25;0,00;0,00;373;106;68;38;32;895;407
15;52,66;2,76;0,00;0,00;0,00;0,00;0,00;0,00;219;60;66;13;17;714;950
16;37,58;-159,55;0,00;0,00;0,00;-0,16;0,00;0,00;326;54;194;17;33;918;987
17;28,90;-215,75;0,00;0,00;0,00;-0,22;0,00;0,00;376;163;189;39;24;224;123
18;74,37;196,70;0,00;0,00;0,00;0,20;0,00;0,00;456;185;191;43;35;479;850
19;37,73;-258,90;0,00;0,00;0,00;-0,26;0,00;0,00;307;98;136;42;22;363;920
20;44,68;-92,54;0,00;0,00;0,00;-0,09;0,00;0,00;156;180;107;18;28;396;447
21;78,17;264,24;0,00;0,00;0,00;0,26;0,00;0,00;235;126;129;21;29;516;637
22;40,15;-81,68;0,00;0,00;0,00;-0,08;0,00;0,00;322;144;143;20;37;697;951
23;49,05;-8,91;0,00;0,00;0,00;-0,01;0,00;0,00;283;92;92;20;18;928;737
24;52,64;-12,82;0,00;0,00;0,00;-0,01;0,00;0,00;97;104;134;16;16;852;290
25;45,03;-42,78;0,00;0,00;0,00;-0,04;0,00;0,00;120;92;50;10;16;165;272
26;58,46;181,28;0,00;0,00;0,00;0,18;0,00;0,00;71;184;129;33;26;453;452
27;41,74;-27,86;0,00;0,00;0,00;-0,03;0,00;0,00;135;115;191;33;18;986;307
28;42,95;14,03;0,00;0,00;0,00;0,01;0,00;0,00;364;13;154;11;23;747;162
29;51,47;29,85;0,00;0,00;0,00;0,03;0,00;0,00;439;87;172;33;20;582;343
30;51,07;23,03;0,00;0,00;0,00;0,02;0,00;0,00;353;72;193;41;23;350;790
31;51,61;39,58;0,00;0,00;0,00;0,04;0,00;0,00;288;78;143;33;15;199;988
32;36,45;-108,52;0,00;0,00;0,00;-0,11;0,00;0,00;126;147;45;42;34;781;432
33;47,53;-35,09;0,00;0,00;0,00;-0,04;0,00;0,00;175;52;77;31;37;222;215
34;46,74;-45,56;0,00;0,00;0,00;-0,05;0,00;0,00;140;112;198;13;24;547;233
35;40,31;-129,51;0,00;0,00;0,00;-0,13;0,00;0,00;75;165;184;14;32;307;808
36;58,58;45,43;0,00;0,00;0,00;0,05;0,00;0,00;130;71;115;30;17;384;888
37;38,34;-33,47;0,00;0,00;0,00;-0,03;0,00;0,00;71;180;129;38;34;661;192
38;59,46;84,26;0,00;0,00;0,00;0,08;0,00;0,00;410;154;119;21;23;995;955
39;100,00;431,82;0,00;0,00;0,00;0,43;0,00;0,00;148;146;46;45;20;260;861
40;51,69;-4,69;0,00;0,00;0,00;-0,00;0,00;0,00;316;27;199;48;34;789;634
41;44,36;-38,34;0,00;0,00;0,00;-0,04;0,00;0,00;391;32;40;28;29;230;716
42;44,51;-49,39;0,00;0,00;0,00;-0,05;0,00;0,00;14;14;54;11;18;381;314
43;41,52;-25,51;0,00;0,00;0,00;-0,03;0,00;0,00;257;181;194;23;28;950;468
44;52,07;8,20;0,00;0,00;0,00;0,01;0,00;0,00;111;47;187;32;33;846;657
45;36,07;-118,90;0,00;0,00;0,00;-0,12;0,00;0,00;325;64;151;44;27;529;191
46;53,91;-10,70;0,00;0,00;0,00;-0,01;0,00;0,00;443;115;63;37;34;555;583
47;75,24;276,47;0,00;0,00;0,00;0,28;0,00;0,00;399;79;182;45;18;705;798
48;32,95;-151,98;0,00;0,00;0,00;-0,15;0,00;0,00;280;14;24;27;35;391;136
49;42,86;-12,35;0,00;0,00;0,00;-0,01;0,00;0,00;255;54;29;36;28;679;584
50;29,68;-232,02;0,00;0,00;0,00;-0,23;0,00;0,00;462;148;123;26;30;797;642
51;42,89;-38,83;0,00;0,00;0,00;-0,04;0,00;0,00;294;38;132;26;31;166;319
52;42,63;-112,14;0,00;0,00;0,00;-0,11;0,00;0,00;122;108;191;23;24;680;859
53;48,57;15,69;0,00;0,00;0,00;0,02;0,00;0,00;143;71;33;46;34;354;451
54;40,90;-77,20;0,00;0,00;0,00;-0,08;0,00;0,00;286;178;27;30;29;333;773
55;87,00;420,36;0,00;0,00;0,00;0,42;0,00;0,00;121;158;99;17;37;221;779
56;44,34;-57,08;0,00;0,00;0,00;-0,06;0,00;0,00;238;49;45;37;16;312;524
57;44,33;0,06;0,00;0,00;0,00;0,00;0,00;0,00;291;89;62;19;16;338;211
58;61,57;137,01;0,00;0,00;0,00;0,14;0,00;0,00;265;87;147;41;21;859;128
59;40,15;-21,91;0,00;0,00;0,00;-0,02;0,00;0,00;202;114;166;29;24;876;982
60;74,03;194,43;0,00;0,00;0,00;0,19;0,00;0,00;177;78;123;45;15;652;658
61;41,84;-105,90;0,00;0,00;0,00;-0,11;0,00;0,00;375;32;41;37;27;435;572
62;51,79;-49,53;0,00;0,00;0,00;-0,05;0,00;0,00;119;13;155;43;21;424;944
63;58,77;164,53;0,00;0,00;0,00;0,16;0,00;0,00;215;15;35;37;31;883;823
64;24,74;-313,97;0,00;0,00;0,00;-0,31;0,00;0,00;159;188;126;12;21;907;771
65;49,80;-81,59;0,00;0,00;0,00;-0,08;0,00;0,00;160;82;28;11;38;367;689
66;78,19;265,80;0,00;0,00;0,00;0,27;0,00;0,00;182;46;171;38;38;138;225
67;37,22;-176,70;0,00;0,00;0,00;-0,18;0,00;0,00;157;113;67;41;32;952;406
68;48,54;-31,97;0,00;0,00;0,00;-0,03;0,00;0,00;21;194;161;48;24;488;117
69;21,90;-330,72;0,00;0,00;0,00;-0,33;0,00;0,00;150;70;75;20;36;336;797
70;50,44;-65,08;0,00;0,00;0,00;-0,07;0,00;0,00;441;111;163;22;20;803;647
71;38,18;-133,20;0,00;0,00;0,00;-0,13;0,00;0,00;133;26;113;17;22;779;976
72;55,66;86,95;0,00;0,00;0,00;0,09;0,00;0,00;408;199;87;45;21;680;177
73;42,54;-155,73;0,00;0,00;0,00;-0,16;0,00;0,00;88;139;88;33;22;426;914
74;52,49;44,39;0,00;0,00;0,00;0,04;0,00;0,00;353;160;144;31;33;199;488
75;25,74;-199,40;0,00;0,00;0,00;-0,20;0,00;0,00;439;55;112;24;16;699;779
76;48,73;-17,42;0,00;0,00;0,00;-0,02;0,00;0,00;379;60;16;46;38;131;934
77;73,04;303,98;0,00;0,00;0,00;0,30;0,00;0,00;386;10;20;34;16;598;528
78;57,27;40,28;0,00;0,00;0,00;0,04;0,00;0,00;21;79;114;34;24;213;324
79;24,75;-321,46;0,00;0,00;0,00;-0,32;0,00;0,00;122;45;120;16;30;986;559
80;49,27;28,59;0,00;0,00;0,00;0,03;0,00;0,00;223;144;71;37;19;158;983
81;69,15;216,49;0,00;0,00;0,00;0,22;0,00;0,00;24;199;144;30;30;767;194
82;29,17;-201,81;0,00;0,00;0,00;-0,20;0,00;0,00;326;75;62;33;28;685;786
83;36,35;-204,89;0,00;0,00;0,00;-0,20;0,00;0,00;372;95;164;45;27;115;114
84;43,08;-151,06;0,00;0,00;0,00;-0,15;0,00;0,00;282;93;166;47;32;643;562
85;61,31;100,96;0,00;0,00;0,00;0,10;0,00;0,00;140;125;127;30;36;781;362
86;58,85;51,11;0,00;0,00;0,00;0,05;0,00;0,00;276;79;102;15;17;447;959
87;44,07;-79,51;0,00;0,00;0,00;-0,08;0,00;0,00;374;27;68;17;29;275;296
88;57,44;53,20;0,00;0,00;0,00;0,05;0,00;0,00;87;137;157;26;36;301;597
89;47,40;31,57;0,00;0,00;0,00;0,03;0,00;0,00;222;11;182;14;30;153;235
90;53,76;65,66;0,00;0,00;0,00;0,07;0,00;0,00;319;120;103;47;25;596;770
