Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;59,08;-128,84;0,00;0,00;0,00;-0,13;0,00;0,00;148;37;181;24;16;525;131
2;66,35;-22,71;0,00;0,00;0,00;-0,02;0,00;0,00;228;159;111;20;39;645;272
3;12,12;-581,84;0,00;0,00;0,00;-0,58;0,00;0,00;215;162;185;13;24;818;483
4;0,00;-685,76;0,00;0,00;0,00;-0,69;0,00;0,00;297;145;113;48;34;622;693
5;58,34;-98,60;0,00;0,00;0,00;-0,10;0,00;0,00;446;163;62;40;28;417;198
6;72,80;39,09;0,00;0,00;0,00;0,04;0,00;0,00;331;181;130;32;17;879;183
7;83,85;214,97;0,00;0,00;0,00;0,21;0,00;0,00;15;42;135;13;34;797;138
8;40,39;-265,26;0,00;0,00;0,00;-0,27;0,00;0,00;484;28;133;46;30;332;408
9;91,13;280,62;0,00;0,00;0,00;0,28;0,00;0,00;113;46;151;31;17;685;424
10;75,94;49,25;0,00;0,00;0,00;0,05;0,00;0,00;150;134;107;12;22;854;332
11;32,25;-349,94;0,00;0,00;0,00;-0,35;0,00;0,00;363;28;89;33;39;423;165
12;61,10;-155,58;0,00;0,00;0,00;-0,16;0,00;0,00;142;151;13;15;35;124;871
13;40,12;-269,24;0,00;0,00;0,00;-0,27;0,00;0,00;499;85;136;39;20;821;397
14;23,10;-448,93;0,00;0,00;0,00;-0,45;0,00;0,00;113;89;157;26;24;384;380
15;91,41;248,07;0,00;0,00;0,00;0,25;0,00;0,00;53;13;190;48;15;385;548
16;25,85;-428,38;0,00;0,00;0,00;-0,43;0,00;0,00;128;113;156;48;31;796;179
17;55,05;-164,24;0,00;0,00;0,00;-0,16;0,00;0,00;482;103;95;35;27;895;794
18;61,98;-187,17;0,00;0,00;0,00;-0,19;0,00;0,00;67;150;128;29;20;701;788
19;81,08;3,99;0,00;0,00;0,00;0,00;0,00;0,00;32;58;73;47;31;518;225
20;6,63;-525,64;0,00;0,00;0,00;-0,53;0,00;0,00;281;121;61;29;16;750;171
21;72,41;-27,49;0,00;0,00;0,00;-0,03;0,00;0,00;195;153;67;17;18;324;153
22;34,20;-268,67;0,00;0,00;0,00;-0,27;0,00;0,00;122;186;146;30;21;507;893
23;75,06;52,60;0,00;0,00;0,00;0,05;0,00;0,00;458;100;151;39;23;163;787
24;65,52;-143,84;0,00;0,00;0,00;-0,14;0,00;0,00;467;96;36;44;23;764;474
25;74,95;66,85;0,00;0,00;0,00;0,07;0,00;0,00;399;34;103;23;36;639;826
26;76,68;21,64;0,00;0,00;0,00;0,02;0,00;0,00;456;134;14;25;34;549;328
27;52,13;-190,95;0,00;0,00;0,00;-0,19;0,00;0,00;23;30;142;37;26;513;541
28;27,03;-421,31;0,00;0,00;0,00;-0,42;0,00;0,00;399;98;65;13;29;166;425
29;67,90;15,79;0,00;0,00;0,00;0,02;0,00;0,00;198;63;194;26;29;554;716
30;65,36;-10,71;0,00;0,00;0,00;-0,01;0,00;0,00;287;57;167;47;29;269;648
31;55,68;-87,23;0,00;0,00;0,00;-0,09;0,00;0,00;91;40;79;39;27;633;109
32;34,72;-264,31;0,00;0,00;0,00;-0,26;0,00;0,00;59;197;26;18;21;235;974
33;60,47;-84,41;0,00;0,00;0,00;-0,08;0,00;0,00;30;135;143;17;34;868;582
34;47,37;-180,09;0,00;0,00;0,00;-0,18;0,00;0,00;276;70;39;43;39;347;851
35;50,66;-239,94;0,00;0,00;0,00;-0,24;0,00;0,00;413;95;45;15;17;737;418
36;22,60;-520,52;0,00;0,00;0,00;-0,52;0,00;0,00;51;80;116;22;23;817;422
37;6,52;-631,00;0,00;0,00;0,00;-0,63;0,00;0,00;119;117;173;23;37;718;703
38;58,06;-69,55;0,00;0,00;0,00;-0,07;0,00;0,00;244;129;108;15;16;411;662
39;100,00;255,19;0,00;0,00;0,00;0,26;0,00;0,00;96;182;108;30;31;429;198
40;0,00;-694,86;0,00;0,00;0,00;-0,69;0,00;0,00;118;81;154;21;21;781;998
41;55,23;-166,86;0,00;0,00;0,00;-0,17;0,00;0,00;125;57;18;17;37;632;515
42;35,72;-412,39;0,00;0,00;0,00;-0,41;0,00;0,00;451;119;36;26;34;798;594
43;27,48;-397,89;0,00;0,00;0,00;-0,40;0,00;0,00;73;25;53;33;30;697;637
44;38,82;-271,65;0,00;0,00;0,00;-0,27;0,00;0,00;191;179;155;24;38;813;396
