Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;5,40;-683,82;0,00;0,00;0,00;-0,68;0,00;0,00;174;140;81;44;17;705;176
2;44,54;-251,26;0,00;0,00;0,00;-0,25;0,00;0,00;376;16;151;17;36;686;828
3;40,41;-269,02;0,00;0,00;0,00;-0,27;0,00;0,00;32;180;51;29;18;720;386
4;72,16;6,87;0,00;0,00;0,00;0,01;0,00;0,00;335;131;38;46;16;367;374
5;21,55;-554,44;0,00;0,00;0,00;-0,55;0,00;0,00;135;73;30;17;22;506;767
6;39,49;-304,91;0,00;0,00;0,00;-0,30;0,00;0,00;149;51;174;28;16;169;468
7;58,72;-125,23;0,00;0,00;0,00;-0,13;0,00;0,00;377;178;179;40;35;318;875
8;74,77;1,21;0,00;0,00;0,00;0,00;0,00;0,00;434;55;150;45;33;669;928
9;69,25;53,50;0,00;0,00;0,00;0,05;0,00;0,00;486;102;44;45;31;564;407
10;47,75;-197,28;0,00;0,00;0,00;-0,20;0,00;0,00;305;192;83;49;33;948;183
11;65,98;6,81;0,00;0,00;0,00;0,01;0,00;0,00;47;157;72;30;30;889;394
12;10,91;-571,35;0,00;0,00;0,00;-0,57;0,00;0,00;86;159;120;35;36;597;985
13;48,49;-180,93;0,00;0,00;0,00;-0,18;0,00;0,00;184;63;61;24;24;775;998
14;33,06;-420,40;0,00;0,00;0,00;-0,42;0,00;0,00;303;170;194;29;30;890;525
15;63,90;-111,12;0,00;0,00;0,00;-0,11;0,00;0,00;364;182;160;12;25;960;541
16;7,26;-616,11;0,00;0,00;0,00;-0,62;0,00;0,00;175;168;161;41;36;606;633
17;50,02;-191,99;0,00;0,00;0,00;-0,19;0,00;0,00;111;74;172;26;18;561;522
18;51,23;-148,26;0,00;0,00;0,00;-0,15;0,00;0,00;451;176;43;45;15;982;614
19;52,43;-190,49;0,00;0,00;0,00;-0,19;0,00;0,00;446;90;167;30;26;995;705
20;32,45;-386,64;0,00;0,00;0,00;-0,39;0,00;0,00;147;127;60;49;36;202;227
21;86,09;130,97;0,00;0,00;0,00;0,13;0,00;0,00;475;126;179;26;20;652;249
22;47,24;-225,24;0,00;0,00;0,00;-0,23;0,00;0,00;438;120;55;46;28;294;574
23;11,54;-537,27;0,00;0,00;0,00;-0,54;0,00;0,00;45;139;185;30;27;249;144
24;46,32;-183,11;0,00;0,00;0,00;-0,18;0,00;0,00;94;144;143;37;36;818;451
25;42,62;-257,18;0,00;0,00;0,00;-0,26;0,00;0,00;245;57;83;28;35;142;189
26;51,04;-128,56;0,00;0,00;0,00;-0,13;0,00;0,00;27;61;185;21;16;627;705
27;74,10;46,39;0,00;0,00;0,00;0,05;0,00;0,00;231;66;176;12;17;225;358
28;37,42;-328,76;0,00;0,00;0,00;-0,33;0,00;0,00;313;179;173;47;19;455;489
29;50,33;-171,48;0,00;0,00;0,00;-0,17;0,00;0,00;312;131;16;42;28;156;641
30;56,40;-92,81;0,00;0,00;0,00;-0,09;0,00;0,00;406;170;79;47;32;364;998
31;31,22;-397,60;0,00;0,00;0,00;-0,40;0,00;0,00;227;140;180;33;24;388;626
32;36,18;-320,70;0,00;0,00;0,00;-0,32;0,00;0,00;347;174;72;44;37;949;222
33;86,71;137,58;0,00;0,00;0,00;0,14;0,00;0,00;77;112;142;36;18;467;748
34;88,93;278,11;0,00;0,00;0,00;0,28;0,00;0,00;419;146;148;49;23;739;339
35;0,00;-691,65;0,00;0,00;0,00;-0,69;0,00;0,00;175;171;52;28;27;980;233
36;69,88;-98,96;0,00;0,00;0,00;-0,10;0,00;0,00;204;148;184;15;23;109;334
37;100,00;185,72;0,00;0,00;0,00;0,19;0,00;0,00;102;152;175;38;19;218;529
38;51,23;-17,15;0,00;0,00;0,00;-0,02;0,00;0,00;286;88;187;13;15;759;141
39;56,80;-191,59;0,00;0,00;0,00;-0,19;0,00;0,00;463;189;146;45;31;367;574
40;47,01;-269,34;0,00;0,00;0,00;-0,27;0,00;0,00;371;44;109;16;37;960;597
41;43,51;-241,16;0,00;0,00;0,00;-0,24;0,00;0,00;373;66;71;47;31;318;831
42;31,60;-325,01;0,00;0,00;0,00;-0,33;0,00;0,00;154;115;88;33;29;217;588
43;65,15;-103,69;0,00;0,00;0,00;-0,10;0,00;0,00;175;91;90;30;33;384;548
44;3,47;-611,59;0,00;0,00;0,00;-0,61;0,00;0,00;31;155;174;42;38;651;674
45;81,99;38,45;0,00;0,00;0,00;0,04;0,00;0,00;353;148;121;16;21;638;478
46;83,55;150,93;0,00;0,00;0,00;0,15;0,00;0,00;366;143;48;41;21;529;359
47;82,53;127,50;0,00;0,00;0,00;0,13;0,00;0,00;129;83;34;44;27;952;622
48;68,51;49,76;0,00;0,00;0,00;0,05;0,00;0,00;185;79;43;21;27;113;306
