Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;8,56;-661,16;0,00;0,00;0,00;-0,66;0,00;0,00;476;140;81;44;17;705;176
2;47,88;-195,76;0,00;0,00;0,00;-0,20;0,00;0,00;22;16;151;17;36;686;828
3;30,65;-424,18;0,00;0,00;0,00;-0,42;0,00;0,00;365;180;51;29;18;720;386
4;48,27;-199,03;0,00;0,00;0,00;-0,20;0,00;0,00;261;131;38;46;16;367;374
5;61,83;-76,61;0,00;0,00;0,00;-0,08;0,00;0,00;482;73;30;17;22;506;767
6;58,71;-129,55;0,00;0,00;0,00;-0,13;0,00;0,00;173;51;174;28;16;169;468
7;38,64;-256,64;0,00;0,00;0,00;-0,26;0,00;0,00;427;178;179;40;35;318;875
8;22,45;-469,45;0,00;0,00;0,00;-0,47;0,00;0,00;294;55;150;45;33;669;928
9;49,78;-151,24;0,00;0,00;0,00;-0,15;0,00;0,00;109;102;44;45;31;564;407
10;32,92;-316,39;0,00;0,00;0,00;-0,32;0,00;0,00;115;192;83;49;33;948;183
11;43,90;-298,33;0,00;0,00;0,00;-0,30;0,00;0,00;127;157;72;30;30;889;394
12;0,00;-760,55;0,00;0,00;0,00;-0,76;0,00;0,00;32;159;120;35;36;597;985
13;29,71;-398,13;0,00;0,00;0,00;-0,40;0,00;0,00;128;63;61;24;24;775;998
14;65,88;21,33;0,00;0,00;0,00;0,02;0,00;0,00;291;170;194;29;30;890;525
15;42,10;-323,60;0,00;0,00;0,00;-0,32;0,00;0,00;361;182;160;12;25;960;541
16;8,10;-591,20;0,00;0,00;0,00;-0,59;0,00;0,00;288;168;161;41;36;606;633
17;70,47;-125,32;0,00;0,00;0,00;-0,13;0,00;0,00;23;74;172;26;18;561;522
18;71,04;52,97;0,00;0,00;0,00;0,05;0,00;0,00;99;176;43;45;15;982;614
19;43,48;-307,77;0,00;0,00;0,00;-0,31;0,00;0,00;277;90;167;30;26;995;705
20;1,74;-652,89;0,00;0,00;0,00;-0,65;0,00;0,00;333;127;60;49;36;202;227
21;88,82;142,63;0,00;0,00;0,00;0,14;0,00;0,00;492;126;179;26;20;652;249
22;9,75;-607,16;0,00;0,00;0,00;-0,61;0,00;0,00;55;120;55;46;28;294;574
23;22,96;-419,67;0,00;0,00;0,00;-0,42;0,00;0,00;175;139;185;30;27;249;144
