Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;36,54;-223,71;0,00;0,00;0,00;-0,22;0,00;0,00;23;150;98;38;19;872;349
2;63,13;133,59;0,00;0,00;0,00;0,13;0,00;0,00;126;54;118;42;29;904;851
3;58,34;146,04;0,00;0,00;0,00;0,15;0,00;0,00;373;193;135;38;35;556;207
4;69,37;263,96;0,00;0,00;0,00;0,26;0,00;0,00;31;130;155;25;17;304;999
5;51,58;41,51;0,00;0,00;0,00;0,04;0,00;0,00;84;187;108;41;33;493;622
6;50,18;-35,59;0,00;0,00;0,00;-0,04;0,00;0,00;80;102;71;49;37;136;976
7;52,00;63,67;0,00;0,00;0,00;0,06;0,00;0,00;352;124;19;16;33;683;797
8;55,12;96,64;0,00;0,00;0,00;0,10;0,00;0,00;15;87;69;19;39;862;898
9;18,07;-242,92;0,00;0,00;0,00;-0,24;0,00;0,00;287;68;116;33;25;762;340
10;51,87;43,24;0,00;0,00;0,00;0,04;0,00;0,00;22;162;75;49;23;792;965
11;62,32;160,91;0,00;0,00;0,00;0,16;0,00;0,00;475;147;16;39;17;990;977
12;45,21;-48,31;0,00;0,00;0,00;-0,05;0,00;0,00;71;163;12;32;20;981;795
13;53,11;37,98;0,00;0,00;0,00;0,04;0,00;0,00;404;155;83;41;34;989;624
14;23,27;-257,20;0,00;0,00;0,00;-0,26;0,00;0,00;430;106;68;38;32;895;407
15;54,63;70,59;0,00;0,00;0,00;0,07;0,00;0,00;437;60;66;13;17;714;950
16;46,81;-105,64;0,00;0,00;0,00;-0,11;0,00;0,00;379;54;194;17;33;918;987
17;26,09;-250,59;0,00;0,00;0,00;-0,25;0,00;0,00;287;163;189;39;24;224;123
18;67,85;267,57;0,00;0,00;0,00;0,27;0,00;0,00;309;185;191;43;35;479;850
19;34,64;-157,87;0,00;0,00;0,00;-0,16;0,00;0,00;127;98;136;42;22;363;920
20;61,87;212,41;0,00;0,00;0,00;0,21;0,00;0,00;324;180;107;18;28;396;447
21;72,50;216,08;0,00;0,00;0,00;0,22;0,00;0,00;305;126;129;21;29;516;637
22;43,63;-11,05;0,00;0,00;0,00;-0,01;0,00;0,00;61;144;143;20;37;697;951
23;47,09;39,18;0,00;0,00;0,00;0,04;0,00;0,00;302;92;92;20;18;928;737
24;51,95;-23,06;0,00;0,00;0,00;-0,02;0,00;0,00;329;104;134;16;16;852;290
25;38,49;-182,20;0,00;0,00;0,00;-0,18;0,00;0,00;176;92;50;10;16;165;272
26;41,56;-119,01;0,00;0,00;0,00;-0,12;0,00;0,00;437;184;129;33;26;453;452
27;37,96;-139,41;0,00;0,00;0,00;-0,14;0,00;0,00;406;115;191;33;18;986;307
