Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;65,94;52,36;0,00;0,00;0,00;0,05;0,00;0,00;173;37;181;24;16;525;131
2;57,66;-107,68;0,00;0,00;0,00;-0,11;0,00;0,00;270;159;111;20;39;645;272
3;43,33;-244,52;0,00;0,00;0,00;-0,24;0,00;0,00;86;162;185;13;24;818;483
4;0,00;-654,95;0,00;0,00;0,00;-0,65;0,00;0,00;326;145;113;48;34;622;693
5;52,77;-183,43;0,00;0,00;0,00;-0,18;0,00;0,00;476;163;62;40;28;417;198
6;37,02;-303,20;0,00;0,00;0,00;-0,30;0,00;0,00;301;181;130;32;17;879;183
7;100,00;248,04;0,00;0,00;0,00;0,25;0,00;0,00;104;42;135;13;34;797;138
8;66,10;8,14;0,00;0,00;0,00;0,01;0,00;0,00;128;28;133;46;30;332;408
9;32,08;-421,98;0,00;0,00;0,00;-0,42;0,00;0,00;272;46;151;31;17;685;424
10;5,11;-712,04;0,00;0,00;0,00;-0,71;0,00;0,00;372;134;107;12;22;854;332
11;14,86;-595,52;0,00;0,00;0,00;-0,60;0,00;0,00;181;28;89;33;39;423;165
12;59,66;-36,10;0,00;0,00;0,00;-0,04;0,00;0,00;371;151;13;15;35;124;871
13;52,42;-127,52;0,00;0,00;0,00;-0,13;0,00;0,00;351;85;136;39;20;821;397
14;64,00;-70,44;0,00;0,00;0,00;-0,07;0,00;0,00;432;89;157;26;24;384;380
15;59,10;-148,51;0,00;0,00;0,00;-0,15;0,00;0,00;487;13;190;48;15;385;548
16;0,00;-771,96;0,00;0,00;0,00;-0,77;0,00;0,00;177;113;156;48;31;796;179
17;77,56;94,21;0,00;0,00;0,00;0,09;0,00;0,00;317;103;95;35;27;895;794
18;20,73;-399,18;0,00;0,00;0,00;-0,40;0,00;0,00;245;150;128;29;20;701;788
19;79,51;150,62;0,00;0,00;0,00;0,15;0,00;0,00;183;58;73;47;31;518;225
20;54,30;-190,42;0,00;0,00;0,00;-0,19;0,00;0,00;115;121;61;29;16;750;171
21;91,65;237,48;0,00;0,00;0,00;0,24;0,00;0,00;171;153;67;17;18;324;153
22;42,52;-234,75;0,00;0,00;0,00;-0,23;0,00;0,00;476;186;146;30;21;507;893
23;53,05;-257,40;0,00;0,00;0,00;-0,26;0,00;0,00;48;100;151;39;23;163;787
24;80,94;92,02;0,00;0,00;0,00;0,09;0,00;0,00;179;96;36;44;23;764;474
25;50,50;-235,03;0,00;0,00;0,00;-0,24;0,00;0,00;126;34;103;23;36;639;826
26;61,55;-75,28;0,00;0,00;0,00;-0,08;0,00;0,00;389;134;14;25;34;549;328
27;51,49;-128,91;0,00;0,00;0,00;-0,13;0,00;0,00;398;30;142;37;26;513;541
28;36,59;-278,41;0,00;0,00;0,00;-0,28;0,00;0,00;355;98;65;13;29;166;425
29;45,67;-306,87;0,00;0,00;0,00;-0,31;0,00;0,00;236;63;194;26;29;554;716
30;75,39;71,31;0,00;0,00;0,00;0,07;0,00;0,00;159;57;167;47;29;269;648
31;80,12;74,15;0,00;0,00;0,00;0,07;0,00;0,00;64;40;79;39;27;633;109
32;23,64;-495,71;0,00;0,00;0,00;-0,50;0,00;0,00;330;197;26;18;21;235;974
33;45,41;-227,90;0,00;0,00;0,00;-0,23;0,00;0,00;445;135;143;17;34;868;582
34;29,85;-319,09;0,00;0,00;0,00;-0,32;0,00;0,00;212;70;39;43;39;347;851
35;35,93;-312,82;0,00;0,00;0,00;-0,31;0,00;0,00;366;95;45;15;17;737;418
36;2,57;-659,23;0,00;0,00;0,00;-0,66;0,00;0,00;211;80;116;22;23;817;422
37;48,93;-212,61;0,00;0,00;0,00;-0,21;0,00;0,00;25;117;173;23;37;718;703
38;57,97;-67,53;0,00;0,00;0,00;-0,07;0,00;0,00;352;129;108;15;16;411;662
39;57,07;-72,62;0,00;0,00;0,00;-0,07;0,00;0,00;13;182;108;30;31;429;198
40;24,95;-439,66;0,00;0,00;0,00;-0,44;0,00;0,00;376;81;154;21;21;781;998
41;38,85;-338,34;0,00;0,00;0,00;-0,34;0,00;0,00;464;57;18;17;37;632;515
42;23,64;-452,39;0,00;0,00;0,00;-0,45;0,00;0,00;238;119;36;26;34;798;594
43;31,70;-401,99;0,00;0,00;0,00;-0,40;0,00;0,00;370;25;53;33;30;697;637
44;46,27;-235,68;0,00;0,00;0,00;-0,24;0,00;0,00;155;179;155;24;38;813;396
45;57,42;-130,09;0,00;0,00;0,00;-0,13;0,00;0,00;395;150;164;13;24;730;805
46;66,29;3,53;0,00;0,00;0,00;0,00;0,00;0,00;131;139;138;25;21;739;420
47;94,94;290,26;0,00;0,00;0,00;0,29;0,00;0,00;444;87;150;43;19;230;144
48;55,74;-104,98;0,00;0,00;0,00;-0,10;0,00;0,00;119;77;104;45;21;828;592
49;54,84;-135,08;0,00;0,00;0,00;-0,14;0,00;0,00;143;180;25;16;19;915;958
50;55,65;-188,83;0,00;0,00;0,00;-0,19;0,00;0,00;47;100;73;49;27;931;925
51;46,74;-247,51;0,00;0,00;0,00;-0,25;0,00;0,00;475;120;196;32;34;550;147
52;52,56;-195,74;0,00;0,00;0,00;-0,20;0,00;0,00;427;35;150;39;19;702;770
53;51,38;-164,44;0,00;0,00;0,00;-0,16;0,00;0,00;210;119;15;15;21;325;711
54;42,77;-299,24;0,00;0,00;0,00;-0,30;0,00;0,00;47;157;97;15;34;959;459
55;30,35;-459,47;0,00;0,00;0,00;-0,46;0,00;0,00;43;171;170;36;35;665;550
56;66,96;-40,91;0,00;0,00;0,00;-0,04;0,00;0,00;130;151;105;26;26;361;215
57;32,67;-342,42;0,00;0,00;0,00;-0,34;0,00;0,00;38;18;56;17;27;932;854
58;21,18;-457,07;0,00;0,00;0,00;-0,46;0,00;0,00;102;63;51;18;19;464;291
59;41,61;-331,34;0,00;0,00;0,00;-0,33;0,00;0,00;313;87;119;30;30;174;136
60;60,69;-83,05;0,00;0,00;0,00;-0,08;0,00;0,00;335;105;19;43;19;355;605
61;36,28;-361,44;0,00;0,00;0,00;-0,36;0,00;0,00;371;167;147;48;30;152;159
62;44,70;-254,18;0,00;0,00;0,00;-0,25;0,00;0,00;216;188;87;33;15;541;112
63;64,03;61,18;0,00;0,00;0,00;0,06;0,00;0,00;211;84;150;33;21;588;834
64;62,27;-162,89;0,00;0,00;0,00;-0,16;0,00;0,00;64;171;198;29;18;843;924
