Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;28,68;-446,62;0,00;0,00;0,00;-0,45;0,00;0,00;198;140;81;44;17;705;176
2;1,39;-698,09;0,00;0,00;0,00;-0,70;0,00;0,00;133;16;151;17;36;686;828
3;34,80;-300,58;0,00;0,00;0,00;-0,30;0,00;0,00;194;180;51;29;18;720;386
4;64,97;6,55;0,00;0,00;0,00;0,01;0,00;0,00;492;131;38;46;16;367;374
5;42,01;-287,22;0,00;0,00;0,00;-0,29;0,00;0,00;91;73;30;17;22;506;767
6;56,48;-175,70;0,00;0,00;0,00;-0,18;0,00;0,00;285;51;174;28;16;169;468
7;40,91;-319,80;0,00;0,00;0,00;-0,32;0,00;0,00;91;178;179;40;35;318;875
8;23,29;-466,54;0,00;0,00;0,00;-0,47;0,00;0,00;335;55;150;45;33;669;928
9;45,42;-316,86;0,00;0,00;0,00;-0,32;0,00;0,00;440;102;44;45;31;564;407
10;81,75;139,31;0,00;0,00;0,00;0,14;0,00;0,00;57;192;83;49;33;948;183
11;41,91;-265,87;0,00;0,00;0,00;-0,27;0,00;0,00;416;157;72;30;30;889;394
12;23,62;-425,33;0,00;0,00;0,00;-0,43;0,00;0,00;282;159;120;35;36;597;985
13;47,62;-264,23;0,00;0,00;0,00;-0,26;0,00;0,00;325;63;61;24;24;775;998
14;68,74;1,98;0,00;0,00;0,00;0,00;0,00;0,00;24;170;194;29;30;890;525
15;42,40;-229,73;0,00;0,00;0,00;-0,23;0,00;0,00;88;182;160;12;25;960;541
16;61,68;-124,68;0,00;0,00;0,00;-0,12;0,00;0,00;136;168;161;41;36;606;633
17;50,80;-210,18;0,00;0,00;0,00;-0,21;0,00;0,00;356;74;172;26;18;561;522
18;59,52;-73,37;0,00;0,00;0,00;-0,07;0,00;0,00;326;176;43;45;15;982;614
19;58,09;-24,72;0,00;0,00;0,00;-0,02;0,00;0,00;106;90;167;30;26;995;705
20;9,51;-648,65;0,00;0,00;0,00;-0,65;0,00;0,00;150;127;60;49;36;202;227
21;96,83;312,42;0,00;0,00;0,00;0,31;0,00;0,00;261;126;179;26;20;652;249
22;64,70;-23,49;0,00;0,00;0,00;-0,02;0,00;0,00;37;120;55;46;28;294;574
23;62,12;-59,64;0,00;0,00;0,00;-0,06;0,00;0,00;145;139;185;30;27;249;144
24;45,73;-294,07;0,00;0,00;0,00;-0,29;0,00;0,00;491;144;143;37;36;818;451
25;41,93;-294,19;0,00;0,00;0,00;-0,29;0,00;0,00;153;57;83;28;35;142;189
26;39,52;-329,47;0,00;0,00;0,00;-0,33;0,00;0,00;21;61;185;21;16;627;705
