Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;35,67;-296,38;0,00;0,00;0,00;-0,30;0,00;0,00;372;37;181;24;16;525;131
2;46,33;-219,70;0,00;0,00;0,00;-0,22;0,00;0,00;491;159;111;20;39;645;272
3;37,98;-355,49;0,00;0,00;0,00;-0,36;0,00;0,00;50;162;185;13;24;818;483
4;29,94;-416,40;0,00;0,00;0,00;-0,42;0,00;0,00;399;145;113;48;34;622;693
5;61,25;-134,36;0,00;0,00;0,00;-0,13;0,00;0,00;483;163;62;40;28;417;198
6;58,86;-154,97;0,00;0,00;0,00;-0,15;0,00;0,00;154;181;130;32;17;879;183
7;100,00;292,74;0,00;0,00;0,00;0,29;0,00;0,00;292;42;135;13;34;797;138
8;40,13;-237,87;0,00;0,00;0,00;-0,24;0,00;0,00;89;28;133;46;30;332;408
9;17,45;-577,59;0,00;0,00;0,00;-0,58;0,00;0,00;392;46;151;31;17;685;424
10;37,40;-307,84;0,00;0,00;0,00;-0,31;0,00;0,00;186;134;107;12;22;854;332
11;0,00;-709,95;0,00;0,00;0,00;-0,71;0,00;0,00;111;28;89;33;39;423;165
12;37,40;-266,49;0,00;0,00;0,00;-0,27;0,00;0,00;156;151;13;15;35;124;871
13;56,61;-188,89;0,00;0,00;0,00;-0,19;0,00;0,00;276;85;136;39;20;821;397
14;39,03;-300,70;0,00;0,00;0,00;-0,30;0,00;0,00;184;89;157;26;24;384;380
15;40,50;-221,66;0,00;0,00;0,00;-0,22;0,00;0,00;212;13;190;48;15;385;548
16;61,51;-17,68;0,00;0,00;0,00;-0,02;0,00;0,00;400;113;156;48;31;796;179
17;41,15;-377,74;0,00;0,00;0,00;-0,38;0,00;0,00;344;103;95;35;27;895;794
18;68,81;37,18;0,00;0,00;0,00;0,04;0,00;0,00;37;150;128;29;20;701;788
19;23,10;-586,41;0,00;0,00;0,00;-0,59;0,00;0,00;223;58;73;47;31;518;225
20;9,32;-669,45;0,00;0,00;0,00;-0,67;0,00;0,00;377;121;61;29;16;750;171
21;64,30;-104,59;0,00;0,00;0,00;-0,10;0,00;0,00;428;153;67;17;18;324;153
22;24,87;-505,49;0,00;0,00;0,00;-0,51;0,00;0,00;258;186;146;30;21;507;893
23;78,88;192,22;0,00;0,00;0,00;0,19;0,00;0,00;155;100;151;39;23;163;787
24;60,22;-105,00;0,00;0,00;0,00;-0,10;0,00;0,00;267;96;36;44;23;764;474
25;43,63;-230,21;0,00;0,00;0,00;-0,23;0,00;0,00;202;34;103;23;36;639;826
26;77,11;47,07;0,00;0,00;0,00;0,05;0,00;0,00;87;134;14;25;34;549;328
27;54,31;-104,92;0,00;0,00;0,00;-0,10;0,00;0,00;258;30;142;37;26;513;541
28;38,20;-328,22;0,00;0,00;0,00;-0,33;0,00;0,00;369;98;65;13;29;166;425
29;18,35;-538,17;0,00;0,00;0,00;-0,54;0,00;0,00;377;63;194;26;29;554;716
30;65,77;-33,20;0,00;0,00;0,00;-0,03;0,00;0,00;60;57;167;47;29;269;648
31;62,34;14,61;0,00;0,00;0,00;0,01;0,00;0,00;305;40;79;39;27;633;109
32;51,89;-193,49;0,00;0,00;0,00;-0,19;0,00;0,00;248;197;26;18;21;235;974
33;79,11;29,83;0,00;0,00;0,00;0,03;0,00;0,00;223;135;143;17;34;868;582
34;39,08;-291,59;0,00;0,00;0,00;-0,29;0,00;0,00;381;70;39;43;39;347;851
35;30,86;-433,53;0,00;0,00;0,00;-0,43;0,00;0,00;79;95;45;15;17;737;418
36;21,26;-510,34;0,00;0,00;0,00;-0,51;0,00;0,00;361;80;116;22;23;817;422
37;22,41;-463,21;0,00;0,00;0,00;-0,46;0,00;0,00;81;117;173;23;37;718;703
38;69,26;-15,99;0,00;0,00;0,00;-0,02;0,00;0,00;477;129;108;15;16;411;662
39;48,77;-234,16;0,00;0,00;0,00;-0,23;0,00;0,00;241;182;108;30;31;429;198
40;11,23;-672,53;0,00;0,00;0,00;-0,67;0,00;0,00;168;81;154;21;21;781;998
41;44,01;-335,58;0,00;0,00;0,00;-0,34;0,00;0,00;451;57;18;17;37;632;515
42;26,32;-446,93;0,00;0,00;0,00;-0,45;0,00;0,00;367;119;36;26;34;798;594
43;0,00;-756,86;0,00;0,00;0,00;-0,76;0,00;0,00;178;25;53;33;30;697;637
44;17,04;-590,20;0,00;0,00;0,00;-0,59;0,00;0,00;73;179;155;24;38;813;396
45;64,23;-34,41;0,00;0,00;0,00;-0,03;0,00;0,00;53;150;164;13;24;730;805
46;49,15;-250,70;0,00;0,00;0,00;-0,25;0,00;0,00;257;139;138;25;21;739;420
47;54,86;-132,67;0,00;0,00;0,00;-0,13;0,00;0,00;116;87;150;43;19;230;144
48;34,91;-286,53;0,00;0,00;0,00;-0,29;0,00;0,00;473;77;104;45;21;828;592
49;53,28;-121,71;0,00;0,00;0,00;-0,12;0,00;0,00;258;180;25;16;19;915;958
50;5,67;-682,32;0,00;0,00;0,00;-0,68;0,00;0,00;109;100;73;49;27;931;925
51;50,65;-84,38;0,00;0,00;0,00;-0,08;0,00;0,00;351;120;196;32;34;550;147
52;38,34;-327,79;0,00;0,00;0,00;-0,33;0,00;0,00;405;35;150;39;19;702;770
53;23,49;-540,44;0,00;0,00;0,00;-0,54;0,00;0,00;465;119;15;15;21;325;711
54;2,65;-668,20;0,00;0,00;0,00;-0,67;0,00;0,00;311;157;97;15;34;959;459
55;59,92;-84,93;0,00;0,00;0,00;-0,08;0,00;0,00;311;171;170;36;35;665;550
56;23,64;-380,50;0,00;0,00;0,00;-0,38;0,00;0,00;25;151;105;26;26;361;215
57;60,79;-151,54;0,00;0,00;0,00;-0,15;0,00;0,00;309;18;56;17;27;932;854
58;42,09;-252,11;0,00;0,00;0,00;-0,25;0,00;0,00;168;63;51;18;19;464;291
59;21,53;-506,28;0,00;0,00;0,00;-0,51;0,00;0,00;309;87;119;30;30;174;136
60;65,65;-54,87;0,00;0,00;0,00;-0,05;0,00;0,00;151;105;19;43;19;355;605
61;1,84;-685,96;0,00;0,00;0,00;-0,69;0,00;0,00;430;167;147;48;30;152;159
62;84,53;162,24;0,00;0,00;0,00;0,16;0,00;0,00;322;188;87;33;15;541;112
63;54,78;-122,59;0,00;0,00;0,00;-0,12;0,00;0,00;477;84;150;33;21;588;834
64;100,00;309,71;0,00;0,00;0,00;0,31;0,00;0,00;59;171;198;29;18;843;924
65;23,36;-373,63;0,00;0,00;0,00;-0,37;0,00;0,00;273;38;166;37;31;294;488
66;0,00;-690,45;0,00;0,00;0,00;-0,69;0,00;0,00;208;179;144;27;17;901;444
67;66,09;85,35;0,00;0,00;0,00;0,09;0,00;0,00;413;188;166;13;32;993;881
68;8,88;-616,16;0,00;0,00;0,00;-0,62;0,00;0,00;92;32;191;43;39;182;924
69;89,22;237,06;0,00;0,00;0,00;0,24;0,00;0,00;290;144;164;20;30;638;142
70;46,42;-257,23;0,00;0,00;0,00;-0,26;0,00;0,00;277;137;127;45;30;807;377
71;13,59;-471,72;0,00;0,00;0,00;-0,47;0,00;0,00;118;118;160;44;15;658;945
72;45,05;-251,00;0,00;0,00;0,00;-0,25;0,00;0,00;448;181;78;46;25;681;751
73;70,58;-43,64;0,00;0,00;0,00;-0,04;0,00;0,00;182;18;19;47;25;435;741
