Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,81;-97,08;0,00;0,00;0,00;-0,10;0,00;0,00;270;150;98;38;19;872;349
2;54,95;124,96;0,00;0,00;0,00;0,12;0,00;0,00;217;54;118;42;29;904;851
3;57,73;89,51;0,00;0,00;0,00;0,09;0,00;0,00;313;193;135;38;35;556;207
4;59,30;85,65;0,00;0,00;0,00;0,09;0,00;0,00;305;130;155;25;17;304;999
5;61,14;185,56;0,00;0,00;0,00;0,19;0,00;0,00;305;187;108;41;33;493;622
6;63,41;128,36;0,00;0,00;0,00;0,13;0,00;0,00;158;102;71;49;37;136;976
7;64,81;213,51;0,00;0,00;0,00;0,21;0,00;0,00;287;124;19;16;33;683;797
8;49,01;-2,46;0,00;0,00;0,00;-0,00;0,00;0,00;403;87;69;19;39;862;898
9;24,77;-239,82;0,00;0,00;0,00;-0,24;0,00;0,00;420;68;116;33;25;762;340
10;44,42;-136,34;0,00;0,00;0,00;-0,14;0,00;0,00;73;162;75;49;23;792;965
11;63,37;42,57;0,00;0,00;0,00;0,04;0,00;0,00;52;147;16;39;17;990;977
12;47,50;-9,29;0,00;0,00;0,00;-0,01;0,00;0,00;490;163;12;32;20;981;795
13;54,00;67,03;0,00;0,00;0,00;0,07;0,00;0,00;209;155;83;41;34;989;624
14;28,03;-200,73;0,00;0,00;0,00;-0,20;0,00;0,00;323;106;68;38;32;895;407
15;51,49;59,76;0,00;0,00;0,00;0,06;0,00;0,00;13;60;66;13;17;714;950
16;47,68;-79,57;0,00;0,00;0,00;-0,08;0,00;0,00;353;54;194;17;33;918;987
17;31,24;-272,72;0,00;0,00;0,00;-0,27;0,00;0,00;394;163;189;39;24;224;123
18;65,26;210,96;0,00;0,00;0,00;0,21;0,00;0,00;266;185;191;43;35;479;850
19;34,95;-117,99;0,00;0,00;0,00;-0,12;0,00;0,00;137;98;136;42;22;363;920
20;50,41;37,85;0,00;0,00;0,00;0,04;0,00;0,00;105;180;107;18;28;396;447
21;70,49;159,47;0,00;0,00;0,00;0,16;0,00;0,00;314;126;129;21;29;516;637
22;47,98;24,08;0,00;0,00;0,00;0,02;0,00;0,00;478;144;143;20;37;697;951
23;47,43;-106,99;0,00;0,00;0,00;-0,11;0,00;0,00;21;92;92;20;18;928;737
24;60,42;53,44;0,00;0,00;0,00;0,05;0,00;0,00;104;104;134;16;16;852;290
25;44,67;-74,82;0,00;0,00;0,00;-0,07;0,00;0,00;351;92;50;10;16;165;272
26;49,43;11,67;0,00;0,00;0,00;0,01;0,00;0,00;220;184;129;33;26;453;452
27;45,84;-13,48;0,00;0,00;0,00;-0,01;0,00;0,00;48;115;191;33;18;986;307
28;41,34;-133,63;0,00;0,00;0,00;-0,13;0,00;0,00;234;13;154;11;23;747;162
29;58,98;93,85;0,00;0,00;0,00;0,09;0,00;0,00;120;87;172;33;20;582;343
30;39,38;-48,85;0,00;0,00;0,00;-0,05;0,00;0,00;312;72;193;41;23;350;790
31;66,92;127,18;0,00;0,00;0,00;0,13;0,00;0,00;489;78;143;33;15;199;988
32;32,60;-241,85;0,00;0,00;0,00;-0,24;0,00;0,00;260;147;45;42;34;781;432
33;51,15;-1,51;0,00;0,00;0,00;-0,00;0,00;0,00;194;52;77;31;37;222;215
34;41,40;-105,87;0,00;0,00;0,00;-0,11;0,00;0,00;445;112;198;13;24;547;233
35;44,60;-50,19;0,00;0,00;0,00;-0,05;0,00;0,00;418;165;184;14;32;307;808
36;53,59;-53,86;0,00;0,00;0,00;-0,05;0,00;0,00;329;71;115;30;17;384;888
37;39,54;-90,62;0,00;0,00;0,00;-0,09;0,00;0,00;283;180;129;38;34;661;192
38;60,09;115,85;0,00;0,00;0,00;0,12;0,00;0,00;86;154;119;21;23;995;955
39;100,00;379,39;0,00;0,00;0,00;0,38;0,00;0,00;96;146;46;45;20;260;861
40;57,00;59,01;0,00;0,00;0,00;0,06;0,00;0,00;285;27;199;48;34;789;634
41;40,75;-121,45;0,00;0,00;0,00;-0,12;0,00;0,00;24;32;40;28;29;230;716
42;46,22;-75,36;0,00;0,00;0,00;-0,08;0,00;0,00;54;14;54;11;18;381;314
43;44,37;31,62;0,00;0,00;0,00;0,03;0,00;0,00;314;181;194;23;28;950;468
44;53,35;42,57;0,00;0,00;0,00;0,04;0,00;0,00;11;47;187;32;33;846;657
45;34,83;-179,93;0,00;0,00;0,00;-0,18;0,00;0,00;499;64;151;44;27;529;191
46;47,65;-14,46;0,00;0,00;0,00;-0,01;0,00;0,00;178;115;63;37;34;555;583
47;72,83;170,47;0,00;0,00;0,00;0,17;0,00;0,00;37;79;182;45;18;705;798
48;36,75;-77,60;0,00;0,00;0,00;-0,08;0,00;0,00;232;14;24;27;35;391;136
49;36,80;-217,22;0,00;0,00;0,00;-0,22;0,00;0,00;375;54;29;36;28;679;584
50;23,30;-320,05;0,00;0,00;0,00;-0,32;0,00;0,00;193;148;123;26;30;797;642
51;37,83;-77,61;0,00;0,00;0,00;-0,08;0,00;0,00;199;38;132;26;31;166;319
52;50,31;-75,86;0,00;0,00;0,00;-0,08;0,00;0,00;10;108;191;23;24;680;859
53;52,48;98,85;0,00;0,00;0,00;0,10;0,00;0,00;143;71;33;46;34;354;451
54;40,04;-79,83;0,00;0,00;0,00;-0,08;0,00;0,00;149;178;27;30;29;333;773
55;91,54;364,37;0,00;0,00;0,00;0,36;0,00;0,00;146;158;99;17;37;221;779
56;55,53;42,79;0,00;0,00;0,00;0,04;0,00;0,00;135;49;45;37;16;312;524
57;38,87;-163,62;0,00;0,00;0,00;-0,16;0,00;0,00;473;89;62;19;16;338;211
58;65,97;195,39;0,00;0,00;0,00;0,20;0,00;0,00;400;87;147;41;21;859;128
59;38,72;-64,66;0,00;0,00;0,00;-0,06;0,00;0,00;273;114;166;29;24;876;982
60;74,13;249,30;0,00;0,00;0,00;0,25;0,00;0,00;75;78;123;45;15;652;658
61;53,27;-18,77;0,00;0,00;0,00;-0,02;0,00;0,00;365;32;41;37;27;435;572
62;50,94;78,16;0,00;0,00;0,00;0,08;0,00;0,00;292;13;155;43;21;424;944
63;45,79;-66,11;0,00;0,00;0,00;-0,07;0,00;0,00;460;15;35;37;31;883;823
64;25,54;-153,34;0,00;0,00;0,00;-0,15;0,00;0,00;382;188;126;12;21;907;771
65;50,15;22,32;0,00;0,00;0,00;0,02;0,00;0,00;349;82;28;11;38;367;689
66;72,37;191,78;0,00;0,00;0,00;0,19;0,00;0,00;28;46;171;38;38;138;225
67;43,49;-111,85;0,00;0,00;0,00;-0,11;0,00;0,00;283;113;67;41;32;952;406
68;58,55;30,16;0,00;0,00;0,00;0,03;0,00;0,00;346;194;161;48;24;488;117
69;13,69;-323,52;0,00;0,00;0,00;-0,32;0,00;0,00;234;70;75;20;36;336;797
70;44,37;-63,29;0,00;0,00;0,00;-0,06;0,00;0,00;195;111;163;22;20;803;647
71;38,52;-179,89;0,00;0,00;0,00;-0,18;0,00;0,00;356;26;113;17;22;779;976
72;67,22;215,22;0,00;0,00;0,00;0,22;0,00;0,00;213;199;87;45;21;680;177
73;34,35;-175,96;0,00;0,00;0,00;-0,18;0,00;0,00;421;139;88;33;22;426;914
74;42,06;-55,50;0,00;0,00;0,00;-0,06;0,00;0,00;312;160;144;31;33;199;488
75;33,45;-35,73;0,00;0,00;0,00;-0,04;0,00;0,00;178;55;112;24;16;699;779
76;47,38;16,55;0,00;0,00;0,00;0,02;0,00;0,00;31;60;16;46;38;131;934
77;64,61;125,90;0,00;0,00;0,00;0,13;0,00;0,00;112;10;20;34;16;598;528
78;48,29;-63,57;0,00;0,00;0,00;-0,06;0,00;0,00;319;79;114;34;24;213;324
79;22,55;-296,23;0,00;0,00;0,00;-0,30;0,00;0,00;362;45;120;16;30;986;559
80;58,41;130,94;0,00;0,00;0,00;0,13;0,00;0,00;195;144;71;37;19;158;983
81;71,41;228,76;0,00;0,00;0,00;0,23;0,00;0,00;338;199;144;30;30;767;194
82;19,78;-317,29;0,00;0,00;0,00;-0,32;0,00;0,00;444;75;62;33;28;685;786
83;39,71;-175,85;0,00;0,00;0,00;-0,18;0,00;0,00;346;95;164;45;27;115;114
84;49,87;-47,85;0,00;0,00;0,00;-0,05;0,00;0,00;496;93;166;47;32;643;562
85;58,89;46,45;0,00;0,00;0,00;0,05;0,00;0,00;421;125;127;30;36;781;362
86;56,68;12,30;0,00;0,00;0,00;0,01;0,00;0,00;414;79;102;15;17;447;959
