Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;40,39;-188,95;0,00;0,00;0,00;-0,19;0,00;0,00;213;150;98;38;19;872;349
2;66,64;167,90;0,00;0,00;0,00;0,17;0,00;0,00;62;54;118;42;29;904;851
3;56,78;77,81;0,00;0,00;0,00;0,08;0,00;0,00;140;193;135;38;35;556;207
4;51,08;7,54;0,00;0,00;0,00;0,01;0,00;0,00;62;130;155;25;17;304;999
5;57,11;101,72;0,00;0,00;0,00;0,10;0,00;0,00;278;187;108;41;33;493;622
6;52,52;-9,77;0,00;0,00;0,00;-0,01;0,00;0,00;344;102;71;49;37;136;976
7;48,64;20,12;0,00;0,00;0,00;0,02;0,00;0,00;136;124;19;16;33;683;797
8;54,80;123,61;0,00;0,00;0,00;0,12;0,00;0,00;86;87;69;19;39;862;898
9;27,89;-290,13;0,00;0,00;0,00;-0,29;0,00;0,00;191;68;116;33;25;762;340
10;45,21;-131,39;0,00;0,00;0,00;-0,13;0,00;0,00;450;162;75;49;23;792;965
11;58,25;104,68;0,00;0,00;0,00;0,10;0,00;0,00;487;147;16;39;17;990;977
12;50,17;-7,81;0,00;0,00;0,00;-0,01;0,00;0,00;248;163;12;32;20;981;795
13;57,28;52,95;0,00;0,00;0,00;0,05;0,00;0,00;246;155;83;41;34;989;624
14;31,52;-334,48;0,00;0,00;0,00;-0,33;0,00;0,00;10;106;68;38;32;895;407
15;52,71;71,68;0,00;0,00;0,00;0,07;0,00;0,00;491;60;66;13;17;714;950
16;52,52;1,96;0,00;0,00;0,00;0,00;0,00;0,00;38;54;194;17;33;918;987
17;25,05;-228,09;0,00;0,00;0,00;-0,23;0,00;0,00;186;163;189;39;24;224;123
18;76,07;164,72;0,00;0,00;0,00;0,16;0,00;0,00;254;185;191;43;35;479;850
19;28,31;-125,20;0,00;0,00;0,00;-0,13;0,00;0,00;221;98;136;42;22;363;920
20;55,57;60,90;0,00;0,00;0,00;0,06;0,00;0,00;449;180;107;18;28;396;447
21;79,66;227,24;0,00;0,00;0,00;0,23;0,00;0,00;182;126;129;21;29;516;637
22;45,65;-108,81;0,00;0,00;0,00;-0,11;0,00;0,00;466;144;143;20;37;697;951
23;43,68;-15,87;0,00;0,00;0,00;-0,02;0,00;0,00;167;92;92;20;18;928;737
24;57,17;59,03;0,00;0,00;0,00;0,06;0,00;0,00;15;104;134;16;16;852;290
25;35,13;-212,23;0,00;0,00;0,00;-0,21;0,00;0,00;213;92;50;10;16;165;272
26;51,61;-17,70;0,00;0,00;0,00;-0,02;0,00;0,00;424;184;129;33;26;453;452
27;41,37;-92,15;0,00;0,00;0,00;-0,09;0,00;0,00;23;115;191;33;18;986;307
28;59,41;171,21;0,00;0,00;0,00;0,17;0,00;0,00;461;13;154;11;23;747;162
29;53,94;90,64;0,00;0,00;0,00;0,09;0,00;0,00;389;87;172;33;20;582;343
30;43,50;-120,92;0,00;0,00;0,00;-0,12;0,00;0,00;174;72;193;41;23;350;790
31;64,88;153,86;0,00;0,00;0,00;0,15;0,00;0,00;153;78;143;33;15;199;988
32;45,23;-110,90;0,00;0,00;0,00;-0,11;0,00;0,00;30;147;45;42;34;781;432
33;52,30;-29,68;0,00;0,00;0,00;-0,03;0,00;0,00;255;52;77;31;37;222;215
34;44,46;-99,05;0,00;0,00;0,00;-0,10;0,00;0,00;96;112;198;13;24;547;233
35;35,81;-221,64;0,00;0,00;0,00;-0,22;0,00;0,00;289;165;184;14;32;307;808
36;54,61;78,99;0,00;0,00;0,00;0,08;0,00;0,00;50;71;115;30;17;384;888
37;40,23;-155,08;0,00;0,00;0,00;-0,16;0,00;0,00;339;180;129;38;34;661;192
38;56,80;-18,07;0,00;0,00;0,00;-0,02;0,00;0,00;273;154;119;21;23;995;955
39;100,00;482,52;0,00;0,00;0,00;0,48;0,00;0,00;211;146;46;45;20;260;861
40;51,71;38,54;0,00;0,00;0,00;0,04;0,00;0,00;95;27;199;48;34;789;634
41;46,85;49,69;0,00;0,00;0,00;0,05;0,00;0,00;296;32;40;28;29;230;716
42;39,55;-134,42;0,00;0,00;0,00;-0,13;0,00;0,00;422;14;54;11;18;381;314
43;50,25;19,11;0,00;0,00;0,00;0,02;0,00;0,00;257;181;194;23;28;950;468
44;53,59;30,44;0,00;0,00;0,00;0,03;0,00;0,00;202;47;187;32;33;846;657
45;32,69;-194,88;0,00;0,00;0,00;-0,19;0,00;0,00;189;64;151;44;27;529;191
46;47,42;-105,63;0,00;0,00;0,00;-0,11;0,00;0,00;390;115;63;37;34;555;583
47;69,82;198,89;0,00;0,00;0,00;0,20;0,00;0,00;383;79;182;45;18;705;798
48;31,05;-142,30;0,00;0,00;0,00;-0,14;0,00;0,00;213;14;24;27;35;391;136
49;41,91;-99,97;0,00;0,00;0,00;-0,10;0,00;0,00;47;54;29;36;28;679;584
50;25,11;-254,44;0,00;0,00;0,00;-0,25;0,00;0,00;262;148;123;26;30;797;642
51;37,38;-112,19;0,00;0,00;0,00;-0,11;0,00;0,00;267;38;132;26;31;166;319
52;41,92;-111,60;0,00;0,00;0,00;-0,11;0,00;0,00;302;108;191;23;24;680;859
53;66,29;139,05;0,00;0,00;0,00;0,14;0,00;0,00;167;71;33;46;34;354;451
54;41,01;-222,54;0,00;0,00;0,00;-0,22;0,00;0,00;224;178;27;30;29;333;773
55;90,14;371,67;0,00;0,00;0,00;0,37;0,00;0,00;320;158;99;17;37;221;779
56;49,18;8,15;0,00;0,00;0,00;0,01;0,00;0,00;433;49;45;37;16;312;524
57;46,16;-48,21;0,00;0,00;0,00;-0,05;0,00;0,00;342;89;62;19;16;338;211
58;64,80;113,35;0,00;0,00;0,00;0,11;0,00;0,00;335;87;147;41;21;859;128
59;35,89;-160,30;0,00;0,00;0,00;-0,16;0,00;0,00;97;114;166;29;24;876;982
60;68,28;170,88;0,00;0,00;0,00;0,17;0,00;0,00;399;78;123;45;15;652;658
61;43,18;-92,28;0,00;0,00;0,00;-0,09;0,00;0,00;42;32;41;37;27;435;572
62;58,31;150,18;0,00;0,00;0,00;0,15;0,00;0,00;475;13;155;43;21;424;944
63;49,56;51,31;0,00;0,00;0,00;0,05;0,00;0,00;250;15;35;37;31;883;823
64;30,96;-171,45;0,00;0,00;0,00;-0,17;0,00;0,00;118;188;126;12;21;907;771
65;50,81;-20,53;0,00;0,00;0,00;-0,02;0,00;0,00;322;82;28;11;38;367;689
66;81,11;271,12;0,00;0,00;0,00;0,27;0,00;0,00;327;46;171;38;38;138;225
67;45,31;-15,89;0,00;0,00;0,00;-0,02;0,00;0,00;140;113;67;41;32;952;406
68;49,77;-61,64;0,00;0,00;0,00;-0,06;0,00;0,00;357;194;161;48;24;488;117
69;17,02;-305,35;0,00;0,00;0,00;-0,31;0,00;0,00;134;70;75;20;36;336;797
70;62,39;156,55;0,00;0,00;0,00;0,16;0,00;0,00;324;111;163;22;20;803;647
71;46,17;-55,73;0,00;0,00;0,00;-0,06;0,00;0,00;206;26;113;17;22;779;976
72;56,75;125,42;0,00;0,00;0,00;0,13;0,00;0,00;143;199;87;45;21;680;177
73;48,38;-4,40;0,00;0,00;0,00;-0,00;0,00;0,00;10;139;88;33;22;426;914
74;48,96;3,06;0,00;0,00;0,00;0,00;0,00;0,00;323;160;144;31;33;199;488
75;38,16;-87,40;0,00;0,00;0,00;-0,09;0,00;0,00;102;55;112;24;16;699;779
76;54,85;17,88;0,00;0,00;0,00;0,02;0,00;0,00;59;60;16;46;38;131;934
77;71,88;203,26;0,00;0,00;0,00;0,20;0,00;0,00;466;10;20;34;16;598;528
78;49,36;41,19;0,00;0,00;0,00;0,04;0,00;0,00;319;79;114;34;24;213;324
79;16,33;-359,65;0,00;0,00;0,00;-0,36;0,00;0,00;328;45;120;16;30;986;559
80;45,13;-48,66;0,00;0,00;0,00;-0,05;0,00;0,00;298;144;71;37;19;158;983
81;61,17;101,94;0,00;0,00;0,00;0,10;0,00;0,00;30;199;144;30;30;767;194
82;18,96;-403,49;0,00;0,00;0,00;-0,40;0,00;0,00;446;75;62;33;28;685;786
83;42,42;-51,56;0,00;0,00;0,00;-0,05;0,00;0,00;230;95;164;45;27;115;114
84;49,28;-21,92;0,00;0,00;0,00;-0,02;0,00;0,00;473;93;166;47;32;643;562
85;46,34;-87,87;0,00;0,00;0,00;-0,09;0,00;0,00;333;125;127;30;36;781;362
86;53,11;97,49;0,00;0,00;0,00;0,10;0,00;0,00;184;79;102;15;17;447;959
87;51,85;-30,85;0,00;0,00;0,00;-0,03;0,00;0,00;309;27;68;17;29;275;296
88;62,68;172,42;0,00;0,00;0,00;0,17;0,00;0,00;72;137;157;26;36;301;597
89;50,24;-7,01;0,00;0,00;0,00;-0,01;0,00;0,00;68;11;182;14;30;153;235
