Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;26,00;-425,43;0,00;0,00;0,00;-0,43;0,00;0,00;273;140;81;44;17;705;176
2;40,43;-249,20;0,00;0,00;0,00;-0,25;0,00;0,00;436;16;151;17;36;686;828
3;39,93;-272,91;0,00;0,00;0,00;-0,27;0,00;0,00;457;180;51;29;18;720;386
4;83,61;156,45;0,00;0,00;0,00;0,16;0,00;0,00;138;131;38;46;16;367;374
5;33,18;-385,40;0,00;0,00;0,00;-0,39;0,00;0,00;407;73;30;17;22;506;767
6;41,58;-291,65;0,00;0,00;0,00;-0,29;0,00;0,00;40;51;174;28;16;169;468
7;68,41;-78,29;0,00;0,00;0,00;-0,08;0,00;0,00;298;178;179;40;35;318;875
8;59,57;-87,66;0,00;0,00;0,00;-0,09;0,00;0,00;185;55;150;45;33;669;928
9;63,84;-33,22;0,00;0,00;0,00;-0,03;0,00;0,00;210;102;44;45;31;564;407
10;60,04;-208,65;0,00;0,00;0,00;-0,21;0,00;0,00;14;192;83;49;33;948;183
11;32,44;-469,37;0,00;0,00;0,00;-0,47;0,00;0,00;32;157;72;30;30;889;394
12;31,31;-427,05;0,00;0,00;0,00;-0,43;0,00;0,00;330;159;120;35;36;597;985
13;35,89;-391,03;0,00;0,00;0,00;-0,39;0,00;0,00;297;63;61;24;24;775;998
14;77,95;145,64;0,00;0,00;0,00;0,15;0,00;0,00;164;170;194;29;30;890;525
15;33,01;-353,84;0,00;0,00;0,00;-0,35;0,00;0,00;319;182;160;12;25;960;541
16;36,45;-399,64;0,00;0,00;0,00;-0,40;0,00;0,00;289;168;161;41;36;606;633
17;63,32;-41,16;0,00;0,00;0,00;-0,04;0,00;0,00;234;74;172;26;18;561;522
18;98,18;225,26;0,00;0,00;0,00;0,23;0,00;0,00;390;176;43;45;15;982;614
19;59,28;-103,64;0,00;0,00;0,00;-0,10;0,00;0,00;187;90;167;30;26;995;705
20;9,37;-667,90;0,00;0,00;0,00;-0,67;0,00;0,00;105;127;60;49;36;202;227
21;71,48;27,22;0,00;0,00;0,00;0,03;0,00;0,00;235;126;179;26;20;652;249
22;52,88;-192,65;0,00;0,00;0,00;-0,19;0,00;0,00;344;120;55;46;28;294;574
23;55,91;-134,31;0,00;0,00;0,00;-0,13;0,00;0,00;154;139;185;30;27;249;144
24;77,46;95,52;0,00;0,00;0,00;0,10;0,00;0,00;455;144;143;37;36;818;451
25;44,26;-275,21;0,00;0,00;0,00;-0,28;0,00;0,00;58;57;83;28;35;142;189
26;36,51;-345,03;0,00;0,00;0,00;-0,35;0,00;0,00;280;61;185;21;16;627;705
27;66,08;-36,65;0,00;0,00;0,00;-0,04;0,00;0,00;302;66;176;12;17;225;358
28;0,00;-752,18;0,00;0,00;0,00;-0,75;0,00;0,00;289;179;173;47;19;455;489
29;78,42;117,49;0,00;0,00;0,00;0,12;0,00;0,00;280;131;16;42;28;156;641
30;36,71;-231,21;0,00;0,00;0,00;-0,23;0,00;0,00;258;170;79;47;32;364;998
31;20,82;-517,68;0,00;0,00;0,00;-0,52;0,00;0,00;164;140;180;33;24;388;626
32;40,69;-237,57;0,00;0,00;0,00;-0,24;0,00;0,00;444;174;72;44;37;949;222
33;71,83;23,02;0,00;0,00;0,00;0,02;0,00;0,00;139;112;142;36;18;467;748
34;96,21;276,75;0,00;0,00;0,00;0,28;0,00;0,00;393;146;148;49;23;739;339
35;20,50;-573,56;0,00;0,00;0,00;-0,57;0,00;0,00;137;171;52;28;27;980;233
36;59,86;20,22;0,00;0,00;0,00;0,02;0,00;0,00;408;148;184;15;23;109;334
37;75,92;94,87;0,00;0,00;0,00;0,09;0,00;0,00;400;152;175;38;19;218;529
38;61,36;-142,79;0,00;0,00;0,00;-0,14;0,00;0,00;394;88;187;13;15;759;141
39;60,17;-43,54;0,00;0,00;0,00;-0,04;0,00;0,00;420;189;146;45;31;367;574
40;44,43;-195,60;0,00;0,00;0,00;-0,20;0,00;0,00;69;44;109;16;37;960;597
41;61,90;-15,73;0,00;0,00;0,00;-0,02;0,00;0,00;95;66;71;47;31;318;831
42;17,96;-492,13;0,00;0,00;0,00;-0,49;0,00;0,00;330;115;88;33;29;217;588
43;57,14;-133,27;0,00;0,00;0,00;-0,13;0,00;0,00;343;91;90;30;33;384;548
44;46,58;-207,53;0,00;0,00;0,00;-0,21;0,00;0,00;291;155;174;42;38;651;674
45;24,69;-387,24;0,00;0,00;0,00;-0,39;0,00;0,00;120;148;121;16;21;638;478
46;66,13;-51,26;0,00;0,00;0,00;-0,05;0,00;0,00;313;143;48;41;21;529;359
47;69,75;1,60;0,00;0,00;0,00;0,00;0,00;0,00;31;83;34;44;27;952;622
48;82,48;115,92;0,00;0,00;0,00;0,12;0,00;0,00;132;79;43;21;27;113;306
49;23,93;-470,67;0,00;0,00;0,00;-0,47;0,00;0,00;135;75;116;13;39;799;411
50;45,78;-188,40;0,00;0,00;0,00;-0,19;0,00;0,00;366;104;62;33;21;693;195
51;41,14;-284,27;0,00;0,00;0,00;-0,28;0,00;0,00;26;196;38;24;37;583;727
52;22,01;-521,77;0,00;0,00;0,00;-0,52;0,00;0,00;16;19;28;48;35;557;461
53;67,88;-17,97;0,00;0,00;0,00;-0,02;0,00;0,00;187;69;119;22;33;133;189
54;28,21;-390,23;0,00;0,00;0,00;-0,39;0,00;0,00;176;87;136;12;33;357;559
55;83,10;89,25;0,00;0,00;0,00;0,09;0,00;0,00;31;34;119;38;38;101;231
56;10,15;-535,72;0,00;0,00;0,00;-0,54;0,00;0,00;42;128;143;34;31;684;975
57;41,97;-234,63;0,00;0,00;0,00;-0,23;0,00;0,00;157;129;166;41;33;868;601
58;36,66;-379,96;0,00;0,00;0,00;-0,38;0,00;0,00;356;108;62;18;20;434;796
59;71,12;5,29;0,00;0,00;0,00;0,01;0,00;0,00;450;68;170;20;26;893;428
60;39,37;-339,42;0,00;0,00;0,00;-0,34;0,00;0,00;189;17;162;20;30;324;495
61;38,64;-347,69;0,00;0,00;0,00;-0,35;0,00;0,00;109;183;30;31;15;867;233
62;47,37;-305,31;0,00;0,00;0,00;-0,31;0,00;0,00;461;164;120;27;37;826;798
63;54,22;-89,03;0,00;0,00;0,00;-0,09;0,00;0,00;331;64;121;26;37;617;659
64;33,54;-335,57;0,00;0,00;0,00;-0,34;0,00;0,00;481;94;12;47;22;399;608
65;58,25;-88,27;0,00;0,00;0,00;-0,09;0,00;0,00;290;162;178;30;17;400;553
66;43,98;-272,48;0,00;0,00;0,00;-0,27;0,00;0,00;434;150;24;41;35;408;499
67;60,87;-18,72;0,00;0,00;0,00;-0,02;0,00;0,00;351;30;182;24;22;649;932
68;39,96;-205,88;0,00;0,00;0,00;-0,21;0,00;0,00;475;145;24;34;35;606;628
69;16,10;-590,59;0,00;0,00;0,00;-0,59;0,00;0,00;341;13;113;11;32;216;111
70;81,63;128,16;0,00;0,00;0,00;0,13;0,00;0,00;93;189;107;29;26;569;552
71;57,75;-82,12;0,00;0,00;0,00;-0,08;0,00;0,00;483;157;48;38;18;143;358
72;72,40;53,53;0,00;0,00;0,00;0,05;0,00;0,00;167;50;159;44;28;668;128
73;15,50;-547,55;0,00;0,00;0,00;-0,55;0,00;0,00;260;127;48;17;24;820;322
74;64,89;-108,47;0,00;0,00;0,00;-0,11;0,00;0,00;17;85;65;30;18;841;544
75;54,54;-181,98;0,00;0,00;0,00;-0,18;0,00;0,00;182;40;40;37;29;147;572
76;64,25;-81,59;0,00;0,00;0,00;-0,08;0,00;0,00;138;97;186;18;35;150;518
77;82,16;180,96;0,00;0,00;0,00;0,18;0,00;0,00;461;21;63;18;22;862;782
78;47,62;-188,71;0,00;0,00;0,00;-0,19;0,00;0,00;234;66;43;11;24;303;953
79;39,07;-267,79;0,00;0,00;0,00;-0,27;0,00;0,00;377;60;133;33;32;466;519
80;54,09;-118,74;0,00;0,00;0,00;-0,12;0,00;0,00;336;167;96;27;25;235;149
81;44,56;-283,84;0,00;0,00;0,00;-0,28;0,00;0,00;264;51;112;36;21;208;593
82;40,68;-343,62;0,00;0,00;0,00;-0,34;0,00;0,00;213;190;117;12;18;627;569
83;100,00;213,48;0,00;0,00;0,00;0,21;0,00;0,00;307;80;40;25;30;780;210
84;37,17;-394,09;0,00;0,00;0,00;-0,39;0,00;0,00;125;111;162;23;32;550;758
85;25,42;-476,92;0,00;0,00;0,00;-0,48;0,00;0,00;132;125;185;48;35;637;880
86;26,46;-449,79;0,00;0,00;0,00;-0,45;0,00;0,00;440;159;48;44;19;472;505
87;73,03;77,86;0,00;0,00;0,00;0,08;0,00;0,00;268;134;79;13;25;243;636
88;61,23;-105,67;0,00;0,00;0,00;-0,11;0,00;0,00;69;175;187;26;28;359;674
89;67,78;41,10;0,00;0,00;0,00;0,04;0,00;0,00;351;165;54;38;29;526;531
90;42,87;-246,82;0,00;0,00;0,00;-0,25;0,00;0,00;357;34;44;46;25;939;886
91;23,13;-377,54;0,00;0,00;0,00;-0,38;0,00;0,00;240;186;41;34;27;942;711
92;52,19;-274,25;0,00;0,00;0,00;-0,27;0,00;0,00;102;192;25;17;20;774;390
93;79,93;110,29;0,00;0,00;0,00;0,11;0,00;0,00;381;81;67;15;33;783;621
94;15,24;-496,33;0,00;0,00;0,00;-0,50;0,00;0,00;407;180;62;49;33;688;411
95;15,93;-558,17;0,00;0,00;0,00;-0,56;0,00;0,00;398;116;53;17;22;904;558
96;69,51;-21,21;0,00;0,00;0,00;-0,02;0,00;0,00;83;35;130;34;19;383;585
97;38,97;-337,36;0,00;0,00;0,00;-0,34;0,00;0,00;305;73;74;34;39;353;755
98;44,55;-140,85;0,00;0,00;0,00;-0,14;0,00;0,00;191;50;117;35;29;246;875
99;44,42;-280,06;0,00;0,00;0,00;-0,28;0,00;0,00;155;98;198;17;19;408;560
100;14,12;-554,80;0,00;0,00;0,00;-0,55;0,00;0,00;292;188;106;38;36;601;731
101;31,09;-354,60;0,00;0,00;0,00;-0,35;0,00;0,00;84;17;112;39;27;244;666
102;27,75;-403,79;0,00;0,00;0,00;-0,40;0,00;0,00;151;185;145;43;23;581;204
103;49,92;-298,39;0,00;0,00;0,00;-0,30;0,00;0,00;171;54;109;22;37;271;507
104;65,71;-33,28;0,00;0,00;0,00;-0,03;0,00;0,00;57;98;119;11;37;386;796
105;47,71;-212,08;0,00;0,00;0,00;-0,21;0,00;0,00;105;50;131;18;26;248;427
106;57,34;-119,84;0,00;0,00;0,00;-0,12;0,00;0,00;208;144;59;14;18;265;196
107;43,12;-252,31;0,00;0,00;0,00;-0,25;0,00;0,00;28;175;13;14;25;960;178
108;38,28;-367,92;0,00;0,00;0,00;-0,37;0,00;0,00;47;64;128;20;24;205;830
109;67,89;-91,80;0,00;0,00;0,00;-0,09;0,00;0,00;451;91;61;19;26;444;687
110;56,26;-110,56;0,00;0,00;0,00;-0,11;0,00;0,00;386;20;74;32;27;291;873
111;75,05;125,22;0,00;0,00;0,00;0,13;0,00;0,00;175;176;61;16;36;790;300
112;33,65;-306,36;0,00;0,00;0,00;-0,31;0,00;0,00;362;65;145;10;38;516;970
113;85,90;202,38;0,00;0,00;0,00;0,20;0,00;0,00;74;133;26;21;27;872;959
114;96,87;288,02;0,00;0,00;0,00;0,29;0,00;0,00;28;27;142;41;22;929;926
115;67,92;-17,89;0,00;0,00;0,00;-0,02;0,00;0,00;284;189;164;13;35;926;987
116;84,38;133,33;0,00;0,00;0,00;0,13;0,00;0,00;277;54;85;27;30;897;611
117;74,11;30,20;0,00;0,00;0,00;0,03;0,00;0,00;319;192;140;41;30;990;999
118;51,48;-213,94;0,00;0,00;0,00;-0,21;0,00;0,00;312;90;68;41;27;367;200
119;31,35;-236,60;0,00;0,00;0,00;-0,24;0,00;0,00;18;38;12;43;33;108;756
120;25,95;-432,75;0,00;0,00;0,00;-0,43;0,00;0,00;449;104;118;18;35;804;557
121;27,89;-403,22;0,00;0,00;0,00;-0,40;0,00;0,00;143;197;64;31;17;694;751
122;71,33;17,25;0,00;0,00;0,00;0,02;0,00;0,00;451;53;83;42;17;277;956
123;25,51;-428,74;0,00;0,00;0,00;-0,43;0,00;0,00;189;107;93;22;28;310;708
124;45,95;-276,16;0,00;0,00;0,00;-0,28;0,00;0,00;246;84;100;17;16;872;636
125;49,20;-190,18;0,00;0,00;0,00;-0,19;0,00;0,00;439;154;38;39;20;545;353
126;42,28;-270,40;0,00;0,00;0,00;-0,27;0,00;0,00;152;51;109;21;23;470;825
127;58,58;-125,79;0,00;0,00;0,00;-0,13;0,00;0,00;205;154;31;39;30;430;794
128;69,89;-27,25;0,00;0,00;0,00;-0,03;0,00;0,00;22;130;149;26;30;178;283
129;81,98;100,53;0,00;0,00;0,00;0,10;0,00;0,00;78;87;22;41;23;334;517
130;99,01;244,82;0,00;0,00;0,00;0,24;0,00;0,00;260;167;127;28;31;475;744
131;67,55;-41,81;0,00;0,00;0,00;-0,04;0,00;0,00;44;101;191;20;16;772;295
132;31,66;-379,83;0,00;0,00;0,00;-0,38;0,00;0,00;151;62;28;18;22;615;375
133;61,31;-107,74;0,00;0,00;0,00;-0,11;0,00;0,00;138;35;120;20;32;880;715
134;78,66;38,75;0,00;0,00;0,00;0,04;0,00;0,00;78;139;84;15;18;177;796
135;62,33;-111,19;0,00;0,00;0,00;-0,11;0,00;0,00;65;69;177;40;16;931;561
136;7,86;-634,91;0,00;0,00;0,00;-0,63;0,00;0,00;91;190;131;44;22;467;689
137;26,09;-433,35;0,00;0,00;0,00;-0,43;0,00;0,00;320;71;49;22;19;251;542
138;15,14;-575,46;0,00;0,00;0,00;-0,58;0,00;0,00;441;77;131;28;36;643;299
139;87,60;163,24;0,00;0,00;0,00;0,16;0,00;0,00;314;104;137;27;16;800;614
140;94,43;204,73;0,00;0,00;0,00;0,20;0,00;0,00;409;60;160;25;23;930;421
141;44,70;-131,72;0,00;0,00;0,00;-0,13;0,00;0,00;262;181;113;15;24;710;687
142;9,79;-574,97;0,00;0,00;0,00;-0,57;0,00;0,00;390;56;199;13;37;790;759
143;19,28;-431,93;0,00;0,00;0,00;-0,43;0,00;0,00;282;141;190;18;30;570;729
144;69,34;56,35;0,00;0,00;0,00;0,06;0,00;0,00;284;53;191;17;19;225;548
145;52,32;-128,15;0,00;0,00;0,00;-0,13;0,00;0,00;305;163;82;10;30;574;396
146;7,15;-584,42;0,00;0,00;0,00;-0,58;0,00;0,00;339;104;44;24;24;752;410
147;61,27;-139,12;0,00;0,00;0,00;-0,14;0,00;0,00;151;122;13;42;33;126;999
148;63,19;68,21;0,00;0,00;0,00;0,07;0,00;0,00;406;105;38;38;23;361;568
149;94,13;193,21;0,00;0,00;0,00;0,19;0,00;0,00;475;174;87;11;22;185;322
150;77,62;107,87;0,00;0,00;0,00;0,11;0,00;0,00;474;173;98;28;37;746;837
151;30,86;-407,75;0,00;0,00;0,00;-0,41;0,00;0,00;104;157;20;49;21;805;823
152;100,00;357,48;0,00;0,00;0,00;0,36;0,00;0,00;423;118;26;34;21;950;606
153;43,28;-286,43;0,00;0,00;0,00;-0,29;0,00;0,00;226;51;153;48;27;488;624
154;11,74;-548,15;0,00;0,00;0,00;-0,55;0,00;0,00;228;93;190;46;37;611;664
155;0,00;-684,55;0,00;0,00;0,00;-0,68;0,00;0,00;226;20;95;13;27;911;574
156;47,63;-141,72;0,00;0,00;0,00;-0,14;0,00;0,00;427;18;41;14;33;208;392
