Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;57,65;-115,97;0,00;0,00;0,00;-0,12;0,00;0,00;357;37;181;24;16;525;131
2;57,40;-90,44;0,00;0,00;0,00;-0,09;0,00;0,00;249;159;111;20;39;645;272
3;28,16;-335,06;0,00;0,00;0,00;-0,34;0,00;0,00;172;162;185;13;24;818;483
4;48,21;-164,94;0,00;0,00;0,00;-0,16;0,00;0,00;83;145;113;48;34;622;693
5;52,80;-243,07;0,00;0,00;0,00;-0,24;0,00;0,00;370;163;62;40;28;417;198
6;42,50;-243,09;0,00;0,00;0,00;-0,24;0,00;0,00;171;181;130;32;17;879;183
7;31,62;-380,76;0,00;0,00;0,00;-0,38;0,00;0,00;103;42;135;13;34;797;138
8;67,81;48,89;0,00;0,00;0,00;0,05;0,00;0,00;422;28;133;46;30;332;408
9;50,26;-40,74;0,00;0,00;0,00;-0,04;0,00;0,00;492;46;151;31;17;685;424
10;29,56;-365,39;0,00;0,00;0,00;-0,37;0,00;0,00;196;134;107;12;22;854;332
11;0,00;-679,69;0,00;0,00;0,00;-0,68;0,00;0,00;94;28;89;33;39;423;165
12;71,85;46,46;0,00;0,00;0,00;0,05;0,00;0,00;84;151;13;15;35;124;871
13;62,64;-59,48;0,00;0,00;0,00;-0,06;0,00;0,00;490;85;136;39;20;821;397
14;27,88;-431,62;0,00;0,00;0,00;-0,43;0,00;0,00;486;89;157;26;24;384;380
15;31,30;-317,85;0,00;0,00;0,00;-0,32;0,00;0,00;139;13;190;48;15;385;548
16;9,37;-559,40;0,00;0,00;0,00;-0,56;0,00;0,00;269;113;156;48;31;796;179
17;72,44;-34,45;0,00;0,00;0,00;-0,03;0,00;0,00;288;103;95;35;27;895;794
18;16,49;-573,66;0,00;0,00;0,00;-0,57;0,00;0,00;195;150;128;29;20;701;788
19;100,00;327,50;0,00;0,00;0,00;0,33;0,00;0,00;189;58;73;47;31;518;225
20;19,67;-619,84;0,00;0,00;0,00;-0,62;0,00;0,00;489;121;61;29;16;750;171
21;65,94;17,21;0,00;0,00;0,00;0,02;0,00;0,00;470;153;67;17;18;324;153
22;54,48;-202,39;0,00;0,00;0,00;-0,20;0,00;0,00;394;186;146;30;21;507;893
23;63,57;-80,06;0,00;0,00;0,00;-0,08;0,00;0,00;355;100;151;39;23;163;787
24;48,35;-139,59;0,00;0,00;0,00;-0,14;0,00;0,00;258;96;36;44;23;764;474
25;43,18;-319,79;0,00;0,00;0,00;-0,32;0,00;0,00;389;34;103;23;36;639;826
26;81,50;83,01;0,00;0,00;0,00;0,08;0,00;0,00;288;134;14;25;34;549;328
27;78,47;110,56;0,00;0,00;0,00;0,11;0,00;0,00;151;30;142;37;26;513;541
28;63,09;-4,07;0,00;0,00;0,00;-0,00;0,00;0,00;339;98;65;13;29;166;425
29;15,44;-604,97;0,00;0,00;0,00;-0,60;0,00;0,00;455;63;194;26;29;554;716
30;75,80;64,38;0,00;0,00;0,00;0,06;0,00;0,00;145;57;167;47;29;269;648
31;74,72;71,87;0,00;0,00;0,00;0,07;0,00;0,00;494;40;79;39;27;633;109
32;32,46;-445,21;0,00;0,00;0,00;-0,45;0,00;0,00;457;197;26;18;21;235;974
