Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;10,03;-651,01;0,00;0,00;0,00;-0,65;0,00;0,00;380;140;81;44;17;705;176
2;29,73;-424,26;0,00;0,00;0,00;-0,42;0,00;0,00;346;16;151;17;36;686;828
3;31,16;-357,80;0,00;0,00;0,00;-0,36;0,00;0,00;426;180;51;29;18;720;386
4;85,98;156,35;0,00;0,00;0,00;0,16;0,00;0,00;442;131;38;46;16;367;374
5;28,60;-384,07;0,00;0,00;0,00;-0,38;0,00;0,00;439;73;30;17;22;506;767
6;44,02;-211,92;0,00;0,00;0,00;-0,21;0,00;0,00;99;51;174;28;16;169;468
7;90,01;269,38;0,00;0,00;0,00;0,27;0,00;0,00;436;178;179;40;35;318;875
8;40,61;-338,29;0,00;0,00;0,00;-0,34;0,00;0,00;206;55;150;45;33;669;928
9;65,46;-44,31;0,00;0,00;0,00;-0,04;0,00;0,00;415;102;44;45;31;564;407
10;81,20;143,08;0,00;0,00;0,00;0,14;0,00;0,00;309;192;83;49;33;948;183
11;55,75;-154,85;0,00;0,00;0,00;-0,15;0,00;0,00;72;157;72;30;30;889;394
12;49,37;-241,56;0,00;0,00;0,00;-0,24;0,00;0,00;60;159;120;35;36;597;985
13;14,94;-499,96;0,00;0,00;0,00;-0,50;0,00;0,00;153;63;61;24;24;775;998
14;49,01;-271,70;0,00;0,00;0,00;-0,27;0,00;0,00;208;170;194;29;30;890;525
15;49,21;-229,81;0,00;0,00;0,00;-0,23;0,00;0,00;474;182;160;12;25;960;541
16;35,12;-288,65;0,00;0,00;0,00;-0,29;0,00;0,00;251;168;161;41;36;606;633
17;43,37;-219,30;0,00;0,00;0,00;-0,22;0,00;0,00;331;74;172;26;18;561;522
18;54,92;-172,71;0,00;0,00;0,00;-0,17;0,00;0,00;376;176;43;45;15;982;614
19;66,75;-16,20;0,00;0,00;0,00;-0,02;0,00;0,00;198;90;167;30;26;995;705
20;60,37;-71,75;0,00;0,00;0,00;-0,07;0,00;0,00;182;127;60;49;36;202;227
21;60,26;-165,56;0,00;0,00;0,00;-0,17;0,00;0,00;73;126;179;26;20;652;249
22;25,77;-474,82;0,00;0,00;0,00;-0,47;0,00;0,00;20;120;55;46;28;294;574
23;29,07;-364,78;0,00;0,00;0,00;-0,36;0,00;0,00;88;139;185;30;27;249;144
24;68,62;-78,72;0,00;0,00;0,00;-0,08;0,00;0,00;112;144;143;37;36;818;451
25;43,02;-286,59;0,00;0,00;0,00;-0,29;0,00;0,00;327;57;83;28;35;142;189
26;21,81;-521,04;0,00;0,00;0,00;-0,52;0,00;0,00;317;61;185;21;16;627;705
27;27,03;-350,46;0,00;0,00;0,00;-0,35;0,00;0,00;45;66;176;12;17;225;358
28;8,19;-762,34;0,00;0,00;0,00;-0,76;0,00;0,00;445;179;173;47;19;455;489
29;32,19;-340,51;0,00;0,00;0,00;-0,34;0,00;0,00;317;131;16;42;28;156;641
30;44,05;-192,64;0,00;0,00;0,00;-0,19;0,00;0,00;312;170;79;47;32;364;998
31;10,84;-617,99;0,00;0,00;0,00;-0,62;0,00;0,00;200;140;180;33;24;388;626
32;25,81;-431,54;0,00;0,00;0,00;-0,43;0,00;0,00;263;174;72;44;37;949;222
33;53,77;-165,29;0,00;0,00;0,00;-0,17;0,00;0,00;131;112;142;36;18;467;748
34;65,67;-99,79;0,00;0,00;0,00;-0,10;0,00;0,00;497;146;148;49;23;739;339
35;31,18;-401,41;0,00;0,00;0,00;-0,40;0,00;0,00;256;171;52;28;27;980;233
36;53,83;-95,75;0,00;0,00;0,00;-0,10;0,00;0,00;110;148;184;15;23;109;334
37;83,12;127,88;0,00;0,00;0,00;0,13;0,00;0,00;93;152;175;38;19;218;529
38;69,72;-54,99;0,00;0,00;0,00;-0,05;0,00;0,00;10;88;187;13;15;759;141
39;94,09;212,40;0,00;0,00;0,00;0,21;0,00;0,00;98;189;146;45;31;367;574
40;41,04;-281,85;0,00;0,00;0,00;-0,28;0,00;0,00;325;44;109;16;37;960;597
41;100,00;379,82;0,00;0,00;0,00;0,38;0,00;0,00;100;66;71;47;31;318;831
42;44,40;-187,36;0,00;0,00;0,00;-0,19;0,00;0,00;16;115;88;33;29;217;588
43;17,73;-594,17;0,00;0,00;0,00;-0,59;0,00;0,00;198;91;90;30;33;384;548
44;51,72;-132,59;0,00;0,00;0,00;-0,13;0,00;0,00;292;155;174;42;38;651;674
45;40,63;-240,08;0,00;0,00;0,00;-0,24;0,00;0,00;288;148;121;16;21;638;478
