Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;47,47;-44,71;0,00;0,00;0,00;-0,04;0,00;0,00;52;150;98;38;19;872;349
2;71,11;216,54;0,00;0,00;0,00;0,22;0,00;0,00;24;54;118;42;29;904;851
3;55,55;12,31;0,00;0,00;0,00;0,01;0,00;0,00;498;193;135;38;35;556;207
4;59,35;100,90;0,00;0,00;0,00;0,10;0,00;0,00;338;130;155;25;17;304;999
5;48,82;-51,81;0,00;0,00;0,00;-0,05;0,00;0,00;48;187;108;41;33;493;622
6;59,33;185,31;0,00;0,00;0,00;0,19;0,00;0,00;348;102;71;49;37;136;976
7;48,69;-9,85;0,00;0,00;0,00;-0,01;0,00;0,00;289;124;19;16;33;683;797
8;54,53;-3,17;0,00;0,00;0,00;-0,00;0,00;0,00;371;87;69;19;39;862;898
9;23,83;-242,06;0,00;0,00;0,00;-0,24;0,00;0,00;351;68;116;33;25;762;340
10;51,30;34,54;0,00;0,00;0,00;0,03;0,00;0,00;45;162;75;49;23;792;965
11;66,90;105,97;0,00;0,00;0,00;0,11;0,00;0,00;448;147;16;39;17;990;977
12;45,37;2,45;0,00;0,00;0,00;0,00;0,00;0,00;90;163;12;32;20;981;795
13;61,61;55,36;0,00;0,00;0,00;0,06;0,00;0,00;400;155;83;41;34;989;624
14;25,41;-240,10;0,00;0,00;0,00;-0,24;0,00;0,00;226;106;68;38;32;895;407
15;55,45;35,55;0,00;0,00;0,00;0,04;0,00;0,00;196;60;66;13;17;714;950
16;40,34;-49,22;0,00;0,00;0,00;-0,05;0,00;0,00;246;54;194;17;33;918;987
17;20,00;-341,39;0,00;0,00;0,00;-0,34;0,00;0,00;436;163;189;39;24;224;123
18;75,26;274,39;0,00;0,00;0,00;0,27;0,00;0,00;334;185;191;43;35;479;850
19;36,98;-116,75;0,00;0,00;0,00;-0,12;0,00;0,00;231;98;136;42;22;363;920
20;50,05;98,07;0,00;0,00;0,00;0,10;0,00;0,00;154;180;107;18;28;396;447
21;73,02;116,98;0,00;0,00;0,00;0,12;0,00;0,00;357;126;129;21;29;516;637
22;54,29;80,49;0,00;0,00;0,00;0,08;0,00;0,00;281;144;143;20;37;697;951
23;38,89;-52,75;0,00;0,00;0,00;-0,05;0,00;0,00;331;92;92;20;18;928;737
24;52,38;-63,04;0,00;0,00;0,00;-0,06;0,00;0,00;24;104;134;16;16;852;290
25;43,55;-96,00;0,00;0,00;0,00;-0,10;0,00;0,00;117;92;50;10;16;165;272
26;49,04;-10,21;0,00;0,00;0,00;-0,01;0,00;0,00;165;184;129;33;26;453;452
27;37,17;-110,52;0,00;0,00;0,00;-0,11;0,00;0,00;468;115;191;33;18;986;307
28;49,75;0,01;0,00;0,00;0,00;0,00;0,00;0,00;96;13;154;11;23;747;162
29;42,88;-92,48;0,00;0,00;0,00;-0,09;0,00;0,00;149;87;172;33;20;582;343
30;44,66;-8,43;0,00;0,00;0,00;-0,01;0,00;0,00;167;72;193;41;23;350;790
31;56,28;48,06;0,00;0,00;0,00;0,05;0,00;0,00;28;78;143;33;15;199;988
32;38,34;-124,92;0,00;0,00;0,00;-0,12;0,00;0,00;336;147;45;42;34;781;432
33;37,93;-78,72;0,00;0,00;0,00;-0,08;0,00;0,00;152;52;77;31;37;222;215
34;38,51;-163,53;0,00;0,00;0,00;-0,16;0,00;0,00;46;112;198;13;24;547;233
35;44,58;-37,80;0,00;0,00;0,00;-0,04;0,00;0,00;44;165;184;14;32;307;808
36;55,68;50,07;0,00;0,00;0,00;0,05;0,00;0,00;38;71;115;30;17;384;888
37;37,68;-85,76;0,00;0,00;0,00;-0,09;0,00;0,00;82;180;129;38;34;661;192
38;54,76;114,11;0,00;0,00;0,00;0,11;0,00;0,00;49;154;119;21;23;995;955
39;97,49;455,90;0,00;0,00;0,00;0,46;0,00;0,00;433;146;46;45;20;260;861
40;63,59;179,01;0,00;0,00;0,00;0,18;0,00;0,00;261;27;199;48;34;789;634
41;40,08;-147,77;0,00;0,00;0,00;-0,15;0,00;0,00;160;32;40;28;29;230;716
42;35,48;-94,18;0,00;0,00;0,00;-0,09;0,00;0,00;168;14;54;11;18;381;314
43;45,59;-64,27;0,00;0,00;0,00;-0,06;0,00;0,00;25;181;194;23;28;950;468
44;58,48;17,97;0,00;0,00;0,00;0,02;0,00;0,00;105;47;187;32;33;846;657
45;47,31;-77,25;0,00;0,00;0,00;-0,08;0,00;0,00;153;64;151;44;27;529;191
46;45,69;-18,79;0,00;0,00;0,00;-0,02;0,00;0,00;306;115;63;37;34;555;583
47;76,62;187,26;0,00;0,00;0,00;0,19;0,00;0,00;167;79;182;45;18;705;798
48;45,02;-114,14;0,00;0,00;0,00;-0,11;0,00;0,00;206;14;24;27;35;391;136
49;28,97;-192,26;0,00;0,00;0,00;-0,19;0,00;0,00;198;54;29;36;28;679;584
50;24,00;-251,44;0,00;0,00;0,00;-0,25;0,00;0,00;247;148;123;26;30;797;642
51;45,43;-101,52;0,00;0,00;0,00;-0,10;0,00;0,00;299;38;132;26;31;166;319
52;44,98;-17,46;0,00;0,00;0,00;-0,02;0,00;0,00;414;108;191;23;24;680;859
53;57,15;88,06;0,00;0,00;0,00;0,09;0,00;0,00;190;71;33;46;34;354;451
54;41,85;-104,04;0,00;0,00;0,00;-0,10;0,00;0,00;211;178;27;30;29;333;773
55;88,78;365,06;0,00;0,00;0,00;0,37;0,00;0,00;233;158;99;17;37;221;779
56;53,89;26,20;0,00;0,00;0,00;0,03;0,00;0,00;467;49;45;37;16;312;524
57;46,36;-45,93;0,00;0,00;0,00;-0,05;0,00;0,00;254;89;62;19;16;338;211
58;63,03;75,61;0,00;0,00;0,00;0,08;0,00;0,00;452;87;147;41;21;859;128
59;48,49;-35,54;0,00;0,00;0,00;-0,04;0,00;0,00;212;114;166;29;24;876;982
60;76,75;199,74;0,00;0,00;0,00;0,20;0,00;0,00;218;78;123;45;15;652;658
61;46,65;-76,74;0,00;0,00;0,00;-0,08;0,00;0,00;472;32;41;37;27;435;572
62;54,89;47,77;0,00;0,00;0,00;0,05;0,00;0,00;481;13;155;43;21;424;944
63;48,30;-47,24;0,00;0,00;0,00;-0,05;0,00;0,00;173;15;35;37;31;883;823
64;39,63;-122,61;0,00;0,00;0,00;-0,12;0,00;0,00;44;188;126;12;21;907;771
65;46,11;-94,86;0,00;0,00;0,00;-0,09;0,00;0,00;212;82;28;11;38;367;689
66;68,40;256,87;0,00;0,00;0,00;0,26;0,00;0,00;474;46;171;38;38;138;225
67;36,73;-143,69;0,00;0,00;0,00;-0,14;0,00;0,00;374;113;67;41;32;952;406
68;56,51;1,10;0,00;0,00;0,00;0,00;0,00;0,00;195;194;161;48;24;488;117
69;28,45;-289,73;0,00;0,00;0,00;-0,29;0,00;0,00;339;70;75;20;36;336;797
70;54,97;4,62;0,00;0,00;0,00;0,00;0,00;0,00;452;111;163;22;20;803;647
71;45,64;-45,82;0,00;0,00;0,00;-0,05;0,00;0,00;359;26;113;17;22;779;976
72;65,38;150,04;0,00;0,00;0,00;0,15;0,00;0,00;252;199;87;45;21;680;177
73;36,32;-46,08;0,00;0,00;0,00;-0,05;0,00;0,00;161;139;88;33;22;426;914
74;38,83;-34,46;0,00;0,00;0,00;-0,03;0,00;0,00;222;160;144;31;33;199;488
75;20,04;-289,30;0,00;0,00;0,00;-0,29;0,00;0,00;315;55;112;24;16;699;779
76;58,73;64,82;0,00;0,00;0,00;0,06;0,00;0,00;34;60;16;46;38;131;934
77;66,03;189,85;0,00;0,00;0,00;0,19;0,00;0,00;49;10;20;34;16;598;528
78;62,04;134,15;0,00;0,00;0,00;0,13;0,00;0,00;230;79;114;34;24;213;324
79;12,73;-437,09;0,00;0,00;0,00;-0,44;0,00;0,00;308;45;120;16;30;986;559
80;47,77;-60,46;0,00;0,00;0,00;-0,06;0,00;0,00;421;144;71;37;19;158;983
81;67,18;185,36;0,00;0,00;0,00;0,19;0,00;0,00;197;199;144;30;30;767;194
82;25,11;-212,65;0,00;0,00;0,00;-0,21;0,00;0,00;386;75;62;33;28;685;786
83;44,08;-64,80;0,00;0,00;0,00;-0,06;0,00;0,00;40;95;164;45;27;115;114
84;50,19;3,71;0,00;0,00;0,00;0,00;0,00;0,00;80;93;166;47;32;643;562
85;41,46;-93,04;0,00;0,00;0,00;-0,09;0,00;0,00;423;125;127;30;36;781;362
86;57,84;94,32;0,00;0,00;0,00;0,09;0,00;0,00;429;79;102;15;17;447;959
87;58,99;101,79;0,00;0,00;0,00;0,10;0,00;0,00;400;27;68;17;29;275;296
88;60,21;124,99;0,00;0,00;0,00;0,12;0,00;0,00;289;137;157;26;36;301;597
89;50,77;-51,94;0,00;0,00;0,00;-0,05;0,00;0,00;372;11;182;14;30;153;235
