Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;51,82;-134,91;0,00;0,00;0,00;-0,13;0,00;0,00;27;37;181;24;16;525;131
2;58,87;-118,68;0,00;0,00;0,00;-0,12;0,00;0,00;64;159;111;20;39;645;272
3;39,68;-251,89;0,00;0,00;0,00;-0,25;0,00;0,00;314;162;185;13;24;818;483
4;34,94;-311,00;0,00;0,00;0,00;-0,31;0,00;0,00;486;145;113;48;34;622;693
5;81,63;117,22;0,00;0,00;0,00;0,12;0,00;0,00;359;163;62;40;28;417;198
6;54,99;-130,66;0,00;0,00;0,00;-0,13;0,00;0,00;399;181;130;32;17;879;183
7;47,22;-270,48;0,00;0,00;0,00;-0,27;0,00;0,00;310;42;135;13;34;797;138
8;52,88;-272,01;0,00;0,00;0,00;-0,27;0,00;0,00;60;28;133;46;30;332;408
9;40,71;-299,57;0,00;0,00;0,00;-0,30;0,00;0,00;82;46;151;31;17;685;424
10;0,00;-712,07;0,00;0,00;0,00;-0,71;0,00;0,00;249;134;107;12;22;854;332
11;33,49;-296,28;0,00;0,00;0,00;-0,30;0,00;0,00;386;28;89;33;39;423;165
12;42,00;-282,48;0,00;0,00;0,00;-0,28;0,00;0,00;210;151;13;15;35;124;871
13;43,16;-227,15;0,00;0,00;0,00;-0,23;0,00;0,00;77;85;136;39;20;821;397
14;51,51;-218,06;0,00;0,00;0,00;-0,22;0,00;0,00;454;89;157;26;24;384;380
15;62,80;-14,46;0,00;0,00;0,00;-0,01;0,00;0,00;414;13;190;48;15;385;548
16;7,02;-556,46;0,00;0,00;0,00;-0,56;0,00;0,00;129;113;156;48;31;796;179
17;67,96;-88,77;0,00;0,00;0,00;-0,09;0,00;0,00;49;103;95;35;27;895;794
18;18,92;-586,67;0,00;0,00;0,00;-0,59;0,00;0,00;181;150;128;29;20;701;788
19;75,48;-49,89;0,00;0,00;0,00;-0,05;0,00;0,00;38;58;73;47;31;518;225
20;6,07;-703,55;0,00;0,00;0,00;-0,70;0,00;0,00;155;121;61;29;16;750;171
21;32,66;-324,76;0,00;0,00;0,00;-0,32;0,00;0,00;270;153;67;17;18;324;153
22;45,22;-137,16;0,00;0,00;0,00;-0,14;0,00;0,00;263;186;146;30;21;507;893
23;93,11;259,68;0,00;0,00;0,00;0,26;0,00;0,00;101;100;151;39;23;163;787
24;79,85;8,88;0,00;0,00;0,00;0,01;0,00;0,00;423;96;36;44;23;764;474
