Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;55,32;-40,17;0,00;0,00;0,00;-0,04;0,00;0,00;320;37;181;24;16;525;131
2;35,44;-347,40;0,00;0,00;0,00;-0,35;0,00;0,00;383;159;111;20;39;645;272
3;43,69;-260,15;0,00;0,00;0,00;-0,26;0,00;0,00;77;162;185;13;24;818;483
4;21,39;-537,27;0,00;0,00;0,00;-0,54;0,00;0,00;202;145;113;48;34;622;693
5;39,79;-315,43;0,00;0,00;0,00;-0,32;0,00;0,00;137;163;62;40;28;417;198
6;24,82;-427,72;0,00;0,00;0,00;-0,43;0,00;0,00;436;181;130;32;17;879;183
7;70,22;-22,97;0,00;0,00;0,00;-0,02;0,00;0,00;54;42;135;13;34;797;138
8;38,52;-270,65;0,00;0,00;0,00;-0,27;0,00;0,00;263;28;133;46;30;332;408
9;53,36;-107,13;0,00;0,00;0,00;-0,11;0,00;0,00;90;46;151;31;17;685;424
10;48,40;-189,30;0,00;0,00;0,00;-0,19;0,00;0,00;404;134;107;12;22;854;332
11;15,78;-548,96;0,00;0,00;0,00;-0,55;0,00;0,00;479;28;89;33;39;423;165
12;67,57;-132,06;0,00;0,00;0,00;-0,13;0,00;0,00;76;151;13;15;35;124;871
13;38,96;-324,37;0,00;0,00;0,00;-0,32;0,00;0,00;27;85;136;39;20;821;397
14;38,20;-368,00;0,00;0,00;0,00;-0,37;0,00;0,00;293;89;157;26;24;384;380
15;66,21;57,44;0,00;0,00;0,00;0,06;0,00;0,00;220;13;190;48;15;385;548
16;22,38;-590,73;0,00;0,00;0,00;-0,59;0,00;0,00;489;113;156;48;31;796;179
17;34,51;-342,40;0,00;0,00;0,00;-0,34;0,00;0,00;453;103;95;35;27;895;794
18;55,03;-113,62;0,00;0,00;0,00;-0,11;0,00;0,00;432;150;128;29;20;701;788
19;100,00;330,12;0,00;0,00;0,00;0,33;0,00;0,00;181;58;73;47;31;518;225
20;37,89;-269,00;0,00;0,00;0,00;-0,27;0,00;0,00;440;121;61;29;16;750;171
21;53,83;-218,94;0,00;0,00;0,00;-0,22;0,00;0,00;436;153;67;17;18;324;153
22;76,00;107,80;0,00;0,00;0,00;0,11;0,00;0,00;313;186;146;30;21;507;893
23;78,74;92,75;0,00;0,00;0,00;0,09;0,00;0,00;447;100;151;39;23;163;787
24;98,97;307,60;0,00;0,00;0,00;0,31;0,00;0,00;406;96;36;44;23;764;474
25;51,86;-147,55;0,00;0,00;0,00;-0,15;0,00;0,00;191;34;103;23;36;639;826
26;42,08;-262,33;0,00;0,00;0,00;-0,26;0,00;0,00;299;134;14;25;34;549;328
27;66,64;18,79;0,00;0,00;0,00;0,02;0,00;0,00;86;30;142;37;26;513;541
28;66,57;-41,00;0,00;0,00;0,00;-0,04;0,00;0,00;140;98;65;13;29;166;425
29;76,75;112,33;0,00;0,00;0,00;0,11;0,00;0,00;71;63;194;26;29;554;716
30;63,63;-66,02;0,00;0,00;0,00;-0,07;0,00;0,00;195;57;167;47;29;269;648
31;62,06;-115,45;0,00;0,00;0,00;-0,12;0,00;0,00;300;40;79;39;27;633;109
32;70,28;-78,90;0,00;0,00;0,00;-0,08;0,00;0,00;221;197;26;18;21;235;974
33;35,03;-345,50;0,00;0,00;0,00;-0,35;0,00;0,00;135;135;143;17;34;868;582
34;48,37;-260,52;0,00;0,00;0,00;-0,26;0,00;0,00;293;70;39;43;39;347;851
35;32,64;-388,75;0,00;0,00;0,00;-0,39;0,00;0,00;433;95;45;15;17;737;418
36;24,81;-388,74;0,00;0,00;0,00;-0,39;0,00;0,00;214;80;116;22;23;817;422
37;81,30;65,90;0,00;0,00;0,00;0,07;0,00;0,00;415;117;173;23;37;718;703
38;60,17;34,62;0,00;0,00;0,00;0,03;0,00;0,00;17;129;108;15;16;411;662
39;100,00;273,72;0,00;0,00;0,00;0,27;0,00;0,00;10;182;108;30;31;429;198
40;33,85;-353,77;0,00;0,00;0,00;-0,35;0,00;0,00;154;81;154;21;21;781;998
41;37,12;-351,01;0,00;0,00;0,00;-0,35;0,00;0,00;246;57;18;17;37;632;515
42;62,45;-52,78;0,00;0,00;0,00;-0,05;0,00;0,00;94;119;36;26;34;798;594
43;27,04;-459,51;0,00;0,00;0,00;-0,46;0,00;0,00;444;25;53;33;30;697;637
44;0,00;-658,58;0,00;0,00;0,00;-0,66;0,00;0,00;215;179;155;24;38;813;396
45;98,07;262,82;0,00;0,00;0,00;0,26;0,00;0,00;255;150;164;13;24;730;805
46;69,02;10,68;0,00;0,00;0,00;0,01;0,00;0,00;414;139;138;25;21;739;420
47;28,41;-393,95;0,00;0,00;0,00;-0,39;0,00;0,00;436;87;150;43;19;230;144
48;46,51;-266,01;0,00;0,00;0,00;-0,27;0,00;0,00;282;77;104;45;21;828;592
49;27,95;-519,05;0,00;0,00;0,00;-0,52;0,00;0,00;226;180;25;16;19;915;958
50;34,47;-481,86;0,00;0,00;0,00;-0,48;0,00;0,00;31;100;73;49;27;931;925
51;17,47;-508,70;0,00;0,00;0,00;-0,51;0,00;0,00;425;120;196;32;34;550;147
52;42,09;-370,55;0,00;0,00;0,00;-0,37;0,00;0,00;265;35;150;39;19;702;770
53;50,68;-156,87;0,00;0,00;0,00;-0,16;0,00;0,00;371;119;15;15;21;325;711
54;69,03;-89,36;0,00;0,00;0,00;-0,09;0,00;0,00;314;157;97;15;34;959;459
55;58,53;-190,83;0,00;0,00;0,00;-0,19;0,00;0,00;268;171;170;36;35;665;550
56;92,78;132,23;0,00;0,00;0,00;0,13;0,00;0,00;279;151;105;26;26;361;215
57;24,12;-530,64;0,00;0,00;0,00;-0,53;0,00;0,00;386;18;56;17;27;932;854
58;35,11;-337,66;0,00;0,00;0,00;-0,34;0,00;0,00;35;63;51;18;19;464;291
59;42,81;-254,66;0,00;0,00;0,00;-0,25;0,00;0,00;224;87;119;30;30;174;136
60;22,45;-526,83;0,00;0,00;0,00;-0,53;0,00;0,00;211;105;19;43;19;355;605
61;30,25;-392,82;0,00;0,00;0,00;-0,39;0,00;0,00;183;167;147;48;30;152;159
62;41,21;-239,96;0,00;0,00;0,00;-0,24;0,00;0,00;81;188;87;33;15;541;112
63;66,28;6,07;0,00;0,00;0,00;0,01;0,00;0,00;89;84;150;33;21;588;834
64;100,00;238,53;0,00;0,00;0,00;0,24;0,00;0,00;267;171;198;29;18;843;924
65;16,18;-595,62;0,00;0,00;0,00;-0,60;0,00;0,00;285;38;166;37;31;294;488
66;20,62;-510,04;0,00;0,00;0,00;-0,51;0,00;0,00;303;179;144;27;17;901;444
67;44,02;-247,68;0,00;0,00;0,00;-0,25;0,00;0,00;326;188;166;13;32;993;881
68;31,06;-396,82;0,00;0,00;0,00;-0,40;0,00;0,00;358;32;191;43;39;182;924
69;52,11;-138,41;0,00;0,00;0,00;-0,14;0,00;0,00;12;144;164;20;30;638;142
70;62,00;-55,24;0,00;0,00;0,00;-0,06;0,00;0,00;60;137;127;45;30;807;377
71;32,47;-421,33;0,00;0,00;0,00;-0,42;0,00;0,00;75;118;160;44;15;658;945
72;44,23;-221,78;0,00;0,00;0,00;-0,22;0,00;0,00;419;181;78;46;25;681;751
73;69,94;2,68;0,00;0,00;0,00;0,00;0,00;0,00;244;18;19;47;25;435;741
74;28,53;-366,83;0,00;0,00;0,00;-0,37;0,00;0,00;58;92;144;11;25;491;672
75;41,63;-256,76;0,00;0,00;0,00;-0,26;0,00;0,00;427;18;196;40;19;580;304
76;21,90;-519,42;0,00;0,00;0,00;-0,52;0,00;0,00;303;143;130;10;36;602;491
77;52,14;-165,11;0,00;0,00;0,00;-0,17;0,00;0,00;101;165;141;21;17;607;732
78;63,73;-56,65;0,00;0,00;0,00;-0,06;0,00;0,00;403;194;172;48;22;803;503
79;56,88;-136,17;0,00;0,00;0,00;-0,14;0,00;0,00;448;195;30;34;20;857;604
80;41,97;-204,10;0,00;0,00;0,00;-0,20;0,00;0,00;249;69;135;45;30;459;798
81;16,26;-540,61;0,00;0,00;0,00;-0,54;0,00;0,00;154;120;92;38;31;834;922
82;50,13;-89,29;0,00;0,00;0,00;-0,09;0,00;0,00;329;158;124;41;23;862;739
83;53,10;-108,45;0,00;0,00;0,00;-0,11;0,00;0,00;377;174;26;15;28;786;617
84;66,00;48,06;0,00;0,00;0,00;0,05;0,00;0,00;434;82;135;35;35;291;467
85;63,14;-14,93;0,00;0,00;0,00;-0,01;0,00;0,00;76;92;44;43;38;797;181
86;18,03;-474,92;0,00;0,00;0,00;-0,47;0,00;0,00;208;170;196;13;34;121;746
87;81,52;-10,83;0,00;0,00;0,00;-0,01;0,00;0,00;371;63;22;16;37;477;472
88;65,27;45,75;0,00;0,00;0,00;0,05;0,00;0,00;444;80;187;13;38;189;798
89;64,94;-87,98;0,00;0,00;0,00;-0,09;0,00;0,00;86;97;87;24;28;535;541
90;58,58;-130,83;0,00;0,00;0,00;-0,13;0,00;0,00;117;21;168;47;36;453;923
91;35,00;-413,84;0,00;0,00;0,00;-0,41;0,00;0,00;457;95;110;46;32;989;390
92;70,81;92,21;0,00;0,00;0,00;0,09;0,00;0,00;54;199;86;12;26;112;297
93;47,40;-303,27;0,00;0,00;0,00;-0,30;0,00;0,00;477;182;10;28;30;710;965
94;37,06;-347,61;0,00;0,00;0,00;-0,35;0,00;0,00;266;143;186;29;28;734;253
95;28,85;-321,20;0,00;0,00;0,00;-0,32;0,00;0,00;186;163;140;42;34;403;627
96;47,48;-133,53;0,00;0,00;0,00;-0,13;0,00;0,00;171;136;179;35;23;865;553
97;96,86;199,21;0,00;0,00;0,00;0,20;0,00;0,00;356;74;197;39;19;729;633
98;59,87;-154,55;0,00;0,00;0,00;-0,15;0,00;0,00;98;136;134;45;33;480;176
99;62,85;-45,52;0,00;0,00;0,00;-0,05;0,00;0,00;126;85;53;22;33;154;655
100;47,55;-247,61;0,00;0,00;0,00;-0,25;0,00;0,00;79;133;168;43;37;760;198
101;63,50;-68,02;0,00;0,00;0,00;-0,07;0,00;0,00;177;83;140;10;20;951;747
102;49,11;-279,77;0,00;0,00;0,00;-0,28;0,00;0,00;143;167;97;24;39;516;247
103;48,82;-189,28;0,00;0,00;0,00;-0,19;0,00;0,00;136;181;133;33;35;759;407
104;71,26;39,39;0,00;0,00;0,00;0,04;0,00;0,00;61;20;156;20;19;736;125
105;44,71;-240,38;0,00;0,00;0,00;-0,24;0,00;0,00;346;156;107;26;37;252;158
106;66,39;-74,29;0,00;0,00;0,00;-0,07;0,00;0,00;487;111;10;32;18;202;633
107;64,69;-25,36;0,00;0,00;0,00;-0,03;0,00;0,00;359;114;161;43;37;271;330
108;64,28;-43,89;0,00;0,00;0,00;-0,04;0,00;0,00;403;36;128;28;15;758;376
109;86,55;185,37;0,00;0,00;0,00;0,19;0,00;0,00;488;173;148;19;18;803;733
110;38,41;-365,46;0,00;0,00;0,00;-0,37;0,00;0,00;160;103;193;36;37;271;996
111;41,96;-359,86;0,00;0,00;0,00;-0,36;0,00;0,00;172;177;23;16;29;377;565
112;52,12;-155,12;0,00;0,00;0,00;-0,16;0,00;0,00;73;145;41;15;37;978;737
113;1,77;-767,17;0,00;0,00;0,00;-0,77;0,00;0,00;167;188;144;38;28;230;119
114;45,74;-278,18;0,00;0,00;0,00;-0,28;0,00;0,00;96;54;131;40;24;922;562
115;94,37;257,34;0,00;0,00;0,00;0,26;0,00;0,00;108;187;103;35;15;913;336
116;69,97;3,27;0,00;0,00;0,00;0,00;0,00;0,00;435;179;110;37;34;206;411
117;32,90;-382,56;0,00;0,00;0,00;-0,38;0,00;0,00;80;77;19;49;23;996;207
118;31,33;-374,65;0,00;0,00;0,00;-0,37;0,00;0,00;138;19;41;25;37;499;385
119;53,93;-205,30;0,00;0,00;0,00;-0,21;0,00;0,00;89;111;57;15;15;503;198
120;56,28;-99,06;0,00;0,00;0,00;-0,10;0,00;0,00;158;156;194;21;38;896;204
121;55,61;-97,86;0,00;0,00;0,00;-0,10;0,00;0,00;248;16;73;42;25;958;584
122;36,81;-410,56;0,00;0,00;0,00;-0,41;0,00;0,00;31;19;108;13;22;244;470
