Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;34,40;-350,09;0,00;0,00;0,00;-0,35;0,00;0,00;303;140;81;44;17;705;176
2;26,82;-363,33;0,00;0,00;0,00;-0,36;0,00;0,00;387;16;151;17;36;686;828
3;38,77;-295,88;0,00;0,00;0,00;-0,30;0,00;0,00;402;180;51;29;18;720;386
4;100,00;256,29;0,00;0,00;0,00;0,26;0,00;0,00;77;131;38;46;16;367;374
5;18,35;-472,05;0,00;0,00;0,00;-0,47;0,00;0,00;79;73;30;17;22;506;767
6;26,99;-461,13;0,00;0,00;0,00;-0,46;0,00;0,00;238;51;174;28;16;169;468
7;96,50;217,33;0,00;0,00;0,00;0,22;0,00;0,00;200;178;179;40;35;318;875
8;44,44;-237,35;0,00;0,00;0,00;-0,24;0,00;0,00;264;55;150;45;33;669;928
9;53,10;-218,65;0,00;0,00;0,00;-0,22;0,00;0,00;177;102;44;45;31;564;407
10;69,47;0,29;0,00;0,00;0,00;0,00;0,00;0,00;266;192;83;49;33;948;183
11;59,86;-63,84;0,00;0,00;0,00;-0,06;0,00;0,00;55;157;72;30;30;889;394
12;22,88;-434,04;0,00;0,00;0,00;-0,43;0,00;0,00;46;159;120;35;36;597;985
13;81,66;122,52;0,00;0,00;0,00;0,12;0,00;0,00;26;63;61;24;24;775;998
14;47,44;-166,48;0,00;0,00;0,00;-0,17;0,00;0,00;174;170;194;29;30;890;525
15;54,73;-142,47;0,00;0,00;0,00;-0,14;0,00;0,00;415;182;160;12;25;960;541
16;4,53;-640,19;0,00;0,00;0,00;-0,64;0,00;0,00;34;168;161;41;36;606;633
17;76,36;82,10;0,00;0,00;0,00;0,08;0,00;0,00;322;74;172;26;18;561;522
18;77,56;105,53;0,00;0,00;0,00;0,11;0,00;0,00;310;176;43;45;15;982;614
19;42,15;-274,70;0,00;0,00;0,00;-0,27;0,00;0,00;497;90;167;30;26;995;705
20;50,94;-167,76;0,00;0,00;0,00;-0,17;0,00;0,00;405;127;60;49;36;202;227
21;88,25;204,58;0,00;0,00;0,00;0,20;0,00;0,00;340;126;179;26;20;652;249
22;71,15;89,42;0,00;0,00;0,00;0,09;0,00;0,00;420;120;55;46;28;294;574
23;13,21;-597,48;0,00;0,00;0,00;-0,60;0,00;0,00;237;139;185;30;27;249;144
24;86,62;175,93;0,00;0,00;0,00;0,18;0,00;0,00;386;144;143;37;36;818;451
25;94,36;230,62;0,00;0,00;0,00;0,23;0,00;0,00;450;57;83;28;35;142;189
26;45,70;-219,40;0,00;0,00;0,00;-0,22;0,00;0,00;199;61;185;21;16;627;705
27;63,07;-33,65;0,00;0,00;0,00;-0,03;0,00;0,00;131;66;176;12;17;225;358
28;6,21;-658,20;0,00;0,00;0,00;-0,66;0,00;0,00;439;179;173;47;19;455;489
29;69,07;-38,53;0,00;0,00;0,00;-0,04;0,00;0,00;483;131;16;42;28;156;641
30;66,54;-42,83;0,00;0,00;0,00;-0,04;0,00;0,00;195;170;79;47;32;364;998
31;33,28;-346,67;0,00;0,00;0,00;-0,35;0,00;0,00;152;140;180;33;24;388;626
32;43,28;-271,64;0,00;0,00;0,00;-0,27;0,00;0,00;295;174;72;44;37;949;222
