Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;42,12;-110,11;0,00;0,00;0,00;-0,11;0,00;0,00;14;150;98;38;19;872;349
2;60,72;54,92;0,00;0,00;0,00;0,05;0,00;0,00;352;54;118;42;29;904;851
3;60,24;147,69;0,00;0,00;0,00;0,15;0,00;0,00;262;193;135;38;35;556;207
4;63,01;150,76;0,00;0,00;0,00;0,15;0,00;0,00;55;130;155;25;17;304;999
5;59,93;56,11;0,00;0,00;0,00;0,06;0,00;0,00;126;187;108;41;33;493;622
6;51,84;-17,52;0,00;0,00;0,00;-0,02;0,00;0,00;183;102;71;49;37;136;976
7;48,97;-26,80;0,00;0,00;0,00;-0,03;0,00;0,00;210;124;19;16;33;683;797
8;46,36;-6,56;0,00;0,00;0,00;-0,01;0,00;0,00;44;87;69;19;39;862;898
9;22,64;-187,99;0,00;0,00;0,00;-0,19;0,00;0,00;439;68;116;33;25;762;340
10;46,93;-58,10;0,00;0,00;0,00;-0,06;0,00;0,00;351;162;75;49;23;792;965
11;69,96;276,72;0,00;0,00;0,00;0,28;0,00;0,00;73;147;16;39;17;990;977
12;50,87;-10,53;0,00;0,00;0,00;-0,01;0,00;0,00;405;163;12;32;20;981;795
13;62,12;170,82;0,00;0,00;0,00;0,17;0,00;0,00;256;155;83;41;34;989;624
14;25,04;-243,22;0,00;0,00;0,00;-0,24;0,00;0,00;475;106;68;38;32;895;407
15;54,04;35,58;0,00;0,00;0,00;0,04;0,00;0,00;40;60;66;13;17;714;950
16;45,18;-161,29;0,00;0,00;0,00;-0,16;0,00;0,00;401;54;194;17;33;918;987
17;19,11;-317,58;0,00;0,00;0,00;-0,32;0,00;0,00;376;163;189;39;24;224;123
18;75,84;257,24;0,00;0,00;0,00;0,26;0,00;0,00;386;185;191;43;35;479;850
19;48,05;-11,30;0,00;0,00;0,00;-0,01;0,00;0,00;447;98;136;42;22;363;920
20;55,89;152,00;0,00;0,00;0,00;0,15;0,00;0,00;85;180;107;18;28;396;447
21;77,99;194,74;0,00;0,00;0,00;0,19;0,00;0,00;136;126;129;21;29;516;637
22;44,64;-73,93;0,00;0,00;0,00;-0,07;0,00;0,00;57;144;143;20;37;697;951
23;44,40;-106,51;0,00;0,00;0,00;-0,11;0,00;0,00;375;92;92;20;18;928;737
24;61,70;149,04;0,00;0,00;0,00;0,15;0,00;0,00;494;104;134;16;16;852;290
25;41,21;-96,85;0,00;0,00;0,00;-0,10;0,00;0,00;27;92;50;10;16;165;272
26;51,73;-0,33;0,00;0,00;0,00;-0,00;0,00;0,00;198;184;129;33;26;453;452
27;36,22;-119,51;0,00;0,00;0,00;-0,12;0,00;0,00;15;115;191;33;18;986;307
28;37,39;-220,04;0,00;0,00;0,00;-0,22;0,00;0,00;227;13;154;11;23;747;162
29;47,49;-21,08;0,00;0,00;0,00;-0,02;0,00;0,00;32;87;172;33;20;582;343
30;48,95;-115,57;0,00;0,00;0,00;-0,12;0,00;0,00;34;72;193;41;23;350;790
31;63,26;93,76;0,00;0,00;0,00;0,09;0,00;0,00;416;78;143;33;15;199;988
32;39,20;-125,82;0,00;0,00;0,00;-0,13;0,00;0,00;479;147;45;42;34;781;432
33;50,12;-14,48;0,00;0,00;0,00;-0,01;0,00;0,00;217;52;77;31;37;222;215
34;38,44;-75,85;0,00;0,00;0,00;-0,08;0,00;0,00;206;112;198;13;24;547;233
35;41,88;-59,10;0,00;0,00;0,00;-0,06;0,00;0,00;180;165;184;14;32;307;808
36;54,51;54,06;0,00;0,00;0,00;0,05;0,00;0,00;108;71;115;30;17;384;888
37;41,28;-55,32;0,00;0,00;0,00;-0,06;0,00;0,00;157;180;129;38;34;661;192
38;67,94;132,70;0,00;0,00;0,00;0,13;0,00;0,00;262;154;119;21;23;995;955
39;98,70;532,85;0,00;0,00;0,00;0,53;0,00;0,00;321;146;46;45;20;260;861
40;58,53;156,31;0,00;0,00;0,00;0,16;0,00;0,00;389;27;199;48;34;789;634
41;36,26;-70,51;0,00;0,00;0,00;-0,07;0,00;0,00;290;32;40;28;29;230;716
42;49,28;24,63;0,00;0,00;0,00;0,02;0,00;0,00;176;14;54;11;18;381;314
43;46,33;-72,01;0,00;0,00;0,00;-0,07;0,00;0,00;466;181;194;23;28;950;468
44;59,92;18,96;0,00;0,00;0,00;0,02;0,00;0,00;396;47;187;32;33;846;657
45;27,42;-222,92;0,00;0,00;0,00;-0,22;0,00;0,00;153;64;151;44;27;529;191
46;52,83;23,02;0,00;0,00;0,00;0,02;0,00;0,00;338;115;63;37;34;555;583
47;76,47;347,99;0,00;0,00;0,00;0,35;0,00;0,00;480;79;182;45;18;705;798
48;38,41;-158,03;0,00;0,00;0,00;-0,16;0,00;0,00;109;14;24;27;35;391;136
49;42,86;-76,21;0,00;0,00;0,00;-0,08;0,00;0,00;451;54;29;36;28;679;584
50;27,01;-249,18;0,00;0,00;0,00;-0,25;0,00;0,00;291;148;123;26;30;797;642
51;44,61;-152,30;0,00;0,00;0,00;-0,15;0,00;0,00;227;38;132;26;31;166;319
52;56,86;94,02;0,00;0,00;0,00;0,09;0,00;0,00;186;108;191;23;24;680;859
53;56,52;32,03;0,00;0,00;0,00;0,03;0,00;0,00;351;71;33;46;34;354;451
54;42,40;20,30;0,00;0,00;0,00;0,02;0,00;0,00;487;178;27;30;29;333;773
55;82,46;289,91;0,00;0,00;0,00;0,29;0,00;0,00;411;158;99;17;37;221;779
56;49,62;-67,49;0,00;0,00;0,00;-0,07;0,00;0,00;388;49;45;37;16;312;524
