Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;58,77;-138,34;0,00;0,00;0,00;-0,14;0,00;0,00;157;140;81;44;17;705;176
2;53,50;-119,72;0,00;0,00;0,00;-0,12;0,00;0,00;420;16;151;17;36;686;828
3;0,00;-771,86;0,00;0,00;0,00;-0,77;0,00;0,00;140;180;51;29;18;720;386
4;48,75;-172,76;0,00;0,00;0,00;-0,17;0,00;0,00;152;131;38;46;16;367;374
5;67,08;-8,52;0,00;0,00;0,00;-0,01;0,00;0,00;126;73;30;17;22;506;767
6;26,84;-445,57;0,00;0,00;0,00;-0,45;0,00;0,00;233;51;174;28;16;169;468
7;86,91;117,57;0,00;0,00;0,00;0,12;0,00;0,00;223;178;179;40;35;318;875
8;38,40;-365,36;0,00;0,00;0,00;-0,37;0,00;0,00;328;55;150;45;33;669;928
9;67,65;-20,42;0,00;0,00;0,00;-0,02;0,00;0,00;189;102;44;45;31;564;407
10;52,60;-249,68;0,00;0,00;0,00;-0,25;0,00;0,00;330;192;83;49;33;948;183
11;60,49;-68,45;0,00;0,00;0,00;-0,07;0,00;0,00;85;157;72;30;30;889;394
12;13,11;-540,24;0,00;0,00;0,00;-0,54;0,00;0,00;397;159;120;35;36;597;985
13;44,08;-301,81;0,00;0,00;0,00;-0,30;0,00;0,00;284;63;61;24;24;775;998
14;40,18;-278,12;0,00;0,00;0,00;-0,28;0,00;0,00;110;170;194;29;30;890;525
15;31,37;-491,35;0,00;0,00;0,00;-0,49;0,00;0,00;143;182;160;12;25;960;541
16;32,04;-257,22;0,00;0,00;0,00;-0,26;0,00;0,00;27;168;161;41;36;606;633
17;22,83;-494,20;0,00;0,00;0,00;-0,49;0,00;0,00;486;74;172;26;18;561;522
18;76,87;22,17;0,00;0,00;0,00;0,02;0,00;0,00;23;176;43;45;15;982;614
19;49,52;-271,89;0,00;0,00;0,00;-0,27;0,00;0,00;343;90;167;30;26;995;705
20;33,90;-302,07;0,00;0,00;0,00;-0,30;0,00;0,00;44;127;60;49;36;202;227
21;71,17;26,50;0,00;0,00;0,00;0,03;0,00;0,00;73;126;179;26;20;652;249
22;58,33;-145,81;0,00;0,00;0,00;-0,15;0,00;0,00;223;120;55;46;28;294;574
23;13,79;-627,88;0,00;0,00;0,00;-0,63;0,00;0,00;146;139;185;30;27;249;144
24;51,35;-207,35;0,00;0,00;0,00;-0,21;0,00;0,00;296;144;143;37;36;818;451
25;63,67;24,42;0,00;0,00;0,00;0,02;0,00;0,00;409;57;83;28;35;142;189
26;43,26;-263,08;0,00;0,00;0,00;-0,26;0,00;0,00;181;61;185;21;16;627;705
27;39,37;-236,76;0,00;0,00;0,00;-0,24;0,00;0,00;276;66;176;12;17;225;358
28;30,81;-340,37;0,00;0,00;0,00;-0,34;0,00;0,00;339;179;173;47;19;455;489
29;100,00;353,08;0,00;0,00;0,00;0,35;0,00;0,00;20;131;16;42;28;156;641
30;69,64;23,66;0,00;0,00;0,00;0,02;0,00;0,00;331;170;79;47;32;364;998
31;38,38;-346,41;0,00;0,00;0,00;-0,35;0,00;0,00;385;140;180;33;24;388;626
32;32,42;-441,93;0,00;0,00;0,00;-0,44;0,00;0,00;125;174;72;44;37;949;222
33;90,42;257,62;0,00;0,00;0,00;0,26;0,00;0,00;34;112;142;36;18;467;748
34;68,14;9,93;0,00;0,00;0,00;0,01;0,00;0,00;497;146;148;49;23;739;339
35;3,76;-786,02;0,00;0,00;0,00;-0,79;0,00;0,00;125;171;52;28;27;980;233
36;63,03;35,76;0,00;0,00;0,00;0,04;0,00;0,00;187;148;184;15;23;109;334
37;92,79;288,91;0,00;0,00;0,00;0,29;0,00;0,00;208;152;175;38;19;218;529
38;78,03;96,05;0,00;0,00;0,00;0,10;0,00;0,00;285;88;187;13;15;759;141
39;69,66;6,12;0,00;0,00;0,00;0,01;0,00;0,00;153;189;146;45;31;367;574
40;55,27;-66,03;0,00;0,00;0,00;-0,07;0,00;0,00;141;44;109;16;37;960;597
41;100,00;337,58;0,00;0,00;0,00;0,34;0,00;0,00;389;66;71;47;31;318;831
42;41,82;-286,32;0,00;0,00;0,00;-0,29;0,00;0,00;361;115;88;33;29;217;588
43;52,11;-222,58;0,00;0,00;0,00;-0,22;0,00;0,00;291;91;90;30;33;384;548
44;38,03;-331,67;0,00;0,00;0,00;-0,33;0,00;0,00;296;155;174;42;38;651;674
45;24,23;-379,09;0,00;0,00;0,00;-0,38;0,00;0,00;254;148;121;16;21;638;478
46;94,82;294,52;0,00;0,00;0,00;0,29;0,00;0,00;420;143;48;41;21;529;359
47;52,48;-184,90;0,00;0,00;0,00;-0,18;0,00;0,00;257;83;34;44;27;952;622
48;49,74;-226,01;0,00;0,00;0,00;-0,23;0,00;0,00;72;79;43;21;27;113;306
49;49,58;-184,02;0,00;0,00;0,00;-0,18;0,00;0,00;350;75;116;13;39;799;411
50;56,92;-158,31;0,00;0,00;0,00;-0,16;0,00;0,00;383;104;62;33;21;693;195
51;30,29;-442,79;0,00;0,00;0,00;-0,44;0,00;0,00;243;196;38;24;37;583;727
52;12,81;-649,69;0,00;0,00;0,00;-0,65;0,00;0,00;379;19;28;48;35;557;461
53;44,14;-359,89;0,00;0,00;0,00;-0,36;0,00;0,00;493;69;119;22;33;133;189
54;66,50;-13,01;0,00;0,00;0,00;-0,01;0,00;0,00;15;87;136;12;33;357;559
55;50,29;-286,01;0,00;0,00;0,00;-0,29;0,00;0,00;149;34;119;38;38;101;231
56;36,13;-329,39;0,00;0,00;0,00;-0,33;0,00;0,00;130;128;143;34;31;684;975
57;29,62;-354,34;0,00;0,00;0,00;-0,35;0,00;0,00;353;129;166;41;33;868;601
58;100,00;391,85;0,00;0,00;0,00;0,39;0,00;0,00;351;108;62;18;20;434;796
59;70,96;21,86;0,00;0,00;0,00;0,02;0,00;0,00;291;68;170;20;26;893;428
60;14,35;-634,86;0,00;0,00;0,00;-0,63;0,00;0,00;99;17;162;20;30;324;495
61;3,33;-600,97;0,00;0,00;0,00;-0,60;0,00;0,00;276;183;30;31;15;867;233
62;7,59;-623,40;0,00;0,00;0,00;-0,62;0,00;0,00;442;164;120;27;37;826;798
63;40,80;-343,65;0,00;0,00;0,00;-0,34;0,00;0,00;373;64;121;26;37;617;659
64;72,26;-10,25;0,00;0,00;0,00;-0,01;0,00;0,00;15;94;12;47;22;399;608
65;70,11;-6,05;0,00;0,00;0,00;-0,01;0,00;0,00;82;162;178;30;17;400;553
66;53,87;-134,46;0,00;0,00;0,00;-0,13;0,00;0,00;402;150;24;41;35;408;499
67;80,37;16,37;0,00;0,00;0,00;0,02;0,00;0,00;192;30;182;24;22;649;932
68;41,15;-237,73;0,00;0,00;0,00;-0,24;0,00;0,00;317;145;24;34;35;606;628
69;40,43;-334,02;0,00;0,00;0,00;-0,33;0,00;0,00;458;13;113;11;32;216;111
70;63,79;25,51;0,00;0,00;0,00;0,03;0,00;0,00;235;189;107;29;26;569;552
71;70,04;-56,62;0,00;0,00;0,00;-0,06;0,00;0,00;350;157;48;38;18;143;358
72;33,39;-392,95;0,00;0,00;0,00;-0,39;0,00;0,00;403;50;159;44;28;668;128
73;66,94;-44,32;0,00;0,00;0,00;-0,04;0,00;0,00;409;127;48;17;24;820;322
74;68,28;35,06;0,00;0,00;0,00;0,04;0,00;0,00;458;85;65;30;18;841;544
75;18,15;-536,91;0,00;0,00;0,00;-0,54;0,00;0,00;103;40;40;37;29;147;572
76;100,00;308,86;0,00;0,00;0,00;0,31;0,00;0,00;194;97;186;18;35;150;518
77;65,14;-35,87;0,00;0,00;0,00;-0,04;0,00;0,00;399;21;63;18;22;862;782
78;87,65;133,61;0,00;0,00;0,00;0,13;0,00;0,00;93;66;43;11;24;303;953
79;30,18;-412,97;0,00;0,00;0,00;-0,41;0,00;0,00;34;60;133;33;32;466;519
80;68,12;50,66;0,00;0,00;0,00;0,05;0,00;0,00;429;167;96;27;25;235;149
81;43,04;-297,16;0,00;0,00;0,00;-0,30;0,00;0,00;153;51;112;36;21;208;593
82;26,04;-408,29;0,00;0,00;0,00;-0,41;0,00;0,00;10;190;117;12;18;627;569
83;78,94;159,58;0,00;0,00;0,00;0,16;0,00;0,00;206;80;40;25;30;780;210
84;57,79;-134,38;0,00;0,00;0,00;-0,13;0,00;0,00;381;111;162;23;32;550;758
85;45,30;-266,51;0,00;0,00;0,00;-0,27;0,00;0,00;326;125;185;48;35;637;880
86;15,66;-567,29;0,00;0,00;0,00;-0,57;0,00;0,00;309;159;48;44;19;472;505
87;29,77;-346,06;0,00;0,00;0,00;-0,35;0,00;0,00;12;134;79;13;25;243;636
88;68,12;6,39;0,00;0,00;0,00;0,01;0,00;0,00;374;175;187;26;28;359;674
89;67,18;-31,26;0,00;0,00;0,00;-0,03;0,00;0,00;240;165;54;38;29;526;531
90;69,29;41,69;0,00;0,00;0,00;0,04;0,00;0,00;305;34;44;46;25;939;886
91;70,43;116,29;0,00;0,00;0,00;0,12;0,00;0,00;390;186;41;34;27;942;711
92;28,09;-343,30;0,00;0,00;0,00;-0,34;0,00;0,00;357;192;25;17;20;774;390
93;34,00;-381,94;0,00;0,00;0,00;-0,38;0,00;0,00;488;81;67;15;33;783;621
94;67,25;3,83;0,00;0,00;0,00;0,00;0,00;0,00;318;180;62;49;33;688;411
95;28,14;-375,58;0,00;0,00;0,00;-0,38;0,00;0,00;34;116;53;17;22;904;558
96;62,56;-87,22;0,00;0,00;0,00;-0,09;0,00;0,00;187;35;130;34;19;383;585
97;48,26;-230,41;0,00;0,00;0,00;-0,23;0,00;0,00;169;73;74;34;39;353;755
