Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;28,05;-247,11;0,00;0,00;0,00;-0,25;0,00;0,00;314;150;98;38;19;872;349
2;60,40;139,94;0,00;0,00;0,00;0,14;0,00;0,00;137;54;118;42;29;904;851
3;63,27;95,68;0,00;0,00;0,00;0,10;0,00;0,00;67;193;135;38;35;556;207
4;52,48;63,74;0,00;0,00;0,00;0,06;0,00;0,00;309;130;155;25;17;304;999
5;58,02;166,43;0,00;0,00;0,00;0,17;0,00;0,00;390;187;108;41;33;493;622
6;55,98;24,65;0,00;0,00;0,00;0,02;0,00;0,00;360;102;71;49;37;136;976
7;49,86;-53,81;0,00;0,00;0,00;-0,05;0,00;0,00;83;124;19;16;33;683;797
8;54,98;-1,33;0,00;0,00;0,00;-0,00;0,00;0,00;439;87;69;19;39;862;898
9;22,08;-272,92;0,00;0,00;0,00;-0,27;0,00;0,00;481;68;116;33;25;762;340
10;47,30;22,28;0,00;0,00;0,00;0,02;0,00;0,00;11;162;75;49;23;792;965
11;62,79;106,60;0,00;0,00;0,00;0,11;0,00;0,00;171;147;16;39;17;990;977
12;44,59;-78,17;0,00;0,00;0,00;-0,08;0,00;0,00;112;163;12;32;20;981;795
13;64,20;165,04;0,00;0,00;0,00;0,17;0,00;0,00;399;155;83;41;34;989;624
14;28,34;-187,29;0,00;0,00;0,00;-0,19;0,00;0,00;298;106;68;38;32;895;407
15;55,36;101,66;0,00;0,00;0,00;0,10;0,00;0,00;68;60;66;13;17;714;950
16;41,25;-60,21;0,00;0,00;0,00;-0,06;0,00;0,00;55;54;194;17;33;918;987
17;32,97;-140,32;0,00;0,00;0,00;-0,14;0,00;0,00;325;163;189;39;24;224;123
18;75,33;173,80;0,00;0,00;0,00;0,17;0,00;0,00;203;185;191;43;35;479;850
19;34,30;-208,80;0,00;0,00;0,00;-0,21;0,00;0,00;327;98;136;42;22;363;920
20;49,92;-38,47;0,00;0,00;0,00;-0,04;0,00;0,00;210;180;107;18;28;396;447
21;76,32;242,28;0,00;0,00;0,00;0,24;0,00;0,00;166;126;129;21;29;516;637
22;43,48;-65,92;0,00;0,00;0,00;-0,07;0,00;0,00;454;144;143;20;37;697;951
23;48,67;-107,99;0,00;0,00;0,00;-0,11;0,00;0,00;483;92;92;20;18;928;737
24;49,77;-10,52;0,00;0,00;0,00;-0,01;0,00;0,00;303;104;134;16;16;852;290
25;49,52;-127,22;0,00;0,00;0,00;-0,13;0,00;0,00;158;92;50;10;16;165;272
26;42,52;-156,71;0,00;0,00;0,00;-0,16;0,00;0,00;313;184;129;33;26;453;452
27;35,76;-130,86;0,00;0,00;0,00;-0,13;0,00;0,00;90;115;191;33;18;986;307
28;40,12;-111,84;0,00;0,00;0,00;-0,11;0,00;0,00;293;13;154;11;23;747;162
