Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;12,99;-593,44;0,00;0,00;0,00;-0,59;0,00;0,00;488;37;181;24;16;525;131
2;47,32;-278,80;0,00;0,00;0,00;-0,28;0,00;0,00;245;159;111;20;39;645;272
3;34,30;-426,94;0,00;0,00;0,00;-0,43;0,00;0,00;118;162;185;13;24;818;483
4;0,00;-765,15;0,00;0,00;0,00;-0,77;0,00;0,00;271;145;113;48;34;622;693
5;56,63;-92,30;0,00;0,00;0,00;-0,09;0,00;0,00;479;163;62;40;28;417;198
6;91,64;118,76;0,00;0,00;0,00;0,12;0,00;0,00;68;181;130;32;17;879;183
7;82,13;106,43;0,00;0,00;0,00;0,11;0,00;0,00;399;42;135;13;34;797;138
8;61,11;-58,59;0,00;0,00;0,00;-0,06;0,00;0,00;234;28;133;46;30;332;408
9;66,73;-0,69;0,00;0,00;0,00;-0,00;0,00;0,00;395;46;151;31;17;685;424
10;16,34;-473,70;0,00;0,00;0,00;-0,47;0,00;0,00;134;134;107;12;22;854;332
11;0,29;-749,71;0,00;0,00;0,00;-0,75;0,00;0,00;411;28;89;33;39;423;165
12;51,64;-110,62;0,00;0,00;0,00;-0,11;0,00;0,00;91;151;13;15;35;124;871
13;42,86;-228,29;0,00;0,00;0,00;-0,23;0,00;0,00;474;85;136;39;20;821;397
14;12,56;-619,90;0,00;0,00;0,00;-0,62;0,00;0,00;230;89;157;26;24;384;380
15;37,14;-306,99;0,00;0,00;0,00;-0,31;0,00;0,00;489;13;190;48;15;385;548
16;30,97;-397,85;0,00;0,00;0,00;-0,40;0,00;0,00;89;113;156;48;31;796;179
17;40,28;-391,56;0,00;0,00;0,00;-0,39;0,00;0,00;22;103;95;35;27;895;794
18;31,03;-460,45;0,00;0,00;0,00;-0,46;0,00;0,00;450;150;128;29;20;701;788
19;100,00;325,26;0,00;0,00;0,00;0,33;0,00;0,00;39;58;73;47;31;518;225
20;18,66;-529,81;0,00;0,00;0,00;-0,53;0,00;0,00;218;121;61;29;16;750;171
21;67,85;-97,15;0,00;0,00;0,00;-0,10;0,00;0,00;414;153;67;17;18;324;153
22;56,04;-186,49;0,00;0,00;0,00;-0,19;0,00;0,00;409;186;146;30;21;507;893
23;76,14;48,75;0,00;0,00;0,00;0,05;0,00;0,00;168;100;151;39;23;163;787
24;56,22;-112,18;0,00;0,00;0,00;-0,11;0,00;0,00;460;96;36;44;23;764;474
25;30,93;-315,33;0,00;0,00;0,00;-0,32;0,00;0,00;345;34;103;23;36;639;826
26;41,19;-348,10;0,00;0,00;0,00;-0,35;0,00;0,00;458;134;14;25;34;549;328
27;56,01;-90,77;0,00;0,00;0,00;-0,09;0,00;0,00;75;30;142;37;26;513;541
28;52,02;-184,35;0,00;0,00;0,00;-0,18;0,00;0,00;109;98;65;13;29;166;425
29;21,39;-467,46;0,00;0,00;0,00;-0,47;0,00;0,00;231;63;194;26;29;554;716
30;58,28;-106,56;0,00;0,00;0,00;-0,11;0,00;0,00;285;57;167;47;29;269;648
31;76,09;70,28;0,00;0,00;0,00;0,07;0,00;0,00;215;40;79;39;27;633;109
32;74,33;121,92;0,00;0,00;0,00;0,12;0,00;0,00;176;197;26;18;21;235;974
33;81,05;156,57;0,00;0,00;0,00;0,16;0,00;0,00;466;135;143;17;34;868;582
34;29,43;-426,00;0,00;0,00;0,00;-0,43;0,00;0,00;378;70;39;43;39;347;851
35;32,69;-388,98;0,00;0,00;0,00;-0,39;0,00;0,00;196;95;45;15;17;737;418
36;22,50;-493,52;0,00;0,00;0,00;-0,49;0,00;0,00;157;80;116;22;23;817;422
37;65,44;-42,24;0,00;0,00;0,00;-0,04;0,00;0,00;30;117;173;23;37;718;703
38;49,46;-200,13;0,00;0,00;0,00;-0,20;0,00;0,00;415;129;108;15;16;411;662
39;69,16;4,45;0,00;0,00;0,00;0,00;0,00;0,00;215;182;108;30;31;429;198
40;23,10;-418,33;0,00;0,00;0,00;-0,42;0,00;0,00;481;81;154;21;21;781;998
41;27,96;-374,63;0,00;0,00;0,00;-0,37;0,00;0,00;374;57;18;17;37;632;515
42;21,82;-509,48;0,00;0,00;0,00;-0,51;0,00;0,00;375;119;36;26;34;798;594
43;16,36;-522,04;0,00;0,00;0,00;-0,52;0,00;0,00;176;25;53;33;30;697;637
44;9,35;-619,79;0,00;0,00;0,00;-0,62;0,00;0,00;298;179;155;24;38;813;396
45;33,46;-325,04;0,00;0,00;0,00;-0,33;0,00;0,00;493;150;164;13;24;730;805
