Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;54,87;-271,96;0,00;0,00;0,00;-0,27;0,00;0,00;181;140;81;44;17;705;176
2;23,53;-433,82;0,00;0,00;0,00;-0,43;0,00;0,00;323;16;151;17;36;686;828
3;0,00;-729,01;0,00;0,00;0,00;-0,73;0,00;0,00;93;180;51;29;18;720;386
4;81,49;123,39;0,00;0,00;0,00;0,12;0,00;0,00;438;131;38;46;16;367;374
5;29,82;-392,18;0,00;0,00;0,00;-0,39;0,00;0,00;269;73;30;17;22;506;767
6;32,93;-458,59;0,00;0,00;0,00;-0,46;0,00;0,00;207;51;174;28;16;169;468
7;35,89;-265,11;0,00;0,00;0,00;-0,27;0,00;0,00;91;178;179;40;35;318;875
8;50,38;-79,31;0,00;0,00;0,00;-0,08;0,00;0,00;488;55;150;45;33;669;928
9;78,60;46,42;0,00;0,00;0,00;0,05;0,00;0,00;102;102;44;45;31;564;407
10;40,85;-342,17;0,00;0,00;0,00;-0,34;0,00;0,00;140;192;83;49;33;948;183
11;61,16;-160,98;0,00;0,00;0,00;-0,16;0,00;0,00;428;157;72;30;30;889;394
12;31,59;-391,92;0,00;0,00;0,00;-0,39;0,00;0,00;229;159;120;35;36;597;985
13;35,18;-411,22;0,00;0,00;0,00;-0,41;0,00;0,00;274;63;61;24;24;775;998
14;39,48;-253,11;0,00;0,00;0,00;-0,25;0,00;0,00;170;170;194;29;30;890;525
15;55,58;-160,16;0,00;0,00;0,00;-0,16;0,00;0,00;339;182;160;12;25;960;541
16;26,79;-467,52;0,00;0,00;0,00;-0,47;0,00;0,00;498;168;161;41;36;606;633
17;50,14;-235,55;0,00;0,00;0,00;-0,24;0,00;0,00;204;74;172;26;18;561;522
18;73,34;-9,08;0,00;0,00;0,00;-0,01;0,00;0,00;447;176;43;45;15;982;614
19;35,85;-355,32;0,00;0,00;0,00;-0,36;0,00;0,00;311;90;167;30;26;995;705
20;24,10;-511,21;0,00;0,00;0,00;-0,51;0,00;0,00;323;127;60;49;36;202;227
21;55,62;-56,99;0,00;0,00;0,00;-0,06;0,00;0,00;208;126;179;26;20;652;249
22;55,63;-230,95;0,00;0,00;0,00;-0,23;0,00;0,00;38;120;55;46;28;294;574
23;58,53;-120,69;0,00;0,00;0,00;-0,12;0,00;0,00;144;139;185;30;27;249;144
24;51,47;-258,24;0,00;0,00;0,00;-0,26;0,00;0,00;58;144;143;37;36;818;451
25;50,61;-167,01;0,00;0,00;0,00;-0,17;0,00;0,00;237;57;83;28;35;142;189
26;56,69;-137,50;0,00;0,00;0,00;-0,14;0,00;0,00;203;61;185;21;16;627;705
27;38,92;-294,23;0,00;0,00;0,00;-0,29;0,00;0,00;456;66;176;12;17;225;358
28;23,96;-455,87;0,00;0,00;0,00;-0,46;0,00;0,00;193;179;173;47;19;455;489
29;96,22;180,74;0,00;0,00;0,00;0,18;0,00;0,00;102;131;16;42;28;156;641
30;45,01;-212,19;0,00;0,00;0,00;-0,21;0,00;0,00;20;170;79;47;32;364;998
31;59,49;-83,85;0,00;0,00;0,00;-0,08;0,00;0,00;125;140;180;33;24;388;626
32;44,88;-215,67;0,00;0,00;0,00;-0,22;0,00;0,00;306;174;72;44;37;949;222
33;91,03;226,81;0,00;0,00;0,00;0,23;0,00;0,00;85;112;142;36;18;467;748
34;53,98;-228,36;0,00;0,00;0,00;-0,23;0,00;0,00;136;146;148;49;23;739;339
35;37,79;-226,25;0,00;0,00;0,00;-0,23;0,00;0,00;364;171;52;28;27;980;233
36;77,34;51,87;0,00;0,00;0,00;0,05;0,00;0,00;361;148;184;15;23;109;334
37;66,73;19,89;0,00;0,00;0,00;0,02;0,00;0,00;381;152;175;38;19;218;529
38;85,04;117,36;0,00;0,00;0,00;0,12;0,00;0,00;434;88;187;13;15;759;141
39;74,22;-77,51;0,00;0,00;0,00;-0,08;0,00;0,00;331;189;146;45;31;367;574
40;17,39;-541,29;0,00;0,00;0,00;-0,54;0,00;0,00;104;44;109;16;37;960;597
