Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;68,70;49,99;0,00;0,00;0,00;0,05;0,00;0,00;255;37;181;24;16;525;131
2;44,86;-229,60;0,00;0,00;0,00;-0,23;0,00;0,00;216;159;111;20;39;645;272
3;27,47;-516,76;0,00;0,00;0,00;-0,52;0,00;0,00;262;162;185;13;24;818;483
4;0,00;-702,45;0,00;0,00;0,00;-0,70;0,00;0,00;260;145;113;48;34;622;693
5;18,64;-495,25;0,00;0,00;0,00;-0,50;0,00;0,00;483;163;62;40;28;417;198
6;58,52;-126,63;0,00;0,00;0,00;-0,13;0,00;0,00;280;181;130;32;17;879;183
7;78,56;79,89;0,00;0,00;0,00;0,08;0,00;0,00;192;42;135;13;34;797;138
8;55,56;-161,30;0,00;0,00;0,00;-0,16;0,00;0,00;445;28;133;46;30;332;408
9;83,66;110,13;0,00;0,00;0,00;0,11;0,00;0,00;173;46;151;31;17;685;424
10;8,61;-608,15;0,00;0,00;0,00;-0,61;0,00;0,00;86;134;107;12;22;854;332
11;0,00;-687,74;0,00;0,00;0,00;-0,69;0,00;0,00;36;28;89;33;39;423;165
12;30,14;-404,40;0,00;0,00;0,00;-0,40;0,00;0,00;381;151;13;15;35;124;871
13;19,31;-496,51;0,00;0,00;0,00;-0,50;0,00;0,00;163;85;136;39;20;821;397
14;6,84;-688,97;0,00;0,00;0,00;-0,69;0,00;0,00;272;89;157;26;24;384;380
15;60,04;-65,49;0,00;0,00;0,00;-0,07;0,00;0,00;407;13;190;48;15;385;548
16;64,31;-62,43;0,00;0,00;0,00;-0,06;0,00;0,00;18;113;156;48;31;796;179
17;75,78;130,91;0,00;0,00;0,00;0,13;0,00;0,00;253;103;95;35;27;895;794
18;46,87;-201,53;0,00;0,00;0,00;-0,20;0,00;0,00;183;150;128;29;20;701;788
19;82,05;155,92;0,00;0,00;0,00;0,16;0,00;0,00;476;58;73;47;31;518;225
20;46,63;-292,28;0,00;0,00;0,00;-0,29;0,00;0,00;46;121;61;29;16;750;171
21;71,49;60,70;0,00;0,00;0,00;0,06;0,00;0,00;494;153;67;17;18;324;153
22;100,00;250,71;0,00;0,00;0,00;0,25;0,00;0,00;20;186;146;30;21;507;893
23;61,88;38,05;0,00;0,00;0,00;0,04;0,00;0,00;473;100;151;39;23;163;787
24;66,02;-100,12;0,00;0,00;0,00;-0,10;0,00;0,00;390;96;36;44;23;764;474
25;33,45;-388,07;0,00;0,00;0,00;-0,39;0,00;0,00;160;34;103;23;36;639;826
26;10,44;-559,63;0,00;0,00;0,00;-0,56;0,00;0,00;426;134;14;25;34;549;328
27;100,00;226,88;0,00;0,00;0,00;0,23;0,00;0,00;141;30;142;37;26;513;541
28;32,71;-359,90;0,00;0,00;0,00;-0,36;0,00;0,00;420;98;65;13;29;166;425
29;61,13;-115,10;0,00;0,00;0,00;-0,12;0,00;0,00;344;63;194;26;29;554;716
30;66,55;-64,75;0,00;0,00;0,00;-0,06;0,00;0,00;398;57;167;47;29;269;648
31;78,41;127,84;0,00;0,00;0,00;0,13;0,00;0,00;406;40;79;39;27;633;109
32;5,77;-570,91;0,00;0,00;0,00;-0,57;0,00;0,00;247;197;26;18;21;235;974
33;53,30;-203,15;0,00;0,00;0,00;-0,20;0,00;0,00;235;135;143;17;34;868;582
34;50,94;-172,52;0,00;0,00;0,00;-0,17;0,00;0,00;443;70;39;43;39;347;851
35;19,40;-482,53;0,00;0,00;0,00;-0,48;0,00;0,00;15;95;45;15;17;737;418
36;54,13;-155,23;0,00;0,00;0,00;-0,16;0,00;0,00;232;80;116;22;23;817;422
37;49,60;-204,19;0,00;0,00;0,00;-0,20;0,00;0,00;330;117;173;23;37;718;703
38;59,70;-144,70;0,00;0,00;0,00;-0,14;0,00;0,00;402;129;108;15;16;411;662
39;47,60;-234,90;0,00;0,00;0,00;-0,23;0,00;0,00;333;182;108;30;31;429;198
40;46,52;-248,10;0,00;0,00;0,00;-0,25;0,00;0,00;136;81;154;21;21;781;998
41;50,86;-190,07;0,00;0,00;0,00;-0,19;0,00;0,00;178;57;18;17;37;632;515
42;16,75;-518,03;0,00;0,00;0,00;-0,52;0,00;0,00;484;119;36;26;34;798;594
43;45,78;-177,93;0,00;0,00;0,00;-0,18;0,00;0,00;314;25;53;33;30;697;637
44;11,35;-554,19;0,00;0,00;0,00;-0,55;0,00;0,00;21;179;155;24;38;813;396
45;66,64;-131,99;0,00;0,00;0,00;-0,13;0,00;0,00;495;150;164;13;24;730;805
46;49,09;-150,64;0,00;0,00;0,00;-0,15;0,00;0,00;372;139;138;25;21;739;420
47;67,92;-64,27;0,00;0,00;0,00;-0,06;0,00;0,00;295;87;150;43;19;230;144
48;90,67;264,57;0,00;0,00;0,00;0,26;0,00;0,00;484;77;104;45;21;828;592
49;35,69;-340,17;0,00;0,00;0,00;-0,34;0,00;0,00;124;180;25;16;19;915;958
50;24,45;-459,88;0,00;0,00;0,00;-0,46;0,00;0,00;334;100;73;49;27;931;925
51;6,22;-612,75;0,00;0,00;0,00;-0,61;0,00;0,00;237;120;196;32;34;550;147
52;58,62;-57,31;0,00;0,00;0,00;-0,06;0,00;0,00;66;35;150;39;19;702;770
53;70,12;-41,73;0,00;0,00;0,00;-0,04;0,00;0,00;321;119;15;15;21;325;711
54;82,22;127,77;0,00;0,00;0,00;0,13;0,00;0,00;412;157;97;15;34;959;459
55;59,90;-98,39;0,00;0,00;0,00;-0,10;0,00;0,00;353;171;170;36;35;665;550
56;69,30;55,18;0,00;0,00;0,00;0,06;0,00;0,00;414;151;105;26;26;361;215
57;40,24;-255,29;0,00;0,00;0,00;-0,26;0,00;0,00;365;18;56;17;27;932;854
58;67,94;18,38;0,00;0,00;0,00;0,02;0,00;0,00;412;63;51;18;19;464;291
59;60,17;-76,42;0,00;0,00;0,00;-0,08;0,00;0,00;29;87;119;30;30;174;136
60;48,92;-192,37;0,00;0,00;0,00;-0,19;0,00;0,00;79;105;19;43;19;355;605
61;50,61;-159,69;0,00;0,00;0,00;-0,16;0,00;0,00;138;167;147;48;30;152;159
62;81,61;131,42;0,00;0,00;0,00;0,13;0,00;0,00;88;188;87;33;15;541;112
63;70,92;-5,96;0,00;0,00;0,00;-0,01;0,00;0,00;382;84;150;33;21;588;834
64;100,00;219,32;0,00;0,00;0,00;0,22;0,00;0,00;113;171;198;29;18;843;924
65;33,95;-340,82;0,00;0,00;0,00;-0,34;0,00;0,00;385;38;166;37;31;294;488
66;17,96;-499,43;0,00;0,00;0,00;-0,50;0,00;0,00;290;179;144;27;17;901;444
67;15,95;-466,60;0,00;0,00;0,00;-0,47;0,00;0,00;290;188;166;13;32;993;881
68;43,11;-193,15;0,00;0,00;0,00;-0,19;0,00;0,00;151;32;191;43;39;182;924
69;74,65;83,28;0,00;0,00;0,00;0,08;0,00;0,00;337;144;164;20;30;638;142
70;27,94;-431,73;0,00;0,00;0,00;-0,43;0,00;0,00;203;137;127;45;30;807;377
71;64,94;-117,22;0,00;0,00;0,00;-0,12;0,00;0,00;252;118;160;44;15;658;945
72;27,72;-433,51;0,00;0,00;0,00;-0,43;0,00;0,00;13;181;78;46;25;681;751
73;41,09;-272,35;0,00;0,00;0,00;-0,27;0,00;0,00;72;18;19;47;25;435;741
74;77,09;93,36;0,00;0,00;0,00;0,09;0,00;0,00;27;92;144;11;25;491;672
75;40,73;-237,46;0,00;0,00;0,00;-0,24;0,00;0,00;212;18;196;40;19;580;304
76;67,75;-89,60;0,00;0,00;0,00;-0,09;0,00;0,00;207;143;130;10;36;602;491
77;16,74;-550,64;0,00;0,00;0,00;-0,55;0,00;0,00;272;165;141;21;17;607;732
78;89,07;124,84;0,00;0,00;0,00;0,12;0,00;0,00;241;194;172;48;22;803;503
79;20,20;-478,55;0,00;0,00;0,00;-0,48;0,00;0,00;200;195;30;34;20;857;604
