Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,14;-149,32;0,00;0,00;0,00;-0,15;0,00;0,00;100;150;98;38;19;872;349
2;55,68;83,46;0,00;0,00;0,00;0,08;0,00;0,00;88;54;118;42;29;904;851
3;64,43;79,24;0,00;0,00;0,00;0,08;0,00;0,00;19;193;135;38;35;556;207
4;59,81;61,26;0,00;0,00;0,00;0,06;0,00;0,00;184;130;155;25;17;304;999
5;56,38;114,73;0,00;0,00;0,00;0,11;0,00;0,00;130;187;108;41;33;493;622
6;49,94;63,40;0,00;0,00;0,00;0,06;0,00;0,00;447;102;71;49;37;136;976
7;45,54;-112,37;0,00;0,00;0,00;-0,11;0,00;0,00;383;124;19;16;33;683;797
8;60,89;135,56;0,00;0,00;0,00;0,14;0,00;0,00;330;87;69;19;39;862;898
9;22,67;-326,17;0,00;0,00;0,00;-0,33;0,00;0,00;33;68;116;33;25;762;340
10;58,23;16,54;0,00;0,00;0,00;0,02;0,00;0,00;269;162;75;49;23;792;965
11;62,00;81,57;0,00;0,00;0,00;0,08;0,00;0,00;219;147;16;39;17;990;977
12;54,93;68,73;0,00;0,00;0,00;0,07;0,00;0,00;279;163;12;32;20;981;795
13;55,07;38,25;0,00;0,00;0,00;0,04;0,00;0,00;378;155;83;41;34;989;624
14;27,74;-232,46;0,00;0,00;0,00;-0,23;0,00;0,00;30;106;68;38;32;895;407
15;58,11;137,27;0,00;0,00;0,00;0,14;0,00;0,00;395;60;66;13;17;714;950
16;43,38;72,04;0,00;0,00;0,00;0,07;0,00;0,00;161;54;194;17;33;918;987
17;26,25;-180,03;0,00;0,00;0,00;-0,18;0,00;0,00;499;163;189;39;24;224;123
18;70,99;240,08;0,00;0,00;0,00;0,24;0,00;0,00;369;185;191;43;35;479;850
19;32,43;-71,78;0,00;0,00;0,00;-0,07;0,00;0,00;325;98;136;42;22;363;920
20;52,57;99,07;0,00;0,00;0,00;0,10;0,00;0,00;443;180;107;18;28;396;447
21;67,82;238,88;0,00;0,00;0,00;0,24;0,00;0,00;93;126;129;21;29;516;637
22;47,17;30,85;0,00;0,00;0,00;0,03;0,00;0,00;253;144;143;20;37;697;951
23;52,79;39,45;0,00;0,00;0,00;0,04;0,00;0,00;430;92;92;20;18;928;737
24;52,96;99,62;0,00;0,00;0,00;0,10;0,00;0,00;307;104;134;16;16;852;290
25;49,27;8,41;0,00;0,00;0,00;0,01;0,00;0,00;32;92;50;10;16;165;272
26;48,78;-39,77;0,00;0,00;0,00;-0,04;0,00;0,00;187;184;129;33;26;453;452
27;43,95;-64,96;0,00;0,00;0,00;-0,06;0,00;0,00;225;115;191;33;18;986;307
28;40,80;-65,34;0,00;0,00;0,00;-0,07;0,00;0,00;124;13;154;11;23;747;162
29;57,07;142,29;0,00;0,00;0,00;0,14;0,00;0,00;307;87;172;33;20;582;343
30;44,59;-72,13;0,00;0,00;0,00;-0,07;0,00;0,00;384;72;193;41;23;350;790
31;62,83;64,73;0,00;0,00;0,00;0,06;0,00;0,00;231;78;143;33;15;199;988
32;38,35;-163,46;0,00;0,00;0,00;-0,16;0,00;0,00;237;147;45;42;34;781;432
33;37,29;-55,47;0,00;0,00;0,00;-0,06;0,00;0,00;144;52;77;31;37;222;215
34;41,35;-61,12;0,00;0,00;0,00;-0,06;0,00;0,00;370;112;198;13;24;547;233
35;38,35;-63,61;0,00;0,00;0,00;-0,06;0,00;0,00;149;165;184;14;32;307;808
36;57,29;54,49;0,00;0,00;0,00;0,05;0,00;0,00;208;71;115;30;17;384;888
37;38,84;-191,50;0,00;0,00;0,00;-0,19;0,00;0,00;219;180;129;38;34;661;192
38;61,55;90,52;0,00;0,00;0,00;0,09;0,00;0,00;299;154;119;21;23;995;955
39;100,00;381,20;0,00;0,00;0,00;0,38;0,00;0,00;259;146;46;45;20;260;861
40;57,63;72,86;0,00;0,00;0,00;0,07;0,00;0,00;369;27;199;48;34;789;634
41;35,62;-161,94;0,00;0,00;0,00;-0,16;0,00;0,00;83;32;40;28;29;230;716
42;48,62;-49,51;0,00;0,00;0,00;-0,05;0,00;0,00;378;14;54;11;18;381;314
43;41,37;-86,03;0,00;0,00;0,00;-0,09;0,00;0,00;445;181;194;23;28;950;468
44;68,04;208,15;0,00;0,00;0,00;0,21;0,00;0,00;144;47;187;32;33;846;657
45;31,78;-146,81;0,00;0,00;0,00;-0,15;0,00;0,00;429;64;151;44;27;529;191
46;45,59;-53,24;0,00;0,00;0,00;-0,05;0,00;0,00;132;115;63;37;34;555;583
47;76,20;265,63;0,00;0,00;0,00;0,27;0,00;0,00;375;79;182;45;18;705;798
48;35,87;-152,74;0,00;0,00;0,00;-0,15;0,00;0,00;111;14;24;27;35;391;136
49;41,04;-182,33;0,00;0,00;0,00;-0,18;0,00;0,00;383;54;29;36;28;679;584
50;25,33;-238,73;0,00;0,00;0,00;-0,24;0,00;0,00;161;148;123;26;30;797;642
51;41,01;-76,87;0,00;0,00;0,00;-0,08;0,00;0,00;323;38;132;26;31;166;319
52;51,17;26,85;0,00;0,00;0,00;0,03;0,00;0,00;360;108;191;23;24;680;859
53;51,67;60,98;0,00;0,00;0,00;0,06;0,00;0,00;54;71;33;46;34;354;451
54;43,86;-92,57;0,00;0,00;0,00;-0,09;0,00;0,00;138;178;27;30;29;333;773
55;90,69;401,01;0,00;0,00;0,00;0,40;0,00;0,00;141;158;99;17;37;221;779
56;55,65;81,55;0,00;0,00;0,00;0,08;0,00;0,00;335;49;45;37;16;312;524
57;42,29;-114,82;0,00;0,00;0,00;-0,11;0,00;0,00;318;89;62;19;16;338;211
58;71,88;219,97;0,00;0,00;0,00;0,22;0,00;0,00;457;87;147;41;21;859;128
59;33,26;-166,93;0,00;0,00;0,00;-0,17;0,00;0,00;499;114;166;29;24;876;982
60;82,79;336,17;0,00;0,00;0,00;0,34;0,00;0,00;113;78;123;45;15;652;658
61;45,25;-25,43;0,00;0,00;0,00;-0,03;0,00;0,00;24;32;41;37;27;435;572
62;55,09;10,27;0,00;0,00;0,00;0,01;0,00;0,00;455;13;155;43;21;424;944
63;54,84;15,92;0,00;0,00;0,00;0,02;0,00;0,00;254;15;35;37;31;883;823
64;44,20;-39,00;0,00;0,00;0,00;-0,04;0,00;0,00;230;188;126;12;21;907;771
65;45,80;-129,07;0,00;0,00;0,00;-0,13;0,00;0,00;468;82;28;11;38;367;689
66;82,17;370,20;0,00;0,00;0,00;0,37;0,00;0,00;355;46;171;38;38;138;225
67;38,74;-153,74;0,00;0,00;0,00;-0,15;0,00;0,00;489;113;67;41;32;952;406
68;50,27;9,64;0,00;0,00;0,00;0,01;0,00;0,00;392;194;161;48;24;488;117
69;15,81;-376,41;0,00;0,00;0,00;-0,38;0,00;0,00;400;70;75;20;36;336;797
70;50,70;9,01;0,00;0,00;0,00;0,01;0,00;0,00;497;111;163;22;20;803;647
71;42,01;-117,52;0,00;0,00;0,00;-0,12;0,00;0,00;231;26;113;17;22;779;976
72;66,05;96,34;0,00;0,00;0,00;0,10;0,00;0,00;117;199;87;45;21;680;177
73;46,97;67,14;0,00;0,00;0,00;0,07;0,00;0,00;130;139;88;33;22;426;914
74;55,20;1,94;0,00;0,00;0,00;0,00;0,00;0,00;193;160;144;31;33;199;488
75;30,29;-215,65;0,00;0,00;0,00;-0,22;0,00;0,00;493;55;112;24;16;699;779
76;49,68;-68,26;0,00;0,00;0,00;-0,07;0,00;0,00;377;60;16;46;38;131;934
77;66,20;86,68;0,00;0,00;0,00;0,09;0,00;0,00;499;10;20;34;16;598;528
78;53,49;-13,39;0,00;0,00;0,00;-0,01;0,00;0,00;94;79;114;34;24;213;324
79;23,99;-139,18;0,00;0,00;0,00;-0,14;0,00;0,00;162;45;120;16;30;986;559
80;49,91;-48,85;0,00;0,00;0,00;-0,05;0,00;0,00;117;144;71;37;19;158;983
81;76,61;295,80;0,00;0,00;0,00;0,30;0,00;0,00;111;199;144;30;30;767;194
