Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;53,62;-199,77;0,00;0,00;0,00;-0,20;0,00;0,00;209;37;181;24;16;525;131
2;100,00;269,40;0,00;0,00;0,00;0,27;0,00;0,00;463;159;111;20;39;645;272
3;58,06;-70,09;0,00;0,00;0,00;-0,07;0,00;0,00;330;162;185;13;24;818;483
4;22,25;-488,55;0,00;0,00;0,00;-0,49;0,00;0,00;224;145;113;48;34;622;693
5;50,18;-279,58;0,00;0,00;0,00;-0,28;0,00;0,00;214;163;62;40;28;417;198
6;58,49;-122,28;0,00;0,00;0,00;-0,12;0,00;0,00;329;181;130;32;17;879;183
7;51,58;-180,10;0,00;0,00;0,00;-0,18;0,00;0,00;173;42;135;13;34;797;138
8;46,86;-261,09;0,00;0,00;0,00;-0,26;0,00;0,00;332;28;133;46;30;332;408
9;86,28;94,86;0,00;0,00;0,00;0,09;0,00;0,00;284;46;151;31;17;685;424
10;0,00;-790,55;0,00;0,00;0,00;-0,79;0,00;0,00;492;134;107;12;22;854;332
11;3,35;-733,25;0,00;0,00;0,00;-0,73;0,00;0,00;90;28;89;33;39;423;165
12;48,38;-184,40;0,00;0,00;0,00;-0,18;0,00;0,00;480;151;13;15;35;124;871
13;30,49;-473,88;0,00;0,00;0,00;-0,47;0,00;0,00;385;85;136;39;20;821;397
14;24,52;-442,03;0,00;0,00;0,00;-0,44;0,00;0,00;441;89;157;26;24;384;380
15;56,02;-130,78;0,00;0,00;0,00;-0,13;0,00;0,00;360;13;190;48;15;385;548
16;0,00;-611,28;0,00;0,00;0,00;-0,61;0,00;0,00;247;113;156;48;31;796;179
17;15,55;-463,55;0,00;0,00;0,00;-0,46;0,00;0,00;145;103;95;35;27;895;794
18;49,04;-185,91;0,00;0,00;0,00;-0,19;0,00;0,00;343;150;128;29;20;701;788
19;90,98;253,97;0,00;0,00;0,00;0,25;0,00;0,00;25;58;73;47;31;518;225
20;16,60;-476,58;0,00;0,00;0,00;-0,48;0,00;0,00;202;121;61;29;16;750;171
21;70,56;62,53;0,00;0,00;0,00;0,06;0,00;0,00;492;153;67;17;18;324;153
22;59,80;-17,16;0,00;0,00;0,00;-0,02;0,00;0,00;145;186;146;30;21;507;893
23;49,83;-190,97;0,00;0,00;0,00;-0,19;0,00;0,00;21;100;151;39;23;163;787
24;31,20;-322,90;0,00;0,00;0,00;-0,32;0,00;0,00;293;96;36;44;23;764;474
