Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;27,63;-280,01;0,00;0,00;0,00;-0,28;0,00;0,00;63;150;98;38;19;872;349
2;53,93;-28,49;0,00;0,00;0,00;-0,03;0,00;0,00;449;54;118;42;29;904;851
3;60,86;216,49;0,00;0,00;0,00;0,22;0,00;0,00;476;193;135;38;35;556;207
4;57,14;54,48;0,00;0,00;0,00;0,05;0,00;0,00;273;130;155;25;17;304;999
5;52,33;21,83;0,00;0,00;0,00;0,02;0,00;0,00;53;187;108;41;33;493;622
6;56,92;54,45;0,00;0,00;0,00;0,05;0,00;0,00;104;102;71;49;37;136;976
7;47,42;8,77;0,00;0,00;0,00;0,01;0,00;0,00;168;124;19;16;33;683;797
8;50,83;-56,96;0,00;0,00;0,00;-0,06;0,00;0,00;163;87;69;19;39;862;898
9;26,59;-172,45;0,00;0,00;0,00;-0,17;0,00;0,00;357;68;116;33;25;762;340
10;41,64;-118,21;0,00;0,00;0,00;-0,12;0,00;0,00;128;162;75;49;23;792;965
11;63,40;162,57;0,00;0,00;0,00;0,16;0,00;0,00;295;147;16;39;17;990;977
12;53,39;0,58;0,00;0,00;0,00;0,00;0,00;0,00;473;163;12;32;20;981;795
13;61,37;3,19;0,00;0,00;0,00;0,00;0,00;0,00;488;155;83;41;34;989;624
14;16,16;-298,60;0,00;0,00;0,00;-0,30;0,00;0,00;286;106;68;38;32;895;407
15;53,84;-2,95;0,00;0,00;0,00;-0,00;0,00;0,00;487;60;66;13;17;714;950
16;39,25;-77,04;0,00;0,00;0,00;-0,08;0,00;0,00;139;54;194;17;33;918;987
17;28,05;-225,29;0,00;0,00;0,00;-0,23;0,00;0,00;248;163;189;39;24;224;123
18;77,13;139,45;0,00;0,00;0,00;0,14;0,00;0,00;147;185;191;43;35;479;850
19;34,93;-179,47;0,00;0,00;0,00;-0,18;0,00;0,00;126;98;136;42;22;363;920
20;47,17;-14,72;0,00;0,00;0,00;-0,01;0,00;0,00;176;180;107;18;28;396;447
21;68,07;195,32;0,00;0,00;0,00;0,20;0,00;0,00;169;126;129;21;29;516;637
22;39,90;-77,54;0,00;0,00;0,00;-0,08;0,00;0,00;51;144;143;20;37;697;951
23;44,77;-72,91;0,00;0,00;0,00;-0,07;0,00;0,00;228;92;92;20;18;928;737
24;55,90;68,49;0,00;0,00;0,00;0,07;0,00;0,00;458;104;134;16;16;852;290
25;44,13;5,57;0,00;0,00;0,00;0,01;0,00;0,00;220;92;50;10;16;165;272
26;52,69;-7,24;0,00;0,00;0,00;-0,01;0,00;0,00;372;184;129;33;26;453;452
27;49,63;-8,90;0,00;0,00;0,00;-0,01;0,00;0,00;258;115;191;33;18;986;307
28;43,18;-52,28;0,00;0,00;0,00;-0,05;0,00;0,00;78;13;154;11;23;747;162
29;59,16;107,32;0,00;0,00;0,00;0,11;0,00;0,00;273;87;172;33;20;582;343
30;46,72;-84,00;0,00;0,00;0,00;-0,08;0,00;0,00;445;72;193;41;23;350;790
31;61,98;183,10;0,00;0,00;0,00;0,18;0,00;0,00;498;78;143;33;15;199;988
32;40,70;-87,39;0,00;0,00;0,00;-0,09;0,00;0,00;111;147;45;42;34;781;432
33;46,49;-84,33;0,00;0,00;0,00;-0,08;0,00;0,00;110;52;77;31;37;222;215
34;40,40;-45,25;0,00;0,00;0,00;-0,05;0,00;0,00;416;112;198;13;24;547;233
35;38,66;-96,73;0,00;0,00;0,00;-0,10;0,00;0,00;30;165;184;14;32;307;808
36;51,72;-24,38;0,00;0,00;0,00;-0,02;0,00;0,00;293;71;115;30;17;384;888
37;42,47;-54,71;0,00;0,00;0,00;-0,05;0,00;0,00;10;180;129;38;34;661;192
38;46,80;29,07;0,00;0,00;0,00;0,03;0,00;0,00;236;154;119;21;23;995;955
39;99,63;585,21;0,00;0,00;0,00;0,59;0,00;0,00;48;146;46;45;20;260;861
40;49,08;3,91;0,00;0,00;0,00;0,00;0,00;0,00;170;27;199;48;34;789;634
41;47,33;-40,66;0,00;0,00;0,00;-0,04;0,00;0,00;479;32;40;28;29;230;716
42;46,86;-36,77;0,00;0,00;0,00;-0,04;0,00;0,00;173;14;54;11;18;381;314
43;47,96;23,42;0,00;0,00;0,00;0,02;0,00;0,00;412;181;194;23;28;950;468
44;67,04;119,93;0,00;0,00;0,00;0,12;0,00;0,00;11;47;187;32;33;846;657
45;39,91;-131,58;0,00;0,00;0,00;-0,13;0,00;0,00;20;64;151;44;27;529;191
46;48,86;54,62;0,00;0,00;0,00;0,05;0,00;0,00;190;115;63;37;34;555;583
47;71,65;213,36;0,00;0,00;0,00;0,21;0,00;0,00;341;79;182;45;18;705;798
