Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;24,44;-433,08;0,00;0,00;0,00;-0,43;0,00;0,00;227;140;81;44;17;705;176
2;30,97;-463,86;0,00;0,00;0,00;-0,46;0,00;0,00;164;16;151;17;36;686;828
3;30,46;-423,98;0,00;0,00;0,00;-0,42;0,00;0,00;202;180;51;29;18;720;386
4;94,23;296,68;0,00;0,00;0,00;0,30;0,00;0,00;26;131;38;46;16;367;374
5;59,30;-185,49;0,00;0,00;0,00;-0,19;0,00;0,00;268;73;30;17;22;506;767
6;52,21;-94,61;0,00;0,00;0,00;-0,09;0,00;0,00;486;51;174;28;16;169;468
7;65,56;-54,28;0,00;0,00;0,00;-0,05;0,00;0,00;242;178;179;40;35;318;875
8;47,64;-198,07;0,00;0,00;0,00;-0,20;0,00;0,00;370;55;150;45;33;669;928
9;52,64;-201,89;0,00;0,00;0,00;-0,20;0,00;0,00;178;102;44;45;31;564;407
10;45,38;-184,02;0,00;0,00;0,00;-0,18;0,00;0,00;281;192;83;49;33;948;183
11;34,05;-452,43;0,00;0,00;0,00;-0,45;0,00;0,00;171;157;72;30;30;889;394
12;32,16;-436,16;0,00;0,00;0,00;-0,44;0,00;0,00;175;159;120;35;36;597;985
13;59,65;-107,76;0,00;0,00;0,00;-0,11;0,00;0,00;462;63;61;24;24;775;998
14;19,91;-569,31;0,00;0,00;0,00;-0,57;0,00;0,00;312;170;194;29;30;890;525
15;62,07;-45,96;0,00;0,00;0,00;-0,05;0,00;0,00;192;182;160;12;25;960;541
16;49,68;-173,11;0,00;0,00;0,00;-0,17;0,00;0,00;193;168;161;41;36;606;633
17;51,41;-234,38;0,00;0,00;0,00;-0,23;0,00;0,00;203;74;172;26;18;561;522
18;69,60;85,83;0,00;0,00;0,00;0,09;0,00;0,00;357;176;43;45;15;982;614
19;68,26;55,46;0,00;0,00;0,00;0,06;0,00;0,00;234;90;167;30;26;995;705
20;8,33;-663,21;0,00;0,00;0,00;-0,66;0,00;0,00;428;127;60;49;36;202;227
21;67,24;-106,20;0,00;0,00;0,00;-0,11;0,00;0,00;300;126;179;26;20;652;249
22;74,65;39,11;0,00;0,00;0,00;0,04;0,00;0,00;97;120;55;46;28;294;574
23;3,89;-729,00;0,00;0,00;0,00;-0,73;0,00;0,00;50;139;185;30;27;249;144
24;52,57;-242,26;0,00;0,00;0,00;-0,24;0,00;0,00;446;144;143;37;36;818;451
25;94,25;159,95;0,00;0,00;0,00;0,16;0,00;0,00;332;57;83;28;35;142;189
26;51,08;-168,62;0,00;0,00;0,00;-0,17;0,00;0,00;416;61;185;21;16;627;705
27;45,31;-242,02;0,00;0,00;0,00;-0,24;0,00;0,00;464;66;176;12;17;225;358
28;10,94;-641,27;0,00;0,00;0,00;-0,64;0,00;0,00;249;179;173;47;19;455;489
29;77,54;162,16;0,00;0,00;0,00;0,16;0,00;0,00;210;131;16;42;28;156;641
30;68,66;-51,58;0,00;0,00;0,00;-0,05;0,00;0,00;374;170;79;47;32;364;998
31;31,69;-353,37;0,00;0,00;0,00;-0,35;0,00;0,00;139;140;180;33;24;388;626
32;37,53;-301,74;0,00;0,00;0,00;-0,30;0,00;0,00;52;174;72;44;37;949;222
33;100,00;304,35;0,00;0,00;0,00;0,30;0,00;0,00;300;112;142;36;18;467;748
34;93,86;310,88;0,00;0,00;0,00;0,31;0,00;0,00;256;146;148;49;23;739;339
35;42,58;-319,46;0,00;0,00;0,00;-0,32;0,00;0,00;41;171;52;28;27;980;233
36;57,21;-136,98;0,00;0,00;0,00;-0,14;0,00;0,00;205;148;184;15;23;109;334
37;78,59;130,64;0,00;0,00;0,00;0,13;0,00;0,00;156;152;175;38;19;218;529
38;44,63;-257,04;0,00;0,00;0,00;-0,26;0,00;0,00;149;88;187;13;15;759;141
39;68,23;49,34;0,00;0,00;0,00;0,05;0,00;0,00;201;189;146;45;31;367;574
40;0,00;-727,29;0,00;0,00;0,00;-0,73;0,00;0,00;85;44;109;16;37;960;597
41;69,99;-18,02;0,00;0,00;0,00;-0,02;0,00;0,00;84;66;71;47;31;318;831
42;1,21;-801,40;0,00;0,00;0,00;-0,80;0,00;0,00;40;115;88;33;29;217;588
43;88,21;169,78;0,00;0,00;0,00;0,17;0,00;0,00;157;91;90;30;33;384;548
44;32,52;-404,58;0,00;0,00;0,00;-0,40;0,00;0,00;234;155;174;42;38;651;674
45;76,84;60,78;0,00;0,00;0,00;0,06;0,00;0,00;313;148;121;16;21;638;478
46;58,09;-109,54;0,00;0,00;0,00;-0,11;0,00;0,00;364;143;48;41;21;529;359
47;73,31;-6,92;0,00;0,00;0,00;-0,01;0,00;0,00;346;83;34;44;27;952;622
48;67,33;-6,72;0,00;0,00;0,00;-0,01;0,00;0,00;135;79;43;21;27;113;306
49;44,68;-267,56;0,00;0,00;0,00;-0,27;0,00;0,00;420;75;116;13;39;799;411
50;41,24;-274,20;0,00;0,00;0,00;-0,27;0,00;0,00;378;104;62;33;21;693;195
51;16,67;-502,11;0,00;0,00;0,00;-0,50;0,00;0,00;142;196;38;24;37;583;727
52;23,40;-474,20;0,00;0,00;0,00;-0,47;0,00;0,00;370;19;28;48;35;557;461
53;27,26;-478,98;0,00;0,00;0,00;-0,48;0,00;0,00;207;69;119;22;33;133;189
54;31,28;-337,54;0,00;0,00;0,00;-0,34;0,00;0,00;402;87;136;12;33;357;559
55;96,85;256,50;0,00;0,00;0,00;0,26;0,00;0,00;372;34;119;38;38;101;231
56;7,20;-629,93;0,00;0,00;0,00;-0,63;0,00;0,00;90;128;143;34;31;684;975
57;68,11;-76,21;0,00;0,00;0,00;-0,08;0,00;0,00;201;129;166;41;33;868;601
58;45,26;-285,13;0,00;0,00;0,00;-0,29;0,00;0,00;442;108;62;18;20;434;796
59;49,39;-202,84;0,00;0,00;0,00;-0,20;0,00;0,00;54;68;170;20;26;893;428
60;65,87;2,27;0,00;0,00;0,00;0,00;0,00;0,00;167;17;162;20;30;324;495
61;0,00;-676,85;0,00;0,00;0,00;-0,68;0,00;0,00;242;183;30;31;15;867;233
62;51,28;-194,59;0,00;0,00;0,00;-0,19;0,00;0,00;367;164;120;27;37;826;798
63;55,10;-101,62;0,00;0,00;0,00;-0,10;0,00;0,00;62;64;121;26;37;617;659
64;34,12;-409,26;0,00;0,00;0,00;-0,41;0,00;0,00;274;94;12;47;22;399;608
65;45,67;-243,45;0,00;0,00;0,00;-0,24;0,00;0,00;26;162;178;30;17;400;553
66;17,12;-518,34;0,00;0,00;0,00;-0,52;0,00;0,00;486;150;24;41;35;408;499
67;34,42;-332,52;0,00;0,00;0,00;-0,33;0,00;0,00;29;30;182;24;22;649;932
68;70,29;6,81;0,00;0,00;0,00;0,01;0,00;0,00;240;145;24;34;35;606;628
69;51,37;-221,16;0,00;0,00;0,00;-0,22;0,00;0,00;64;13;113;11;32;216;111
70;90,79;214,50;0,00;0,00;0,00;0,21;0,00;0,00;209;189;107;29;26;569;552
71;48,25;-270,45;0,00;0,00;0,00;-0,27;0,00;0,00;92;157;48;38;18;143;358
72;100,00;322,41;0,00;0,00;0,00;0,32;0,00;0,00;464;50;159;44;28;668;128
73;79,06;62,61;0,00;0,00;0,00;0,06;0,00;0,00;22;127;48;17;24;820;322
74;48,77;-185,24;0,00;0,00;0,00;-0,19;0,00;0,00;227;85;65;30;18;841;544
75;61,44;-58,58;0,00;0,00;0,00;-0,06;0,00;0,00;454;40;40;37;29;147;572
76;59,35;-131,26;0,00;0,00;0,00;-0,13;0,00;0,00;184;97;186;18;35;150;518
