Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;35,41;-285,26;0,00;0,00;0,00;-0,29;0,00;0,00;484;140;81;44;17;705;176
2;23,24;-394,76;0,00;0,00;0,00;-0,39;0,00;0,00;461;16;151;17;36;686;828
3;0,00;-716,52;0,00;0,00;0,00;-0,72;0,00;0,00;43;180;51;29;18;720;386
4;57,81;-192,24;0,00;0,00;0,00;-0,19;0,00;0,00;378;131;38;46;16;367;374
5;50,66;-256,11;0,00;0,00;0,00;-0,26;0,00;0,00;377;73;30;17;22;506;767
6;43,43;-279,18;0,00;0,00;0,00;-0,28;0,00;0,00;187;51;174;28;16;169;468
7;75,36;86,74;0,00;0,00;0,00;0,09;0,00;0,00;454;178;179;40;35;318;875
8;42,19;-350,58;0,00;0,00;0,00;-0,35;0,00;0,00;213;55;150;45;33;669;928
9;69,14;37,42;0,00;0,00;0,00;0,04;0,00;0,00;159;102;44;45;31;564;407
10;47,19;-251,57;0,00;0,00;0,00;-0,25;0,00;0,00;169;192;83;49;33;948;183
11;45,13;-262,48;0,00;0,00;0,00;-0,26;0,00;0,00;151;157;72;30;30;889;394
12;21,33;-567,36;0,00;0,00;0,00;-0,57;0,00;0,00;66;159;120;35;36;597;985
13;28,93;-276,88;0,00;0,00;0,00;-0,28;0,00;0,00;153;63;61;24;24;775;998
14;54,24;-160,28;0,00;0,00;0,00;-0,16;0,00;0,00;394;170;194;29;30;890;525
15;30,92;-439,74;0,00;0,00;0,00;-0,44;0,00;0,00;36;182;160;12;25;960;541
16;25,59;-467,52;0,00;0,00;0,00;-0,47;0,00;0,00;310;168;161;41;36;606;633
17;18,58;-525,35;0,00;0,00;0,00;-0,53;0,00;0,00;341;74;172;26;18;561;522
18;66,66;0,40;0,00;0,00;0,00;0,00;0,00;0,00;204;176;43;45;15;982;614
19;7,74;-559,65;0,00;0,00;0,00;-0,56;0,00;0,00;147;90;167;30;26;995;705
20;38,22;-325,36;0,00;0,00;0,00;-0,33;0,00;0,00;98;127;60;49;36;202;227
21;29,69;-399,63;0,00;0,00;0,00;-0,40;0,00;0,00;364;126;179;26;20;652;249
22;60,97;-41,75;0,00;0,00;0,00;-0,04;0,00;0,00;295;120;55;46;28;294;574
23;64,01;-116,54;0,00;0,00;0,00;-0,12;0,00;0,00;455;139;185;30;27;249;144
24;39,70;-332,47;0,00;0,00;0,00;-0,33;0,00;0,00;34;144;143;37;36;818;451
25;67,51;114,39;0,00;0,00;0,00;0,11;0,00;0,00;437;57;83;28;35;142;189
26;31,32;-424,25;0,00;0,00;0,00;-0,42;0,00;0,00;439;61;185;21;16;627;705
27;11,12;-678,17;0,00;0,00;0,00;-0,68;0,00;0,00;32;66;176;12;17;225;358
28;0,00;-766,56;0,00;0,00;0,00;-0,77;0,00;0,00;362;179;173;47;19;455;489
29;80,38;119,32;0,00;0,00;0,00;0,12;0,00;0,00;332;131;16;42;28;156;641
30;77,67;147,53;0,00;0,00;0,00;0,15;0,00;0,00;490;170;79;47;32;364;998
31;59,79;-41,13;0,00;0,00;0,00;-0,04;0,00;0,00;95;140;180;33;24;388;626
32;74,91;45,62;0,00;0,00;0,00;0,05;0,00;0,00;214;174;72;44;37;949;222
33;88,57;140,18;0,00;0,00;0,00;0,14;0,00;0,00;375;112;142;36;18;467;748
34;62,76;-70,17;0,00;0,00;0,00;-0,07;0,00;0,00;481;146;148;49;23;739;339
