Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;89,23;254,09;0,00;0,00;0,00;0,25;0,00;0,00;425;37;181;24;16;525;131
2;32,35;-449,10;0,00;0,00;0,00;-0,45;0,00;0,00;192;159;111;20;39;645;272
3;4,21;-789,98;0,00;0,00;0,00;-0,79;0,00;0,00;259;162;185;13;24;818;483
4;11,64;-506,25;0,00;0,00;0,00;-0,51;0,00;0,00;13;145;113;48;34;622;693
5;50,72;-267,27;0,00;0,00;0,00;-0,27;0,00;0,00;268;163;62;40;28;417;198
6;31,29;-309,13;0,00;0,00;0,00;-0,31;0,00;0,00;198;181;130;32;17;879;183
7;45,65;-272,16;0,00;0,00;0,00;-0,27;0,00;0,00;385;42;135;13;34;797;138
8;52,01;-166,65;0,00;0,00;0,00;-0,17;0,00;0,00;311;28;133;46;30;332;408
9;22,15;-484,15;0,00;0,00;0,00;-0,48;0,00;0,00;191;46;151;31;17;685;424
10;29,59;-472,70;0,00;0,00;0,00;-0,47;0,00;0,00;464;134;107;12;22;854;332
11;18,75;-594,30;0,00;0,00;0,00;-0,59;0,00;0,00;273;28;89;33;39;423;165
12;21,33;-490,72;0,00;0,00;0,00;-0,49;0,00;0,00;194;151;13;15;35;124;871
13;25,37;-438,96;0,00;0,00;0,00;-0,44;0,00;0,00;332;85;136;39;20;821;397
14;8,58;-688,79;0,00;0,00;0,00;-0,69;0,00;0,00;406;89;157;26;24;384;380
15;83,67;214,03;0,00;0,00;0,00;0,21;0,00;0,00;339;13;190;48;15;385;548
16;38,20;-343,95;0,00;0,00;0,00;-0,34;0,00;0,00;221;113;156;48;31;796;179
17;50,61;-191,24;0,00;0,00;0,00;-0,19;0,00;0,00;282;103;95;35;27;895;794
18;56,98;-166,98;0,00;0,00;0,00;-0,17;0,00;0,00;77;150;128;29;20;701;788
19;49,50;-182,06;0,00;0,00;0,00;-0,18;0,00;0,00;420;58;73;47;31;518;225
20;16,21;-624,46;0,00;0,00;0,00;-0,62;0,00;0,00;103;121;61;29;16;750;171
21;63,06;-77,10;0,00;0,00;0,00;-0,08;0,00;0,00;307;153;67;17;18;324;153
22;65,29;2,04;0,00;0,00;0,00;0,00;0,00;0,00;89;186;146;30;21;507;893
23;83,30;216,86;0,00;0,00;0,00;0,22;0,00;0,00;156;100;151;39;23;163;787
24;48,43;-141,51;0,00;0,00;0,00;-0,14;0,00;0,00;186;96;36;44;23;764;474
25;14,46;-502,20;0,00;0,00;0,00;-0,50;0,00;0,00;241;34;103;23;36;639;826
26;79,11;116,28;0,00;0,00;0,00;0,12;0,00;0,00;365;134;14;25;34;549;328
27;43,79;-240,74;0,00;0,00;0,00;-0,24;0,00;0,00;433;30;142;37;26;513;541
28;44,32;-271,32;0,00;0,00;0,00;-0,27;0,00;0,00;260;98;65;13;29;166;425
29;23,20;-507,24;0,00;0,00;0,00;-0,51;0,00;0,00;467;63;194;26;29;554;716
30;98,46;232,38;0,00;0,00;0,00;0,23;0,00;0,00;272;57;167;47;29;269;648
31;85,34;152,13;0,00;0,00;0,00;0,15;0,00;0,00;321;40;79;39;27;633;109
32;30,76;-414,20;0,00;0,00;0,00;-0,41;0,00;0,00;336;197;26;18;21;235;974
33;52,71;-203,07;0,00;0,00;0,00;-0,20;0,00;0,00;166;135;143;17;34;868;582
34;65,99;-22,32;0,00;0,00;0,00;-0,02;0,00;0,00;19;70;39;43;39;347;851
35;36,71;-399,41;0,00;0,00;0,00;-0,40;0,00;0,00;321;95;45;15;17;737;418
36;15,21;-516,69;0,00;0,00;0,00;-0,52;0,00;0,00;463;80;116;22;23;817;422
37;52,76;-194,67;0,00;0,00;0,00;-0,19;0,00;0,00;24;117;173;23;37;718;703
38;100,00;270,27;0,00;0,00;0,00;0,27;0,00;0,00;10;129;108;15;16;411;662
39;26,81;-432,98;0,00;0,00;0,00;-0,43;0,00;0,00;423;182;108;30;31;429;198
40;21,62;-487,12;0,00;0,00;0,00;-0,49;0,00;0,00;469;81;154;21;21;781;998
41;48,32;-215,72;0,00;0,00;0,00;-0,22;0,00;0,00;175;57;18;17;37;632;515
42;35,32;-347,36;0,00;0,00;0,00;-0,35;0,00;0,00;178;119;36;26;34;798;594
43;42,28;-282,43;0,00;0,00;0,00;-0,28;0,00;0,00;409;25;53;33;30;697;637
44;36,31;-269,81;0,00;0,00;0,00;-0,27;0,00;0,00;479;179;155;24;38;813;396
45;77,16;-32,19;0,00;0,00;0,00;-0,03;0,00;0,00;158;150;164;13;24;730;805
46;86,01;173,79;0,00;0,00;0,00;0,17;0,00;0,00;250;139;138;25;21;739;420
47;60,66;-113,12;0,00;0,00;0,00;-0,11;0,00;0,00;208;87;150;43;19;230;144
48;27,96;-460,61;0,00;0,00;0,00;-0,46;0,00;0,00;345;77;104;45;21;828;592
49;35,85;-328,94;0,00;0,00;0,00;-0,33;0,00;0,00;279;180;25;16;19;915;958
50;32,21;-350,06;0,00;0,00;0,00;-0,35;0,00;0,00;161;100;73;49;27;931;925
51;61,31;-92,02;0,00;0,00;0,00;-0,09;0,00;0,00;459;120;196;32;34;550;147
52;56,77;-106,37;0,00;0,00;0,00;-0,11;0,00;0,00;386;35;150;39;19;702;770
53;62,22;-79,70;0,00;0,00;0,00;-0,08;0,00;0,00;409;119;15;15;21;325;711
54;40,78;-283,61;0,00;0,00;0,00;-0,28;0,00;0,00;352;157;97;15;34;959;459
55;27,47;-406,43;0,00;0,00;0,00;-0,41;0,00;0,00;180;171;170;36;35;665;550
56;0,18;-755,79;0,00;0,00;0,00;-0,76;0,00;0,00;333;151;105;26;26;361;215
57;32,54;-243,79;0,00;0,00;0,00;-0,24;0,00;0,00;463;18;56;17;27;932;854
58;44,65;-375,53;0,00;0,00;0,00;-0,38;0,00;0,00;185;63;51;18;19;464;291
59;5,98;-674,73;0,00;0,00;0,00;-0,67;0,00;0,00;366;87;119;30;30;174;136
60;51,22;-163,81;0,00;0,00;0,00;-0,16;0,00;0,00;248;105;19;43;19;355;605
61;15,51;-526,34;0,00;0,00;0,00;-0,53;0,00;0,00;136;167;147;48;30;152;159
62;48,97;-179,73;0,00;0,00;0,00;-0,18;0,00;0,00;192;188;87;33;15;541;112
63;97,96;207,56;0,00;0,00;0,00;0,21;0,00;0,00;49;84;150;33;21;588;834
64;86,86;111,84;0,00;0,00;0,00;0,11;0,00;0,00;70;171;198;29;18;843;924
65;32,05;-410,22;0,00;0,00;0,00;-0,41;0,00;0,00;362;38;166;37;31;294;488
66;48,07;-165,39;0,00;0,00;0,00;-0,17;0,00;0,00;457;179;144;27;17;901;444
67;30,00;-370,10;0,00;0,00;0,00;-0,37;0,00;0,00;301;188;166;13;32;993;881
68;3,87;-681,58;0,00;0,00;0,00;-0,68;0,00;0,00;452;32;191;43;39;182;924
69;63,51;-94,04;0,00;0,00;0,00;-0,09;0,00;0,00;461;144;164;20;30;638;142
70;72,55;12,13;0,00;0,00;0,00;0,01;0,00;0,00;344;137;127;45;30;807;377
71;32,94;-421,57;0,00;0,00;0,00;-0,42;0,00;0,00;187;118;160;44;15;658;945
72;78,03;77,56;0,00;0,00;0,00;0,08;0,00;0,00;151;181;78;46;25;681;751
73;43,85;-154,96;0,00;0,00;0,00;-0,15;0,00;0,00;472;18;19;47;25;435;741
74;65,09;-99,59;0,00;0,00;0,00;-0,10;0,00;0,00;212;92;144;11;25;491;672
75;33,58;-369,34;0,00;0,00;0,00;-0,37;0,00;0,00;255;18;196;40;19;580;304
76;12,78;-552,67;0,00;0,00;0,00;-0,55;0,00;0,00;428;143;130;10;36;602;491
77;35,80;-373,20;0,00;0,00;0,00;-0,37;0,00;0,00;27;165;141;21;17;607;732
78;48,08;-207,44;0,00;0,00;0,00;-0,21;0,00;0,00;313;194;172;48;22;803;503
79;28,18;-356,28;0,00;0,00;0,00;-0,36;0,00;0,00;399;195;30;34;20;857;604
80;79,02;73,72;0,00;0,00;0,00;0,07;0,00;0,00;23;69;135;45;30;459;798
81;11,09;-654,09;0,00;0,00;0,00;-0,65;0,00;0,00;277;120;92;38;31;834;922
82;40,72;-276,38;0,00;0,00;0,00;-0,28;0,00;0,00;77;158;124;41;23;862;739
83;90,46;156,53;0,00;0,00;0,00;0,16;0,00;0,00;484;174;26;15;28;786;617
84;45,70;-213,89;0,00;0,00;0,00;-0,21;0,00;0,00;152;82;135;35;35;291;467
85;50,70;-219,58;0,00;0,00;0,00;-0,22;0,00;0,00;65;92;44;43;38;797;181
86;49,80;-194,90;0,00;0,00;0,00;-0,19;0,00;0,00;299;170;196;13;34;121;746
87;81,80;118,73;0,00;0,00;0,00;0,12;0,00;0,00;122;63;22;16;37;477;472
88;71,04;-9,45;0,00;0,00;0,00;-0,01;0,00;0,00;452;80;187;13;38;189;798
89;59,20;-67,20;0,00;0,00;0,00;-0,07;0,00;0,00;330;97;87;24;28;535;541
90;48,63;-167,49;0,00;0,00;0,00;-0,17;0,00;0,00;411;21;168;47;36;453;923
91;39,52;-342,56;0,00;0,00;0,00;-0,34;0,00;0,00;279;95;110;46;32;989;390
92;66,15;-64,41;0,00;0,00;0,00;-0,06;0,00;0,00;213;199;86;12;26;112;297
93;54,83;-123,74;0,00;0,00;0,00;-0,12;0,00;0,00;13;182;10;28;30;710;965
94;15,65;-522,96;0,00;0,00;0,00;-0,52;0,00;0,00;353;143;186;29;28;734;253
95;42,01;-279,30;0,00;0,00;0,00;-0,28;0,00;0,00;212;163;140;42;34;403;627
96;73,82;21,52;0,00;0,00;0,00;0,02;0,00;0,00;78;136;179;35;23;865;553
97;73,72;-45,20;0,00;0,00;0,00;-0,05;0,00;0,00;479;74;197;39;19;729;633
98;11,00;-631,99;0,00;0,00;0,00;-0,63;0,00;0,00;161;136;134;45;33;480;176
99;9,30;-557,57;0,00;0,00;0,00;-0,56;0,00;0,00;105;85;53;22;33;154;655
100;16,41;-619,77;0,00;0,00;0,00;-0,62;0,00;0,00;428;133;168;43;37;760;198
101;53,39;-327,76;0,00;0,00;0,00;-0,33;0,00;0,00;235;83;140;10;20;951;747
102;18,55;-501,71;0,00;0,00;0,00;-0,50;0,00;0,00;221;167;97;24;39;516;247
103;47,88;-119,09;0,00;0,00;0,00;-0,12;0,00;0,00;367;181;133;33;35;759;407
104;67,06;-37,92;0,00;0,00;0,00;-0,04;0,00;0,00;19;20;156;20;19;736;125
105;25,00;-476,54;0,00;0,00;0,00;-0,48;0,00;0,00;180;156;107;26;37;252;158
106;52,11;-252,24;0,00;0,00;0,00;-0,25;0,00;0,00;82;111;10;32;18;202;633
107;43,03;-184,26;0,00;0,00;0,00;-0,18;0,00;0,00;390;114;161;43;37;271;330
108;37,26;-331,77;0,00;0,00;0,00;-0,33;0,00;0,00;251;36;128;28;15;758;376
109;78,50;51,86;0,00;0,00;0,00;0,05;0,00;0,00;136;173;148;19;18;803;733
110;42,07;-380,34;0,00;0,00;0,00;-0,38;0,00;0,00;363;103;193;36;37;271;996
111;55,21;-219,92;0,00;0,00;0,00;-0,22;0,00;0,00;467;177;23;16;29;377;565
112;83,46;172,12;0,00;0,00;0,00;0,17;0,00;0,00;304;145;41;15;37;978;737
113;7,88;-634,06;0,00;0,00;0,00;-0,63;0,00;0,00;76;188;144;38;28;230;119
114;51,13;-264,43;0,00;0,00;0,00;-0,26;0,00;0,00;468;54;131;40;24;922;562
115;85,38;220,89;0,00;0,00;0,00;0,22;0,00;0,00;481;187;103;35;15;913;336
116;42,72;-263,73;0,00;0,00;0,00;-0,26;0,00;0,00;48;179;110;37;34;206;411
117;59,74;-72,78;0,00;0,00;0,00;-0,07;0,00;0,00;407;77;19;49;23;996;207
118;0,00;-741,91;0,00;0,00;0,00;-0,74;0,00;0,00;206;19;41;25;37;499;385
119;56,73;-245,06;0,00;0,00;0,00;-0,25;0,00;0,00;359;111;57;15;15;503;198
120;53,62;-165,41;0,00;0,00;0,00;-0,17;0,00;0,00;380;156;194;21;38;896;204
121;30,81;-418,68;0,00;0,00;0,00;-0,42;0,00;0,00;478;16;73;42;25;958;584
122;54,48;-220,03;0,00;0,00;0,00;-0,22;0,00;0,00;415;19;108;13;22;244;470
123;21,51;-514,33;0,00;0,00;0,00;-0,51;0,00;0,00;327;21;77;31;37;628;392
124;27,62;-467,87;0,00;0,00;0,00;-0,47;0,00;0,00;210;183;154;14;37;672;494
125;56,87;-105,29;0,00;0,00;0,00;-0,11;0,00;0,00;222;30;50;12;33;324;667
126;60,99;-88,90;0,00;0,00;0,00;-0,09;0,00;0,00;38;20;115;43;23;792;318
127;44,01;-308,89;0,00;0,00;0,00;-0,31;0,00;0,00;189;199;110;27;27;844;690
128;29,20;-377,26;0,00;0,00;0,00;-0,38;0,00;0,00;437;187;106;49;33;306;809
129;50,30;-154,63;0,00;0,00;0,00;-0,15;0,00;0,00;290;187;113;18;25;312;194
130;60,95;-100,86;0,00;0,00;0,00;-0,10;0,00;0,00;247;76;125;41;25;829;408
131;91,51;131,11;0,00;0,00;0,00;0,13;0,00;0,00;358;95;42;17;39;608;520
132;81,61;236,83;0,00;0,00;0,00;0,24;0,00;0,00;421;153;151;20;17;131;586
133;39,25;-328,09;0,00;0,00;0,00;-0,33;0,00;0,00;309;131;167;37;24;488;147
134;76,07;4,95;0,00;0,00;0,00;0,00;0,00;0,00;486;105;147;13;20;876;957
135;12,04;-520,95;0,00;0,00;0,00;-0,52;0,00;0,00;478;176;83;27;32;989;622
136;47,03;-168,28;0,00;0,00;0,00;-0,17;0,00;0,00;44;101;125;34;18;841;429
137;24,75;-416,97;0,00;0,00;0,00;-0,42;0,00;0,00;325;114;101;43;26;708;941
138;67,54;17,53;0,00;0,00;0,00;0,02;0,00;0,00;287;190;98;48;21;617;126
139;70,71;-35,58;0,00;0,00;0,00;-0,04;0,00;0,00;334;153;187;48;36;452;829
140;47,29;-277,50;0,00;0,00;0,00;-0,28;0,00;0,00;156;199;194;32;39;376;939
141;91,23;148,37;0,00;0,00;0,00;0,15;0,00;0,00;396;90;47;20;19;749;234
142;45,51;-209,55;0,00;0,00;0,00;-0,21;0,00;0,00;190;113;187;23;23;395;976
143;77,83;105,55;0,00;0,00;0,00;0,11;0,00;0,00;190;68;15;31;27;972;641
144;72,46;-44,62;0,00;0,00;0,00;-0,04;0,00;0,00;422;81;162;45;29;404;977
145;60,92;-95,66;0,00;0,00;0,00;-0,10;0,00;0,00;30;135;122;48;36;790;684
146;86,15;105,64;0,00;0,00;0,00;0,11;0,00;0,00;287;19;30;20;30;193;929
147;79,68;114,41;0,00;0,00;0,00;0,11;0,00;0,00;60;99;125;47;35;587;552
148;22,41;-450,08;0,00;0,00;0,00;-0,45;0,00;0,00;17;133;12;19;37;474;421
149;85,42;189,19;0,00;0,00;0,00;0,19;0,00;0,00;107;59;157;24;39;678;640
150;40,34;-256,52;0,00;0,00;0,00;-0,26;0,00;0,00;368;49;69;44;21;754;420
151;31,51;-445,04;0,00;0,00;0,00;-0,45;0,00;0,00;77;22;139;15;27;332;829
152;21,71;-466,32;0,00;0,00;0,00;-0,47;0,00;0,00;215;26;180;29;25;935;261
153;38,75;-316,36;0,00;0,00;0,00;-0,32;0,00;0,00;257;85;95;38;22;834;413
154;30,21;-380,43;0,00;0,00;0,00;-0,38;0,00;0,00;234;94;170;21;28;934;761
155;21,80;-554,43;0,00;0,00;0,00;-0,55;0,00;0,00;294;30;190;47;25;578;924
156;51,19;-190,79;0,00;0,00;0,00;-0,19;0,00;0,00;88;142;127;22;18;332;133
157;65,88;-86,37;0,00;0,00;0,00;-0,09;0,00;0,00;371;60;147;44;32;193;468
158;54,73;-85,58;0,00;0,00;0,00;-0,09;0,00;0,00;456;49;103;36;30;755;855
159;48,48;-169,29;0,00;0,00;0,00;-0,17;0,00;0,00;67;83;94;21;25;227;959
160;40,64;-312,27;0,00;0,00;0,00;-0,31;0,00;0,00;226;83;83;49;22;912;480
161;89,77;267,10;0,00;0,00;0,00;0,27;0,00;0,00;186;34;31;28;15;249;527
162;40,74;-385,45;0,00;0,00;0,00;-0,39;0,00;0,00;241;10;93;19;31;898;442
163;93,46;274,35;0,00;0,00;0,00;0,27;0,00;0,00;33;16;40;32;27;811;193
164;55,52;-151,27;0,00;0,00;0,00;-0,15;0,00;0,00;61;129;124;19;31;458;455
165;59,70;-130,88;0,00;0,00;0,00;-0,13;0,00;0,00;147;39;13;23;23;337;812
166;39,21;-331,28;0,00;0,00;0,00;-0,33;0,00;0,00;365;54;178;29;36;760;703
167;55,38;-158,74;0,00;0,00;0,00;-0,16;0,00;0,00;57;70;54;28;37;823;816
168;100,00;261,88;0,00;0,00;0,00;0,26;0,00;0,00;343;193;93;45;16;101;452
169;62,21;-121,51;0,00;0,00;0,00;-0,12;0,00;0,00;143;66;165;45;21;845;161
170;59,76;-170,26;0,00;0,00;0,00;-0,17;0,00;0,00;89;196;165;42;38;280;792
171;59,00;-130,31;0,00;0,00;0,00;-0,13;0,00;0,00;202;53;107;34;19;593;984
172;32,58;-405,05;0,00;0,00;0,00;-0,41;0,00;0,00;52;103;28;31;31;728;785
173;64,41;19,94;0,00;0,00;0,00;0,02;0,00;0,00;378;70;152;49;28;880;998
174;74,21;109,81;0,00;0,00;0,00;0,11;0,00;0,00;321;119;188;49;26;995;881
175;35,57;-276,58;0,00;0,00;0,00;-0,28;0,00;0,00;460;42;112;14;32;945;326
176;83,41;191,56;0,00;0,00;0,00;0,19;0,00;0,00;336;42;25;12;39;719;922
177;63,80;-1,35;0,00;0,00;0,00;-0,00;0,00;0,00;188;184;137;12;25;805;662
178;49,59;-214,35;0,00;0,00;0,00;-0,21;0,00;0,00;419;103;147;19;24;172;203
179;84,47;168,26;0,00;0,00;0,00;0,17;0,00;0,00;103;75;88;12;27;716;648
180;40,98;-269,25;0,00;0,00;0,00;-0,27;0,00;0,00;63;45;112;34;30;695;696
181;18,40;-579,31;0,00;0,00;0,00;-0,58;0,00;0,00;404;179;23;46;25;541;246
182;35,82;-410,23;0,00;0,00;0,00;-0,41;0,00;0,00;63;116;83;48;22;947;534
183;78,32;130,67;0,00;0,00;0,00;0,13;0,00;0,00;223;142;144;18;21;424;635
184;0,00;-705,98;0,00;0,00;0,00;-0,71;0,00;0,00;447;53;80;25;34;766;371
185;81,17;117,73;0,00;0,00;0,00;0,12;0,00;0,00;87;193;119;47;28;512;270
186;77,13;51,40;0,00;0,00;0,00;0,05;0,00;0,00;446;112;36;42;30;105;299
187;53,14;-157,99;0,00;0,00;0,00;-0,16;0,00;0,00;262;99;39;18;32;519;759
188;100,00;202,72;0,00;0,00;0,00;0,20;0,00;0,00;371;33;43;23;32;427;902
189;100,00;320,22;0,00;0,00;0,00;0,32;0,00;0,00;18;128;152;19;36;283;658
190;16,50;-538,57;0,00;0,00;0,00;-0,54;0,00;0,00;403;162;137;33;29;888;728
191;40,77;-239,76;0,00;0,00;0,00;-0,24;0,00;0,00;51;59;46;37;23;191;641
192;41,84;-264,19;0,00;0,00;0,00;-0,26;0,00;0,00;102;140;12;37;39;237;921
193;36,16;-420,05;0,00;0,00;0,00;-0,42;0,00;0,00;453;105;31;16;30;713;365
194;33,17;-421,16;0,00;0,00;0,00;-0,42;0,00;0,00;42;182;132;21;17;809;675
195;58,70;-144,95;0,00;0,00;0,00;-0,14;0,00;0,00;452;18;187;30;18;472;543
196;42,89;-193,76;0,00;0,00;0,00;-0,19;0,00;0,00;175;133;129;47;38;865;690
197;62,21;-130,48;0,00;0,00;0,00;-0,13;0,00;0,00;392;129;49;36;33;652;495
198;85,28;151,44;0,00;0,00;0,00;0,15;0,00;0,00;422;153;167;43;25;417;281
199;48,37;-185,85;0,00;0,00;0,00;-0,19;0,00;0,00;194;139;107;28;34;852;967
200;38,59;-301,43;0,00;0,00;0,00;-0,30;0,00;0,00;495;37;38;20;39;270;260
201;76,42;79,45;0,00;0,00;0,00;0,08;0,00;0,00;238;45;149;13;31;969;727
202;0,00;-750,06;0,00;0,00;0,00;-0,75;0,00;0,00;179;97;197;34;15;785;271
203;23,48;-401,33;0,00;0,00;0,00;-0,40;0,00;0,00;50;36;148;18;19;301;592
204;46,31;-217,47;0,00;0,00;0,00;-0,22;0,00;0,00;104;35;62;20;23;858;239
205;53,88;-230,75;0,00;0,00;0,00;-0,23;0,00;0,00;70;123;76;18;16;757;847
206;23,51;-395,34;0,00;0,00;0,00;-0,40;0,00;0,00;218;142;175;22;35;392;495
207;70,40;18,39;0,00;0,00;0,00;0,02;0,00;0,00;97;195;45;24;36;463;282
208;89,30;185,32;0,00;0,00;0,00;0,19;0,00;0,00;183;132;11;18;38;219;310
209;58,68;-124,97;0,00;0,00;0,00;-0,12;0,00;0,00;341;143;197;35;36;959;122
210;56,00;-203,75;0,00;0,00;0,00;-0,20;0,00;0,00;460;106;11;26;28;805;972
211;62,95;-97,15;0,00;0,00;0,00;-0,10;0,00;0,00;303;102;100;33;20;362;421
212;24,84;-489,05;0,00;0,00;0,00;-0,49;0,00;0,00;297;195;50;37;25;725;404
213;51,80;-194,70;0,00;0,00;0,00;-0,19;0,00;0,00;392;117;112;31;39;527;488
214;44,87;-270,99;0,00;0,00;0,00;-0,27;0,00;0,00;353;15;137;36;17;535;877
215;89,36;291,16;0,00;0,00;0,00;0,29;0,00;0,00;324;57;144;47;18;906;903
216;36,70;-420,51;0,00;0,00;0,00;-0,42;0,00;0,00;275;124;137;12;21;124;698
217;87,54;136,80;0,00;0,00;0,00;0,14;0,00;0,00;49;183;25;45;33;196;960
218;83,26;226,47;0,00;0,00;0,00;0,23;0,00;0,00;261;167;152;44;21;271;488
219;89,06;187,54;0,00;0,00;0,00;0,19;0,00;0,00;92;168;146;34;33;641;175
220;91,96;234,85;0,00;0,00;0,00;0,23;0,00;0,00;292;36;90;38;28;269;503
221;0,00;-718,77;0,00;0,00;0,00;-0,72;0,00;0,00;427;19;67;17;31;637;637
222;59,27;-168,68;0,00;0,00;0,00;-0,17;0,00;0,00;226;95;44;33;20;581;854
223;31,08;-406,83;0,00;0,00;0,00;-0,41;0,00;0,00;82;27;116;11;36;328;372
224;58,59;-100,56;0,00;0,00;0,00;-0,10;0,00;0,00;333;44;76;48;35;261;973
225;69,60;-70,54;0,00;0,00;0,00;-0,07;0,00;0,00;458;109;113;22;16;937;888
226;48,99;-232,90;0,00;0,00;0,00;-0,23;0,00;0,00;196;42;176;17;38;100;346
227;61,70;-46,25;0,00;0,00;0,00;-0,05;0,00;0,00;157;71;195;27;27;264;221
228;52,60;-185,17;0,00;0,00;0,00;-0,19;0,00;0,00;364;144;134;21;25;994;348
