Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;31,06;-236,13;0,00;0,00;0,00;-0,24;0,00;0,00;443;150;98;38;19;872;349
2;62,51;134,99;0,00;0,00;0,00;0,13;0,00;0,00;178;54;118;42;29;904;851
3;57,71;130,23;0,00;0,00;0,00;0,13;0,00;0,00;135;193;135;38;35;556;207
4;56,88;42,02;0,00;0,00;0,00;0,04;0,00;0,00;103;130;155;25;17;304;999
5;54,72;86,40;0,00;0,00;0,00;0,09;0,00;0,00;490;187;108;41;33;493;622
6;62,70;162,34;0,00;0,00;0,00;0,16;0,00;0,00;107;102;71;49;37;136;976
7;59,47;126,67;0,00;0,00;0,00;0,13;0,00;0,00;212;124;19;16;33;683;797
8;53,46;72,60;0,00;0,00;0,00;0,07;0,00;0,00;360;87;69;19;39;862;898
9;21,32;-244,36;0,00;0,00;0,00;-0,24;0,00;0,00;228;68;116;33;25;762;340
10;57,50;32,94;0,00;0,00;0,00;0,03;0,00;0,00;478;162;75;49;23;792;965
11;60,24;102,77;0,00;0,00;0,00;0,10;0,00;0,00;31;147;16;39;17;990;977
12;55,47;24,07;0,00;0,00;0,00;0,02;0,00;0,00;300;163;12;32;20;981;795
13;65,11;116,28;0,00;0,00;0,00;0,12;0,00;0,00;392;155;83;41;34;989;624
14;23,23;-231,32;0,00;0,00;0,00;-0,23;0,00;0,00;242;106;68;38;32;895;407
15;62,21;101,83;0,00;0,00;0,00;0,10;0,00;0,00;76;60;66;13;17;714;950
16;49,74;-35,36;0,00;0,00;0,00;-0,04;0,00;0,00;122;54;194;17;33;918;987
17;22,14;-337,38;0,00;0,00;0,00;-0,34;0,00;0,00;275;163;189;39;24;224;123
18;61,53;123,12;0,00;0,00;0,00;0,12;0,00;0,00;353;185;191;43;35;479;850
19;36,62;-187,98;0,00;0,00;0,00;-0,19;0,00;0,00;268;98;136;42;22;363;920
20;50,75;43,61;0,00;0,00;0,00;0,04;0,00;0,00;109;180;107;18;28;396;447
21;76,13;268,00;0,00;0,00;0,00;0,27;0,00;0,00;465;126;129;21;29;516;637
22;52,34;-55,15;0,00;0,00;0,00;-0,06;0,00;0,00;494;144;143;20;37;697;951
23;42,61;-72,78;0,00;0,00;0,00;-0,07;0,00;0,00;209;92;92;20;18;928;737
24;53,41;28,86;0,00;0,00;0,00;0,03;0,00;0,00;19;104;134;16;16;852;290
25;42,77;-44,77;0,00;0,00;0,00;-0,04;0,00;0,00;386;92;50;10;16;165;272
26;38,66;-146,94;0,00;0,00;0,00;-0,15;0,00;0,00;444;184;129;33;26;453;452
27;38,43;-116,62;0,00;0,00;0,00;-0,12;0,00;0,00;409;115;191;33;18;986;307
28;46,63;55,44;0,00;0,00;0,00;0,06;0,00;0,00;20;13;154;11;23;747;162
29;51,40;83,39;0,00;0,00;0,00;0,08;0,00;0,00;318;87;172;33;20;582;343
30;38,07;-91,16;0,00;0,00;0,00;-0,09;0,00;0,00;394;72;193;41;23;350;790
31;56,25;49,24;0,00;0,00;0,00;0,05;0,00;0,00;224;78;143;33;15;199;988
32;32,16;-159,28;0,00;0,00;0,00;-0,16;0,00;0,00;476;147;45;42;34;781;432
33;49,69;-9,41;0,00;0,00;0,00;-0,01;0,00;0,00;219;52;77;31;37;222;215
34;47,87;-98,36;0,00;0,00;0,00;-0,10;0,00;0,00;60;112;198;13;24;547;233
35;39,44;-72,15;0,00;0,00;0,00;-0,07;0,00;0,00;445;165;184;14;32;307;808
36;50,55;-9,69;0,00;0,00;0,00;-0,01;0,00;0,00;180;71;115;30;17;384;888
37;44,25;-64,29;0,00;0,00;0,00;-0,06;0,00;0,00;14;180;129;38;34;661;192
38;62,49;120,19;0,00;0,00;0,00;0,12;0,00;0,00;475;154;119;21;23;995;955
39;100,00;533,83;0,00;0,00;0,00;0,53;0,00;0,00;255;146;46;45;20;260;861
