Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;48,61;-168,36;0,00;0,00;0,00;-0,17;0,00;0,00;116;37;181;24;16;525;131
2;58,71;-188,99;0,00;0,00;0,00;-0,19;0,00;0,00;324;159;111;20;39;645;272
3;19,32;-463,11;0,00;0,00;0,00;-0,46;0,00;0,00;395;162;185;13;24;818;483
4;20,78;-521,03;0,00;0,00;0,00;-0,52;0,00;0,00;276;145;113;48;34;622;693
5;45,68;-244,01;0,00;0,00;0,00;-0,24;0,00;0,00;74;163;62;40;28;417;198
6;65,05;-21,10;0,00;0,00;0,00;-0,02;0,00;0,00;212;181;130;32;17;879;183
7;84,89;170,95;0,00;0,00;0,00;0,17;0,00;0,00;326;42;135;13;34;797;138
8;62,05;-104,23;0,00;0,00;0,00;-0,10;0,00;0,00;263;28;133;46;30;332;408
9;80,09;120,32;0,00;0,00;0,00;0,12;0,00;0,00;234;46;151;31;17;685;424
10;0,00;-665,03;0,00;0,00;0,00;-0,67;0,00;0,00;446;134;107;12;22;854;332
11;3,07;-558,20;0,00;0,00;0,00;-0,56;0,00;0,00;409;28;89;33;39;423;165
12;14,93;-483,91;0,00;0,00;0,00;-0,48;0,00;0,00;24;151;13;15;35;124;871
13;55,03;-108,77;0,00;0,00;0,00;-0,11;0,00;0,00;58;85;136;39;20;821;397
14;6,94;-653,86;0,00;0,00;0,00;-0,65;0,00;0,00;288;89;157;26;24;384;380
15;36,29;-264,99;0,00;0,00;0,00;-0,26;0,00;0,00;56;13;190;48;15;385;548
16;45,60;-247,49;0,00;0,00;0,00;-0,25;0,00;0,00;234;113;156;48;31;796;179
17;55,96;-97,47;0,00;0,00;0,00;-0,10;0,00;0,00;363;103;95;35;27;895;794
18;42,72;-249,46;0,00;0,00;0,00;-0,25;0,00;0,00;48;150;128;29;20;701;788
19;46,93;-208,51;0,00;0,00;0,00;-0,21;0,00;0,00;176;58;73;47;31;518;225
20;16,50;-480,40;0,00;0,00;0,00;-0,48;0,00;0,00;329;121;61;29;16;750;171
21;55,36;-142,25;0,00;0,00;0,00;-0,14;0,00;0,00;303;153;67;17;18;324;153
22;56,95;-109,87;0,00;0,00;0,00;-0,11;0,00;0,00;148;186;146;30;21;507;893
23;48,18;-216,29;0,00;0,00;0,00;-0,22;0,00;0,00;277;100;151;39;23;163;787
24;60,64;-37,20;0,00;0,00;0,00;-0,04;0,00;0,00;442;96;36;44;23;764;474
25;21,32;-506,79;0,00;0,00;0,00;-0,51;0,00;0,00;363;34;103;23;36;639;826
26;56,15;-160,88;0,00;0,00;0,00;-0,16;0,00;0,00;69;134;14;25;34;549;328
27;75,95;44,32;0,00;0,00;0,00;0,04;0,00;0,00;84;30;142;37;26;513;541
28;79,86;206,79;0,00;0,00;0,00;0,21;0,00;0,00;300;98;65;13;29;166;425
29;47,95;-132,42;0,00;0,00;0,00;-0,13;0,00;0,00;279;63;194;26;29;554;716
30;38,66;-392,01;0,00;0,00;0,00;-0,39;0,00;0,00;300;57;167;47;29;269;648
31;52,89;-279,22;0,00;0,00;0,00;-0,28;0,00;0,00;131;40;79;39;27;633;109
32;49,82;-156,08;0,00;0,00;0,00;-0,16;0,00;0,00;418;197;26;18;21;235;974
33;67,35;-88,21;0,00;0,00;0,00;-0,09;0,00;0,00;77;135;143;17;34;868;582
34;46,25;-322,82;0,00;0,00;0,00;-0,32;0,00;0,00;214;70;39;43;39;347;851
35;29,75;-311,22;0,00;0,00;0,00;-0,31;0,00;0,00;171;95;45;15;17;737;418
36;37,77;-239,82;0,00;0,00;0,00;-0,24;0,00;0,00;45;80;116;22;23;817;422
37;20,97;-565,32;0,00;0,00;0,00;-0,57;0,00;0,00;368;117;173;23;37;718;703
38;47,37;-219,10;0,00;0,00;0,00;-0,22;0,00;0,00;220;129;108;15;16;411;662
39;73,11;29,43;0,00;0,00;0,00;0,03;0,00;0,00;362;182;108;30;31;429;198
40;7,28;-662,33;0,00;0,00;0,00;-0,66;0,00;0,00;111;81;154;21;21;781;998
41;36,30;-354,59;0,00;0,00;0,00;-0,35;0,00;0,00;459;57;18;17;37;632;515
42;42,37;-262,59;0,00;0,00;0,00;-0,26;0,00;0,00;345;119;36;26;34;798;594
43;36,40;-348,21;0,00;0,00;0,00;-0,35;0,00;0,00;374;25;53;33;30;697;637
44;48,46;-180,92;0,00;0,00;0,00;-0,18;0,00;0,00;216;179;155;24;38;813;396
