Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;62,15;-92,54;0,00;0,00;0,00;-0,09;0,00;0,00;195;140;81;44;17;705;176
2;39,56;-324,04;0,00;0,00;0,00;-0,32;0,00;0,00;269;16;151;17;36;686;828
3;35,65;-357,81;0,00;0,00;0,00;-0,36;0,00;0,00;240;180;51;29;18;720;386
4;67,15;2,14;0,00;0,00;0,00;0,00;0,00;0,00;156;131;38;46;16;367;374
5;70,05;-75,06;0,00;0,00;0,00;-0,08;0,00;0,00;383;73;30;17;22;506;767
6;68,99;-29,91;0,00;0,00;0,00;-0,03;0,00;0,00;190;51;174;28;16;169;468
7;53,98;-70,42;0,00;0,00;0,00;-0,07;0,00;0,00;421;178;179;40;35;318;875
8;68,18;11,35;0,00;0,00;0,00;0,01;0,00;0,00;209;55;150;45;33;669;928
9;42,23;-243,01;0,00;0,00;0,00;-0,24;0,00;0,00;477;102;44;45;31;564;407
10;12,70;-540,66;0,00;0,00;0,00;-0,54;0,00;0,00;198;192;83;49;33;948;183
11;36,51;-394,30;0,00;0,00;0,00;-0,39;0,00;0,00;461;157;72;30;30;889;394
12;46,87;-195,10;0,00;0,00;0,00;-0,20;0,00;0,00;117;159;120;35;36;597;985
13;77,99;-9,77;0,00;0,00;0,00;-0,01;0,00;0,00;400;63;61;24;24;775;998
14;33,18;-444,42;0,00;0,00;0,00;-0,44;0,00;0,00;115;170;194;29;30;890;525
15;56,23;-181,37;0,00;0,00;0,00;-0,18;0,00;0,00;86;182;160;12;25;960;541
16;25,38;-463,62;0,00;0,00;0,00;-0,46;0,00;0,00;451;168;161;41;36;606;633
17;20,81;-541,69;0,00;0,00;0,00;-0,54;0,00;0,00;294;74;172;26;18;561;522
18;42,77;-353,30;0,00;0,00;0,00;-0,35;0,00;0,00;123;176;43;45;15;982;614
19;36,79;-386,60;0,00;0,00;0,00;-0,39;0,00;0,00;31;90;167;30;26;995;705
20;46,29;-217,30;0,00;0,00;0,00;-0,22;0,00;0,00;36;127;60;49;36;202;227
21;78,47;71,02;0,00;0,00;0,00;0,07;0,00;0,00;271;126;179;26;20;652;249
22;71,56;-15,81;0,00;0,00;0,00;-0,02;0,00;0,00;287;120;55;46;28;294;574
23;11,56;-560,75;0,00;0,00;0,00;-0,56;0,00;0,00;450;139;185;30;27;249;144
24;19,17;-457,57;0,00;0,00;0,00;-0,46;0,00;0,00;463;144;143;37;36;818;451
25;80,36;105,00;0,00;0,00;0,00;0,10;0,00;0,00;471;57;83;28;35;142;189
26;66,57;-68,11;0,00;0,00;0,00;-0,07;0,00;0,00;370;61;185;21;16;627;705
27;64,17;-88,21;0,00;0,00;0,00;-0,09;0,00;0,00;329;66;176;12;17;225;358
28;52,86;-162,25;0,00;0,00;0,00;-0,16;0,00;0,00;461;179;173;47;19;455;489
29;87,76;94,86;0,00;0,00;0,00;0,09;0,00;0,00;233;131;16;42;28;156;641
30;71,52;35,67;0,00;0,00;0,00;0,04;0,00;0,00;483;170;79;47;32;364;998
31;51,30;-189,90;0,00;0,00;0,00;-0,19;0,00;0,00;81;140;180;33;24;388;626
