Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,52;-149,07;0,00;0,00;0,00;-0,15;0,00;0,00;245;150;98;38;19;872;349
2;61,11;60,51;0,00;0,00;0,00;0,06;0,00;0,00;216;54;118;42;29;904;851
3;57,79;61,62;0,00;0,00;0,00;0,06;0,00;0,00;24;193;135;38;35;556;207
4;57,16;142,90;0,00;0,00;0,00;0,14;0,00;0,00;230;130;155;25;17;304;999
5;53,00;5,76;0,00;0,00;0,00;0,01;0,00;0,00;156;187;108;41;33;493;622
6;65,08;221,70;0,00;0,00;0,00;0,22;0,00;0,00;51;102;71;49;37;136;976
7;45,27;-165,24;0,00;0,00;0,00;-0,17;0,00;0,00;448;124;19;16;33;683;797
8;47,19;56,48;0,00;0,00;0,00;0,06;0,00;0,00;377;87;69;19;39;862;898
9;15,32;-420,86;0,00;0,00;0,00;-0,42;0,00;0,00;453;68;116;33;25;762;340
10;44,16;-88,81;0,00;0,00;0,00;-0,09;0,00;0,00;326;162;75;49;23;792;965
11;60,99;140,70;0,00;0,00;0,00;0,14;0,00;0,00;399;147;16;39;17;990;977
12;47,69;-38,99;0,00;0,00;0,00;-0,04;0,00;0,00;76;163;12;32;20;981;795
13;50,19;-55,75;0,00;0,00;0,00;-0,06;0,00;0,00;245;155;83;41;34;989;624
14;22,98;-196,18;0,00;0,00;0,00;-0,20;0,00;0,00;383;106;68;38;32;895;407
15;53,21;62,50;0,00;0,00;0,00;0,06;0,00;0,00;309;60;66;13;17;714;950
16;46,02;-80,34;0,00;0,00;0,00;-0,08;0,00;0,00;470;54;194;17;33;918;987
17;24,31;-287,95;0,00;0,00;0,00;-0,29;0,00;0,00;25;163;189;39;24;224;123
18;74,50;232,03;0,00;0,00;0,00;0,23;0,00;0,00;499;185;191;43;35;479;850
19;35,29;-80,99;0,00;0,00;0,00;-0,08;0,00;0,00;55;98;136;42;22;363;920
20;51,76;70,83;0,00;0,00;0,00;0,07;0,00;0,00;37;180;107;18;28;396;447
21;74,15;273,99;0,00;0,00;0,00;0,27;0,00;0,00;396;126;129;21;29;516;637
22;47,90;33,75;0,00;0,00;0,00;0,03;0,00;0,00;293;144;143;20;37;697;951
23;42,60;-176,28;0,00;0,00;0,00;-0,18;0,00;0,00;258;92;92;20;18;928;737
24;58,53;72,49;0,00;0,00;0,00;0,07;0,00;0,00;268;104;134;16;16;852;290
25;42,28;8,18;0,00;0,00;0,00;0,01;0,00;0,00;124;92;50;10;16;165;272
26;44,58;-107,70;0,00;0,00;0,00;-0,11;0,00;0,00;483;184;129;33;26;453;452
27;41,79;-75,47;0,00;0,00;0,00;-0,08;0,00;0,00;264;115;191;33;18;986;307
28;47,64;-36,21;0,00;0,00;0,00;-0,04;0,00;0,00;310;13;154;11;23;747;162
29;51,88;19,14;0,00;0,00;0,00;0,02;0,00;0,00;49;87;172;33;20;582;343
30;53,54;41,45;0,00;0,00;0,00;0,04;0,00;0,00;35;72;193;41;23;350;790
31;52,49;7,08;0,00;0,00;0,00;0,01;0,00;0,00;296;78;143;33;15;199;988
32;36,39;-78,52;0,00;0,00;0,00;-0,08;0,00;0,00;429;147;45;42;34;781;432
33;49,47;-67,37;0,00;0,00;0,00;-0,07;0,00;0,00;112;52;77;31;37;222;215
34;38,77;-71,78;0,00;0,00;0,00;-0,07;0,00;0,00;44;112;198;13;24;547;233
35;36,31;-197,57;0,00;0,00;0,00;-0,20;0,00;0,00;441;165;184;14;32;307;808
36;54,97;146,24;0,00;0,00;0,00;0,15;0,00;0,00;438;71;115;30;17;384;888
