Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,31;-351,03;0,00;0,00;0,00;-0,35;0,00;0,00;455;140;81;44;17;705;176
2;19,43;-522,53;0,00;0,00;0,00;-0,52;0,00;0,00;367;16;151;17;36;686;828
3;10,46;-673,50;0,00;0,00;0,00;-0,67;0,00;0,00;440;180;51;29;18;720;386
4;48,34;-165,13;0,00;0,00;0,00;-0,17;0,00;0,00;76;131;38;46;16;367;374
5;51,44;-121,40;0,00;0,00;0,00;-0,12;0,00;0,00;339;73;30;17;22;506;767
6;45,25;-181,87;0,00;0,00;0,00;-0,18;0,00;0,00;211;51;174;28;16;169;468
7;78,17;15,78;0,00;0,00;0,00;0,02;0,00;0,00;296;178;179;40;35;318;875
8;53,22;-125,66;0,00;0,00;0,00;-0,13;0,00;0,00;210;55;150;45;33;669;928
9;50,17;-192,43;0,00;0,00;0,00;-0,19;0,00;0,00;107;102;44;45;31;564;407
10;23,48;-472,07;0,00;0,00;0,00;-0,47;0,00;0,00;100;192;83;49;33;948;183
11;60,71;-164,72;0,00;0,00;0,00;-0,16;0,00;0,00;291;157;72;30;30;889;394
12;13,23;-681,53;0,00;0,00;0,00;-0,68;0,00;0,00;81;159;120;35;36;597;985
13;65,76;-44,33;0,00;0,00;0,00;-0,04;0,00;0,00;387;63;61;24;24;775;998
14;36,53;-301,12;0,00;0,00;0,00;-0,30;0,00;0,00;111;170;194;29;30;890;525
15;11,87;-595,43;0,00;0,00;0,00;-0,60;0,00;0,00;86;182;160;12;25;960;541
16;56,64;-178,02;0,00;0,00;0,00;-0,18;0,00;0,00;343;168;161;41;36;606;633
17;0,00;-612,99;0,00;0,00;0,00;-0,61;0,00;0,00;121;74;172;26;18;561;522
18;65,29;-44,35;0,00;0,00;0,00;-0,04;0,00;0,00;394;176;43;45;15;982;614
19;100,00;199,97;0,00;0,00;0,00;0,20;0,00;0,00;24;90;167;30;26;995;705
20;53,85;-186,07;0,00;0,00;0,00;-0,19;0,00;0,00;24;127;60;49;36;202;227
21;29,22;-401,08;0,00;0,00;0,00;-0,40;0,00;0,00;442;126;179;26;20;652;249
22;70,11;34,78;0,00;0,00;0,00;0,03;0,00;0,00;140;120;55;46;28;294;574
23;33,13;-314,30;0,00;0,00;0,00;-0,31;0,00;0,00;93;139;185;30;27;249;144
24;62,17;-71,12;0,00;0,00;0,00;-0,07;0,00;0,00;476;144;143;37;36;818;451
25;70,78;29,55;0,00;0,00;0,00;0,03;0,00;0,00;305;57;83;28;35;142;189
26;42,79;-274,16;0,00;0,00;0,00;-0,27;0,00;0,00;444;61;185;21;16;627;705
27;64,55;-48,75;0,00;0,00;0,00;-0,05;0,00;0,00;89;66;176;12;17;225;358
28;32,09;-396,82;0,00;0,00;0,00;-0,40;0,00;0,00;224;179;173;47;19;455;489
29;56,64;-144,88;0,00;0,00;0,00;-0,14;0,00;0,00;345;131;16;42;28;156;641
30;40,67;-291,81;0,00;0,00;0,00;-0,29;0,00;0,00;371;170;79;47;32;364;998
31;29,31;-416,63;0,00;0,00;0,00;-0,42;0,00;0,00;488;140;180;33;24;388;626
32;69,37;-32,81;0,00;0,00;0,00;-0,03;0,00;0,00;137;174;72;44;37;949;222
33;100,00;262,48;0,00;0,00;0,00;0,26;0,00;0,00;346;112;142;36;18;467;748
34;100,00;234,11;0,00;0,00;0,00;0,23;0,00;0,00;287;146;148;49;23;739;339
35;14,51;-612,93;0,00;0,00;0,00;-0,61;0,00;0,00;485;171;52;28;27;980;233
