Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;61,06;-69,43;0,00;0,00;0,00;-0,07;0,00;0,00;447;37;181;24;16;525;131
2;76,81;81,15;0,00;0,00;0,00;0,08;0,00;0,00;294;159;111;20;39;645;272
3;45,98;-295,31;0,00;0,00;0,00;-0,30;0,00;0,00;383;162;185;13;24;818;483
4;36,69;-294,95;0,00;0,00;0,00;-0,29;0,00;0,00;212;145;113;48;34;622;693
5;24,57;-420,43;0,00;0,00;0,00;-0,42;0,00;0,00;390;163;62;40;28;417;198
6;53,38;-127,77;0,00;0,00;0,00;-0,13;0,00;0,00;149;181;130;32;17;879;183
7;100,00;235,32;0,00;0,00;0,00;0,24;0,00;0,00;453;42;135;13;34;797;138
8;55,82;-137,00;0,00;0,00;0,00;-0,14;0,00;0,00;214;28;133;46;30;332;408
9;49,86;-174,61;0,00;0,00;0,00;-0,17;0,00;0,00;20;46;151;31;17;685;424
10;18,65;-524,39;0,00;0,00;0,00;-0,52;0,00;0,00;291;134;107;12;22;854;332
11;20,65;-447,59;0,00;0,00;0,00;-0,45;0,00;0,00;322;28;89;33;39;423;165
12;55,31;-231,64;0,00;0,00;0,00;-0,23;0,00;0,00;450;151;13;15;35;124;871
13;28,56;-441,43;0,00;0,00;0,00;-0,44;0,00;0,00;238;85;136;39;20;821;397
14;28,13;-398,93;0,00;0,00;0,00;-0,40;0,00;0,00;323;89;157;26;24;384;380
15;82,97;82,77;0,00;0,00;0,00;0,08;0,00;0,00;389;13;190;48;15;385;548
16;0,00;-684,23;0,00;0,00;0,00;-0,68;0,00;0,00;163;113;156;48;31;796;179
17;56,38;-167,39;0,00;0,00;0,00;-0,17;0,00;0,00;466;103;95;35;27;895;794
18;53,82;-151,63;0,00;0,00;0,00;-0,15;0,00;0,00;308;150;128;29;20;701;788
19;69,94;-5,75;0,00;0,00;0,00;-0,01;0,00;0,00;466;58;73;47;31;518;225
20;21,24;-487,16;0,00;0,00;0,00;-0,49;0,00;0,00;24;121;61;29;16;750;171
21;67,54;-137,99;0,00;0,00;0,00;-0,14;0,00;0,00;51;153;67;17;18;324;153
22;58,89;-159,44;0,00;0,00;0,00;-0,16;0,00;0,00;442;186;146;30;21;507;893
23;91,16;179,82;0,00;0,00;0,00;0,18;0,00;0,00;246;100;151;39;23;163;787
24;57,16;-163,42;0,00;0,00;0,00;-0,16;0,00;0,00;208;96;36;44;23;764;474
25;50,61;-167,53;0,00;0,00;0,00;-0,17;0,00;0,00;458;34;103;23;36;639;826
26;80,89;123,82;0,00;0,00;0,00;0,12;0,00;0,00;96;134;14;25;34;549;328
27;62,20;-83,46;0,00;0,00;0,00;-0,08;0,00;0,00;64;30;142;37;26;513;541
28;33,34;-374,79;0,00;0,00;0,00;-0,37;0,00;0,00;439;98;65;13;29;166;425
29;29,25;-340,10;0,00;0,00;0,00;-0,34;0,00;0,00;214;63;194;26;29;554;716
30;63,46;-67,69;0,00;0,00;0,00;-0,07;0,00;0,00;229;57;167;47;29;269;648
31;86,25;202,46;0,00;0,00;0,00;0,20;0,00;0,00;348;40;79;39;27;633;109
32;62,35;-85,00;0,00;0,00;0,00;-0,09;0,00;0,00;440;197;26;18;21;235;974
33;85,00;190,81;0,00;0,00;0,00;0,19;0,00;0,00;146;135;143;17;34;868;582
34;39,40;-297,19;0,00;0,00;0,00;-0,30;0,00;0,00;166;70;39;43;39;347;851
35;54,45;-148,76;0,00;0,00;0,00;-0,15;0,00;0,00;65;95;45;15;17;737;418
36;11,51;-583,16;0,00;0,00;0,00;-0,58;0,00;0,00;429;80;116;22;23;817;422
37;39,47;-245,71;0,00;0,00;0,00;-0,25;0,00;0,00;209;117;173;23;37;718;703
38;54,69;-172,01;0,00;0,00;0,00;-0,17;0,00;0,00;331;129;108;15;16;411;662
