Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;29,70;-157,13;0,00;0,00;0,00;-0,16;0,00;0,00;201;150;98;38;19;872;349
2;57,06;76,96;0,00;0,00;0,00;0,08;0,00;0,00;359;54;118;42;29;904;851
3;68,30;217,57;0,00;0,00;0,00;0,22;0,00;0,00;361;193;135;38;35;556;207
4;59,31;76,40;0,00;0,00;0,00;0,08;0,00;0,00;344;130;155;25;17;304;999
5;54,01;13,66;0,00;0,00;0,00;0,01;0,00;0,00;336;187;108;41;33;493;622
6;58,96;70,46;0,00;0,00;0,00;0,07;0,00;0,00;353;102;71;49;37;136;976
7;56,06;144,76;0,00;0,00;0,00;0,14;0,00;0,00;34;124;19;16;33;683;797
8;49,43;16,94;0,00;0,00;0,00;0,02;0,00;0,00;435;87;69;19;39;862;898
9;19,75;-292,29;0,00;0,00;0,00;-0,29;0,00;0,00;264;68;116;33;25;762;340
10;45,40;9,91;0,00;0,00;0,00;0,01;0,00;0,00;32;162;75;49;23;792;965
11;57,96;85,74;0,00;0,00;0,00;0,09;0,00;0,00;266;147;16;39;17;990;977
12;49,92;-49,01;0,00;0,00;0,00;-0,05;0,00;0,00;223;163;12;32;20;981;795
13;56,84;116,58;0,00;0,00;0,00;0,12;0,00;0,00;339;155;83;41;34;989;624
14;26,98;-208,64;0,00;0,00;0,00;-0,21;0,00;0,00;161;106;68;38;32;895;407
15;47,53;9,40;0,00;0,00;0,00;0,01;0,00;0,00;314;60;66;13;17;714;950
16;52,88;37,52;0,00;0,00;0,00;0,04;0,00;0,00;20;54;194;17;33;918;987
17;27,73;-184,07;0,00;0,00;0,00;-0,18;0,00;0,00;88;163;189;39;24;224;123
18;69,10;156,82;0,00;0,00;0,00;0,16;0,00;0,00;404;185;191;43;35;479;850
19;29,44;-177,14;0,00;0,00;0,00;-0,18;0,00;0,00;404;98;136;42;22;363;920
20;60,91;127,77;0,00;0,00;0,00;0,13;0,00;0,00;407;180;107;18;28;396;447
21;77,88;272,36;0,00;0,00;0,00;0,27;0,00;0,00;206;126;129;21;29;516;637
22;33,81;-123,95;0,00;0,00;0,00;-0,12;0,00;0,00;296;144;143;20;37;697;951
23;39,50;-240,53;0,00;0,00;0,00;-0,24;0,00;0,00;224;92;92;20;18;928;737
24;58,79;54,68;0,00;0,00;0,00;0,05;0,00;0,00;480;104;134;16;16;852;290
25;46,30;-107,28;0,00;0,00;0,00;-0,11;0,00;0,00;198;92;50;10;16;165;272
26;52,72;-95,29;0,00;0,00;0,00;-0,10;0,00;0,00;317;184;129;33;26;453;452
27;47,37;-18,31;0,00;0,00;0,00;-0,02;0,00;0,00;152;115;191;33;18;986;307
28;50,16;-107,21;0,00;0,00;0,00;-0,11;0,00;0,00;304;13;154;11;23;747;162
29;53,55;23,33;0,00;0,00;0,00;0,02;0,00;0,00;427;87;172;33;20;582;343
30;47,55;-17,26;0,00;0,00;0,00;-0,02;0,00;0,00;250;72;193;41;23;350;790
31;54,78;153,57;0,00;0,00;0,00;0,15;0,00;0,00;177;78;143;33;15;199;988
32;27,54;-241,77;0,00;0,00;0,00;-0,24;0,00;0,00;159;147;45;42;34;781;432
33;49,50;-42,44;0,00;0,00;0,00;-0,04;0,00;0,00;272;52;77;31;37;222;215
34;46,85;-91,27;0,00;0,00;0,00;-0,09;0,00;0,00;131;112;198;13;24;547;233
35;31,64;-247,25;0,00;0,00;0,00;-0,25;0,00;0,00;170;165;184;14;32;307;808
36;55,86;39,54;0,00;0,00;0,00;0,04;0,00;0,00;183;71;115;30;17;384;888
37;38,96;-106,83;0,00;0,00;0,00;-0,11;0,00;0,00;364;180;129;38;34;661;192
38;59,93;99,35;0,00;0,00;0,00;0,10;0,00;0,00;228;154;119;21;23;995;955
39;99,41;371,73;0,00;0,00;0,00;0,37;0,00;0,00;434;146;46;45;20;260;861
40;58,32;114,10;0,00;0,00;0,00;0,11;0,00;0,00;331;27;199;48;34;789;634
41;42,00;-52,76;0,00;0,00;0,00;-0,05;0,00;0,00;45;32;40;28;29;230;716
42;42,01;-62,67;0,00;0,00;0,00;-0,06;0,00;0,00;336;14;54;11;18;381;314
43;38,06;-187,14;0,00;0,00;0,00;-0,19;0,00;0,00;78;181;194;23;28;950;468
44;69,74;166,31;0,00;0,00;0,00;0,17;0,00;0,00;49;47;187;32;33;846;657
45;33,22;-158,45;0,00;0,00;0,00;-0,16;0,00;0,00;478;64;151;44;27;529;191
46;49,85;-86,04;0,00;0,00;0,00;-0,09;0,00;0,00;438;115;63;37;34;555;583
47;73,87;269,33;0,00;0,00;0,00;0,27;0,00;0,00;483;79;182;45;18;705;798
48;41,19;-84,64;0,00;0,00;0,00;-0,08;0,00;0,00;89;14;24;27;35;391;136
49;47,58;-2,71;0,00;0,00;0,00;-0,00;0,00;0,00;107;54;29;36;28;679;584
50;19,27;-257,69;0,00;0,00;0,00;-0,26;0,00;0,00;78;148;123;26;30;797;642
51;53,47;131,29;0,00;0,00;0,00;0,13;0,00;0,00;82;38;132;26;31;166;319
52;49,35;9,00;0,00;0,00;0,00;0,01;0,00;0,00;11;108;191;23;24;680;859
53;50,17;-4,86;0,00;0,00;0,00;-0,00;0,00;0,00;209;71;33;46;34;354;451
54;38,69;-138,49;0,00;0,00;0,00;-0,14;0,00;0,00;131;178;27;30;29;333;773
55;88,39;276,22;0,00;0,00;0,00;0,28;0,00;0,00;268;158;99;17;37;221;779
56;52,18;-30,52;0,00;0,00;0,00;-0,03;0,00;0,00;50;49;45;37;16;312;524
57;40,69;-11,64;0,00;0,00;0,00;-0,01;0,00;0,00;333;89;62;19;16;338;211
58;60,82;108,98;0,00;0,00;0,00;0,11;0,00;0,00;150;87;147;41;21;859;128
59;39,62;-177,47;0,00;0,00;0,00;-0,18;0,00;0,00;224;114;166;29;24;876;982
60;77,79;249,22;0,00;0,00;0,00;0,25;0,00;0,00;153;78;123;45;15;652;658
61;48,47;-20,81;0,00;0,00;0,00;-0,02;0,00;0,00;436;32;41;37;27;435;572
62;47,20;-44,56;0,00;0,00;0,00;-0,04;0,00;0,00;153;13;155;43;21;424;944
63;47,15;13,17;0,00;0,00;0,00;0,01;0,00;0,00;387;15;35;37;31;883;823
64;32,74;-145,68;0,00;0,00;0,00;-0,15;0,00;0,00;134;188;126;12;21;907;771
65;53,96;3,28;0,00;0,00;0,00;0,00;0,00;0,00;94;82;28;11;38;367;689
66;74,69;245,06;0,00;0,00;0,00;0,25;0,00;0,00;96;46;171;38;38;138;225
67;43,18;-57,95;0,00;0,00;0,00;-0,06;0,00;0,00;278;113;67;41;32;952;406
68;55,18;-2,76;0,00;0,00;0,00;-0,00;0,00;0,00;21;194;161;48;24;488;117
69;25,05;-222,48;0,00;0,00;0,00;-0,22;0,00;0,00;130;70;75;20;36;336;797
70;55,48;-31,06;0,00;0,00;0,00;-0,03;0,00;0,00;154;111;163;22;20;803;647
71;35,10;-176,39;0,00;0,00;0,00;-0,18;0,00;0,00;433;26;113;17;22;779;976
72;69,69;103,77;0,00;0,00;0,00;0,10;0,00;0,00;259;199;87;45;21;680;177
73;40,11;-98,28;0,00;0,00;0,00;-0,10;0,00;0,00;256;139;88;33;22;426;914
74;50,41;16,58;0,00;0,00;0,00;0,02;0,00;0,00;315;160;144;31;33;199;488
75;39,83;-25,00;0,00;0,00;0,00;-0,03;0,00;0,00;33;55;112;24;16;699;779
76;49,91;17,11;0,00;0,00;0,00;0,02;0,00;0,00;427;60;16;46;38;131;934
77;74,34;262,75;0,00;0,00;0,00;0,26;0,00;0,00;70;10;20;34;16;598;528
78;52,96;42,27;0,00;0,00;0,00;0,04;0,00;0,00;454;79;114;34;24;213;324
79;10,44;-337,70;0,00;0,00;0,00;-0,34;0,00;0,00;111;45;120;16;30;986;559
80;57,92;25,59;0,00;0,00;0,00;0,03;0,00;0,00;242;144;71;37;19;158;983
81;70,74;255,78;0,00;0,00;0,00;0,26;0,00;0,00;257;199;144;30;30;767;194
82;20,73;-276,41;0,00;0,00;0,00;-0,28;0,00;0,00;47;75;62;33;28;685;786
83;42,64;-54,27;0,00;0,00;0,00;-0,05;0,00;0,00;191;95;164;45;27;115;114
84;48,13;-12,58;0,00;0,00;0,00;-0,01;0,00;0,00;324;93;166;47;32;643;562
85;43,25;-121,00;0,00;0,00;0,00;-0,12;0,00;0,00;396;125;127;30;36;781;362
86;57,50;77,07;0,00;0,00;0,00;0,08;0,00;0,00;23;79;102;15;17;447;959
87;49,55;91,69;0,00;0,00;0,00;0,09;0,00;0,00;261;27;68;17;29;275;296
88;59,71;9,47;0,00;0,00;0,00;0,01;0,00;0,00;52;137;157;26;36;301;597
89;49,17;-16,47;0,00;0,00;0,00;-0,02;0,00;0,00;488;11;182;14;30;153;235
90;59,85;66,47;0,00;0,00;0,00;0,07;0,00;0,00;308;120;103;47;25;596;770
91;55,43;108,51;0,00;0,00;0,00;0,11;0,00;0,00;159;162;27;41;35;116;628
92;57,01;56,67;0,00;0,00;0,00;0,06;0,00;0,00;107;99;89;33;28;215;621
93;47,73;-141,70;0,00;0,00;0,00;-0,14;0,00;0,00;488;189;132;22;30;507;363
94;35,49;-223,30;0,00;0,00;0,00;-0,22;0,00;0,00;220;152;58;34;22;119;939
95;41,72;-116,59;0,00;0,00;0,00;-0,12;0,00;0,00;389;183;68;39;36;890;646
96;19,09;-302,38;0,00;0,00;0,00;-0,30;0,00;0,00;253;115;145;16;32;158;412
97;49,68;-23,36;0,00;0,00;0,00;-0,02;0,00;0,00;352;77;133;47;23;742;379
98;23,71;-217,39;0,00;0,00;0,00;-0,22;0,00;0,00;265;178;110;44;31;930;263
99;62,27;154,13;0,00;0,00;0,00;0,15;0,00;0,00;339;84;149;11;38;680;804
100;48,14;-96,10;0,00;0,00;0,00;-0,10;0,00;0,00;162;179;29;18;31;505;748
101;55,33;-25,86;0,00;0,00;0,00;-0,03;0,00;0,00;21;34;30;33;22;461;243
102;58,14;66,49;0,00;0,00;0,00;0,07;0,00;0,00;24;121;30;12;20;194;865
103;42,97;-51,66;0,00;0,00;0,00;-0,05;0,00;0,00;104;31;115;38;32;192;792
104;58,41;62,38;0,00;0,00;0,00;0,06;0,00;0,00;18;188;147;32;16;219;269
105;51,83;-15,23;0,00;0,00;0,00;-0,02;0,00;0,00;131;192;160;16;31;219;850
106;48,71;-55,38;0,00;0,00;0,00;-0,06;0,00;0,00;180;50;178;23;22;781;484
107;53,89;-9,43;0,00;0,00;0,00;-0,01;0,00;0,00;38;88;177;37;18;764;542
108;61,38;123,79;0,00;0,00;0,00;0,12;0,00;0,00;267;139;62;12;22;544;609
109;69,96;223,38;0,00;0,00;0,00;0,22;0,00;0,00;339;76;164;16;24;508;793
110;38,94;-154,73;0,00;0,00;0,00;-0,15;0,00;0,00;338;57;113;41;19;297;479
111;34,53;-188,45;0,00;0,00;0,00;-0,19;0,00;0,00;420;73;65;44;32;882;909
112;41,87;-34,08;0,00;0,00;0,00;-0,03;0,00;0,00;393;169;36;48;36;383;821
113;78,52;136,73;0,00;0,00;0,00;0,14;0,00;0,00;203;142;119;18;23;803;245
114;64,70;129,64;0,00;0,00;0,00;0,13;0,00;0,00;240;194;127;35;20;685;982
115;55,65;29,68;0,00;0,00;0,00;0,03;0,00;0,00;43;16;91;11;29;916;945
116;26,42;-341,28;0,00;0,00;0,00;-0,34;0,00;0,00;62;134;48;18;36;902;761
117;43,75;-21,20;0,00;0,00;0,00;-0,02;0,00;0,00;241;84;100;30;23;455;176
118;37,52;-103,75;0,00;0,00;0,00;-0,10;0,00;0,00;379;49;28;39;32;248;531
119;82,51;334,02;0,00;0,00;0,00;0,33;0,00;0,00;401;178;108;48;16;265;704
