Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,93;-268,59;0,00;0,00;0,00;-0,27;0,00;0,00;150;140;81;44;17;705;176
2;50,07;-261,53;0,00;0,00;0,00;-0,26;0,00;0,00;177;16;151;17;36;686;828
3;55,41;-64,37;0,00;0,00;0,00;-0,06;0,00;0,00;35;180;51;29;18;720;386
4;87,58;113,60;0,00;0,00;0,00;0,11;0,00;0,00;448;131;38;46;16;367;374
5;53,12;-168,47;0,00;0,00;0,00;-0,17;0,00;0,00;399;73;30;17;22;506;767
6;22,97;-514,61;0,00;0,00;0,00;-0,51;0,00;0,00;158;51;174;28;16;169;468
7;67,18;14,75;0,00;0,00;0,00;0,01;0,00;0,00;105;178;179;40;35;318;875
8;46,75;-260,61;0,00;0,00;0,00;-0,26;0,00;0,00;412;55;150;45;33;669;928
9;39,01;-362,30;0,00;0,00;0,00;-0,36;0,00;0,00;48;102;44;45;31;564;407
10;87,73;206,56;0,00;0,00;0,00;0,21;0,00;0,00;187;192;83;49;33;948;183
11;38,79;-248,94;0,00;0,00;0,00;-0,25;0,00;0,00;129;157;72;30;30;889;394
12;19,82;-516,77;0,00;0,00;0,00;-0,52;0,00;0,00;281;159;120;35;36;597;985
13;45,28;-182,67;0,00;0,00;0,00;-0,18;0,00;0,00;432;63;61;24;24;775;998
14;20,65;-433,38;0,00;0,00;0,00;-0,43;0,00;0,00;358;170;194;29;30;890;525
15;58,22;-204,84;0,00;0,00;0,00;-0,20;0,00;0,00;456;182;160;12;25;960;541
16;2,88;-682,45;0,00;0,00;0,00;-0,68;0,00;0,00;177;168;161;41;36;606;633
17;42,32;-279,35;0,00;0,00;0,00;-0,28;0,00;0,00;197;74;172;26;18;561;522
18;70,18;7,11;0,00;0,00;0,00;0,01;0,00;0,00;297;176;43;45;15;982;614
19;83,51;203,06;0,00;0,00;0,00;0,20;0,00;0,00;458;90;167;30;26;995;705
20;25,64;-409,66;0,00;0,00;0,00;-0,41;0,00;0,00;199;127;60;49;36;202;227
21;44,97;-243,86;0,00;0,00;0,00;-0,24;0,00;0,00;102;126;179;26;20;652;249
22;1,80;-763,93;0,00;0,00;0,00;-0,76;0,00;0,00;332;120;55;46;28;294;574
23;41,77;-310,18;0,00;0,00;0,00;-0,31;0,00;0,00;209;139;185;30;27;249;144
24;42,11;-346,80;0,00;0,00;0,00;-0,35;0,00;0,00;328;144;143;37;36;818;451
25;51,53;-194,72;0,00;0,00;0,00;-0,19;0,00;0,00;310;57;83;28;35;142;189
26;42,67;-229,74;0,00;0,00;0,00;-0,23;0,00;0,00;187;61;185;21;16;627;705
27;50,17;-263,82;0,00;0,00;0,00;-0,26;0,00;0,00;278;66;176;12;17;225;358
28;3,02;-591,36;0,00;0,00;0,00;-0,59;0,00;0,00;158;179;173;47;19;455;489
29;100,00;314,40;0,00;0,00;0,00;0,31;0,00;0,00;119;131;16;42;28;156;641
30;58,10;-96,60;0,00;0,00;0,00;-0,10;0,00;0,00;207;170;79;47;32;364;998
31;58,40;12,25;0,00;0,00;0,00;0,01;0,00;0,00;166;140;180;33;24;388;626
32;58,33;-152,34;0,00;0,00;0,00;-0,15;0,00;0,00;388;174;72;44;37;949;222
33;50,70;-177,60;0,00;0,00;0,00;-0,18;0,00;0,00;218;112;142;36;18;467;748
