Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;57,97;-44,51;0,00;0,00;0,00;-0,04;0,00;0,00;69;37;181;24;16;525;131
2;30,85;-367,59;0,00;0,00;0,00;-0,37;0,00;0,00;488;159;111;20;39;645;272
3;43,03;-311,73;0,00;0,00;0,00;-0,31;0,00;0,00;25;162;185;13;24;818;483
4;17,58;-552,94;0,00;0,00;0,00;-0,55;0,00;0,00;32;145;113;48;34;622;693
5;82,62;172,84;0,00;0,00;0,00;0,17;0,00;0,00;363;163;62;40;28;417;198
6;52,66;-94,89;0,00;0,00;0,00;-0,09;0,00;0,00;42;181;130;32;17;879;183
7;63,94;-107,82;0,00;0,00;0,00;-0,11;0,00;0,00;357;42;135;13;34;797;138
8;74,07;68,55;0,00;0,00;0,00;0,07;0,00;0,00;54;28;133;46;30;332;408
9;61,98;18,92;0,00;0,00;0,00;0,02;0,00;0,00;53;46;151;31;17;685;424
10;56,88;-47,33;0,00;0,00;0,00;-0,05;0,00;0,00;351;134;107;12;22;854;332
11;26,73;-485,57;0,00;0,00;0,00;-0,49;0,00;0,00;197;28;89;33;39;423;165
12;24,95;-448,90;0,00;0,00;0,00;-0,45;0,00;0,00;65;151;13;15;35;124;871
13;26,68;-527,16;0,00;0,00;0,00;-0,53;0,00;0,00;412;85;136;39;20;821;397
14;3,96;-646,88;0,00;0,00;0,00;-0,65;0,00;0,00;464;89;157;26;24;384;380
15;83,56;100,44;0,00;0,00;0,00;0,10;0,00;0,00;277;13;190;48;15;385;548
16;47,16;-239,61;0,00;0,00;0,00;-0,24;0,00;0,00;402;113;156;48;31;796;179
17;47,78;-230,47;0,00;0,00;0,00;-0,23;0,00;0,00;237;103;95;35;27;895;794
18;64,28;2,84;0,00;0,00;0,00;0,00;0,00;0,00;243;150;128;29;20;701;788
19;38,89;-291,91;0,00;0,00;0,00;-0,29;0,00;0,00;305;58;73;47;31;518;225
20;71,40;18,17;0,00;0,00;0,00;0,02;0,00;0,00;402;121;61;29;16;750;171
21;85,81;121,89;0,00;0,00;0,00;0,12;0,00;0,00;86;153;67;17;18;324;153
22;63,81;-144,73;0,00;0,00;0,00;-0,14;0,00;0,00;150;186;146;30;21;507;893
23;41,36;-292,81;0,00;0,00;0,00;-0,29;0,00;0,00;121;100;151;39;23;163;787
24;16,58;-573,43;0,00;0,00;0,00;-0,57;0,00;0,00;355;96;36;44;23;764;474
25;18,78;-631,45;0,00;0,00;0,00;-0,63;0,00;0,00;441;34;103;23;36;639;826
26;58,25;-117,32;0,00;0,00;0,00;-0,12;0,00;0,00;90;134;14;25;34;549;328
27;62,63;-56,28;0,00;0,00;0,00;-0,06;0,00;0,00;490;30;142;37;26;513;541
28;53,24;-173,51;0,00;0,00;0,00;-0,17;0,00;0,00;82;98;65;13;29;166;425
29;51,58;-129,82;0,00;0,00;0,00;-0,13;0,00;0,00;325;63;194;26;29;554;716
30;74,51;-30,46;0,00;0,00;0,00;-0,03;0,00;0,00;430;57;167;47;29;269;648
31;81,37;101,58;0,00;0,00;0,00;0,10;0,00;0,00;44;40;79;39;27;633;109
