Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;76,39;124,74;0,00;0,00;0,00;0,12;0,00;0,00;71;140;81;44;17;705;176
2;18,30;-574,57;0,00;0,00;0,00;-0,57;0,00;0,00;303;16;151;17;36;686;828
3;54,40;-144,75;0,00;0,00;0,00;-0,14;0,00;0,00;261;180;51;29;18;720;386
4;100,00;260,81;0,00;0,00;0,00;0,26;0,00;0,00;435;131;38;46;16;367;374
5;27,35;-445,17;0,00;0,00;0,00;-0,45;0,00;0,00;149;73;30;17;22;506;767
6;26,56;-386,84;0,00;0,00;0,00;-0,39;0,00;0,00;228;51;174;28;16;169;468
7;39,60;-322,43;0,00;0,00;0,00;-0,32;0,00;0,00;154;178;179;40;35;318;875
8;52,44;-145,95;0,00;0,00;0,00;-0,15;0,00;0,00;136;55;150;45;33;669;928
9;73,06;-11,32;0,00;0,00;0,00;-0,01;0,00;0,00;294;102;44;45;31;564;407
10;100,00;296,43;0,00;0,00;0,00;0,30;0,00;0,00;378;192;83;49;33;948;183
11;40,21;-341,12;0,00;0,00;0,00;-0,34;0,00;0,00;180;157;72;30;30;889;394
12;28,63;-422,77;0,00;0,00;0,00;-0,42;0,00;0,00;216;159;120;35;36;597;985
13;29,45;-354,33;0,00;0,00;0,00;-0,35;0,00;0,00;114;63;61;24;24;775;998
14;68,24;-47,94;0,00;0,00;0,00;-0,05;0,00;0,00;100;170;194;29;30;890;525
15;28,28;-432,54;0,00;0,00;0,00;-0,43;0,00;0,00;64;182;160;12;25;960;541
16;52,83;-190,62;0,00;0,00;0,00;-0,19;0,00;0,00;120;168;161;41;36;606;633
17;15,53;-527,75;0,00;0,00;0,00;-0,53;0,00;0,00;39;74;172;26;18;561;522
18;96,03;155,36;0,00;0,00;0,00;0,16;0,00;0,00;53;176;43;45;15;982;614
19;70,73;-5,55;0,00;0,00;0,00;-0,01;0,00;0,00;116;90;167;30;26;995;705
20;29,31;-426,05;0,00;0,00;0,00;-0,43;0,00;0,00;450;127;60;49;36;202;227
21;72,66;84,33;0,00;0,00;0,00;0,08;0,00;0,00;296;126;179;26;20;652;249
22;75,82;117,68;0,00;0,00;0,00;0,12;0,00;0,00;394;120;55;46;28;294;574
23;31,02;-373,71;0,00;0,00;0,00;-0,37;0,00;0,00;499;139;185;30;27;249;144
24;86,54;133,70;0,00;0,00;0,00;0,13;0,00;0,00;247;144;143;37;36;818;451
25;53,44;-144,41;0,00;0,00;0,00;-0,14;0,00;0,00;360;57;83;28;35;142;189
26;27,52;-467,91;0,00;0,00;0,00;-0,47;0,00;0,00;321;61;185;21;16;627;705
27;28,77;-410,75;0,00;0,00;0,00;-0,41;0,00;0,00;464;66;176;12;17;225;358
28;10,64;-549,50;0,00;0,00;0,00;-0,55;0,00;0,00;489;179;173;47;19;455;489
29;73,01;37,03;0,00;0,00;0,00;0,04;0,00;0,00;326;131;16;42;28;156;641
30;29,71;-418,94;0,00;0,00;0,00;-0,42;0,00;0,00;418;170;79;47;32;364;998
31;24,65;-433,28;0,00;0,00;0,00;-0,43;0,00;0,00;365;140;180;33;24;388;626
32;45,89;-216,77;0,00;0,00;0,00;-0,22;0,00;0,00;28;174;72;44;37;949;222
33;58,81;-90,91;0,00;0,00;0,00;-0,09;0,00;0,00;199;112;142;36;18;467;748
34;44,60;-250,32;0,00;0,00;0,00;-0,25;0,00;0,00;455;146;148;49;23;739;339
35;0,00;-650,03;0,00;0,00;0,00;-0,65;0,00;0,00;430;171;52;28;27;980;233
36;57,52;-139,34;0,00;0,00;0,00;-0,14;0,00;0,00;341;148;184;15;23;109;334
37;65,54;-34,64;0,00;0,00;0,00;-0,03;0,00;0,00;154;152;175;38;19;218;529
38;68,19;8,06;0,00;0,00;0,00;0,01;0,00;0,00;446;88;187;13;15;759;141
39;84,71;36,81;0,00;0,00;0,00;0,04;0,00;0,00;138;189;146;45;31;367;574
40;0,00;-696,11;0,00;0,00;0,00;-0,70;0,00;0,00;116;44;109;16;37;960;597
41;94,57;253,19;0,00;0,00;0,00;0,25;0,00;0,00;61;66;71;47;31;318;831
42;0,00;-670,87;0,00;0,00;0,00;-0,67;0,00;0,00;78;115;88;33;29;217;588
43;64,21;-46,34;0,00;0,00;0,00;-0,05;0,00;0,00;265;91;90;30;33;384;548
44;35,07;-275,84;0,00;0,00;0,00;-0,28;0,00;0,00;270;155;174;42;38;651;674
45;45,50;-206,29;0,00;0,00;0,00;-0,21;0,00;0,00;73;148;121;16;21;638;478
46;60,47;-47,43;0,00;0,00;0,00;-0,05;0,00;0,00;370;143;48;41;21;529;359
47;93,38;285,18;0,00;0,00;0,00;0,29;0,00;0,00;307;83;34;44;27;952;622
48;44,31;-245,96;0,00;0,00;0,00;-0,25;0,00;0,00;181;79;43;21;27;113;306
49;82,20;110,48;0,00;0,00;0,00;0,11;0,00;0,00;211;75;116;13;39;799;411
50;27,69;-336,30;0,00;0,00;0,00;-0,34;0,00;0,00;468;104;62;33;21;693;195
51;54,97;-148,19;0,00;0,00;0,00;-0,15;0,00;0,00;252;196;38;24;37;583;727
52;47,01;-190,23;0,00;0,00;0,00;-0,19;0,00;0,00;351;19;28;48;35;557;461
53;72,64;78,09;0,00;0,00;0,00;0,08;0,00;0,00;171;69;119;22;33;133;189
54;45,55;-236,87;0,00;0,00;0,00;-0,24;0,00;0,00;383;87;136;12;33;357;559
55;74,88;142,80;0,00;0,00;0,00;0,14;0,00;0,00;463;34;119;38;38;101;231
56;12,64;-629,18;0,00;0,00;0,00;-0,63;0,00;0,00;489;128;143;34;31;684;975
57;6,80;-645,81;0,00;0,00;0,00;-0,65;0,00;0,00;438;129;166;41;33;868;601
58;57,16;-154,26;0,00;0,00;0,00;-0,15;0,00;0,00;127;108;62;18;20;434;796
59;55,77;-159,38;0,00;0,00;0,00;-0,16;0,00;0,00;38;68;170;20;26;893;428
60;62,88;-69,12;0,00;0,00;0,00;-0,07;0,00;0,00;478;17;162;20;30;324;495
61;2,38;-660,83;0,00;0,00;0,00;-0,66;0,00;0,00;195;183;30;31;15;867;233
62;31,36;-368,34;0,00;0,00;0,00;-0,37;0,00;0,00;135;164;120;27;37;826;798
63;64,27;58,93;0,00;0,00;0,00;0,06;0,00;0,00;343;64;121;26;37;617;659
64;29,44;-554,22;0,00;0,00;0,00;-0,55;0,00;0,00;237;94;12;47;22;399;608
65;43,67;-236,34;0,00;0,00;0,00;-0,24;0,00;0,00;22;162;178;30;17;400;553
66;62,47;-120,57;0,00;0,00;0,00;-0,12;0,00;0,00;111;150;24;41;35;408;499
67;32,12;-352,83;0,00;0,00;0,00;-0,35;0,00;0,00;133;30;182;24;22;649;932
68;57,96;-83,07;0,00;0,00;0,00;-0,08;0,00;0,00;423;145;24;34;35;606;628
69;38,02;-242,75;0,00;0,00;0,00;-0,24;0,00;0,00;270;13;113;11;32;216;111
70;63,79;-9,76;0,00;0,00;0,00;-0,01;0,00;0,00;244;189;107;29;26;569;552
71;56,92;-181,24;0,00;0,00;0,00;-0,18;0,00;0,00;175;157;48;38;18;143;358
72;47,35;-193,51;0,00;0,00;0,00;-0,19;0,00;0,00;290;50;159;44;28;668;128
73;47,98;-263,32;0,00;0,00;0,00;-0,26;0,00;0,00;150;127;48;17;24;820;322
74;72,65;65,97;0,00;0,00;0,00;0,07;0,00;0,00;374;85;65;30;18;841;544
75;47,50;-321,83;0,00;0,00;0,00;-0,32;0,00;0,00;382;40;40;37;29;147;572
76;29,49;-530,84;0,00;0,00;0,00;-0,53;0,00;0,00;286;97;186;18;35;150;518
77;44,89;-302,13;0,00;0,00;0,00;-0,30;0,00;0,00;296;21;63;18;22;862;782
78;32,05;-407,94;0,00;0,00;0,00;-0,41;0,00;0,00;121;66;43;11;24;303;953
79;73,74;25,08;0,00;0,00;0,00;0,03;0,00;0,00;426;60;133;33;32;466;519
80;69,02;-18,55;0,00;0,00;0,00;-0,02;0,00;0,00;157;167;96;27;25;235;149
81;77,45;63,47;0,00;0,00;0,00;0,06;0,00;0,00;280;51;112;36;21;208;593
82;22,51;-500,51;0,00;0,00;0,00;-0,50;0,00;0,00;457;190;117;12;18;627;569
83;62,81;-58,66;0,00;0,00;0,00;-0,06;0,00;0,00;191;80;40;25;30;780;210
84;53,34;-217,91;0,00;0,00;0,00;-0,22;0,00;0,00;212;111;162;23;32;550;758
85;38,91;-246,88;0,00;0,00;0,00;-0,25;0,00;0,00;291;125;185;48;35;637;880
86;28,32;-460,88;0,00;0,00;0,00;-0,46;0,00;0,00;407;159;48;44;19;472;505
87;40,92;-428,49;0,00;0,00;0,00;-0,43;0,00;0,00;208;134;79;13;25;243;636
88;78,96;131,38;0,00;0,00;0,00;0,13;0,00;0,00;402;175;187;26;28;359;674
89;54,08;-176,43;0,00;0,00;0,00;-0,18;0,00;0,00;442;165;54;38;29;526;531
90;67,26;13,33;0,00;0,00;0,00;0,01;0,00;0,00;134;34;44;46;25;939;886
91;69,38;-2,98;0,00;0,00;0,00;-0,00;0,00;0,00;421;186;41;34;27;942;711
92;0,00;-582,06;0,00;0,00;0,00;-0,58;0,00;0,00;231;192;25;17;20;774;390
93;60,50;-71,55;0,00;0,00;0,00;-0,07;0,00;0,00;409;81;67;15;33;783;621
94;35,67;-337,89;0,00;0,00;0,00;-0,34;0,00;0,00;63;180;62;49;33;688;411
95;33,03;-329,37;0,00;0,00;0,00;-0,33;0,00;0,00;326;116;53;17;22;904;558
96;63,17;-72,05;0,00;0,00;0,00;-0,07;0,00;0,00;245;35;130;34;19;383;585
97;42,25;-243,99;0,00;0,00;0,00;-0,24;0,00;0,00;386;73;74;34;39;353;755
98;57,88;-170,48;0,00;0,00;0,00;-0,17;0,00;0,00;50;50;117;35;29;246;875
99;16,94;-381,19;0,00;0,00;0,00;-0,38;0,00;0,00;22;98;198;17;19;408;560
100;35,15;-276,00;0,00;0,00;0,00;-0,28;0,00;0,00;65;188;106;38;36;601;731
