Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;51,49;-207,62;0,00;0,00;0,00;-0,21;0,00;0,00;437;37;181;24;16;525;131
2;78,96;33,31;0,00;0,00;0,00;0,03;0,00;0,00;471;159;111;20;39;645;272
3;38,34;-301,58;0,00;0,00;0,00;-0,30;0,00;0,00;350;162;185;13;24;818;483
4;17,62;-516,96;0,00;0,00;0,00;-0,52;0,00;0,00;42;145;113;48;34;622;693
5;48,81;-224,96;0,00;0,00;0,00;-0,22;0,00;0,00;192;163;62;40;28;417;198
6;63,08;-109,78;0,00;0,00;0,00;-0,11;0,00;0,00;182;181;130;32;17;879;183
7;79,94;114,04;0,00;0,00;0,00;0,11;0,00;0,00;176;42;135;13;34;797;138
8;87,47;156,69;0,00;0,00;0,00;0,16;0,00;0,00;482;28;133;46;30;332;408
9;46,08;-162,15;0,00;0,00;0,00;-0,16;0,00;0,00;18;46;151;31;17;685;424
10;12,58;-553,27;0,00;0,00;0,00;-0,55;0,00;0,00;217;134;107;12;22;854;332
11;12,56;-586,24;0,00;0,00;0,00;-0,59;0,00;0,00;351;28;89;33;39;423;165
12;54,72;-213,77;0,00;0,00;0,00;-0,21;0,00;0,00;174;151;13;15;35;124;871
13;60,13;-118,66;0,00;0,00;0,00;-0,12;0,00;0,00;353;85;136;39;20;821;397
14;67,90;-104,56;0,00;0,00;0,00;-0,10;0,00;0,00;118;89;157;26;24;384;380
15;51,16;-194,36;0,00;0,00;0,00;-0,19;0,00;0,00;127;13;190;48;15;385;548
16;54,60;-92,55;0,00;0,00;0,00;-0,09;0,00;0,00;125;113;156;48;31;796;179
17;23,40;-486,76;0,00;0,00;0,00;-0,49;0,00;0,00;342;103;95;35;27;895;794
18;37,33;-334,01;0,00;0,00;0,00;-0,33;0,00;0,00;373;150;128;29;20;701;788
19;68,09;-42,99;0,00;0,00;0,00;-0,04;0,00;0,00;491;58;73;47;31;518;225
20;50,66;-163,66;0,00;0,00;0,00;-0,16;0,00;0,00;246;121;61;29;16;750;171
21;60,37;-123,84;0,00;0,00;0,00;-0,12;0,00;0,00;375;153;67;17;18;324;153
22;37,79;-314,05;0,00;0,00;0,00;-0,31;0,00;0,00;238;186;146;30;21;507;893
23;62,38;-141,44;0,00;0,00;0,00;-0,14;0,00;0,00;277;100;151;39;23;163;787
24;37,16;-373,75;0,00;0,00;0,00;-0,37;0,00;0,00;409;96;36;44;23;764;474
25;35,60;-370,38;0,00;0,00;0,00;-0,37;0,00;0,00;133;34;103;23;36;639;826
26;75,77;112,53;0,00;0,00;0,00;0,11;0,00;0,00;61;134;14;25;34;549;328
27;83,65;147,80;0,00;0,00;0,00;0,15;0,00;0,00;148;30;142;37;26;513;541
28;24,63;-508,13;0,00;0,00;0,00;-0,51;0,00;0,00;143;98;65;13;29;166;425
29;54,08;-193,38;0,00;0,00;0,00;-0,19;0,00;0,00;61;63;194;26;29;554;716
30;82,24;93,93;0,00;0,00;0,00;0,09;0,00;0,00;27;57;167;47;29;269;648
31;68,11;-22,74;0,00;0,00;0,00;-0,02;0,00;0,00;108;40;79;39;27;633;109
32;11,60;-689,79;0,00;0,00;0,00;-0,69;0,00;0,00;153;197;26;18;21;235;974
33;33,13;-504,73;0,00;0,00;0,00;-0,50;0,00;0,00;196;135;143;17;34;868;582
34;63,67;-106,48;0,00;0,00;0,00;-0,11;0,00;0,00;392;70;39;43;39;347;851
35;25,63;-416,99;0,00;0,00;0,00;-0,42;0,00;0,00;69;95;45;15;17;737;418
36;16,52;-555,94;0,00;0,00;0,00;-0,56;0,00;0,00;489;80;116;22;23;817;422
37;63,92;-4,65;0,00;0,00;0,00;-0,00;0,00;0,00;110;117;173;23;37;718;703
