Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;34,68;-84,23;0,00;0,00;0,00;-0,08;0,00;0,00;335;150;98;38;19;872;349
2;63,85;208,16;0,00;0,00;0,00;0,21;0,00;0,00;149;54;118;42;29;904;851
3;61,23;81,89;0,00;0,00;0,00;0,08;0,00;0,00;395;193;135;38;35;556;207
4;57,15;88,67;0,00;0,00;0,00;0,09;0,00;0,00;45;130;155;25;17;304;999
5;54,47;-19,05;0,00;0,00;0,00;-0,02;0,00;0,00;33;187;108;41;33;493;622
6;61,35;123,21;0,00;0,00;0,00;0,12;0,00;0,00;444;102;71;49;37;136;976
7;51,99;27,52;0,00;0,00;0,00;0,03;0,00;0,00;208;124;19;16;33;683;797
8;45,23;-74,86;0,00;0,00;0,00;-0,07;0,00;0,00;369;87;69;19;39;862;898
9;19,65;-420,92;0,00;0,00;0,00;-0,42;0,00;0,00;256;68;116;33;25;762;340
10;50,97;-79,81;0,00;0,00;0,00;-0,08;0,00;0,00;274;162;75;49;23;792;965
11;60,62;71,23;0,00;0,00;0,00;0,07;0,00;0,00;253;147;16;39;17;990;977
12;51,17;-33,52;0,00;0,00;0,00;-0,03;0,00;0,00;408;163;12;32;20;981;795
13;56,72;63,02;0,00;0,00;0,00;0,06;0,00;0,00;470;155;83;41;34;989;624
14;27,27;-160,74;0,00;0,00;0,00;-0,16;0,00;0,00;345;106;68;38;32;895;407
15;60,42;76,74;0,00;0,00;0,00;0,08;0,00;0,00;172;60;66;13;17;714;950
16;43,87;-123,86;0,00;0,00;0,00;-0,12;0,00;0,00;164;54;194;17;33;918;987
17;35,67;-115,88;0,00;0,00;0,00;-0,12;0,00;0,00;148;163;189;39;24;224;123
18;72,52;202,12;0,00;0,00;0,00;0,20;0,00;0,00;153;185;191;43;35;479;850
19;33,01;-165,21;0,00;0,00;0,00;-0,17;0,00;0,00;482;98;136;42;22;363;920
20;51,70;17,52;0,00;0,00;0,00;0,02;0,00;0,00;191;180;107;18;28;396;447
21;75,07;214,69;0,00;0,00;0,00;0,21;0,00;0,00;233;126;129;21;29;516;637
