Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;0,00;-765,83;0,00;0,00;0,00;-0,77;0,00;0,00;125;140;81;44;17;705;176
2;28,58;-573,80;0,00;0,00;0,00;-0,57;0,00;0,00;285;16;151;17;36;686;828
3;52,83;-234,00;0,00;0,00;0,00;-0,23;0,00;0,00;289;180;51;29;18;720;386
4;66,08;-57,04;0,00;0,00;0,00;-0,06;0,00;0,00;369;131;38;46;16;367;374
5;31,20;-416,55;0,00;0,00;0,00;-0,42;0,00;0,00;239;73;30;17;22;506;767
6;77,06;17,79;0,00;0,00;0,00;0,02;0,00;0,00;300;51;174;28;16;169;468
7;53,75;-167,43;0,00;0,00;0,00;-0,17;0,00;0,00;392;178;179;40;35;318;875
8;27,30;-463,77;0,00;0,00;0,00;-0,46;0,00;0,00;167;55;150;45;33;669;928
9;71,02;19,17;0,00;0,00;0,00;0,02;0,00;0,00;424;102;44;45;31;564;407
10;70,28;43,10;0,00;0,00;0,00;0,04;0,00;0,00;493;192;83;49;33;948;183
11;70,01;-26,00;0,00;0,00;0,00;-0,03;0,00;0,00;214;157;72;30;30;889;394
12;0,00;-674,21;0,00;0,00;0,00;-0,67;0,00;0,00;16;159;120;35;36;597;985
13;66,12;74,26;0,00;0,00;0,00;0,07;0,00;0,00;65;63;61;24;24;775;998
14;52,34;-146,99;0,00;0,00;0,00;-0,15;0,00;0,00;409;170;194;29;30;890;525
15;53,33;-169,10;0,00;0,00;0,00;-0,17;0,00;0,00;350;182;160;12;25;960;541
16;27,04;-418,03;0,00;0,00;0,00;-0,42;0,00;0,00;497;168;161;41;36;606;633
17;28,77;-336,35;0,00;0,00;0,00;-0,34;0,00;0,00;261;74;172;26;18;561;522
18;98,70;295,70;0,00;0,00;0,00;0,30;0,00;0,00;161;176;43;45;15;982;614
19;33,73;-281,08;0,00;0,00;0,00;-0,28;0,00;0,00;417;90;167;30;26;995;705
20;24,46;-456,08;0,00;0,00;0,00;-0,46;0,00;0,00;431;127;60;49;36;202;227
21;61,94;-52,46;0,00;0,00;0,00;-0,05;0,00;0,00;499;126;179;26;20;652;249
22;59,69;-47,32;0,00;0,00;0,00;-0,05;0,00;0,00;92;120;55;46;28;294;574
23;5,10;-614,98;0,00;0,00;0,00;-0,61;0,00;0,00;132;139;185;30;27;249;144
24;48,32;-162,07;0,00;0,00;0,00;-0,16;0,00;0,00;154;144;143;37;36;818;451
25;77,54;9,66;0,00;0,00;0,00;0,01;0,00;0,00;283;57;83;28;35;142;189
26;69,36;25,82;0,00;0,00;0,00;0,03;0,00;0,00;352;61;185;21;16;627;705
27;34,19;-362,45;0,00;0,00;0,00;-0,36;0,00;0,00;210;66;176;12;17;225;358
28;15,27;-597,81;0,00;0,00;0,00;-0,60;0,00;0,00;279;179;173;47;19;455;489
29;89,15;165,79;0,00;0,00;0,00;0,17;0,00;0,00;310;131;16;42;28;156;641
30;54,62;-168,76;0,00;0,00;0,00;-0,17;0,00;0,00;467;170;79;47;32;364;998
31;64,44;-21,59;0,00;0,00;0,00;-0,02;0,00;0,00;423;140;180;33;24;388;626
32;41,69;-234,29;0,00;0,00;0,00;-0,23;0,00;0,00;49;174;72;44;37;949;222
33;87,89;236,14;0,00;0,00;0,00;0,24;0,00;0,00;131;112;142;36;18;467;748
34;61,79;-57,35;0,00;0,00;0,00;-0,06;0,00;0,00;53;146;148;49;23;739;339
35;16,92;-545,04;0,00;0,00;0,00;-0,55;0,00;0,00;239;171;52;28;27;980;233
36;37,84;-360,69;0,00;0,00;0,00;-0,36;0,00;0,00;315;148;184;15;23;109;334
37;73,61;21,72;0,00;0,00;0,00;0,02;0,00;0,00;74;152;175;38;19;218;529
38;72,36;-29,64;0,00;0,00;0,00;-0,03;0,00;0,00;357;88;187;13;15;759;141
39;57,65;-160,24;0,00;0,00;0,00;-0,16;0,00;0,00;188;189;146;45;31;367;574
40;35,13;-376,08;0,00;0,00;0,00;-0,38;0,00;0,00;425;44;109;16;37;960;597
41;71,88;30,01;0,00;0,00;0,00;0,03;0,00;0,00;125;66;71;47;31;318;831
42;31,08;-440,53;0,00;0,00;0,00;-0,44;0,00;0,00;318;115;88;33;29;217;588
43;14,01;-570,97;0,00;0,00;0,00;-0,57;0,00;0,00;221;91;90;30;33;384;548
44;76,49;-35,12;0,00;0,00;0,00;-0,04;0,00;0,00;213;155;174;42;38;651;674
45;67,28;-49,31;0,00;0,00;0,00;-0,05;0,00;0,00;135;148;121;16;21;638;478
46;100,00;294,03;0,00;0,00;0,00;0,29;0,00;0,00;134;143;48;41;21;529;359
47;94,98;212,57;0,00;0,00;0,00;0,21;0,00;0,00;491;83;34;44;27;952;622
48;51,15;-190,55;0,00;0,00;0,00;-0,19;0,00;0,00;53;79;43;21;27;113;306
49;40,86;-311,33;0,00;0,00;0,00;-0,31;0,00;0,00;231;75;116;13;39;799;411
50;14,06;-580,11;0,00;0,00;0,00;-0,58;0,00;0,00;262;104;62;33;21;693;195
51;24,09;-485,56;0,00;0,00;0,00;-0,49;0,00;0,00;97;196;38;24;37;583;727
52;39,94;-245,89;0,00;0,00;0,00;-0,25;0,00;0,00;415;19;28;48;35;557;461
53;79,62;133,46;0,00;0,00;0,00;0,13;0,00;0,00;320;69;119;22;33;133;189
54;15,00;-471,13;0,00;0,00;0,00;-0,47;0,00;0,00;359;87;136;12;33;357;559
55;100,00;190,89;0,00;0,00;0,00;0,19;0,00;0,00;280;34;119;38;38;101;231
56;0,00;-601,49;0,00;0,00;0,00;-0,60;0,00;0,00;224;128;143;34;31;684;975
57;72,88;43,80;0,00;0,00;0,00;0,04;0,00;0,00;476;129;166;41;33;868;601
58;15,38;-531,03;0,00;0,00;0,00;-0,53;0,00;0,00;394;108;62;18;20;434;796
59;76,03;119,72;0,00;0,00;0,00;0,12;0,00;0,00;64;68;170;20;26;893;428
60;81,93;161,06;0,00;0,00;0,00;0,16;0,00;0,00;249;17;162;20;30;324;495
61;14,74;-463,77;0,00;0,00;0,00;-0,46;0,00;0,00;461;183;30;31;15;867;233
