Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;30,27;-266,49;0,00;0,00;0,00;-0,27;0,00;0,00;75;150;98;38;19;872;349
2;59,37;22,49;0,00;0,00;0,00;0,02;0,00;0,00;435;54;118;42;29;904;851
3;60,79;89,62;0,00;0,00;0,00;0,09;0,00;0,00;250;193;135;38;35;556;207
4;48,26;-59,20;0,00;0,00;0,00;-0,06;0,00;0,00;483;130;155;25;17;304;999
5;56,77;-26,63;0,00;0,00;0,00;-0,03;0,00;0,00;217;187;108;41;33;493;622
6;60,18;133,27;0,00;0,00;0,00;0,13;0,00;0,00;95;102;71;49;37;136;976
7;44,63;3,68;0,00;0,00;0,00;0,00;0,00;0,00;99;124;19;16;33;683;797
8;48,76;-34,74;0,00;0,00;0,00;-0,03;0,00;0,00;241;87;69;19;39;862;898
9;18,50;-271,04;0,00;0,00;0,00;-0,27;0,00;0,00;117;68;116;33;25;762;340
10;52,84;121,83;0,00;0,00;0,00;0,12;0,00;0,00;279;162;75;49;23;792;965
11;52,99;17,26;0,00;0,00;0,00;0,02;0,00;0,00;128;147;16;39;17;990;977
12;49,22;-73,74;0,00;0,00;0,00;-0,07;0,00;0,00;358;163;12;32;20;981;795
13;55,98;91,64;0,00;0,00;0,00;0,09;0,00;0,00;330;155;83;41;34;989;624
14;27,88;-250,65;0,00;0,00;0,00;-0,25;0,00;0,00;58;106;68;38;32;895;407
15;51,22;51,69;0,00;0,00;0,00;0,05;0,00;0,00;470;60;66;13;17;714;950
16;44,27;-57,49;0,00;0,00;0,00;-0,06;0,00;0,00;340;54;194;17;33;918;987
17;26,37;-148,99;0,00;0,00;0,00;-0,15;0,00;0,00;76;163;189;39;24;224;123
18;72,21;200,98;0,00;0,00;0,00;0,20;0,00;0,00;298;185;191;43;35;479;850
19;27,69;-243,40;0,00;0,00;0,00;-0,24;0,00;0,00;260;98;136;42;22;363;920
20;43,75;-111,98;0,00;0,00;0,00;-0,11;0,00;0,00;101;180;107;18;28;396;447
21;73,61;208,40;0,00;0,00;0,00;0,21;0,00;0,00;87;126;129;21;29;516;637
22;42,75;27,71;0,00;0,00;0,00;0,03;0,00;0,00;388;144;143;20;37;697;951
23;48,84;-13,05;0,00;0,00;0,00;-0,01;0,00;0,00;235;92;92;20;18;928;737
24;55,22;120,84;0,00;0,00;0,00;0,12;0,00;0,00;133;104;134;16;16;852;290
25;40,54;-140,01;0,00;0,00;0,00;-0,14;0,00;0,00;221;92;50;10;16;165;272
26;43,63;-65,94;0,00;0,00;0,00;-0,07;0,00;0,00;66;184;129;33;26;453;452
27;34,54;-145,22;0,00;0,00;0,00;-0,15;0,00;0,00;298;115;191;33;18;986;307
28;51,09;-17,25;0,00;0,00;0,00;-0,02;0,00;0,00;268;13;154;11;23;747;162
29;54,12;6,24;0,00;0,00;0,00;0,01;0,00;0,00;387;87;172;33;20;582;343
30;42,84;-49,68;0,00;0,00;0,00;-0,05;0,00;0,00;157;72;193;41;23;350;790
31;53,24;53,74;0,00;0,00;0,00;0,05;0,00;0,00;195;78;143;33;15;199;988
32;33,43;-96,03;0,00;0,00;0,00;-0,10;0,00;0,00;464;147;45;42;34;781;432
33;50,12;6,40;0,00;0,00;0,00;0,01;0,00;0,00;307;52;77;31;37;222;215
34;48,54;-36,98;0,00;0,00;0,00;-0,04;0,00;0,00;163;112;198;13;24;547;233
35;32,21;-214,74;0,00;0,00;0,00;-0,21;0,00;0,00;286;165;184;14;32;307;808
36;63,14;177,37;0,00;0,00;0,00;0,18;0,00;0,00;499;71;115;30;17;384;888
37;34,93;-149,51;0,00;0,00;0,00;-0,15;0,00;0,00;52;180;129;38;34;661;192
38;61,75;129,46;0,00;0,00;0,00;0,13;0,00;0,00;42;154;119;21;23;995;955
39;99,82;451,61;0,00;0,00;0,00;0,45;0,00;0,00;39;146;46;45;20;260;861
40;66,51;155,57;0,00;0,00;0,00;0,16;0,00;0,00;175;27;199;48;34;789;634
41;36,11;-136,56;0,00;0,00;0,00;-0,14;0,00;0,00;264;32;40;28;29;230;716
42;44,88;-111,98;0,00;0,00;0,00;-0,11;0,00;0,00;349;14;54;11;18;381;314
43;52,94;8,81;0,00;0,00;0,00;0,01;0,00;0,00;398;181;194;23;28;950;468
44;61,33;65,07;0,00;0,00;0,00;0,07;0,00;0,00;219;47;187;32;33;846;657
45;37,72;-147,80;0,00;0,00;0,00;-0,15;0,00;0,00;462;64;151;44;27;529;191
46;40,95;-68,09;0,00;0,00;0,00;-0,07;0,00;0,00;246;115;63;37;34;555;583
47;75,44;179,30;0,00;0,00;0,00;0,18;0,00;0,00;40;79;182;45;18;705;798
48;36,69;-170,45;0,00;0,00;0,00;-0,17;0,00;0,00;299;14;24;27;35;391;136
49;53,55;-16,10;0,00;0,00;0,00;-0,02;0,00;0,00;164;54;29;36;28;679;584
50;21,20;-256,35;0,00;0,00;0,00;-0,26;0,00;0,00;173;148;123;26;30;797;642
51;51,29;-32,65;0,00;0,00;0,00;-0,03;0,00;0,00;244;38;132;26;31;166;319
52;52,64;74,78;0,00;0,00;0,00;0,07;0,00;0,00;402;108;191;23;24;680;859
53;43,74;31,93;0,00;0,00;0,00;0,03;0,00;0,00;45;71;33;46;34;354;451
54;35,39;-59,83;0,00;0,00;0,00;-0,06;0,00;0,00;189;178;27;30;29;333;773
55;90,33;385,44;0,00;0,00;0,00;0,39;0,00;0,00;77;158;99;17;37;221;779
56;53,33;50,98;0,00;0,00;0,00;0,05;0,00;0,00;63;49;45;37;16;312;524
57;41,97;-121,10;0,00;0,00;0,00;-0,12;0,00;0,00;485;89;62;19;16;338;211
58;63,16;106,70;0,00;0,00;0,00;0,11;0,00;0,00;216;87;147;41;21;859;128
59;51,01;61,50;0,00;0,00;0,00;0,06;0,00;0,00;135;114;166;29;24;876;982
60;76,97;232,53;0,00;0,00;0,00;0,23;0,00;0,00;102;78;123;45;15;652;658
61;37,65;-135,41;0,00;0,00;0,00;-0,14;0,00;0,00;128;32;41;37;27;435;572
62;51,50;26,15;0,00;0,00;0,00;0,03;0,00;0,00;189;13;155;43;21;424;944
63;52,17;63,74;0,00;0,00;0,00;0,06;0,00;0,00;40;15;35;37;31;883;823
64;33,34;-122,15;0,00;0,00;0,00;-0,12;0,00;0,00;24;188;126;12;21;907;771
65;42,97;-43,21;0,00;0,00;0,00;-0,04;0,00;0,00;219;82;28;11;38;367;689
66;81,46;347,31;0,00;0,00;0,00;0,35;0,00;0,00;23;46;171;38;38;138;225
67;40,87;-46,25;0,00;0,00;0,00;-0,05;0,00;0,00;17;113;67;41;32;952;406
68;47,58;29,51;0,00;0,00;0,00;0,03;0,00;0,00;359;194;161;48;24;488;117
69;25,52;-165,05;0,00;0,00;0,00;-0,17;0,00;0,00;344;70;75;20;36;336;797
70;65,96;182,27;0,00;0,00;0,00;0,18;0,00;0,00;294;111;163;22;20;803;647
71;35,85;-106,20;0,00;0,00;0,00;-0,11;0,00;0,00;422;26;113;17;22;779;976
72;62,90;86,11;0,00;0,00;0,00;0,09;0,00;0,00;166;199;87;45;21;680;177
73;36,86;-205,43;0,00;0,00;0,00;-0,21;0,00;0,00;392;139;88;33;22;426;914
74;46,76;-58,58;0,00;0,00;0,00;-0,06;0,00;0,00;397;160;144;31;33;199;488
75;33,14;-224,71;0,00;0,00;0,00;-0,22;0,00;0,00;287;55;112;24;16;699;779
76;53,06;-22,52;0,00;0,00;0,00;-0,02;0,00;0,00;231;60;16;46;38;131;934
77;83,33;352,68;0,00;0,00;0,00;0,35;0,00;0,00;17;10;20;34;16;598;528
78;45,59;-59,25;0,00;0,00;0,00;-0,06;0,00;0,00;388;79;114;34;24;213;324
79;23,63;-280,22;0,00;0,00;0,00;-0,28;0,00;0,00;499;45;120;16;30;986;559
80;48,94;-12,48;0,00;0,00;0,00;-0,01;0,00;0,00;397;144;71;37;19;158;983
81;64,88;171,64;0,00;0,00;0,00;0,17;0,00;0,00;273;199;144;30;30;767;194
