Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;50,27;-181,86;0,00;0,00;0,00;-0,18;0,00;0,00;484;37;181;24;16;525;131
2;66,49;-52,28;0,00;0,00;0,00;-0,05;0,00;0,00;400;159;111;20;39;645;272
3;42,30;-373,79;0,00;0,00;0,00;-0,37;0,00;0,00;419;162;185;13;24;818;483
4;0,00;-706,38;0,00;0,00;0,00;-0,71;0,00;0,00;60;145;113;48;34;622;693
5;55,75;-78,23;0,00;0,00;0,00;-0,08;0,00;0,00;423;163;62;40;28;417;198
6;54,39;-135,21;0,00;0,00;0,00;-0,14;0,00;0,00;499;181;130;32;17;879;183
7;75,56;57,45;0,00;0,00;0,00;0,06;0,00;0,00;474;42;135;13;34;797;138
8;89,63;262,28;0,00;0,00;0,00;0,26;0,00;0,00;320;28;133;46;30;332;408
9;44,17;-221,09;0,00;0,00;0,00;-0,22;0,00;0,00;281;46;151;31;17;685;424
10;42,87;-250,30;0,00;0,00;0,00;-0,25;0,00;0,00;215;134;107;12;22;854;332
11;23,84;-456,58;0,00;0,00;0,00;-0,46;0,00;0,00;459;28;89;33;39;423;165
12;44,99;-197,51;0,00;0,00;0,00;-0,20;0,00;0,00;254;151;13;15;35;124;871
13;66,65;38,90;0,00;0,00;0,00;0,04;0,00;0,00;409;85;136;39;20;821;397
14;12,15;-583,14;0,00;0,00;0,00;-0,58;0,00;0,00;131;89;157;26;24;384;380
15;79,99;154,79;0,00;0,00;0,00;0,15;0,00;0,00;299;13;190;48;15;385;548
16;65,77;-90,15;0,00;0,00;0,00;-0,09;0,00;0,00;239;113;156;48;31;796;179
17;43,93;-309,22;0,00;0,00;0,00;-0,31;0,00;0,00;468;103;95;35;27;895;794
18;71,98;37,01;0,00;0,00;0,00;0,04;0,00;0,00;135;150;128;29;20;701;788
19;47,52;-152,96;0,00;0,00;0,00;-0,15;0,00;0,00;346;58;73;47;31;518;225
20;18,62;-514,88;0,00;0,00;0,00;-0,51;0,00;0,00;454;121;61;29;16;750;171
21;44,81;-260,41;0,00;0,00;0,00;-0,26;0,00;0,00;364;153;67;17;18;324;153
22;60,89;-12,97;0,00;0,00;0,00;-0,01;0,00;0,00;333;186;146;30;21;507;893
23;63,08;-45,11;0,00;0,00;0,00;-0,05;0,00;0,00;397;100;151;39;23;163;787
24;39,48;-306,71;0,00;0,00;0,00;-0,31;0,00;0,00;417;96;36;44;23;764;474
25;29,81;-453,15;0,00;0,00;0,00;-0,45;0,00;0,00;385;34;103;23;36;639;826
26;62,11;-95,26;0,00;0,00;0,00;-0,10;0,00;0,00;134;134;14;25;34;549;328
27;44,67;-244,94;0,00;0,00;0,00;-0,24;0,00;0,00;174;30;142;37;26;513;541
28;46,03;-221,24;0,00;0,00;0,00;-0,22;0,00;0,00;363;98;65;13;29;166;425
29;43,67;-238,70;0,00;0,00;0,00;-0,24;0,00;0,00;14;63;194;26;29;554;716
30;83,34;213,68;0,00;0,00;0,00;0,21;0,00;0,00;131;57;167;47;29;269;648
31;85,63;192,88;0,00;0,00;0,00;0,19;0,00;0,00;20;40;79;39;27;633;109
32;44,93;-306,15;0,00;0,00;0,00;-0,31;0,00;0,00;176;197;26;18;21;235;974
33;60,94;-94,14;0,00;0,00;0,00;-0,09;0,00;0,00;292;135;143;17;34;868;582
34;34,93;-321,07;0,00;0,00;0,00;-0,32;0,00;0,00;331;70;39;43;39;347;851
35;51,43;-202,56;0,00;0,00;0,00;-0,20;0,00;0,00;319;95;45;15;17;737;418
36;22,64;-502,85;0,00;0,00;0,00;-0,50;0,00;0,00;288;80;116;22;23;817;422
37;62,12;-81,11;0,00;0,00;0,00;-0,08;0,00;0,00;112;117;173;23;37;718;703
38;16,72;-596,25;0,00;0,00;0,00;-0,60;0,00;0,00;13;129;108;15;16;411;662
39;96,76;318,10;0,00;0,00;0,00;0,32;0,00;0,00;103;182;108;30;31;429;198
40;17,85;-550,98;0,00;0,00;0,00;-0,55;0,00;0,00;353;81;154;21;21;781;998
41;35,65;-340,73;0,00;0,00;0,00;-0,34;0,00;0,00;96;57;18;17;37;632;515
42;11,43;-683,69;0,00;0,00;0,00;-0,68;0,00;0,00;468;119;36;26;34;798;594
43;40,53;-218,50;0,00;0,00;0,00;-0,22;0,00;0,00;15;25;53;33;30;697;637
44;48,64;-236,11;0,00;0,00;0,00;-0,24;0,00;0,00;192;179;155;24;38;813;396
45;32,28;-332,28;0,00;0,00;0,00;-0,33;0,00;0,00;202;150;164;13;24;730;805
46;77,76;45,20;0,00;0,00;0,00;0,05;0,00;0,00;202;139;138;25;21;739;420
47;74,99;84,42;0,00;0,00;0,00;0,08;0,00;0,00;467;87;150;43;19;230;144
48;40,15;-324,22;0,00;0,00;0,00;-0,32;0,00;0,00;94;77;104;45;21;828;592
49;0,94;-624,61;0,00;0,00;0,00;-0,62;0,00;0,00;361;180;25;16;19;915;958
50;18,36;-513,58;0,00;0,00;0,00;-0,51;0,00;0,00;339;100;73;49;27;931;925
51;13,05;-445,45;0,00;0,00;0,00;-0,45;0,00;0,00;343;120;196;32;34;550;147
52;17,65;-579,95;0,00;0,00;0,00;-0,58;0,00;0,00;470;35;150;39;19;702;770
53;100,00;391,26;0,00;0,00;0,00;0,39;0,00;0,00;292;119;15;15;21;325;711
54;7,28;-669,47;0,00;0,00;0,00;-0,67;0,00;0,00;436;157;97;15;34;959;459
55;41,13;-314,92;0,00;0,00;0,00;-0,31;0,00;0,00;387;171;170;36;35;665;550
56;4,24;-636,40;0,00;0,00;0,00;-0,64;0,00;0,00;327;151;105;26;26;361;215
57;64,35;-13,76;0,00;0,00;0,00;-0,01;0,00;0,00;356;18;56;17;27;932;854
58;17,11;-538,12;0,00;0,00;0,00;-0,54;0,00;0,00;168;63;51;18;19;464;291
59;21,81;-527,45;0,00;0,00;0,00;-0,53;0,00;0,00;140;87;119;30;30;174;136
60;74,73;87,79;0,00;0,00;0,00;0,09;0,00;0,00;314;105;19;43;19;355;605
61;39,61;-251,84;0,00;0,00;0,00;-0,25;0,00;0,00;25;167;147;48;30;152;159
62;42,08;-328,98;0,00;0,00;0,00;-0,33;0,00;0,00;474;188;87;33;15;541;112
63;100,00;261,31;0,00;0,00;0,00;0,26;0,00;0,00;419;84;150;33;21;588;834
64;48,46;-155,88;0,00;0,00;0,00;-0,16;0,00;0,00;326;171;198;29;18;843;924
65;11,71;-656,22;0,00;0,00;0,00;-0,66;0,00;0,00;493;38;166;37;31;294;488
66;46,33;-292,14;0,00;0,00;0,00;-0,29;0,00;0,00;122;179;144;27;17;901;444
67;74,86;36,70;0,00;0,00;0,00;0,04;0,00;0,00;350;188;166;13;32;993;881
68;7,52;-653,02;0,00;0,00;0,00;-0,65;0,00;0,00;182;32;191;43;39;182;924
69;79,47;68,62;0,00;0,00;0,00;0,07;0,00;0,00;12;144;164;20;30;638;142
70;66,85;-38,71;0,00;0,00;0,00;-0,04;0,00;0,00;95;137;127;45;30;807;377
71;20,02;-498,51;0,00;0,00;0,00;-0,50;0,00;0,00;34;118;160;44;15;658;945
72;74,47;-24,78;0,00;0,00;0,00;-0,02;0,00;0,00;210;181;78;46;25;681;751
