Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;15,73;-528,44;0,00;0,00;0,00;-0,53;0,00;0,00;281;37;181;24;16;525;131
2;62,89;-63,69;0,00;0,00;0,00;-0,06;0,00;0,00;307;159;111;20;39;645;272
3;46,02;-268,03;0,00;0,00;0,00;-0,27;0,00;0,00;43;162;185;13;24;818;483
4;54,32;-148,70;0,00;0,00;0,00;-0,15;0,00;0,00;409;145;113;48;34;622;693
5;40,49;-378,86;0,00;0,00;0,00;-0,38;0,00;0,00;420;163;62;40;28;417;198
6;53,45;-87,62;0,00;0,00;0,00;-0,09;0,00;0,00;65;181;130;32;17;879;183
7;81,32;156,29;0,00;0,00;0,00;0,16;0,00;0,00;222;42;135;13;34;797;138
8;54,69;-108,83;0,00;0,00;0,00;-0,11;0,00;0,00;430;28;133;46;30;332;408
9;15,97;-484,25;0,00;0,00;0,00;-0,48;0,00;0,00;276;46;151;31;17;685;424
10;16,00;-527,45;0,00;0,00;0,00;-0,53;0,00;0,00;247;134;107;12;22;854;332
11;59,46;-105,65;0,00;0,00;0,00;-0,11;0,00;0,00;53;28;89;33;39;423;165
12;43,13;-210,52;0,00;0,00;0,00;-0,21;0,00;0,00;140;151;13;15;35;124;871
13;49,14;-215,80;0,00;0,00;0,00;-0,22;0,00;0,00;94;85;136;39;20;821;397
14;33,74;-360,78;0,00;0,00;0,00;-0,36;0,00;0,00;258;89;157;26;24;384;380
15;66,25;-5,27;0,00;0,00;0,00;-0,01;0,00;0,00;187;13;190;48;15;385;548
16;20,89;-507,67;0,00;0,00;0,00;-0,51;0,00;0,00;83;113;156;48;31;796;179
17;80,89;131,05;0,00;0,00;0,00;0,13;0,00;0,00;74;103;95;35;27;895;794
18;39,60;-318,40;0,00;0,00;0,00;-0,32;0,00;0,00;285;150;128;29;20;701;788
19;54,54;-115,25;0,00;0,00;0,00;-0,12;0,00;0,00;443;58;73;47;31;518;225
20;1,51;-677,73;0,00;0,00;0,00;-0,68;0,00;0,00;142;121;61;29;16;750;171
21;86,57;172,61;0,00;0,00;0,00;0,17;0,00;0,00;182;153;67;17;18;324;153
22;51,85;-184,89;0,00;0,00;0,00;-0,18;0,00;0,00;179;186;146;30;21;507;893
23;63,46;-67,99;0,00;0,00;0,00;-0,07;0,00;0,00;186;100;151;39;23;163;787
24;66,22;-39,19;0,00;0,00;0,00;-0,04;0,00;0,00;220;96;36;44;23;764;474
25;6,13;-668,56;0,00;0,00;0,00;-0,67;0,00;0,00;184;34;103;23;36;639;826
26;57,71;-161,43;0,00;0,00;0,00;-0,16;0,00;0,00;120;134;14;25;34;549;328
27;51,14;-197,63;0,00;0,00;0,00;-0,20;0,00;0,00;408;30;142;37;26;513;541
28;55,92;-215,96;0,00;0,00;0,00;-0,22;0,00;0,00;296;98;65;13;29;166;425
29;27,83;-416,26;0,00;0,00;0,00;-0,42;0,00;0,00;31;63;194;26;29;554;716
30;41,19;-306,86;0,00;0,00;0,00;-0,31;0,00;0,00;298;57;167;47;29;269;648
31;79,99;151,82;0,00;0,00;0,00;0,15;0,00;0,00;445;40;79;39;27;633;109
32;14,59;-527,73;0,00;0,00;0,00;-0,53;0,00;0,00;296;197;26;18;21;235;974
33;76,73;45,68;0,00;0,00;0,00;0,05;0,00;0,00;218;135;143;17;34;868;582
34;32,56;-381,73;0,00;0,00;0,00;-0,38;0,00;0,00;499;70;39;43;39;347;851
35;30,68;-474,40;0,00;0,00;0,00;-0,47;0,00;0,00;435;95;45;15;17;737;418
36;37,42;-283,03;0,00;0,00;0,00;-0,28;0,00;0,00;279;80;116;22;23;817;422
37;29,98;-465,74;0,00;0,00;0,00;-0,47;0,00;0,00;472;117;173;23;37;718;703
38;74,28;4,42;0,00;0,00;0,00;0,00;0,00;0,00;311;129;108;15;16;411;662
